timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0186533 ,Right ,+1 ,+5 ,+10 ,+2 ,0  ,-1 ,-4 ,-1
0.0186848 ,Right ,+1 ,-2 ,-11 ,-3 ,+2 ,-3 ,0  ,-1
0.0262296 ,Right ,-2 ,0  ,-2 ,-4 ,-4 ,-1 ,-5 ,-4
0.0262329 ,Right ,+1 ,+1 ,+5 ,-1 ,-2 ,-4 ,-4 ,-2
0.0413312 ,Right ,+1 ,+13 ,+1 ,0  ,-7 ,-4 ,-1 ,-1
0.0413349 ,Right ,-3 ,-29 ,-12 ,-2 ,-2 ,-2 ,-1 ,+1
0.0489298 ,Right ,-1 ,+2 ,+4 ,+1 ,-2 ,+1 ,0  ,+1
0.0489335 ,Right ,-1 ,-3 ,-9 ,-10 ,+2 ,+3 ,+1 ,-1
0.0638021 ,Right ,-1 ,-10 ,-2 ,+1 ,-2 ,+4 ,+4 ,-2
0.0638053 ,Right ,+2 ,+1 ,+2 ,-4 ,-5 ,-8 ,-4 ,0 
0.0789687 ,Right ,-2 ,-6 ,-8 ,-3 ,+1 ,-4 ,-2 ,-1
0.0789722 ,Right ,+3 ,+20 ,+9 ,+2 ,-2 ,+5 ,+1 ,+2
0.0864985 ,Right ,-4 ,-9 ,-3 ,-3 ,0  ,-5 ,-4 ,-1
0.0865019 ,Right ,0  ,+3 ,+1 ,0  ,-1 ,-3 ,-1 ,-1
0.1012945 ,Right ,-1 ,-7 ,-6 ,-4 ,-2 ,0  ,+2 ,-3
0.1012982 ,Right ,-1 ,+2 ,+3 ,+4 ,+2 ,-1 ,-1 ,-1
0.1090068 ,Right ,0  ,+3 ,-1 ,-6 ,-5 ,-1 ,-1 ,0 
0.1090126 ,Right ,-1 ,+3 ,-1 ,0  ,0  ,+2 ,0  ,-2
0.1236623 ,Right ,+3 ,+7 ,+3 ,+1 ,+6 ,-1 ,+1 ,0 
0.1236854 ,Right ,-2 ,-3 ,-2 ,+3 ,-2 ,+4 ,+1 ,0 
0.1390064 ,Right ,+2 ,+14 ,+2 ,+1 ,+9 ,+3 ,0  ,0 
0.1390096 ,Right ,-3 ,-13 ,+5 ,+1 ,-7 ,-4 ,-5 ,-3
0.1462456 ,Right ,+2 ,+7 ,+10 ,-2 ,-8 ,-9 ,0  ,0 
0.146249 ,Right ,-5 ,-20 ,-24 ,-7 ,+1 ,+3 ,-1 ,0 
0.1614967 ,Right ,+3 ,+12 ,+6 ,+3 ,-1 ,-2 ,-3 ,-1
0.1615003 ,Right ,-1 ,+5 ,-1 ,-3 ,+1 ,+4 ,0  ,-1
0.1689973 ,Right ,-2 ,-2 ,-1 ,-1 ,-3 ,-4 ,-3 ,-1
0.1690009 ,Right ,-1 ,-4 ,+3 ,-2 ,-4 ,-2 ,0  ,-3
0.1840601 ,Right ,-1 ,-8 ,-6 ,-3 ,-7 ,0  ,-1 ,-1
0.1840643 ,Right ,+1 ,+15 ,+21 ,+4 ,-1 ,-6 ,-3 ,-1
0.1990782 ,Right ,-3 ,-13 ,-22 ,-3 ,-3 ,+5 ,+1 ,-2
0.1991239 ,Right ,-1 ,+5 ,-7 ,-8 ,+3 ,-7 ,0  ,-1
0.2066612 ,Right ,-2 ,-4 ,-4 ,-2 ,-2 ,0  ,-5 ,-1
0.2071443 ,Right ,0  ,+2 ,+1 ,0  ,-1 ,+6 ,+3 ,+2
0.2220404 ,Right ,-2 ,-6 ,+3 ,0  ,0  ,-1 ,0  ,+1
0.2220542 ,Right ,-1 ,+4 ,-7 ,-6 ,-7 ,-2 ,-2 ,-3
0.2294104 ,Right ,+2 ,0  ,-3 ,0  ,+1 ,-2 ,-1 ,-1
0.2294228 ,Right ,0  ,0  ,-3 ,+1 ,-3 ,-9 ,-6 ,0 
0.2444515 ,Right ,-3 ,-1 ,+5 ,-2 ,-2 ,-3 ,-4 ,-1
0.2444642 ,Right ,-1 ,-1 ,+9 ,+7 ,+4 ,-1 ,-2 ,-1
0.2595599 ,Right ,0  ,+9 ,-12 ,-5 ,-7 ,-3 ,-1 ,-1
0.2595722 ,Right ,-2 ,-10 ,-5 ,-6 ,+9 ,0  ,-1 ,-2
0.2667907 ,Right ,-2 ,+3 ,-4 ,-3 ,-17 ,-6 ,-2 ,-3
