timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0209305 ,Left ,-2 ,-3 ,-2 ,-8 ,-2 ,-3 ,+2 ,0 
0.0210033 ,Left ,0  ,0  ,-1 ,-8 ,-2 ,-2 ,-3 ,-1
0.0224726 ,Left ,-1 ,-1 ,-1 ,+8 ,0  ,0  ,0  ,0 
0.0224847 ,Left ,-1 ,-3 ,-5 ,-11 ,-1 ,+2 ,+2 ,+2
0.0435678 ,Left ,-1 ,-1 ,0  ,-3 ,-2 ,-4 ,0  ,0 
0.0435709 ,Left ,0  ,0  ,+2 ,+12 ,+1 ,0  ,-6 ,-1
0.0450734 ,Left ,0  ,-2 ,-4 ,-20 ,-6 ,-3 ,+2 ,0 
0.0451563 ,Left ,0  ,-1 ,-1 ,+3 ,+1 ,+6 ,+1 ,0 
0.058012 ,Left ,+1 ,0  ,-1 ,-2 ,-5 ,-5 ,-3 ,-3
0.0580154 ,Left ,0  ,-1 ,-2 ,+1 ,+2 ,-2 ,-2 ,-2
0.0646132 ,Left ,+1 ,-1 ,-2 ,0  ,0  ,+1 ,-1 ,0 
0.0646182 ,Left ,-1 ,-1 ,0  ,0  ,-3 ,+1 ,-1 ,0 
0.0809866 ,Left ,0  ,-3 ,-2 ,-5 ,-2 ,-1 ,+3 ,-1
0.0809897 ,Left ,-2 ,-2 ,-1 ,-1 ,-2 ,+1 ,0  ,-3
0.0827669 ,Left ,0  ,0  ,-2 ,+4 ,-1 ,+1 ,+7 ,+1
0.0827704 ,Left ,-1 ,-1 ,-2 ,-17 ,-5 ,-3 ,-5 ,+6
0.103588 ,Left ,-7 ,-2 ,-2 ,+6 ,+1 ,-4 ,0  ,-20
0.1035933 ,Left ,-1 ,-3 ,-4 ,-9 ,-3 ,0  ,+2 ,+9
0.1052226 ,Left ,-1 ,-2 ,+1 ,+2 ,+1 ,+1 ,-10 ,-5
0.1052287 ,Left ,-1 ,-3 ,-1 ,+6 ,+1 ,-3 ,-2 ,-2
0.1175186 ,Left ,+1 ,+2 ,+2 ,-4 ,-3 ,0  ,-4 ,+5
0.1175309 ,Left ,-1 ,-1 ,-2 ,-2 ,-2 ,-2 ,-2 ,-5
0.1261405 ,Left ,-2 ,0  ,+1 ,+1 ,+5 ,-4 ,+2 ,-1
0.1262667 ,Left ,0  ,0  ,0  ,-4 ,-4 ,0  ,+2 ,-1
0.1413669 ,Left ,-2 ,-3 ,-4 ,-5 ,-2 ,+1 ,0  ,+1
0.1413743 ,Left ,+1 ,0  ,+3 ,+5 ,+4 ,0  ,-3 ,-5
0.1427315 ,Left ,-1 ,-1 ,-3 ,-2 ,-8 ,-1 ,-4 ,+1
0.1427383 ,Left ,0  ,-2 ,-2 ,-4 ,+4 ,0  ,-1 ,-4
0.1639207 ,Left ,-2 ,0  ,-2 ,-6 ,-1 ,0  ,+1 ,+1
0.1639309 ,Left ,0  ,-1 ,0  ,+4 ,-2 ,0  ,-4 ,-1
