timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0182275 ,Right ,-3 ,-1 ,-1 ,0  ,+6 ,-2 ,-4 ,-1
0.0182562 ,Right ,0  ,0  ,+2 ,+5 ,+9 ,+10 ,+5 ,0 
0.0256222 ,Right ,0  ,-3 ,-1 ,-3 ,-1 ,+4 ,-1 ,0 
0.0256494 ,Right ,-3 ,0  ,-1 ,-2 ,-2 ,-7 ,-6 ,-2
0.0407386 ,Right ,-2 ,-1 ,-2 ,-1 ,-2 ,-1 ,0  ,0 
0.0407414 ,Right ,+1 ,-2 ,+1 ,+4 ,+3 ,+5 ,+5 ,0 
0.0482097 ,Right ,0  ,-1 ,-1 ,+1 ,-2 ,-1 ,-1 ,-2
0.0482123 ,Right ,0  ,-2 ,-3 ,-6 ,-3 ,-4 ,-2 ,-2
0.0632989 ,Right ,-1 ,-2 ,0  ,0  ,-4 ,+2 ,+4 ,+1
0.0633015 ,Right ,-1 ,-3 ,-2 ,-6 ,-3 ,-3 ,-5 ,-3
0.0782392 ,Right ,0  ,-1 ,+3 ,+5 ,+5 ,0  ,-2 ,0 
0.078242 ,Right ,-1 ,-1 ,+2 ,+4 ,+8 ,+7 ,+4 ,-1
0.0857196 ,Right ,+1 ,-2 ,0  ,-2 ,+11 ,+4 ,-2 ,0 
0.0857221 ,Right ,-1 ,0  ,-3 ,-3 ,-3 ,-1 ,-3 ,-2
0.100669 ,Right ,-2 ,0  ,-2 ,-4 ,-8 ,-6 ,-2 ,-1
0.1006723 ,Right ,-3 ,-4 ,-3 ,-2 ,-3 ,-3 ,-3 ,0 
0.1084393 ,Right ,-2 ,-1 ,-1 ,-1 ,-4 ,-3 ,-2 ,-1
0.1084424 ,Right ,-2 ,-4 ,-3 ,-2 ,0  ,0  ,0  ,-1
0.1234334 ,Right ,-3 ,+1 ,-2 ,+2 ,+1 ,+1 ,-1 ,-2
0.1234371 ,Right ,0  ,0  ,-1 ,0  ,+3 ,+2 ,-1 ,-1
0.1383431 ,Right ,-2 ,-3 ,-3 ,-3 ,-7 ,-4 ,-5 ,-2
0.1383474 ,Right ,-2 ,-1 ,-4 ,-5 ,-6 ,-2 ,+1 ,-3
0.1458712 ,Right ,0  ,+3 ,+4 ,-1 ,-9 ,-6 ,-1 ,-1
0.1459665 ,Right ,-1 ,-4 ,-1 ,+2 ,+4 ,+2 ,0  ,-1
0.1608426 ,Right ,-2 ,0  ,-1 ,-1 ,+2 ,+1 ,0  ,0 
0.1608475 ,Right ,-1 ,-1 ,+3 ,+7 ,+10 ,+9 ,+4 ,-1
0.1683003 ,Right ,+1 ,+1 ,0  ,0  ,-2 ,-3 ,-1 ,0 
0.1683048 ,Right ,-3 ,+3 ,0  ,-4 ,-6 ,-4 ,-2 ,-2
0.1833341 ,Right ,-1 ,+2 ,-1 ,+8 ,+3 ,+1 ,0  ,-1
0.1833391 ,Right ,+1 ,-1 ,-2 ,+2 ,+12 ,+5 ,+1 ,+1
0.1981614 ,Right ,-1 ,+1 ,0  ,+2 ,+4 ,+5 ,+1 ,-1
0.1981642 ,Right ,-3 ,-3 ,0  ,-5 ,-8 ,-4 ,-4 ,-2
0.2061188 ,Right ,0  ,-3 ,0  ,-8 ,-8 ,-5 ,-4 ,-2
0.2061303 ,Right ,-2 ,-7 ,-2 ,-2 ,-5 ,-3 ,+1 ,-3
0.2215472 ,Right ,-1 ,+1 ,-2 ,-3 ,-1 ,-2 ,+1 ,-1
0.2215595 ,Right ,+2 ,+2 ,-3 ,-1 ,-4 ,-1 ,-1 ,-1
0.2363717 ,Right ,-4 ,+11 ,0  ,-3 ,+4 ,-1 ,-2 ,-4
0.2363845 ,Right ,+1 ,-6 ,+7 ,+8 ,+5 ,+1 ,+2 ,+2
0.2515651 ,Right ,-3 ,-2 ,-5 ,-8 ,-2 ,-2 ,-2 ,-2
0.2516778 ,Right ,-1 ,-3 ,-4 ,-7 ,-6 ,-1 ,+1 ,+1
0.2664094 ,Right ,+4 ,+4 ,+11 ,+3 ,-1 ,-1 ,-1 ,0 
0.2664271 ,Right ,+1 ,+3 ,-6 ,-1 ,+1 ,+1 ,-2 ,-1
0.2738404 ,Right ,-5 ,-17 ,-7 ,-3 ,0  ,-2 ,-2 ,-3
0.2738529 ,Right ,-12 ,-4 ,-7 ,-4 ,-4 ,-4 ,-3 ,-3
0.2886066 ,Right ,+3 ,-3 ,-1 ,0  ,0  ,+1 ,+1 ,0 
0.2887081 ,Right ,+1 ,+10 ,+1 ,-1 ,0  ,+4 ,0  ,-3
0.3039192 ,Right ,-1 ,-19 ,-20 ,-20 ,-6 ,-2 ,-1 ,0 
0.3039328 ,Right ,+5 ,+17 ,+14 ,+20 ,+3 ,-5 ,0  ,+4
0.3186941 ,Right ,-3 ,-19 ,-14 ,-11 ,-2 ,-1 ,-3 ,-4
0.3188953 ,Right ,+9 ,+3 ,-9 ,-9 ,-6 ,-2 ,-2 ,+2
0.3261348 ,Right ,-4 ,+7 ,+33 ,+22 ,+10 ,+2 ,+1 ,0 
0.3262569 ,Right ,-2 ,-7 ,-34 ,-20 ,-8 ,-5 ,-2 ,+3
0.3410955 ,Right ,-17 ,-3 ,-10 ,-3 ,-2 ,-1 ,-2 ,-4
0.3411001 ,Right ,-2 ,-13 ,-16 ,-12 ,-1 ,+1 ,+1 ,+2
0.348199 ,Right ,+7 ,+21 ,+5 ,+6 ,-4 ,-3 ,-2 ,+5
0.3482026 ,Right ,+9 ,-18 ,-4 ,-8 ,-1 ,+1 ,+1 ,-2
0.3633275 ,Right ,+2 ,0  ,-32 ,-17 ,-9 ,-3 ,-1 ,+3
0.363332 ,Right ,0  ,-11 ,-11 ,-11 ,-2 ,-1 ,-2 ,-2
0.3785942 ,Right ,+14 ,+6 ,+33 ,+20 ,+4 ,+3 ,+2 ,+3
0.3785983 ,Right ,-8 ,-7 ,-17 ,-17 ,-11 ,-9 ,-6 ,-3
0.3937824 ,Right ,0  ,-15 ,-10 ,-18 ,-9 ,-12 ,-2 ,-6
0.3938181 ,Right ,+1 ,+2 ,-6 ,-10 ,+4 ,0  ,-6 ,+2
0.4087865 ,Right ,+16 ,0  ,-9 ,+7 ,+3 ,+4 ,-1 ,+6
0.4089364 ,Right ,-12 ,-32 ,+12 ,+6 ,-2 ,-1 ,-6 ,-6
0.4163325 ,Right ,0  ,+18 ,+4 ,+3 ,0  ,-1 ,-4 ,-8
0.4163446 ,Right ,-5 ,-1 ,-5 ,-4 ,-4 ,-1 ,0  ,-4
0.4311079 ,Right ,-7 ,-15 ,-3 ,-3 ,-1 ,+2 ,-1 ,+4
0.4311197 ,Right ,0  ,+15 ,+33 ,+28 ,+14 ,+5 ,+6 ,0 
