timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0162578 ,Left ,-4 ,-3 ,-4 ,-4 ,-6 ,-9 ,-3 ,-2
0.0162884 ,Left ,-1 ,-1 ,0  ,+7 ,+14 ,+4 ,-1 ,-2
0.0239604 ,Left ,-3 ,-3 ,-3 ,-9 ,-18 ,-5 ,-1 ,+1
0.0239637 ,Left ,-2 ,+1 ,-3 ,-5 ,-5 ,+7 ,0  ,-3
0.0387973 ,Left ,+3 ,+2 ,+2 ,-3 ,-7 ,-7 ,0  ,0 
0.0388 ,Left ,0  ,-2 ,-6 ,-4 ,-7 ,-12 ,0  ,+2
0.0539664 ,Left ,-1 ,-2 ,-2 ,-5 ,-3 ,0  ,-1 ,-1
0.0539695 ,Left ,-4 ,-4 ,-2 ,-1 ,-1 ,+2 ,-2 ,-3
0.0615777 ,Left ,-5 ,+1 ,+1 ,+1 ,+1 ,+2 ,0  ,-1
0.0615863 ,Left ,0  ,0  ,+3 ,+6 ,+6 ,-6 ,-1 ,-1
0.0765713 ,Left ,-3 ,-2 ,-2 ,-6 ,-4 ,+3 ,-1 ,-1
0.0765745 ,Left ,+1 ,-1 ,-2 ,-1 ,-10 ,-4 ,0  ,+2
0.0841294 ,Left ,-2 ,-2 ,+2 ,+12 ,+27 ,+10 ,-1 ,0 
0.0841336 ,Left ,-3 ,-6 ,-8 ,-31 ,-33 ,-4 ,-2 ,0 
0.0990777 ,Left ,-2 ,-3 ,-2 ,0  ,-2 ,-3 ,-1 ,0 
0.0990818 ,Left ,+2 ,-1 ,+2 ,+11 ,+20 ,-1 ,+1 ,+1
0.1140643 ,Left ,-4 ,-2 ,+1 ,-2 ,-1 ,-6 ,-1 ,-4
0.1140688 ,Left ,-2 ,-2 ,+2 ,-8 ,-14 ,-4 ,-2 ,-1
0.1216265 ,Left ,+2 ,+4 ,-1 ,+4 ,+6 ,-1 ,+1 ,+1
0.121631 ,Left ,-4 ,-1 ,+3 ,+7 ,+12 ,-6 ,-3 ,-1
0.1364512 ,Left ,+1 ,-3 ,-4 ,-3 ,-12 ,-6 ,-2 ,0 
0.1364559 ,Left ,0  ,-1 ,+2 ,+9 ,+7 ,+3 ,-1 ,+2
0.1439641 ,Left ,-2 ,-1 ,-1 ,-3 ,-2 ,-9 ,-1 ,-4
0.1439693 ,Left ,+1 ,-1 ,-3 ,-2 ,-4 ,-3 ,-2 ,-2
0.1590738 ,Left ,-3 ,-2 ,-1 ,-3 ,-5 ,+7 ,-2 ,-1
0.1590768 ,Left ,0  ,+1 ,-1 ,+4 ,-1 ,-4 ,-1 ,0 
0.1745662 ,Left ,-2 ,-3 ,+1 ,-4 ,+1 ,-9 ,-1 ,-1
