timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0133052 ,Right ,+2 ,0  ,+6 ,-5 ,+1 ,-1 ,-3 ,+4
0.0133083 ,Right ,-3 ,-3 ,-13 ,-10 ,-1 ,-2 ,+1 ,-5
0.0287328 ,Right ,-1 ,+3 ,+15 ,+20 ,+2 ,+1 ,+8 ,-3
0.0287358 ,Right ,-5 ,-7 ,+7 ,-3 ,-1 ,0  ,-6 ,-4
0.0293424 ,Right ,+1 ,-2 ,-11 ,-5 ,-2 ,+5 ,+8 ,0 
0.0293672 ,Right ,+2 ,+1 ,+5 ,+4 ,+2 ,+4 ,-6 ,+2
0.051346 ,Right ,-3 ,+2 ,-7 ,-1 ,0  ,-2 ,-4 ,+2
0.051349 ,Right ,+1 ,0  ,+9 ,+8 ,0  ,0  ,+2 ,0 
0.0520575 ,Right ,0  ,+4 ,+3 ,-4 ,-4 ,-5 ,+4 ,+3
0.0520611 ,Right ,-2 ,-5 ,-15 ,-19 ,+2 ,0  ,-6 ,-1
0.0745702 ,Right ,-1 ,+1 ,+16 ,+18 ,+1 ,-4 ,-11 ,+1
0.0745741 ,Right ,-1 ,-4 ,-5 ,-4 ,-2 ,+3 ,+3 ,-3
0.0752642 ,Right ,-1 ,-4 ,+6 ,+2 ,-1 ,-4 ,+2 ,-5
0.0752676 ,Right ,-2 ,-2 ,-12 ,-3 ,-3 ,-8 ,-4 ,0 
0.0894969 ,Right ,+3 ,+4 ,-2 ,-8 ,+1 ,-1 ,+1 ,-1
0.0896665 ,Right ,-2 ,-5 ,-5 ,0  ,+1 ,+1 ,-5 ,+2
0.0898875 ,Right ,-1 ,0  ,-5 ,-2 ,+3 ,+2 ,0  ,-1
0.0900905 ,Right ,-3 ,-4 ,+3 ,+4 ,-4 ,-1 ,-3 ,-4
0.1117499 ,Right ,-1 ,-3 ,-8 ,-12 ,-3 ,-2 ,+2 ,+1
0.1118658 ,Right ,-6 ,-6 ,-1 ,+3 ,-4 ,-10 ,-5 ,-3
0.1124273 ,Right ,+2 ,0  ,0  ,-2 ,-3 ,-2 ,+4 ,0 
0.1124395 ,Right ,-2 ,-2 ,-3 ,-6 ,0  ,+1 ,-3 ,0 
0.1351195 ,Right ,-3 ,-5 ,+5 ,+6 ,+5 ,+5 ,+4 ,+3
0.1352867 ,Right ,+3 ,+5 ,-4 ,-10 ,+2 ,+1 ,-1 ,0 
0.1356835 ,Right ,-2 ,-1 ,-3 ,+5 ,-1 ,-7 ,-4 ,0 
0.1358654 ,Right ,+1 ,+1 ,+1 ,+3 ,-2 ,-2 ,-4 ,-2
0.1492014 ,Right ,0  ,-4 ,-6 ,-8 ,-6 ,-7 ,-5 ,-4
0.1493847 ,Right ,-2 ,-4 ,-7 ,-2 ,+2 ,0  ,-1 ,-1
0.1497001 ,Right ,+1 ,+1 ,+5 ,0  ,+1 ,-1 ,+1 ,-2
0.1497085 ,Right ,0  ,0  ,0  ,+1 ,-2 ,-3 ,-1 ,0 
0.1712854 ,Right ,-2 ,+4 ,+3 ,-9 ,+3 ,+6 ,-1 ,0 
0.1713633 ,Right ,0  ,-2 ,+1 ,+9 ,-3 ,-5 ,0  ,0 
0.1721303 ,Right ,-3 ,-1 ,+1 ,+1 ,-1 ,-2 ,-4 ,-2
0.1722737 ,Right ,-2 ,-8 ,-2 ,+6 ,+1 ,-1 ,+3 ,+2
0.194637 ,Right ,-1 ,-6 ,-8 ,-11 ,-2 ,-2 ,-6 ,-4
0.1946416 ,Right ,-1 ,0  ,+8 ,-3 ,-6 ,-3 ,+3 ,-1
0.1952895 ,Right ,-2 ,-4 ,-11 ,-11 ,-3 ,+1 ,+3 ,+1
0.1952941 ,Right ,+2 ,-1 ,-8 ,+3 ,+5 ,-2 ,-1 ,0 
0.2087919 ,Right ,+2 ,+4 ,+14 ,+11 ,-3 ,+1 ,-4 ,-1
0.2087966 ,Right ,-6 ,-4 ,-24 ,-20 ,-3 ,-2 ,-2 ,-3
0.2097097 ,Right ,0  ,-3 ,+6 ,+4 ,+8 ,+13 ,+6 ,+1
0.2097143 ,Right ,+1 ,0  ,+10 ,+5 ,-3 ,-4 ,-4 ,-2
0.2314527 ,Right ,-2 ,-2 ,-11 ,0  ,-2 ,-1 ,+2 ,-2
0.2314681 ,Right ,+3 ,-1 ,+3 ,-1 ,-1 ,-1 ,-5 ,0 
