timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0523327 ,Left ,-12 ,-30 ,-10 ,-7 ,+3 ,-1 ,-2 ,-6
0.0524463 ,Left ,+12 ,-23 ,-15 ,-7 ,-7 ,-7 ,-1 ,-1
0.0672472 ,Left ,+4 ,+20 ,+15 ,+14 ,-12 ,-12 ,-2 ,+3
0.0672502 ,Left ,-4 ,+10 ,-2 ,-6 ,+3 ,0  ,-1 ,-2
0.0746653 ,Left ,+1 ,-17 ,+1 ,+1 ,+1 ,+6 ,+2 ,-1
0.0746683 ,Left ,-6 ,+7 ,-2 ,-4 ,-19 ,+1 ,-4 ,-5
0.0899787 ,Left ,-12 ,-18 ,-6 ,+1 ,+20 ,+1 ,+2 ,0 
0.0899819 ,Left ,+3 ,-3 ,+4 ,-5 ,-23 ,+1 ,0  ,+1
0.0972967 ,Left ,-11 ,-2 ,+3 ,-9 ,+1 ,-9 ,-8 ,-7
0.0973002 ,Left ,+5 ,+19 ,-4 ,+6 ,+11 ,+11 ,+3 ,+1
0.1047449 ,Left ,+8 ,+3 ,-3 ,-7 ,-8 ,+2 ,+2 ,+3
0.1047477 ,Left ,-9 ,+6 ,-7 ,+4 ,+15 ,-6 ,-1 ,0 
0.1199079 ,Left ,-10 ,-8 ,-2 ,-8 ,-13 ,-7 ,-2 ,-3
0.119911 ,Left ,-2 ,-10 ,+8 ,+1 ,-11 ,+20 ,-5 ,-1
0.127471 ,Left ,+9 ,-9 ,-10 ,-6 ,-5 ,-2 ,-2 ,+1
0.1274747 ,Left ,-10 ,+17 ,+7 ,+16 ,+19 ,+1 ,-2 ,-4
0.1349725 ,Left ,+5 ,-21 ,-18 ,-20 ,-4 ,+1 ,+1 ,+2
0.1350569 ,Left ,+19 ,+12 ,+2 ,+4 ,-3 ,-8 ,-1 ,+1
0.1498352 ,Left ,0  ,-24 ,-5 ,-4 ,-8 ,-3 ,-2 ,0 
0.1498396 ,Left ,+19 ,+21 ,+4 ,-9 ,+5 ,-9 ,+3 ,+2
0.1573745 ,Left ,-7 ,0  ,+11 ,+24 ,-6 ,-3 ,+2 ,+1
0.1573792 ,Left ,-4 ,-15 ,-2 ,-2 ,+1 ,-1 ,-1 ,+2
0.1649197 ,Left ,-4 ,-1 ,-6 ,-4 ,-17 ,-25 ,-7 ,-4
0.1649256 ,Left ,-7 ,-3 ,-3 ,-8 ,+10 ,+7 ,+1 ,-3
0.1720462 ,Left ,+1 ,-16 ,-3 ,-10 ,-9 ,-4 ,0  ,-1
0.1720682 ,Left ,+5 ,+6 ,-4 ,+5 ,-13 ,-9 ,-4 ,-5
0.1873719 ,Left ,-14 ,+6 ,+2 ,-4 ,+5 ,-7 ,+1 ,-2
0.1873756 ,Left ,-6 ,-12 ,-7 ,+4 ,+10 ,+8 ,-3 ,0 
0.1950178 ,Left ,-1 ,+12 ,+3 ,-3 ,-2 ,+2 ,-1 ,-3
0.1950225 ,Left ,-18 ,-15 ,0  ,0  ,-12 ,-3 ,0  ,-1
0.209758 ,Left ,+1 ,0  ,-2 ,-1 ,+1 ,+2 ,-1 ,-1
0.2097637 ,Left ,-1 ,-1 ,-3 ,-1 ,0  ,-4 ,+1 ,-4
0.2172556 ,Left ,+6 ,-6 ,+4 ,+5 ,-7 ,+9 ,+3 ,+2
0.2172585 ,Left ,+9 ,-2 ,-3 ,+1 ,+5 ,-6 ,-1 ,0 
0.2249535 ,Left ,-3 ,-5 ,-1 ,0  ,+9 ,-1 ,0  ,0 
0.2249569 ,Left ,-3 ,+2 ,+11 ,+3 ,-7 ,+29 ,+3 ,-1
0.2323549 ,Left ,-4 ,-8 ,-9 ,-4 ,-8 ,-5 ,-2 ,+4
0.2323582 ,Left ,-7 ,+19 ,+8 ,+2 ,+5 ,+2 ,-1 ,-5
0.2474551 ,Left ,-5 ,-6 ,+1 ,-3 ,-1 ,-6 ,-1 ,-3
0.2474602 ,Left ,+11 ,-6 ,-2 ,+7 ,-4 ,-8 ,-3 ,+1
0.2548083 ,Left ,-2 ,+2 ,-5 ,-3 ,+10 ,0  ,0  ,-2
0.2548136 ,Left ,-16 ,-16 ,-6 ,-3 ,+19 ,+5 ,-2 ,-4
0.2699355 ,Left ,-5 ,-8 ,-13 ,-16 ,-27 ,+9 ,+1 ,0 
0.2699385 ,Left ,+8 ,+3 ,+5 ,+1 ,0  ,-6 ,-4 ,-1
0.2774337 ,Left ,-2 ,+13 ,-1 ,+4 ,+10 ,0  ,-1 ,-4
0.2774382 ,Left ,-2 ,-16 ,-11 ,-11 ,-7 ,-7 ,+2 ,0 
0.2849474 ,Left ,-8 ,-11 ,+3 ,+10 ,+6 ,0  ,-4 ,-4
0.2849509 ,Left ,+1 ,-3 ,-14 ,-9 ,-1 ,-11 ,-4 ,-2
0.2999592 ,Left ,+2 ,-28 ,-8 ,-2 ,+7 ,-2 ,-3 ,-2
0.2999627 ,Left ,+16 ,+24 ,+14 ,+5 ,-18 ,-3 ,+1 ,+2
0.3147666 ,Left ,+1 ,+3 ,-9 ,-4 ,+1 ,-9 ,0  ,+1
0.3147707 ,Left ,+4 ,-3 ,+2 ,-2 ,-9 ,-3 ,+2 ,-1
