timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0186446 ,Right ,+3 ,-2 ,+15 ,+1 ,-3 ,-1 ,+5 ,+1
0.0186478 ,Right ,+9 ,+12 ,-5 ,-8 ,0  ,-5 ,-11 ,-1
0.0201826 ,Right ,-10 ,-14 ,+4 ,-3 ,-1 ,-1 ,-6 ,0 
0.0202139 ,Right ,+5 ,-4 ,-24 ,-2 ,-2 ,-4 ,+3 ,-1
0.0410637 ,Right ,-10 ,+4 ,+7 ,+1 ,+3 ,+4 ,0  ,-2
0.0410666 ,Right ,0  ,-11 ,-10 ,-3 ,-7 ,-2 ,-10 ,-1
0.0427608 ,Right ,+8 ,+3 ,+8 ,0  ,+2 ,+5 ,+3 ,+2
0.0427637 ,Right ,-3 ,-5 ,+16 ,+5 ,+1 ,+2 ,-3 ,-2
0.0561295 ,Right ,-6 ,+7 ,-1 ,0  ,-2 ,-7 ,-2 ,-1
0.0561326 ,Right ,-4 ,-7 ,-4 ,-11 ,-5 ,-4 ,-3 ,-3
0.05781 ,Right ,-3 ,-17 ,-9 ,+5 ,+4 ,-1 ,-2 ,-2
0.057813 ,Right ,+7 ,+18 ,+13 ,-4 ,-5 ,-6 ,-3 ,-1
0.078608 ,Right ,+2 ,0  ,-1 ,+4 ,-11 ,+1 ,+13 ,+1
0.0786112 ,Right ,-9 ,+27 ,+26 ,-4 ,+13 ,-26 ,-24 ,-6
0.0802042 ,Right ,+1 ,+3 ,+16 ,+4 ,+1 ,+23 ,+32 ,+6
0.0802072 ,Right ,+1 ,-22 ,-52 ,-14 ,-9 ,-13 ,-10 ,+1
0.1012908 ,Right ,-3 ,-31 ,-13 ,+6 ,+13 ,+23 ,+31 ,0 
0.1012978 ,Right ,-2 ,+5 ,+5 ,+5 ,-5 ,+4 ,0  ,+1
0.1030261 ,Right ,+8 ,+4 ,+3 ,-8 ,+3 ,-4 ,-10 ,-2
0.1030296 ,Right ,0  ,+4 ,+7 ,-3 ,-6 ,+3 ,0  ,+1
0.1161852 ,Right ,-11 ,-28 ,-25 ,-14 ,-8 ,-17 ,-2 ,-4
0.1161892 ,Right ,-5 ,-16 ,+22 ,+4 ,-13 ,+3 ,-4 ,-1
0.117719 ,Right ,+2 ,+17 ,-34 ,+5 ,+17 ,+1 ,-10 ,-2
0.1177235 ,Right ,+9 ,+20 ,+37 ,+9 ,-8 ,-3 ,+3 ,-3
0.1387788 ,Right ,+2 ,+13 ,+5 ,+1 ,+6 ,-5 ,-9 ,+2
0.1387828 ,Right ,+5 ,-13 ,-11 ,+6 ,-1 ,+2 ,+8 ,-4
0.1403588 ,Right ,-5 ,+14 ,+11 ,-2 ,-8 ,-8 ,-33 ,-3
0.1403628 ,Right ,+1 ,-11 ,-55 ,-20 ,-6 ,-13 ,+11 ,-3
0.161346 ,Right ,-8 ,+8 ,+22 ,+2 ,+7 ,+6 ,+8 ,+1
0.1613502 ,Right ,+3 ,+6 ,-3 ,-2 ,-3 ,-19 ,-21 ,-1
0.1628822 ,Right ,+5 ,+6 ,+4 ,-4 ,-11 ,+16 ,+41 ,+5
0.1628868 ,Right ,-7 ,-3 ,+7 ,+17 ,+8 ,+6 ,-4 ,0 
0.1755813 ,Right ,-4 ,+15 ,+27 ,-5 ,-6 ,-17 ,+1 ,0 
0.175588 ,Right ,-6 ,-19 ,-48 ,-6 ,0  ,+11 ,-1 ,-1
0.1824267 ,Right ,-1 ,-10 ,+14 ,0  ,-2 ,-16 ,-15 ,+1
0.1824315 ,Right ,-1 ,+15 ,+34 ,-7 ,-13 ,-9 ,+15 ,0 
0.1993198 ,Right ,0  ,-20 ,-53 ,-1 ,+2 ,+7 ,-39 ,-5
0.1993246 ,Right ,-12 ,+1 ,+15 ,+2 ,0  ,0  ,+14 ,-8
0.2007871 ,Right ,+6 ,-4 ,-3 ,-1 ,0  ,+23 ,+24 ,+6
0.2007917 ,Right ,-2 ,-15 ,-14 ,-8 ,0  ,+1 ,+3 ,-1
0.2212462 ,Right ,0  ,+9 ,+32 ,+18 ,+1 ,-5 ,-20 ,-5
0.2212508 ,Right ,+4 ,+6 ,+20 ,+3 ,-11 ,-3 ,+11 ,+2
0.222815 ,Right ,-6 ,-23 ,-54 ,-16 ,-2 ,-18 ,-9 ,-1
0.2228194 ,Right ,-6 ,+6 ,+9 ,+4 ,+18 ,+12 ,-7 ,-3
0.2349117 ,Right ,-2 ,+13 ,-9 ,+2 ,-3 ,-7 ,+6 ,-2
0.2349166 ,Right ,+8 ,+20 ,+39 ,+10 ,+17 ,+9 ,-7 ,+1
0.2435504 ,Right ,+3 ,-9 ,-14 ,-3 ,-18 ,-21 ,+11 ,-1
0.2435717 ,Right ,+1 ,-14 ,-24 ,-9 ,-7 ,-2 ,-29 ,-6
