timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.047584 ,Right ,-1 ,+13 ,-10 ,+9 ,+1 ,+2 ,+1 ,-1
0.047594 ,Right ,+2 ,-1 ,-9 ,-7 ,-3 ,-4 ,-3 ,+1
0.0476749 ,Right ,+3 ,-3 ,-4 ,-1 ,-5 ,-4 ,-2 ,-1
0.0477049 ,Right ,-1 ,-3 ,+8 ,0  ,+1 ,0  ,+5 ,0 
0.0697055 ,Right ,-4 ,-6 ,+9 ,0  ,0  ,+2 ,-2 ,-1
0.0697097 ,Right ,0  ,0  ,-11 ,-7 ,-1 ,+2 ,+1 ,-3
0.0706529 ,Right ,-2 ,-2 ,+9 ,+8 ,+3 ,+5 ,+5 ,-1
0.0706559 ,Right ,-6 ,+8 ,-9 ,-5 ,-4 ,-2 ,-1 ,0 
0.0840217 ,Right ,-1 ,-2 ,+2 ,-10 ,+5 ,+6 ,-1 ,0 
0.0840255 ,Right ,+2 ,+10 ,+24 ,+18 ,+1 ,-4 ,-3 ,+1
0.0848274 ,Right ,-2 ,-6 ,-34 ,+1 ,-2 ,-4 ,-3 ,-3
0.0848304 ,Right ,-1 ,+7 ,+12 ,+3 ,-5 ,-3 ,-3 ,-2
0.1072503 ,Right ,0  ,+6 ,-3 ,0  ,-2 ,-1 ,-2 ,-1
0.1073083 ,Right ,-4 ,-3 ,+6 ,-14 ,+11 ,+8 ,+3 ,-2
0.1078525 ,Right ,-1 ,-11 ,+11 ,+5 ,-4 ,-1 ,+1 ,-2
0.1078553 ,Right ,0  ,+2 ,+1 ,+1 ,-2 ,-2 ,+1 ,+1
0.1295811 ,Right ,-8 ,-5 ,-7 ,-1 ,-3 ,-5 ,-3 ,-3
0.1295846 ,Right ,0  ,-6 ,-2 ,-8 ,-4 ,-2 ,-3 ,-2
0.1305443 ,Right ,-2 ,-5 ,+4 ,+10 ,-3 ,-5 ,-3 ,-2
0.1305613 ,Right ,+1 ,+16 ,+17 ,-2 ,+2 ,0  ,-3 ,-2
0.1438923 ,Right ,+3 ,0  ,-7 ,0  ,-1 ,-3 ,-1 ,-1
0.1438956 ,Right ,-2 ,-4 ,-15 ,-1 ,+3 ,+7 ,+7 ,+3
0.1448216 ,Right ,-3 ,+2 ,+9 ,+3 ,+1 ,+2 ,0  ,0 
0.1448248 ,Right ,0  ,-13 ,-13 ,-12 ,-2 ,0  ,-3 ,-1
0.1672906 ,Right ,+2 ,-2 ,+18 ,+24 ,-3 ,-5 ,-4 ,0 
0.167295 ,Right ,+1 ,+5 ,-8 ,-17 ,-10 ,-7 ,-6 ,-1
0.1680726 ,Right ,+2 ,+1 ,+3 ,+2 ,+12 ,+2 ,+4 ,+1
0.168077 ,Right ,-3 ,+1 ,+8 ,+10 ,-1 ,-1 ,+2 ,-3
0.1898368 ,Right ,+2 ,+1 ,+10 ,-4 ,-1 ,-1 ,+2 ,0 
0.1898438 ,Right ,-1 ,-1 ,-18 ,-2 ,-1 ,+1 ,+2 ,-1
0.1905059 ,Right ,-2 ,+4 ,+10 ,+10 ,-5 ,+1 ,+1 ,0 
0.1905124 ,Right ,+1 ,-8 ,-12 ,-5 ,+10 ,+4 ,+2 ,0 
0.203355 ,Right ,-2 ,+36 ,0  ,-11 ,-6 ,-1 ,-1 ,-1
0.2033629 ,Right ,-2 ,-5 ,-4 ,+7 ,-4 ,-9 ,-4 ,-3
0.2116638 ,Right ,0  ,-1 ,+18 ,-9 ,-3 ,+1 ,-2 ,-4
0.2116706 ,Right ,-2 ,-5 ,-21 ,-1 ,-2 ,-3 ,-1 ,-1
0.2272598 ,Right ,+1 ,-13 ,-1 ,-7 ,-3 ,-1 ,-2 ,0 
0.2272667 ,Right ,-1 ,+7 ,+7 ,+4 ,+7 ,+2 ,-1 ,-2
0.2279189 ,Right ,-1 ,+4 ,-13 ,+1 ,0  ,+3 ,0  ,-2
0.2279251 ,Right ,0  ,-14 ,+11 ,+3 ,-8 ,-4 ,0  ,+2
0.2496551 ,Right ,0  ,-11 ,-4 ,-6 ,+4 ,+1 ,-11 ,-10
0.2496596 ,Right ,0  ,-5 ,-18 ,+4 ,+4 ,+12 ,+14 ,+5
0.2502815 ,Right ,-2 ,-8 ,+21 ,-2 ,+2 ,+2 ,-4 ,-3
0.2503368 ,Right ,-4 ,+33 ,-56 ,-15 ,-5 ,-3 ,-2 ,-4
0.2633891 ,Right ,-3 ,-4 ,+16 ,-5 ,+1 ,-4 ,-5 ,0 
0.2633937 ,Right ,+2 ,-1 ,+2 ,+7 ,0  ,-3 ,-2 ,+1
0.2714562 ,Right ,-2 ,-1 ,-9 ,-12 ,-5 ,-5 ,-2 ,+1
