timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0156794 ,Left ,-1 ,-1 ,-12 ,-10 ,-8 ,-3 ,-2 ,-1
0.0157232 ,Left ,-2 ,-1 ,+2 ,+10 ,+4 ,-1 ,+1 ,-2
0.030545 ,Left ,-4 ,-8 ,-4 ,-7 ,+4 ,-2 ,-2 ,-3
0.0305479 ,Left ,+1 ,-1 ,-4 ,-9 ,-4 ,+1 ,-2 ,+1
0.0455403 ,Left ,-3 ,-2 ,-9 ,+3 ,+6 ,0  ,-3 ,-3
0.0456349 ,Left ,+2 ,+5 ,+9 ,+7 ,-4 ,-2 ,-1 ,-1
0.0532823 ,Left ,-1 ,-1 ,+8 ,+1 ,-4 ,-2 ,-2 ,-1
0.0532853 ,Left ,-3 ,-6 ,-10 ,-20 ,+2 ,-4 ,+1 ,-2
0.0680094 ,Left ,-4 ,-3 ,-2 ,+9 ,-1 ,0  ,-1 ,0 
0.0680124 ,Left ,+2 ,+3 ,+5 ,+12 ,+10 ,+1 ,-2 ,+1
0.0757405 ,Left ,0  ,-1 ,-4 ,-18 ,-10 ,-2 ,-4 ,-2
0.0757435 ,Left ,0  ,-1 ,+6 ,+5 ,+8 ,+1 ,0  ,-1
0.0905536 ,Left ,-2 ,-3 ,-6 ,-8 ,-6 ,-3 ,0  ,0 
0.0905567 ,Left ,-1 ,-2 ,-1 ,+7 ,-3 ,0  ,-2 ,-1
0.1063931 ,Left ,0  ,-3 ,-10 ,+7 ,0  ,-1 ,0  ,0 
0.1065821 ,Left ,0  ,+6 ,+16 ,-18 ,-4 ,-2 ,-1 ,0 
0.1136427 ,Left ,-1 ,+2 ,+7 ,+12 ,+2 ,-1 ,-1 ,0 
0.1136552 ,Left ,-1 ,-2 ,-8 ,-13 ,+2 ,+1 ,-3 ,-1
0.1283246 ,Left ,-4 ,-2 ,+1 ,+21 ,+10 ,0  ,-2 ,-3
0.12851 ,Left ,-3 ,-6 ,-9 ,-6 ,-16 ,-6 ,-4 ,-1
0.1361656 ,Left ,-3 ,-2 ,-6 ,+1 ,+3 ,-1 ,0  ,-1
0.1363472 ,Left ,0  ,+1 ,+6 ,+6 ,-2 ,-2 ,+1 ,0 
0.1511124 ,Left ,-3 ,-6 ,-6 ,-3 ,-13 ,-2 ,-2 ,-3
0.1511259 ,Left ,0  ,-1 ,-8 ,+2 ,+4 ,+1 ,-3 ,-1
0.1659111 ,Left ,+2 ,+1 ,+4 ,+10 ,+4 ,0  ,0  ,-1
0.1659199 ,Left ,-4 ,-2 ,-4 ,-10 ,-11 ,-3 ,-2 ,-1
0.1733905 ,Left ,0  ,+1 ,+5 ,+2 ,-8 ,-3 ,-3 ,-1
0.1733992 ,Left ,-1 ,0  ,-4 ,+1 ,-4 ,-2 ,-1 ,0 
0.1884472 ,Left ,-1 ,-2 ,-1 ,-9 ,+1 ,+1 ,0  ,-1
0.1885835 ,Left ,-2 ,-3 ,-5 ,+3 ,+6 ,0  ,-1 ,-4
0.1957562 ,Left ,-1 ,-4 ,-4 ,+8 ,+12 ,+2 ,0  ,-2
0.1957644 ,Left ,0  ,+3 ,0  ,-1 ,-8 ,-3 ,-2 ,-2
0.2183325 ,Left ,-2 ,-2 ,-5 ,-11 ,-45 ,-5 ,-4 ,-1
0.2183409 ,Left ,0  ,-3 ,-4 ,+9 ,+13 ,-2 ,0  ,-3
0.2333584 ,Left ,-5 ,-4 ,-4 ,-13 ,-5 ,-4 ,-1 ,-2
0.233371 ,Left ,+1 ,0  ,+4 ,+2 ,-17 ,-1 ,0  ,-1
0.2406516 ,Left ,0  ,-1 ,+7 ,-1 ,+17 ,0  ,-1 ,+1
0.2406587 ,Left ,+2 ,0  ,+1 ,+4 ,+2 ,+2 ,-2 ,0 
0.2555322 ,Left ,-1 ,0  ,-5 ,-11 ,-16 ,-2 ,-3 ,0 
0.2555347 ,Left ,-4 ,-8 ,-11 ,+18 ,+7 ,-3 ,-1 ,-2
0.2632161 ,Left ,0  ,+3 ,+3 ,+4 ,+9 ,0  ,+1 ,+1
0.263219 ,Left ,-1 ,+5 ,+11 ,0  ,+2 ,0  ,-2 ,+3
0.270755 ,Left ,0  ,-2 ,-5 ,+4 ,+18 ,+3 ,+2 ,-1
0.2707583 ,Left ,-3 ,-5 ,-14 ,-11 ,-11 ,-2 ,0  ,-2
0.2857336 ,Left ,0  ,+1 ,+8 ,+4 ,-6 ,-1 ,+1 ,0 
0.2857368 ,Left ,+2 ,+3 ,+4 ,-7 ,-8 ,0  ,-2 ,+2
0.2932821 ,Left ,-2 ,0  ,+3 ,+7 ,-6 ,-3 ,-3 ,-2
0.293286 ,Left ,-1 ,-3 ,-11 ,-9 ,+7 ,+2 ,0  ,-2
0.3082291 ,Left ,-1 ,-3 ,-3 ,-11 ,+13 ,-1 ,0  ,-1
0.3082334 ,Left ,-1 ,-2 ,-3 ,+18 ,-22 ,-6 ,-4 ,-4
0.3156346 ,Left ,-1 ,+1 ,-5 ,-11 ,+5 ,+2 ,-2 ,-1
0.315639 ,Left ,-3 ,-9 ,-6 ,-3 ,-21 ,-1 ,-1 ,-1
0.3307586 ,Left ,+2 ,0  ,0  ,+7 ,-5 ,-2 ,-1 ,0 
0.3307623 ,Left ,-1 ,-4 ,-2 ,+1 ,+7 ,-2 ,0  ,-2
0.3457626 ,Left ,-2 ,-3 ,-5 ,-4 ,-10 ,-3 ,-1 ,-2
0.3457668 ,Left ,-3 ,-3 ,-1 ,+3 ,+4 ,-3 ,-3 ,-2
0.3532876 ,Left ,-1 ,0  ,-1 ,+1 ,+1 ,-1 ,0  ,-2
0.3532928 ,Left ,-2 ,-1 ,+1 ,-8 ,-7 ,0  ,+1 ,-1
0.3683709 ,Left ,-1 ,0  ,-4 ,+2 ,+3 ,0  ,0  ,+2
0.3683787 ,Left ,-1 ,-4 ,-3 ,-23 ,-7 ,-1 ,0  ,-3
0.3758597 ,Left ,-1 ,+4 ,+5 ,+36 ,+28 ,+2 ,0  ,-2
0.3758652 ,Left ,-2 ,+2 ,+4 ,0  ,-29 ,+1 ,0  ,0 
0.3906534 ,Left ,-3 ,-5 ,+2 ,-17 ,-13 ,-2 ,0  ,-1
0.3906596 ,Left ,+4 ,+1 ,-4 ,+4 ,+20 ,-3 ,-1 ,-2
0.405897 ,Left ,-2 ,+2 ,-2 ,+7 ,-11 ,0  ,-2 ,-1
0.4059036 ,Left ,-7 ,-4 ,-12 ,-10 ,-4 ,-3 ,-2 ,-3
0.413236 ,Left ,+5 ,-1 ,+8 ,+2 ,+9 ,+1 ,-1 ,-1
0.4132422 ,Left ,-1 ,0  ,+5 ,+2 ,+1 ,-3 ,-2 ,-1
0.4283707 ,Left ,-5 ,-8 ,-8 ,-9 ,-25 ,-7 ,-4 ,-1
0.4283772 ,Left ,+2 ,+7 ,+9 ,+7 ,+14 ,0  ,0  ,+2
0.4358742 ,Left ,-3 ,-3 ,-4 ,-13 ,-13 ,-1 ,-1 ,-1
0.4358805 ,Left ,-3 ,+2 ,+1 ,+11 ,+5 ,+1 ,-2 ,0 
0.4507397 ,Left ,-2 ,-1 ,-4 ,-25 ,-5 ,0  ,+3 ,-1
0.4507459 ,Left ,-4 ,-1 ,-2 ,+7 ,+9 ,-3 ,-3 ,-1
0.465755 ,Left ,+7 ,-4 ,-5 ,+2 ,-1 ,0  ,-1 ,-1
