timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0115858 ,Right ,-6 ,+8 ,-7 ,-2 ,+2 ,+1 ,+5 ,-4
0.0116121 ,Right ,0  ,+31 ,+39 ,-1 ,-5 ,-5 ,-18 ,+3
0.0266568 ,Right ,+1 ,+10 ,-5 ,+6 ,+1 ,+1 ,-1 ,-1
0.0266856 ,Right ,-1 ,-30 ,-27 ,-8 ,-1 ,0  ,0  ,0 
0.034169 ,Right ,-2 ,-11 ,+31 ,+5 ,0  ,-2 ,-3 ,0 
0.0341718 ,Right ,+1 ,-9 ,+3 ,+3 ,0  ,-2 ,0  ,-1
0.0492388 ,Right ,-1 ,-4 ,-13 ,-11 ,-9 ,-3 ,+12 ,+1
0.0492415 ,Right ,-2 ,+3 ,-2 ,+3 ,+3 ,+1 ,-7 ,-3
0.0566442 ,Right ,-2 ,0  ,-3 ,+1 ,+1 ,-1 ,+2 ,+1
0.0566468 ,Right ,+1 ,-7 ,+13 ,-2 ,-3 ,-1 ,+1 ,-3
0.0722514 ,Right ,-2 ,+5 ,+15 ,-2 ,-3 ,-3 ,+14 ,0 
0.0723716 ,Right ,+2 ,-11 ,-54 ,-2 ,+4 ,0  ,-4 ,+1
0.0874516 ,Right ,+2 ,+5 ,+22 ,-6 ,-8 ,-7 ,-5 ,-1
0.0874643 ,Right ,-4 ,+3 ,+6 ,-11 ,-3 ,+2 ,-2 ,0 
0.0948045 ,Right ,+1 ,-12 ,-13 ,+8 ,+5 ,0  ,-1 ,+2
0.0948316 ,Right ,-3 ,-4 ,-5 ,-3 ,-5 ,-4 ,-2 ,-3
0.1100495 ,Right ,+2 ,-2 ,-26 ,+13 ,+13 ,+4 ,0  ,+2
0.1100627 ,Right ,-2 ,-9 ,0  ,-3 ,-3 ,-5 ,-4 ,-5
0.1172779 ,Right ,-2 ,+5 ,-2 ,-6 ,-5 ,-2 ,0  ,0 
0.1172903 ,Right ,-1 ,-4 ,-4 ,-7 ,-7 ,-2 ,-3 ,-1
0.1321973 ,Right ,-2 ,+4 ,-3 ,-3 ,+2 ,-2 ,-2 ,-1
0.1322098 ,Right ,+1 ,0  ,0  ,+3 ,+1 ,+7 ,-1 ,+2
