timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0208463 ,Left ,-3 ,-4 ,-10 ,-5 ,-7 ,-3 ,-1 ,-2
0.0208522 ,Left ,-3 ,-4 ,-10 ,-5 ,-7 ,-3 ,-1 ,-2
0.0208595 ,Left ,-3 ,-4 ,-10 ,-5 ,-7 ,-3 ,-1 ,-2
0.0208908 ,Left ,-2 ,-5 ,-8 ,-12 ,-6 ,-1 ,-2 ,-3
0.0208938 ,Left ,-2 ,-5 ,-8 ,-12 ,-6 ,-1 ,-2 ,-3
0.0208965 ,Left ,-2 ,-5 ,-8 ,-12 ,-6 ,-1 ,-2 ,-3
0.0297927 ,Left ,+1 ,+2 ,+2 ,+6 ,+3 ,-1 ,-2 ,0 
0.0297948 ,Left ,+1 ,+2 ,+2 ,+6 ,+3 ,-1 ,-2 ,0 
0.0297963 ,Left ,+1 ,+2 ,+2 ,+6 ,+3 ,-1 ,-2 ,0 
0.0297987 ,Left ,+2 ,+1 ,-2 ,+2 ,+9 ,-2 ,-3 ,0 
0.0298002 ,Left ,+2 ,+1 ,-2 ,+2 ,+9 ,-2 ,-3 ,0 
0.0298017 ,Left ,+2 ,+1 ,-2 ,+2 ,+9 ,-2 ,-3 ,0 
0.0450325 ,Left ,-2 ,-2 ,+6 ,-4 ,-17 ,0  ,-3 ,-3
0.0450349 ,Left ,-2 ,-2 ,+6 ,-4 ,-17 ,0  ,-3 ,-3
0.0450364 ,Left ,-2 ,-2 ,+6 ,-4 ,-17 ,0  ,-3 ,-3
0.0450389 ,Left ,-1 ,-3 ,-2 ,-3 ,-1 ,+1 ,-3 ,-2
0.0450404 ,Left ,-1 ,-3 ,-2 ,-3 ,-1 ,+1 ,-3 ,-2
0.0450419 ,Left ,-1 ,-3 ,-2 ,-3 ,-1 ,+1 ,-3 ,-2
0.046445 ,Left ,-2 ,-4 ,-11 ,-10 ,-4 ,-2 ,+1 ,-3
0.0464469 ,Left ,-2 ,-4 ,-11 ,-10 ,-4 ,-2 ,+1 ,-3
0.0464484 ,Left ,-2 ,-4 ,-11 ,-10 ,-4 ,-2 ,+1 ,-3
0.0464508 ,Left ,-1 ,-4 ,0  ,+12 ,+4 ,+3 ,+1 ,-1
0.0464523 ,Left ,-1 ,-4 ,0  ,+12 ,+4 ,+3 ,+1 ,-1
0.0464538 ,Left ,-1 ,-4 ,0  ,+12 ,+4 ,+3 ,+1 ,-1
0.0675238 ,Left ,+2 ,+5 ,+6 ,+1 ,+9 ,+1 ,+1 ,0 
0.0675262 ,Left ,+2 ,+5 ,+6 ,+1 ,+9 ,+1 ,+1 ,0 
0.0675277 ,Left ,+2 ,+5 ,+6 ,+1 ,+9 ,+1 ,+1 ,0 
0.0675303 ,Left ,0  ,-2 ,-2 ,-2 ,-5 ,-6 ,0  ,0 
0.0675319 ,Left ,0  ,-2 ,-2 ,-2 ,-5 ,-6 ,0  ,0 
0.0675335 ,Left ,0  ,-2 ,-2 ,-2 ,-5 ,-6 ,0  ,0 
0.068934 ,Left ,-1 ,-3 ,-1 ,-3 ,+4 ,-1 ,0  ,-1
0.068936 ,Left ,-1 ,-3 ,-1 ,-3 ,+4 ,-1 ,0  ,-1
0.0689376 ,Left ,-1 ,-3 ,-1 ,-3 ,+4 ,-1 ,0  ,-1
0.0689399 ,Left ,0  ,-1 ,-4 ,-6 ,-7 ,-3 ,-2 ,-2
0.0689414 ,Left ,0  ,-1 ,-4 ,-6 ,-7 ,-3 ,-2 ,-2
0.068943 ,Left ,0  ,-1 ,-4 ,-6 ,-7 ,-3 ,-2 ,-2
0.0812357 ,Left ,+1 ,+1 ,0  ,0  ,-2 ,-2 ,-1 ,-1
0.0812382 ,Left ,+1 ,+1 ,0  ,0  ,-2 ,-2 ,-1 ,-1
0.0812399 ,Left ,+1 ,+1 ,0  ,0  ,-2 ,-2 ,-1 ,-1
0.0812423 ,Left ,-3 ,-2 ,-7 ,-3 ,-1 ,0  ,-3 ,-1
0.081244 ,Left ,-3 ,-2 ,-7 ,-3 ,-1 ,0  ,-3 ,-1
0.0812456 ,Left ,-3 ,-2 ,-7 ,-3 ,-1 ,0  ,-3 ,-1
0.0901651 ,Left ,0  ,-1 ,+2 ,+1 ,+1 ,-1 ,-1 ,0 
0.0901676 ,Left ,0  ,-1 ,+2 ,+1 ,+1 ,-1 ,-1 ,0 
0.0901693 ,Left ,0  ,-1 ,+2 ,+1 ,+1 ,-1 ,-1 ,0 
0.0901718 ,Left ,-2 ,-5 ,-4 ,0  ,+8 ,+1 ,-1 ,0 
0.0901734 ,Left ,-2 ,-5 ,-4 ,0  ,+8 ,+1 ,-1 ,0 
0.0901751 ,Left ,-2 ,-5 ,-4 ,0  ,+8 ,+1 ,-1 ,0 
0.1048976 ,Left ,0  ,0  ,-4 ,-6 ,-19 ,-3 ,-1 ,0 
0.1049008 ,Left ,0  ,0  ,-4 ,-6 ,-19 ,-3 ,-1 ,0 
0.1049031 ,Left ,0  ,0  ,-4 ,-6 ,-19 ,-3 ,-1 ,0 
0.1049066 ,Left ,-1 ,-2 ,-2 ,-1 ,+1 ,-2 ,-1 ,-1
0.1049088 ,Left ,-1 ,-2 ,-2 ,-1 ,+1 ,-2 ,-1 ,-1
0.104911 ,Left ,-1 ,-2 ,-2 ,-1 ,+1 ,-2 ,-1 ,-1
0.1066528 ,Left ,-1 ,-1 ,0  ,+1 ,-13 ,-2 ,-2 ,-2
0.106656 ,Left ,-1 ,-1 ,0  ,+1 ,-13 ,-2 ,-2 ,-2
0.1066582 ,Left ,-1 ,-1 ,0  ,+1 ,-13 ,-2 ,-2 ,-2
0.1066614 ,Left ,-1 ,-1 ,-2 ,-4 ,-11 ,-1 ,-2 ,-3
0.1066636 ,Left ,-1 ,-1 ,-2 ,-4 ,-11 ,-1 ,-2 ,-3
0.1066658 ,Left ,-1 ,-1 ,-2 ,-4 ,-11 ,-1 ,-2 ,-3
0.1276577 ,Left ,-1 ,-2 ,-3 ,+1 ,+3 ,-2 ,-2 ,-2
0.1276621 ,Left ,-1 ,-2 ,-3 ,+1 ,+3 ,-2 ,-2 ,-2
0.1276652 ,Left ,-1 ,-2 ,-3 ,+1 ,+3 ,-2 ,-2 ,-2
0.1276701 ,Left ,-1 ,-4 ,0  ,-6 ,+3 ,-2 ,+1 ,0 
0.1276733 ,Left ,-1 ,-4 ,0  ,-6 ,+3 ,-2 ,+1 ,0 
0.1276764 ,Left ,-1 ,-4 ,0  ,-6 ,+3 ,-2 ,+1 ,0 
0.1291815 ,Left ,-1 ,-3 ,-5 ,+4 ,-1 ,-2 ,-2 ,-1
0.1291899 ,Left ,-1 ,-3 ,-5 ,+4 ,-1 ,-2 ,-2 ,-1
0.1291981 ,Left ,-1 ,-3 ,-5 ,+4 ,-1 ,-2 ,-2 ,-1
0.1292131 ,Left ,0  ,+5 ,+9 ,+1 ,+1 ,0  ,0  ,0 
0.1292197 ,Left ,0  ,+5 ,+9 ,+1 ,+1 ,0  ,0  ,0 
0.1292235 ,Left ,0  ,+5 ,+9 ,+1 ,+1 ,0  ,0  ,0 
0.1413675 ,Left ,-1 ,0  ,-4 ,-3 ,-2 ,-3 ,-2 ,-2
0.1413729 ,Left ,-1 ,0  ,-4 ,-3 ,-2 ,-3 ,-2 ,-2
0.1413767 ,Left ,-1 ,0  ,-4 ,-3 ,-2 ,-3 ,-2 ,-2
0.1413825 ,Left ,-1 ,-5 ,-6 ,-10 ,-7 ,0  ,-2 ,-2
0.1413863 ,Left ,-1 ,-5 ,-6 ,-10 ,-7 ,0  ,-2 ,-2
0.14139 ,Left ,-1 ,-5 ,-6 ,-10 ,-7 ,0  ,-2 ,-2
0.1501642 ,Left ,0  ,+3 ,+10 ,+1 ,+12 ,+1 ,0  ,+1
0.1501691 ,Left ,0  ,+3 ,+10 ,+1 ,+12 ,+1 ,0  ,+1
0.1501729 ,Left ,0  ,+3 ,+10 ,+1 ,+12 ,+1 ,0  ,+1
0.1501783 ,Left ,-1 ,-1 ,-2 ,-3 ,-2 ,-2 ,-1 ,0 
0.1501821 ,Left ,-1 ,-1 ,-2 ,-3 ,-2 ,-2 ,-1 ,0 
0.1501858 ,Left ,-1 ,-1 ,-2 ,-3 ,-2 ,-2 ,-1 ,0 
0.1652834 ,Left ,-2 ,0  ,+2 ,+12 ,+9 ,-1 ,0  ,+1
0.1652885 ,Left ,-2 ,0  ,+2 ,+12 ,+9 ,-1 ,0  ,+1
0.1652923 ,Left ,-2 ,0  ,+2 ,+12 ,+9 ,-1 ,0  ,+1
0.1652979 ,Left ,0  ,+1 ,-1 ,-3 ,-5 ,-3 ,-2 ,-2
0.1653018 ,Left ,0  ,+1 ,-1 ,-3 ,-5 ,-3 ,-2 ,-2
0.1653056 ,Left ,0  ,+1 ,-1 ,-3 ,-5 ,-3 ,-2 ,-2
0.1666051 ,Left ,0  ,0  ,-7 ,-7 ,-10 ,-2 ,-2 ,-3
0.1666097 ,Left ,0  ,0  ,-7 ,-7 ,-10 ,-2 ,-2 ,-3
0.1666134 ,Left ,0  ,0  ,-7 ,-7 ,-10 ,-2 ,-2 ,-3
0.1666191 ,Left ,-1 ,-1 ,+3 ,-5 ,-6 ,+1 ,0  ,-1
0.1666229 ,Left ,-1 ,-1 ,+3 ,-5 ,-6 ,+1 ,0  ,-1
0.1666266 ,Left ,-1 ,-1 ,+3 ,-5 ,-6 ,+1 ,0  ,-1
0.1875529 ,Left ,-1 ,-2 ,-5 ,+1 ,+9 ,0  ,-1 ,-2
0.1875578 ,Left ,-1 ,-2 ,-5 ,+1 ,+9 ,0  ,-1 ,-2
0.1875616 ,Left ,-1 ,-2 ,-5 ,+1 ,+9 ,0  ,-1 ,-2
0.1875671 ,Left ,+1 ,-1 ,+2 ,+1 ,-2 ,-3 ,0  ,0 
0.1875709 ,Left ,+1 ,-1 ,+2 ,+1 ,-2 ,-3 ,0  ,0 
0.1875746 ,Left ,+1 ,-1 ,+2 ,+1 ,-2 ,-3 ,0  ,0 
0.1890533 ,Left ,-1 ,-2 ,-3 ,0  ,0  ,0  ,-1 ,-4
0.1890578 ,Left ,-1 ,-2 ,-3 ,0  ,0  ,0  ,-1 ,-4
0.1890616 ,Left ,-1 ,-2 ,-3 ,0  ,0  ,0  ,-1 ,-4
0.1890672 ,Left ,0  ,-3 ,-9 ,0  ,+3 ,0  ,+1 ,+1
0.1890709 ,Left ,0  ,-3 ,-9 ,0  ,+3 ,0  ,+1 ,+1
0.1890746 ,Left ,0  ,-3 ,-9 ,0  ,+3 ,0  ,+1 ,+1
0.2016078 ,Left ,-2 ,0  ,+5 ,0  ,-9 ,+4 ,0  ,+1
0.2016119 ,Left ,-2 ,0  ,+5 ,0  ,-9 ,+4 ,0  ,+1
0.201615 ,Left ,-2 ,0  ,+5 ,0  ,-9 ,+4 ,0  ,+1
0.2016194 ,Left ,0  ,0  ,+6 ,+7 ,-2 ,-3 ,0  ,0 
0.2016225 ,Left ,0  ,0  ,+6 ,+7 ,-2 ,-3 ,0  ,0 
0.2016254 ,Left ,0  ,0  ,+6 ,+7 ,-2 ,-3 ,0  ,0 
0.210205 ,Left ,-1 ,-2 ,-6 ,-8 ,-3 ,-1 ,0  ,-2
0.2102086 ,Left ,-1 ,-2 ,-6 ,-8 ,-3 ,-1 ,0  ,-2
0.2102111 ,Left ,-1 ,-2 ,-6 ,-8 ,-3 ,-1 ,0  ,-2
0.2102149 ,Left ,0  ,-1 ,-4 ,-8 ,+1 ,-1 ,-2 ,-2
0.2102175 ,Left ,0  ,-1 ,-4 ,-8 ,+1 ,-1 ,-2 ,-2
0.2102201 ,Left ,0  ,-1 ,-4 ,-8 ,+1 ,-1 ,-2 ,-2
0.2249965 ,Left ,-1 ,-3 ,-4 ,-1 ,+1 ,0  ,-3 ,-2
0.225 ,Left ,-1 ,-3 ,-4 ,-1 ,+1 ,0  ,-3 ,-2
0.2250026 ,Left ,-1 ,-3 ,-4 ,-1 ,+1 ,0  ,-3 ,-2
0.2250064 ,Left ,-5 ,-5 ,-7 ,-2 ,+3 ,+2 ,-2 ,-2
0.2250091 ,Left ,-5 ,-5 ,-7 ,-2 ,+3 ,+2 ,-2 ,-2
0.2250116 ,Left ,-5 ,-5 ,-7 ,-2 ,+3 ,+2 ,-2 ,-2
0.2266903 ,Left ,0  ,0  ,-10 ,+1 ,+3 ,+1 ,0  ,+1
0.2266939 ,Left ,0  ,0  ,-10 ,+1 ,+3 ,+1 ,0  ,+1
0.2266965 ,Left ,0  ,0  ,-10 ,+1 ,+3 ,+1 ,0  ,+1
0.2267003 ,Left ,-1 ,+4 ,+13 ,-7 ,-12 ,-2 ,-2 ,0 
0.2267029 ,Left ,-1 ,+4 ,+13 ,-7 ,-12 ,-2 ,-2 ,0 
0.2267054 ,Left ,-1 ,+4 ,+13 ,-7 ,-12 ,-2 ,-2 ,0 
0.2476459 ,Left ,-2 ,-5 ,0  ,+12 ,+10 ,-3 ,-1 ,-3
0.2476495 ,Left ,-2 ,-5 ,0  ,+12 ,+10 ,-3 ,-1 ,-3
0.247652 ,Left ,-2 ,-5 ,0  ,+12 ,+10 ,-3 ,-1 ,-3
0.2476559 ,Left ,+1 ,+1 ,+2 ,-7 ,-18 ,-4 ,-1 ,0 
0.2476585 ,Left ,+1 ,+1 ,+2 ,-7 ,-18 ,-4 ,-1 ,0 
0.2476611 ,Left ,+1 ,+1 ,+2 ,-7 ,-18 ,-4 ,-1 ,0 
0.2489829 ,Left ,0  ,-3 ,-3 ,+5 ,-2 ,-3 ,-2 ,-1
0.248986 ,Left ,0  ,-3 ,-3 ,+5 ,-2 ,-3 ,-2 ,-1
0.2489886 ,Left ,0  ,-3 ,-3 ,+5 ,-2 ,-3 ,-2 ,-1
0.2489924 ,Left ,-2 ,0  ,+1 ,+5 ,+2 ,+1 ,-2 ,-2
0.248995 ,Left ,-2 ,0  ,+1 ,+5 ,+2 ,+1 ,-2 ,-2
0.2490001 ,Left ,-2 ,0  ,+1 ,+5 ,+2 ,+1 ,-2 ,-2
0.2609966 ,Left ,-1 ,-1 ,-8 ,-5 ,+4 ,0  ,0  ,-1
