timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0192416 ,Left ,0  ,0  ,-4 ,0  ,-13 ,0  ,+2 ,+1
0.0192715 ,Left ,-5 ,-2 ,0  ,-2 ,+3 ,0  ,+7 ,-1
0.0264803 ,Left ,-4 ,-3 ,0  ,-15 ,-9 ,-3 ,-28 ,-2
0.0265061 ,Left ,-3 ,-6 ,-9 ,-30 ,0  ,+2 ,0  ,-2
0.0344419 ,Left ,0  ,+1 ,+6 ,+51 ,+1 ,-3 ,-3 ,-3
0.0344449 ,Left ,+1 ,-4 ,-6 ,-79 ,-1 ,+11 ,-1 ,-1
0.0419385 ,Left ,0  ,0  ,+2 ,+16 ,+13 ,-2 ,+7 ,+1
0.0419416 ,Left ,+2 ,+8 ,+10 ,-4 ,-8 ,-3 ,-1 ,+4
0.056902 ,Left ,0  ,-5 ,-14 ,-29 ,-1 ,-2 ,+2 ,-2
0.0569054 ,Left ,+2 ,+1 ,-3 ,+19 ,+1 ,-1 ,-2 ,-1
0.0640473 ,Left ,+1 ,0  ,+3 ,+6 ,+9 ,+6 ,+4 ,0 
0.0640687 ,Left ,-2 ,-2 ,0  ,-7 ,-6 ,+1 ,-2 ,-1
0.0792532 ,Left ,-1 ,0  ,-7 ,-17 ,-5 ,-3 ,+4 ,0 
0.0792563 ,Left ,-6 ,-9 ,-9 ,-29 ,-4 ,0  ,-7 ,-2
0.0868625 ,Left ,+1 ,-1 ,-3 ,+20 ,+14 ,+1 ,+2 ,-1
0.0868655 ,Left ,+1 ,+2 ,+3 ,+9 ,-5 ,-2 ,+1 ,+1
0.0942574 ,Left ,-3 ,+2 ,+4 ,-7 ,+10 ,-3 ,-3 ,0 
0.0942603 ,Left ,+1 ,+2 ,+3 ,+9 ,-19 ,-3 ,0  ,+2
0.1016409 ,Left ,-2 ,-6 ,-8 ,-35 ,-4 ,-1 ,-1 ,-3
0.1016435 ,Left ,-2 ,+1 ,+1 ,+17 ,+3 ,-2 ,0  ,-1
0.1167209 ,Left ,-5 ,-6 ,-11 ,-31 ,+1 ,+6 ,-2 ,-4
0.1167238 ,Left ,-2 ,-2 ,-3 ,+10 ,-2 ,-2 ,-2 ,-2
0.1242701 ,Left ,+3 ,+5 ,+8 ,0  ,+8 ,+3 ,+5 ,0 
0.1242732 ,Left ,0  ,0  ,-2 ,-9 ,-13 ,-3 ,-1 ,-1
0.139519 ,Left ,-5 ,-3 ,0  ,+18 ,-1 ,-4 ,-3 ,-2
0.1395235 ,Left ,+4 ,+5 ,+8 ,+8 ,+2 ,-1 ,-1 ,0 
0.1469226 ,Left ,+2 ,+1 ,-6 ,-29 ,-4 ,-4 ,+4 ,+1
0.1469283 ,Left ,-2 ,-3 ,-9 ,-39 ,+7 ,+1 ,0  ,-4
0.1546338 ,Left ,0  ,-2 ,+7 ,+49 ,-16 ,-1 ,0  ,+1
0.1546415 ,Left ,-1 ,-4 ,-1 ,-28 ,+6 ,-6 ,-4 ,-2
0.161849 ,Left ,-2 ,-2 ,-1 ,+9 ,+3 ,+1 ,+1 ,-2
0.1619774 ,Left ,-2 ,-6 ,-9 ,-65 ,-26 ,-19 ,0  ,-2
0.1770722 ,Left ,0  ,-1 ,-3 ,-12 ,+2 ,0  ,+3 ,-2
0.17708 ,Left ,-2 ,-2 ,-3 ,+36 ,+23 ,+5 ,-1 ,+1
0.1847006 ,Left ,-2 ,-1 ,+3 ,+58 ,-11 ,-1 ,+4 ,-1
0.1847078 ,Left ,-5 ,-8 ,-12 ,-55 ,+5 ,+2 ,-3 ,-1
0.1994592 ,Left ,+6 ,+8 ,+5 ,-2 ,0  ,-1 ,0  ,0 
0.1994622 ,Left ,-1 ,-2 ,-5 ,-38 ,-15 ,+2 ,0  ,-1
0.2067058 ,Left ,-3 ,+2 ,+4 ,+21 ,+23 ,-9 ,-4 ,0 
0.2067084 ,Left ,+1 ,0  ,+8 ,+88 ,-10 ,+4 ,-1 ,0 
0.2145171 ,Left ,-3 ,-9 ,-18 ,-64 ,+5 ,+4 ,-4 ,-3
0.2145205 ,Left ,-1 ,+6 ,+12 ,+65 ,-4 ,+15 ,+4 ,+1
0.2218806 ,Left ,+1 ,-3 ,-14 ,-49 ,-17 ,-3 ,-4 ,+1
0.2218837 ,Left ,-5 ,+2 ,+10 ,-1 ,-1 ,-23 ,-5 ,-3
0.2368557 ,Left ,0  ,-4 ,-5 ,+15 ,-7 ,+1 ,0  ,0 
0.2368599 ,Left ,-2 ,-3 ,-1 ,-22 ,+18 ,-14 ,0  ,-1
0.2442002 ,Left ,0  ,-5 ,-4 ,-25 ,-13 ,-5 ,+5 ,-2
0.2442027 ,Left ,-1 ,+1 ,+1 ,+8 ,+4 ,+3 ,-25 ,-3
0.2592547 ,Left ,+6 ,+11 ,+12 ,+18 ,+4 ,0  ,0  ,0 
0.2592577 ,Left ,-3 ,-3 ,-13 ,-26 ,-13 ,-3 ,0  ,-2
0.274506 ,Left ,-2 ,-1 ,+9 ,+50 ,+18 ,+1 ,-4 ,-3
0.2745105 ,Left ,-3 ,-7 ,-21 ,-77 ,+11 ,+2 ,+2 ,-2
0.2818764 ,Left ,-1 ,-4 ,-1 ,+34 ,+2 ,-2 ,-2 ,-2
0.2818814 ,Left ,0  ,-4 ,-3 ,-71 ,-32 ,-4 ,-4 ,-4
0.2895647 ,Left ,-1 ,-3 ,-4 ,-66 ,-3 ,-6 ,0  ,0 
0.2895702 ,Left ,-1 ,-3 ,+2 ,+45 ,+6 ,+20 ,+6 ,-2
0.3045387 ,Left ,-1 ,+3 ,+7 ,-7 ,+13 ,-4 ,-1 ,-1
0.3045462 ,Left ,-3 ,-4 ,-2 ,+41 ,+17 ,+7 ,+1 ,0 
0.3119008 ,Left ,+3 ,+3 ,+3 ,-2 ,-47 ,-22 ,-3 ,-1
0.3119067 ,Left ,-2 ,-1 ,-6 ,-14 ,-24 ,-6 ,0  ,-1
0.3276145 ,Left ,-5 ,-7 ,-11 ,-76 ,-8 ,-1 ,+3 ,+2
0.3277334 ,Left ,+6 ,+13 ,+11 ,+48 ,+20 ,+3 ,-25 ,-1
0.3346423 ,Left ,-5 ,-3 ,-4 ,+22 ,+10 ,-1 ,-5 ,-2
0.3346484 ,Left ,-2 ,-8 ,-11 ,-48 ,-24 ,-2 ,+9 ,-3
0.3419435 ,Left ,-3 ,-2 ,-1 ,-1 ,-9 ,+6 ,-1 ,-2
0.3419493 ,Left ,+2 ,+3 ,+4 ,-8 ,-1 ,-17 ,+2 ,-1
0.3569102 ,Left ,-8 ,-11 ,-3 ,+15 ,+4 ,+2 ,0  ,-3
0.3569133 ,Left ,+5 ,0  ,-2 ,-15 ,+5 ,-3 ,0  ,+2
0.364275 ,Left ,-5 ,-2 ,+4 ,+27 ,0  ,+4 ,-2 ,+2
0.3642777 ,Left ,+1 ,+6 ,0  ,+9 ,-3 ,+2 ,+3 ,0 
0.3793689 ,Left ,+6 ,+4 ,+13 ,+19 ,-1 ,0  ,-2 ,-1
0.379372 ,Left ,-1 ,0  ,-1 ,+40 ,+20 ,+2 ,+4 ,-1
0.3868837 ,Left ,+1 ,0  ,-1 ,+11 ,-24 ,+1 ,-3 ,-1
0.3868871 ,Left ,-1 ,-5 ,-10 ,-47 ,-12 ,+2 ,-1 ,-1
0.3942631 ,Left ,-3 ,0  ,+3 ,+31 ,+10 ,-3 ,-3 ,-2
0.3942669 ,Left ,-5 ,-1 ,-4 ,-28 ,+1 ,0  ,+2 ,0 
0.401528 ,Left ,-3 ,-3 ,-9 ,-3 ,+63 ,+2 ,0  ,0 
0.4015988 ,Left ,-3 ,-4 ,-6 ,-33 ,-26 ,-4 ,-2 ,-2
0.4166911 ,Left ,+2 ,+1 ,+5 ,-6 ,-24 ,-7 ,-2 ,+1
0.4166945 ,Left ,-2 ,-3 ,-4 ,+1 ,-10 ,-6 ,+13 ,-1
