timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0210476 ,Left ,0  ,-2 ,0  ,+6 ,+2 ,0  ,-3 ,-1
0.0210507 ,Left ,-2 ,+1 ,-1 ,-4 ,+45 ,-3 ,+1 ,0 
0.0284832 ,Left ,-2 ,-2 ,-4 ,+8 ,+33 ,-9 ,-7 ,-4
0.0284862 ,Left ,-3 ,-1 ,0  ,-12 ,-22 ,+3 ,+2 ,-1
0.043441 ,Left ,+4 ,+3 ,+6 ,+3 ,+6 ,-2 ,-1 ,+1
0.0434437 ,Left ,+1 ,-4 ,-4 ,-6 ,+7 ,+4 ,-2 ,-3
0.0584392 ,Left ,-1 ,-2 ,-2 ,-11 ,-30 ,-2 ,-1 ,-1
0.0584421 ,Left ,-4 ,-4 ,-4 ,-3 ,+21 ,-3 ,-6 ,-3
0.073588 ,Left ,-4 ,-1 ,+3 ,+8 ,+21 ,+4 ,+1 ,-1
0.0735918 ,Left ,+1 ,-6 ,-7 ,+1 ,-30 ,-9 ,-7 ,-3
0.0810519 ,Left ,-2 ,-1 ,0  ,-9 ,-36 ,+5 ,+1 ,-1
0.081055 ,Left ,0  ,+1 ,+2 ,0  ,-18 ,-3 ,-1 ,+1
0.0960354 ,Left ,-3 ,-4 ,-4 ,-19 ,+14 ,+3 ,-2 ,-3
0.0960385 ,Left ,+2 ,+2 ,-2 ,+7 ,+4 ,-2 ,+1 ,-1
0.1036815 ,Left ,-3 ,-1 ,-1 ,-1 ,+6 ,+1 ,-1 ,0 
0.1036856 ,Left ,+1 ,-4 ,-2 ,+12 ,+21 ,-1 ,+3 ,0 
0.1185737 ,Left ,-1 ,0  ,0  ,-11 ,-5 ,+2 ,-7 ,0 
0.1185777 ,Left ,+1 ,+2 ,+4 ,+4 ,-10 ,+8 ,0  ,+1
0.133521 ,Left ,+3 ,+2 ,+3 ,-4 ,-45 ,+4 ,+4 ,+2
0.1335253 ,Left ,+1 ,-2 ,-4 ,+22 ,+72 ,+2 ,0  ,-1
0.1410072 ,Left ,+1 ,0  ,-3 ,+2 ,-6 ,-14 ,-4 ,-3
0.1410103 ,Left ,-5 ,-4 ,-4 ,-15 ,-64 ,-12 ,-6 ,-2
0.156162 ,Left ,-1 ,+1 ,+3 ,0  ,-3 ,+6 ,+1 ,-2
0.1561664 ,Left ,-3 ,+2 ,+2 ,+2 ,-32 ,-6 ,0  ,-1
0.1635852 ,Left ,-1 ,0  ,-2 ,-5 ,-7 ,-2 ,-3 ,0 
0.163589 ,Left ,0  ,-6 ,-2 ,-1 ,-26 ,+2 ,0  ,-1
0.1785644 ,Left ,0  ,-1 ,-3 ,-4 ,+8 ,-11 ,-4 ,-3
0.1785687 ,Left ,-2 ,-4 ,-4 ,-26 ,0  ,-8 ,-3 ,-3
0.193589 ,Left ,-1 ,-1 ,-1 ,+6 ,+12 ,+4 ,+2 ,0 
0.1935938 ,Left ,0  ,-2 ,+3 ,+11 ,-28 ,0  ,-2 ,0 
0.2011279 ,Left ,0  ,-3 ,-6 ,-13 ,+62 ,+4 ,-3 ,-2
0.2011352 ,Left ,-2 ,-2 ,-2 ,-10 ,-8 ,-2 ,-2 ,+2
0.2164251 ,Left ,0  ,+3 ,+2 ,+2 ,+1 ,+8 ,+2 ,0 
0.2164334 ,Left ,0  ,0  ,0  ,-9 ,-13 ,-3 ,0  ,-1
0.2238507 ,Left ,-3 ,-2 ,-1 ,+20 ,-6 ,-3 ,0  ,-1
0.2238821 ,Left ,0  ,+1 ,+1 ,+2 ,+26 ,-4 ,-8 ,-5
0.2386929 ,Left ,+1 ,+1 ,0  ,+3 ,+14 ,+1 ,-1 ,-1
0.2388077 ,Left ,-1 ,-4 ,-3 ,-9 ,+5 ,+1 ,0  ,-1
0.2538282 ,Left ,+1 ,0  ,0  ,+9 ,-22 ,-15 ,-1 ,0 
0.2538342 ,Left ,0  ,+1 ,+1 ,-15 ,+35 ,-1 ,-7 ,+1
0.2611891 ,Left ,-2 ,-6 ,-6 ,-6 ,+23 ,+1 ,0  ,-2
0.2611932 ,Left ,-1 ,0  ,-1 ,-6 ,+9 ,-1 ,0  ,-2
0.276098 ,Left ,-4 ,-4 ,-1 ,+19 ,+15 ,0  ,-1 ,-2
0.2761022 ,Left ,+4 ,+4 ,+2 ,+5 ,-4 ,0  ,+3 ,+1
0.2838202 ,Left ,0  ,-3 ,0  ,-14 ,+3 ,+6 ,0  ,-1
0.2838243 ,Left ,-1 ,-1 ,-7 ,+11 ,+58 ,-11 ,-3 ,-1
0.2984959 ,Left ,-2 ,0  ,-2 ,+8 ,-32 ,-3 ,-2 ,-3
0.2984987 ,Left ,-4 ,-2 ,-1 ,-19 ,-25 ,-6 ,-2 ,-3
0.3134162 ,Left ,-3 ,-4 ,-3 ,-9 ,-1 ,-1 ,-2 ,0 
0.3135003 ,Left ,-1 ,-3 ,-1 ,+6 ,-8 ,-5 ,0  ,0 
0.32115 ,Left ,0  ,+4 ,+2 ,-6 ,-15 ,-5 ,-3 ,-1
0.3211531 ,Left ,+2 ,+1 ,+2 ,+3 ,+23 ,+6 ,+3 ,+3
0.3360524 ,Left ,-1 ,-3 ,-4 ,+3 ,-6 ,-1 ,-2 ,-1
0.3360555 ,Left ,-3 ,-1 ,-6 ,-33 ,-23 ,-4 ,-5 ,-3
0.3435374 ,Left ,-3 ,-3 ,+1 ,+9 ,0  ,0  ,-1 ,+1
0.3435411 ,Left ,0  ,+1 ,-1 ,-20 ,-43 ,-9 ,0  ,-1
0.3585344 ,Left ,-1 ,-1 ,-1 ,+13 ,+12 ,+6 ,-1 ,-3
0.3585382 ,Left ,-3 ,-2 ,-4 ,-4 ,+1 ,0  ,+2 ,-1
0.3737064 ,Left ,-3 ,-2 ,-1 ,-3 ,+32 ,+3 ,+1 ,+1
0.3737121 ,Left ,+1 ,-1 ,-1 ,+26 ,-2 ,-3 ,-2 ,0 
0.3811976 ,Left ,-2 ,+1 ,-4 ,-13 ,-11 ,-3 ,-1 ,-2
0.3812029 ,Left ,-2 ,-2 ,+2 ,+8 ,+2 ,+3 ,+1 ,-2
0.3960989 ,Left ,+1 ,0  ,+5 ,-19 ,-20 ,0  ,-1 ,-2
0.3961038 ,Left ,-2 ,-1 ,+2 ,+25 ,+58 ,+11 ,+1 ,-1
0.4038524 ,Left ,-3 ,-4 ,-5 ,-12 ,-46 ,-8 ,-2 ,-2
0.403858 ,Left ,0  ,-2 ,-6 ,-10 ,-4 ,+11 ,-2 ,-1
0.4186266 ,Left ,0  ,+2 ,-2 ,-1 ,+3 ,-5 ,-1 ,-3
0.4186314 ,Left ,-1 ,-3 ,+1 ,-2 ,-38 ,-13 ,-2 ,-2
0.4337254 ,Left ,-1 ,0  ,0  ,-21 ,-26 ,-6 ,-1 ,-1
0.4337317 ,Left ,-2 ,+2 ,+2 ,+14 ,+5 ,+1 ,-2 ,-1
0.4412911 ,Left ,-1 ,-2 ,-4 ,-18 ,+21 ,-2 ,-1 ,+1
0.4412974 ,Left ,-1 ,-1 ,+1 ,+9 ,-17 ,-1 ,+4 ,+1
0.4561877 ,Left ,-1 ,-3 ,-3 ,-9 ,-6 ,+4 ,+1 ,0 
0.4561967 ,Left ,0  ,-1 ,0  ,+23 ,+43 ,-15 ,-2 ,-2
0.4634518 ,Left ,0  ,+2 ,+4 ,-8 ,-53 ,-7 ,-2 ,0 
0.4634551 ,Left ,0  ,-2 ,+1 ,+12 ,+53 ,+5 ,+4 ,+2
0.4717718 ,Left ,+2 ,-2 ,-7 ,-9 ,-28 ,-7 ,-4 ,-1
0.4717887 ,Left ,-7 ,-5 ,-1 ,-8 ,+3 ,+9 ,+1 ,-3
0.4795687 ,Left ,-4 ,-2 ,-1 ,+24 ,+44 ,+6 ,+1 ,-1
0.4795808 ,Left ,-1 ,+1 ,-2 ,-19 ,+14 ,-3 ,-1 ,+2
0.494072 ,Left ,0  ,-4 ,-3 ,+4 ,+5 ,-2 ,0  ,0 
0.4941839 ,Left ,+3 ,-1 ,-4 ,-10 ,-18 ,-1 ,-2 ,-1
0.5017135 ,Left ,0  ,0  ,+1 ,+12 ,+21 ,+2 ,-3 ,-1
0.5017263 ,Left ,-4 ,-3 ,-3 ,-8 ,-21 ,-5 ,-3 ,0 
0.5165517 ,Left ,-1 ,-1 ,-1 ,-13 ,+26 ,0  ,+3 ,+3
0.516564 ,Left ,+1 ,-1 ,0  ,-5 ,-5 ,+7 ,-4 ,-1
0.5241498 ,Left ,-3 ,-2 ,-3 ,-20 ,-39 ,-4 ,-5 ,-6
0.5241626 ,Left ,-1 ,-2 ,-4 ,+15 ,-4 ,-2 ,0  ,-1
0.5392016 ,Left ,-1 ,+1 ,0  ,-5 ,-2 ,-1 ,-3 ,-3
0.5392146 ,Left ,+1 ,-1 ,+2 ,+8 ,+13 ,+5 ,+5 ,+1
0.5542116 ,Left ,0  ,-1 ,+3 ,+13 ,-4 ,+6 ,+1 ,0 
0.554339 ,Left ,+1 ,-3 ,-5 ,-14 ,+7 ,+12 ,-3 ,-3
0.5612563 ,Left ,+2 ,+1 ,+2 ,+3 ,-43 ,-7 ,-3 ,0 
0.5613323 ,Left ,0  ,-2 ,-1 ,-11 ,+2 ,-3 ,-3 ,-1
0.5760424 ,Left ,-2 ,+1 ,+1 ,+6 ,+15 ,+1 ,-1 ,-1
0.5760481 ,Left ,-3 ,-5 ,-7 ,-20 ,-20 ,-5 ,-1 ,0 
0.5838688 ,Left ,+1 ,+1 ,+2 ,+9 ,+1 ,-1 ,-1 ,+1
0.5838746 ,Left ,+3 ,-4 ,0  ,+16 ,+10 ,+3 ,+1 ,0 
0.5988622 ,Left ,-6 ,-3 ,-8 ,-29 ,-26 ,-6 ,-2 ,-2
0.5988681 ,Left ,+2 ,+8 ,+7 ,+14 ,+1 ,-3 ,-2 ,0 
0.6137214 ,Left ,-4 ,-7 ,-4 ,+4 ,+48 ,0  ,-3 ,-5
0.613727 ,Left ,-1 ,+2 ,+1 ,+5 ,-4 ,-5 ,0  ,0 
0.6213762 ,Left ,-3 ,-5 ,-5 ,-7 ,+13 ,+1 ,-1 ,-1
0.6213817 ,Left ,-2 ,+2 ,+2 ,+7 ,+6 ,+6 ,+1 ,0 
0.636311 ,Left ,+5 ,+1 ,0  ,+10 ,-16 ,-7 ,-3 ,-1
0.6363168 ,Left ,-2 ,0  ,+1 ,+9 ,+29 ,0  ,+1 ,-2
0.6439091 ,Left ,-1 ,-3 ,-4 ,-18 ,+10 ,+1 ,-1 ,-2
0.6439148 ,Left ,-4 ,-1 ,+1 ,+11 ,+18 ,-6 ,+1 ,0 
0.6513392 ,Left ,-2 ,-5 ,-4 ,-21 ,-9 ,-6 ,-4 ,0 
