timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0200223 ,Right ,+6 ,-2 ,-12 ,-1 ,+1 ,-1 ,-1 ,-1
0.0200287 ,Right ,+6 ,-2 ,-12 ,-1 ,+1 ,-1 ,-1 ,-1
0.0200381 ,Right ,-5 ,+4 ,+16 ,+8 ,-2 ,-2 ,-2 ,-1
0.0200404 ,Right ,-5 ,+4 ,+16 ,+8 ,-2 ,-2 ,-2 ,-1
0.0208254 ,Right ,-1 ,-7 ,-18 ,-13 ,-5 ,-1 ,-1 ,-1
0.0208285 ,Right ,-1 ,-7 ,-18 ,-13 ,-5 ,-1 ,-1 ,-1
0.0208559 ,Right ,+2 ,-10 ,+13 ,-2 ,0  ,-2 ,-1 ,+2
0.0208582 ,Right ,+2 ,-10 ,+13 ,-2 ,0  ,-2 ,-1 ,+2
0.0425366 ,Right ,+3 ,-8 ,-6 ,+2 ,+4 ,+2 ,-1 ,-2
0.0425389 ,Right ,+3 ,-8 ,-6 ,+2 ,+4 ,+2 ,-1 ,-2
0.0425412 ,Right ,-17 ,-4 ,-12 ,-4 ,-2 ,-2 ,-2 ,-2
0.0425428 ,Right ,-17 ,-4 ,-12 ,-4 ,-2 ,-2 ,-2 ,-2
0.0432447 ,Right ,0  ,+64 ,+33 ,+9 ,+1 ,+2 ,0  ,-3
0.0432465 ,Right ,0  ,+64 ,+33 ,+9 ,+1 ,+2 ,0  ,-3
0.0432489 ,Right ,+5 ,+11 ,+9 ,+18 ,-2 ,-1 ,-2 ,-2
0.0432505 ,Right ,+5 ,+11 ,+9 ,+18 ,-2 ,-1 ,-2 ,-2
0.0580482 ,Right ,-8 ,-4 ,-22 ,-18 ,+2 ,0  ,0  ,-1
0.0580538 ,Right ,-8 ,-4 ,-22 ,-18 ,+2 ,0  ,0  ,-1
0.0580621 ,Right ,+4 ,-19 ,-14 ,-3 ,-5 ,-3 ,-2 ,-1
0.0580661 ,Right ,+4 ,-19 ,-14 ,-3 ,-5 ,-3 ,-2 ,-1
0.058588 ,Right ,-1 ,+8 ,+15 ,+6 ,+3 ,0  ,-1 ,-1
0.0585932 ,Right ,-1 ,+8 ,+15 ,+6 ,+3 ,0  ,-1 ,-1
0.0585995 ,Right ,-5 ,0  ,-5 ,-3 ,-4 ,0  ,-1 ,-3
0.0586034 ,Right ,-5 ,0  ,-5 ,-3 ,-4 ,0  ,-1 ,-3
0.0803126 ,Right ,-2 ,-2 ,-86 ,-6 ,-2 ,-1 ,0  ,-1
0.080315 ,Right ,-2 ,-2 ,-86 ,-6 ,-2 ,-1 ,0  ,-1
0.0803173 ,Right ,+4 ,+16 ,+16 ,0  ,0  ,+1 ,-1 ,+1
0.0803189 ,Right ,+4 ,+16 ,+16 ,0  ,0  ,+1 ,-1 ,+1
0.0810135 ,Right ,+5 ,-19 ,+29 ,-2 ,-1 ,-1 ,-1 ,+1
0.0810158 ,Right ,+5 ,-19 ,+29 ,-2 ,-1 ,-1 ,-1 ,+1
0.0810182 ,Right ,-9 ,+1 ,+9 ,-3 ,-1 ,-1 ,0  ,-1
0.0810197 ,Right ,-9 ,+1 ,+9 ,-3 ,-1 ,-1 ,0  ,-1
0.1026566 ,Right ,+3 ,-15 ,-2 ,-5 ,-6 ,-3 ,-1 ,-2
0.102659 ,Right ,+3 ,-15 ,-2 ,-5 ,-6 ,-3 ,-1 ,-2
0.1026614 ,Right ,0  ,-11 ,-6 ,+9 ,+7 ,+4 ,-2 ,-1
0.102663 ,Right ,0  ,-11 ,-6 ,+9 ,+7 ,+4 ,-2 ,-1
0.1034654 ,Right ,+3 ,+7 ,-3 ,-3 ,-4 ,-1 ,0  ,+1
0.103468 ,Right ,+3 ,+7 ,-3 ,-3 ,-4 ,-1 ,0  ,+1
0.1034704 ,Right ,-3 ,-14 ,-8 ,+19 ,+4 ,-1 ,-3 ,-5
0.103472 ,Right ,-3 ,-14 ,-8 ,+19 ,+4 ,-1 ,-3 ,-5
0.1176243 ,Right ,+1 ,+34 ,+42 ,-9 ,+1 ,0  ,0  ,+1
0.1176265 ,Right ,+1 ,+34 ,+42 ,-9 ,+1 ,0  ,0  ,+1
0.1176292 ,Right ,-5 ,-25 ,-2 ,+1 ,0  ,0  ,0  ,-2
