timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0245957 ,Right ,-1 ,+5 ,+5 ,-5 ,-2 ,-6 ,-1 ,-1
0.0246632 ,Right ,0  ,+4 ,-1 ,-1 ,-4 ,-10 ,-5 ,-1
0.0260242 ,Right ,+1 ,-4 ,-12 ,+4 ,+2 ,+3 ,+1 ,+1
0.0260616 ,Right ,+1 ,+6 ,-4 ,-9 ,-2 ,0  ,-1 ,-2
0.0382765 ,Right ,0  ,-1 ,-1 ,0  ,+1 ,+3 ,-1 ,-4
0.0382798 ,Right ,-1 ,-5 ,-10 ,+1 ,-5 ,-4 ,-2 ,-4
0.0472614 ,Right ,-1 ,+10 ,+15 ,+2 ,-3 ,-1 ,-2 ,-2
0.0472643 ,Right ,-3 ,-7 ,-17 ,-9 ,0  ,-3 ,0  ,0 
0.0619853 ,Right ,-1 ,-5 ,0  ,+11 ,+3 ,+2 ,0  ,+3
0.0620012 ,Right ,+1 ,+8 ,+3 ,-5 ,-3 ,-1 ,-1 ,0 
0.0637138 ,Right ,-1 ,-3 ,-4 ,+3 ,-3 ,-3 ,-2 ,+1
0.0637165 ,Right ,0  ,+4 ,-3 ,+5 ,+1 ,+1 ,-4 ,-3
0.084807 ,Right ,-1 ,-6 ,+9 ,-9 ,-6 ,-3 ,+1 ,-1
0.08481 ,Right ,0  ,-7 ,-13 ,-7 ,+3 ,-2 ,-1 ,-2
0.0863338 ,Right ,-1 ,-8 ,+6 ,+15 ,0  ,-1 ,+2 ,0 
0.0863367 ,Right ,-3 ,+14 ,+8 ,-15 ,-3 ,0  ,-2 ,-1
0.1072527 ,Right ,+2 ,+6 ,-1 ,+4 ,+4 ,+5 ,+1 ,0 
0.1072563 ,Right ,-1 ,+6 ,+7 ,+2 ,-2 ,-2 ,+3 ,-2
0.1088955 ,Right ,+1 ,-16 ,+5 ,0  ,+2 ,+6 ,-2 ,-1
0.1088991 ,Right ,-3 ,+9 ,-24 ,-8 ,-6 ,-1 ,+2 ,-1
0.1221225 ,Right ,-2 ,-3 ,-1 ,-5 ,-3 ,-3 ,0  ,-2
0.1221273 ,Right ,-4 ,-6 ,+4 ,+8 ,-1 ,0  ,-2 ,-1
0.1236684 ,Right ,+2 ,+5 ,+3 ,+3 ,0  ,0  ,0  ,+1
0.1236726 ,Right ,+3 ,-8 ,-21 ,-6 ,+2 ,-3 ,+2 ,+2
0.144883 ,Right ,-3 ,+6 ,+26 ,+9 ,-4 ,-4 ,-2 ,-1
0.1448895 ,Right ,-3 ,-5 ,-24 ,-20 ,-4 ,-1 ,-2 ,0 
0.1463674 ,Right ,0  ,-2 ,-23 ,-12 ,-4 ,-4 ,-2 ,-2
0.1463737 ,Right ,-4 ,+2 ,+59 ,+21 ,-4 ,-4 ,-1 ,-5
0.1672887 ,Right ,+2 ,+11 ,-20 ,-8 ,-2 ,-4 ,+1 ,+3
0.1672952 ,Right ,-2 ,-27 ,+14 ,+13 ,+1 ,0  ,0  ,-6
0.1689299 ,Right ,+2 ,+35 ,+8 ,-11 ,-3 ,-3 ,-3 ,-1
0.1689477 ,Right ,0  ,-4 ,-15 ,-14 ,-3 ,0  ,-1 ,0 
0.1823786 ,Right ,0  ,+8 ,+19 ,+2 ,+1 ,-1 ,+1 ,+1
0.1823854 ,Right ,+1 ,-1 ,-7 ,-1 ,0  ,+1 ,-2 ,-2
0.1838726 ,Right ,-4 ,-10 ,-19 ,-4 ,-2 ,-4 ,0  ,-1
0.1838792 ,Right ,+3 ,+5 ,-4 ,-1 ,-1 ,-7 ,-4 ,-1
0.2048958 ,Right ,0  ,-6 ,+13 ,+1 ,-1 ,-4 ,-9 ,-3
0.2049025 ,Right ,-2 ,+6 ,+5 ,+1 ,+1 ,-1 ,-3 ,0 
0.2063183 ,Right ,-3 ,-4 ,+23 ,+12 ,0  ,-1 ,-3 ,-3
0.2063245 ,Right ,-4 ,-5 ,-26 ,-20 ,0  ,-3 ,-2 ,0 
0.2273791 ,Right ,+1 ,-8 ,-18 ,+1 ,+3 ,+2 ,+2 ,-1
0.2273857 ,Right ,-1 ,+1 ,+5 ,-2 ,-2 ,-1 ,+1 ,-1
0.228896 ,Right ,+1 ,+5 ,+5 ,+1 ,-1 ,-1 ,+1 ,-3
