timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0236234 ,Left ,+2 ,+1 ,+1 ,+1 ,-2 ,+2 ,+1 ,0 
0.0236264 ,Left ,0  ,-1 ,-1 ,+1 ,-1 ,-5 ,-2 ,-1
0.0311521 ,Left ,-3 ,-6 ,-7 ,-9 ,+5 ,+2 ,-2 ,-3
0.0311551 ,Left ,0  ,+2 ,+4 ,+3 ,+2 ,+1 ,0  ,0 
0.0463258 ,Left ,-1 ,-3 ,-3 ,-7 ,-24 ,-1 ,+1 ,+3
0.0463288 ,Left ,-2 ,-3 ,-4 ,-1 ,+23 ,-1 ,0  ,-1
0.0613107 ,Left ,-1 ,-1 ,0  ,+1 ,+1 ,-2 ,0  ,+1
0.0613141 ,Left ,-1 ,-2 ,-1 ,+4 ,+2 ,+1 ,+1 ,-1
0.0684491 ,Left ,+3 ,-3 ,-6 ,-9 ,-5 ,-2 ,0  ,0 
0.0684517 ,Left ,-2 ,-1 ,+5 ,-1 ,-9 ,+2 ,-1 ,0 
0.0836124 ,Left ,+1 ,+4 ,+1 ,+9 ,+16 ,+4 ,0  ,0 
0.0836156 ,Left ,-2 ,-4 ,+1 ,-3 ,-6 ,-6 ,-2 ,-2
0.0910655 ,Left ,-1 ,+3 ,+2 ,+4 ,+10 ,+4 ,+1 ,+1
0.0910681 ,Left ,+1 ,-2 ,-6 ,-1 ,+27 ,-1 ,+11 ,-3
0.106086 ,Left ,+1 ,-1 ,+3 ,+6 ,-10 ,-3 ,-4 ,-4
0.1060891 ,Left ,-5 ,-5 ,-7 ,-14 ,-1 ,-2 ,+4 ,-1
0.1212119 ,Left ,-2 ,-2 ,-2 ,+1 ,+10 ,+2 ,+2 ,+1
0.1212163 ,Left ,0  ,0  ,-4 ,-6 ,0  ,-1 ,+1 ,+2
0.1285658 ,Left ,-1 ,-1 ,-1 ,+1 ,-8 ,-4 ,+1 ,0 
0.1285684 ,Left ,-4 ,+3 ,+4 ,+6 ,-3 ,0  ,-5 ,-1
0.1436744 ,Left ,-3 ,-6 ,-5 ,-9 ,-4 ,-3 ,-3 ,-4
0.1436784 ,Left ,0  ,-2 ,-3 ,-4 ,-12 ,-6 ,-6 ,-4
0.1510316 ,Left ,0  ,-2 ,-2 ,+3 ,+9 ,+1 ,+3 ,0 
0.1510353 ,Left ,+3 ,+3 ,+5 ,+3 ,-7 ,0  ,0  ,0 
0.1662944 ,Left ,0  ,+1 ,+3 ,+3 ,-36 ,+3 ,+4 ,-1
0.1662974 ,Left ,-1 ,+3 ,+4 ,+22 ,+47 ,-1 ,-2 ,-1
0.1810723 ,Left ,-2 ,-2 ,-2 ,-14 ,-32 ,-8 ,-4 ,-3
0.1810755 ,Left ,-4 ,-6 ,-6 ,+2 ,+33 ,+14 ,-2 ,-4
0.1886586 ,Left ,-3 ,-6 ,-7 ,-21 ,-35 ,-36 ,-10 ,-4
0.1886615 ,Left ,+1 ,0  ,0  ,+1 ,-15 ,+3 ,-2 ,0 
0.2041516 ,Left ,-2 ,0  ,-1 ,+10 ,-5 ,-4 ,+3 ,0 
0.2041679 ,Left ,-2 ,+5 ,0  ,+3 ,+10 ,+2 ,+1 ,-2
