timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0141251 ,Left ,-6 ,-6 ,-3 ,0  ,+18 ,0  ,+2 ,-4
0.0141306 ,Left ,-6 ,-6 ,-3 ,0  ,+18 ,0  ,+2 ,-4
0.0141592 ,Left ,0  ,-2 ,-2 ,+2 ,-8 ,-2 ,-1 ,-2
0.0141619 ,Left ,0  ,-2 ,-2 ,+2 ,-8 ,-2 ,-1 ,-2
0.0157764 ,Left ,0  ,-1 ,-8 ,-12 ,-4 ,0  ,0  ,0 
0.0157798 ,Left ,0  ,-1 ,-8 ,-12 ,-4 ,0  ,0  ,0 
0.0158095 ,Left ,-1 ,-2 ,+2 ,+8 ,+2 ,0  ,-4 ,+1
0.0158141 ,Left ,-1 ,-2 ,+2 ,+8 ,+2 ,0  ,-4 ,+1
0.0368818 ,Left ,+2 ,-1 ,+1 ,+4 ,0  ,+2 ,-1 ,0 
0.0368841 ,Left ,+2 ,-1 ,+1 ,+4 ,0  ,+2 ,-1 ,0 
0.0368864 ,Left ,-3 ,+1 ,-4 ,-9 ,+6 ,-1 ,+2 ,0 
0.036888 ,Left ,-3 ,+1 ,-4 ,-9 ,+6 ,-1 ,+2 ,0 
0.03839 ,Left ,-3 ,-5 ,-1 ,-4 ,-12 ,-2 ,-5 ,-3
0.0383918 ,Left ,-3 ,-5 ,-1 ,-4 ,-12 ,-2 ,-5 ,-3
0.0383941 ,Left ,-6 ,-2 ,-2 ,+6 ,+2 ,0  ,-1 ,-5
0.0383957 ,Left ,-6 ,-2 ,-2 ,+6 ,+2 ,0  ,-1 ,-5
0.0518293 ,Left ,+7 ,+1 ,-3 ,-12 ,-3 ,+5 ,0  ,+1
0.0518319 ,Left ,+7 ,+1 ,-3 ,-12 ,-3 ,+5 ,0  ,+1
0.0518776 ,Left ,-4 ,-2 ,+3 ,+3 ,-5 ,+1 ,+1 ,-2
0.0518804 ,Left ,-4 ,-2 ,+3 ,+3 ,-5 ,+1 ,+1 ,-2
0.0535775 ,Left ,0  ,-2 ,-6 ,-10 ,+2 ,0  ,-1 ,-2
0.0535798 ,Left ,0  ,-2 ,-6 ,-10 ,+2 ,0  ,-1 ,-2
0.0535822 ,Left ,-1 ,+2 ,+4 ,+21 ,-9 ,-1 ,-3 ,-2
0.0535837 ,Left ,-1 ,+2 ,+4 ,+21 ,-9 ,-1 ,-3 ,-2
0.0744789 ,Left ,-4 ,-1 ,-2 ,-5 ,+20 ,+1 ,-5 ,-3
0.0744812 ,Left ,-4 ,-1 ,-2 ,-5 ,+20 ,+1 ,-5 ,-3
0.0744837 ,Left ,-3 ,-1 ,0  ,+10 ,-18 ,0  ,-1 ,0 
0.0744852 ,Left ,-3 ,-1 ,0  ,+10 ,-18 ,0  ,-1 ,0 
0.0759105 ,Left ,-3 ,0  ,-6 ,-19 ,-15 ,-1 ,0  ,-2
0.0759128 ,Left ,-3 ,0  ,-6 ,-19 ,-15 ,-1 ,0  ,-2
0.0759151 ,Left ,-4 ,-5 ,-3 ,-8 ,+7 ,+3 ,+1 ,-2
0.0759167 ,Left ,-4 ,-5 ,-3 ,-8 ,+7 ,+3 ,+1 ,-2
0.0969889 ,Left ,-1 ,+2 ,+3 ,+2 ,+2 ,-1 ,+1 ,-1
0.0969918 ,Left ,-1 ,+2 ,+3 ,+2 ,+2 ,-1 ,+1 ,-1
0.0969946 ,Left ,+1 ,-1 ,0  ,+6 ,+19 ,-5 ,-6 ,-2
0.0969964 ,Left ,+1 ,-1 ,0  ,+6 ,+19 ,-5 ,-6 ,-2
0.0986019 ,Left ,-9 ,-8 ,-5 ,-8 ,-39 ,-1 ,-1 ,-4
0.0986072 ,Left ,-9 ,-8 ,-5 ,-8 ,-39 ,-1 ,-1 ,-4
0.0986177 ,Left ,-2 ,+2 ,0  ,-6 ,-16 ,-4 ,-3 ,-2
0.0986208 ,Left ,-2 ,+2 ,0  ,-6 ,-16 ,-4 ,-3 ,-2
0.1114065 ,Left ,+1 ,-2 ,-5 ,+3 ,+3 ,-12 ,0  ,+1
0.1114096 ,Left ,+1 ,-2 ,-5 ,+3 ,+3 ,-12 ,0  ,+1
0.111413 ,Left ,-1 ,+1 ,+3 ,+3 ,+7 ,-2 ,+2 ,0 
0.1114151 ,Left ,-1 ,+1 ,+3 ,+3 ,+7 ,-2 ,+2 ,0 
0.1179008 ,Left ,-1 ,-1 ,0  ,+5 ,+19 ,-6 ,-2 ,-1
0.117904 ,Left ,-1 ,-1 ,0  ,+5 ,+19 ,-6 ,-2 ,-1
0.1179078 ,Left ,-8 ,-7 ,-7 ,-12 ,-16 ,0  ,0  ,-4
0.1179102 ,Left ,-8 ,-7 ,-7 ,-12 ,-16 ,0  ,0  ,-4
0.1343923 ,Left ,+2 ,0  ,+1 ,+1 ,+9 ,-3 ,+2 ,+1
0.1343961 ,Left ,+2 ,0  ,+1 ,+1 ,+9 ,-3 ,+2 ,+1
0.1344002 ,Left ,-1 ,+1 ,+1 ,+2 ,-25 ,-4 ,0  ,-2
0.134403 ,Left ,-1 ,+1 ,+1 ,+2 ,-25 ,-4 ,0  ,-2
0.135953 ,Left ,0  ,+1 ,+1 ,+2 ,+15 ,-2 ,+2 ,-1
0.1359562 ,Left ,0  ,+1 ,+1 ,+2 ,+15 ,-2 ,+2 ,-1
0.1359604 ,Left ,+3 ,-1 ,0  ,0  ,+3 ,-2 ,-4 ,0 
0.1359632 ,Left ,+3 ,-1 ,0  ,0  ,+3 ,-2 ,-4 ,0 
0.1570822 ,Left ,-5 ,-6 ,-9 ,-9 ,-2 ,+2 ,-2 ,-2
0.157086 ,Left ,-5 ,-6 ,-9 ,-9 ,-2 ,+2 ,-2 ,-2
0.1570903 ,Left ,-2 ,-2 ,-3 ,-7 ,+6 ,-1 ,-1 ,-1
0.1570931 ,Left ,-2 ,-2 ,-3 ,-7 ,+6 ,-1 ,-1 ,-1
0.1586535 ,Left ,+3 ,+1 ,+2 ,+6 ,-7 ,-4 ,0  ,0 
0.1586573 ,Left ,+3 ,+1 ,+2 ,+6 ,-7 ,-4 ,0  ,0 
0.1586616 ,Left ,-3 ,-1 ,-7 ,-8 ,+5 ,-3 ,+6 ,+2
0.1586644 ,Left ,-3 ,-1 ,-7 ,-8 ,+5 ,-3 ,+6 ,+2
0.1719206 ,Left ,0  ,-1 ,-3 ,-4 ,-9 ,-8 ,-8 ,0 
0.1719244 ,Left ,0  ,-1 ,-3 ,-4 ,-9 ,-8 ,-8 ,0 
0.1719286 ,Left ,-3 ,-3 ,-1 ,+1 ,+6 ,-1 ,0  ,-5
0.1719314 ,Left ,-3 ,-3 ,-1 ,+1 ,+6 ,-1 ,0  ,-5
0.1780437 ,Left ,+1 ,0  ,-2 ,+11 ,-13 ,+2 ,0  ,-2
0.1780472 ,Left ,+1 ,0  ,-2 ,+11 ,-13 ,+2 ,0  ,-2
0.1780567 ,Left ,+4 ,-2 ,-1 ,-9 ,+23 ,0  ,-2 ,-2
0.1780595 ,Left ,+4 ,-2 ,-1 ,-9 ,+23 ,0  ,-2 ,-2
0.1946018 ,Left ,-2 ,-1 ,+3 ,-5 ,-24 ,-1 ,-1 ,-2
0.1946057 ,Left ,-2 ,-1 ,+3 ,-5 ,-24 ,-1 ,-1 ,-2
0.1946102 ,Left ,-3 ,-3 ,-5 ,-3 ,+6 ,-2 ,-4 ,-3
0.1946132 ,Left ,-3 ,-3 ,-5 ,-3 ,+6 ,-2 ,-4 ,-3
0.1960241 ,Left ,+1 ,+3 ,-1 ,0  ,+17 ,+1 ,0  ,-1
0.1960278 ,Left ,+1 ,+3 ,-1 ,0  ,+17 ,+1 ,0  ,-1
0.1960319 ,Left ,+1 ,-3 ,+3 ,+8 ,-6 ,0  ,+1 ,+2
0.1960347 ,Left ,+1 ,-3 ,+3 ,+8 ,-6 ,0  ,+1 ,+2
0.2169303 ,Left ,+1 ,0  ,-2 ,-3 ,-2 ,+3 ,-2 ,0 
0.216934 ,Left ,+1 ,0  ,-2 ,-3 ,-2 ,+3 ,-2 ,0 
0.216938 ,Left ,+1 ,-2 ,+1 ,+10 ,+13 ,+4 ,-2 ,0 
0.2169407 ,Left ,+1 ,-2 ,+1 ,+10 ,+13 ,+4 ,-2 ,0 
0.2185957 ,Left ,-7 ,-6 ,-6 ,-16 ,-12 ,+2 ,-1 ,-3
0.2185994 ,Left ,-7 ,-6 ,-6 ,-16 ,-12 ,+2 ,-1 ,-3
0.2186036 ,Left ,+4 ,+2 ,+4 ,-1 ,-3 ,-1 ,0  ,+2
0.2186064 ,Left ,+4 ,+2 ,+4 ,-1 ,-3 ,-1 ,0  ,+2
0.2311893 ,Left ,-2 ,+3 ,+2 ,0  ,-3 ,-11 ,0  ,-2
0.2311929 ,Left ,-2 ,+3 ,+2 ,0  ,-3 ,-11 ,0  ,-2
0.2311972 ,Left ,-1 ,-3 ,-5 ,+1 ,-8 ,-1 ,-1 ,-4
0.2311999 ,Left ,-1 ,-3 ,-5 ,+1 ,-8 ,-1 ,-1 ,-4
0.2395607 ,Left ,+2 ,+1 ,+3 ,+2 ,-6 ,-4 ,0  ,-1
0.2395642 ,Left ,+2 ,+1 ,+3 ,+2 ,-6 ,-4 ,0  ,-1
0.2395685 ,Left ,-8 ,-3 ,-2 ,0  ,+19 ,-5 ,-4 ,-3
0.2395712 ,Left ,-8 ,-3 ,-2 ,0  ,+19 ,-5 ,-4 ,-3
0.2544702 ,Left ,-3 ,-6 ,-6 ,-7 ,-5 ,-3 ,0  ,-2
