timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0178475 ,Right ,-4 ,-8 ,-10 ,-3 ,-1 ,+1 ,-3 ,-3
0.0178643 ,Right ,0  ,+10 ,+39 ,+3 ,-1 ,-1 ,+5 ,-1
0.0254628 ,Right ,+2 ,-1 ,-39 ,-2 ,+4 ,+1 ,-11 ,-1
0.0254658 ,Right ,0  ,-1 ,-26 ,-2 ,+3 ,-2 ,-4 ,-3
0.0403232 ,Right ,-3 ,+3 ,+2 ,+1 ,+1 ,+2 ,0  ,-1
0.0403456 ,Right ,-2 ,-10 ,-5 ,-2 ,-9 ,-5 ,+2 ,-2
0.0481945 ,Right ,-1 ,-1 ,+2 ,-1 ,-5 ,-5 ,-6 ,-3
0.0481976 ,Right ,-5 ,-7 ,+9 ,-6 ,-1 ,-2 ,+2 ,+1
0.0630943 ,Right ,-4 ,+1 ,+6 ,-10 ,-5 ,-1 ,0  ,0 
0.0630973 ,Right ,-1 ,+3 ,+9 ,+9 ,0  ,-3 ,-3 ,-2
0.0778859 ,Right ,+3 ,+22 ,+3 ,+6 ,+5 ,+2 ,+1 ,0 
0.0778885 ,Right ,-3 ,-8 ,-50 ,-6 ,0  ,0  ,-5 ,-1
0.0852724 ,Right ,+1 ,+9 ,+25 ,-13 ,-4 ,+1 ,0  ,-2
0.0853683 ,Right ,-1 ,-14 ,-2 ,+7 ,+1 ,0  ,+2 ,-2
0.1004188 ,Right ,-1 ,+6 ,+7 ,+5 ,+5 ,+2 ,+1 ,+1
0.1004226 ,Right ,-3 ,+5 ,+13 ,+8 ,+4 ,+1 ,0  ,-1
0.1081272 ,Right ,-2 ,-5 ,+8 ,+6 ,-1 ,+1 ,-1 ,-1
0.1081312 ,Right ,-1 ,0  ,-9 ,-11 ,-3 ,0  ,-2 ,0 
0.1230572 ,Right ,-2 ,-10 ,-33 ,-6 ,+2 ,+3 ,+7 ,+1
