timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0169038 ,Left ,+3 ,+7 ,+1 ,0  ,+1 ,-1 ,-1 ,0 
0.0169061 ,Left ,+3 ,+7 ,+1 ,0  ,+1 ,-1 ,-1 ,0 
0.0169077 ,Left ,+3 ,+7 ,+1 ,0  ,+1 ,-1 ,-1 ,0 
0.0169247 ,Left ,-1 ,-7 ,-6 ,-3 ,-2 ,+1 ,+1 ,-3
0.0169272 ,Left ,-1 ,-7 ,-6 ,-3 ,-2 ,+1 ,+1 ,-3
0.0169287 ,Left ,-1 ,-7 ,-6 ,-3 ,-2 ,+1 ,+1 ,-3
0.0182752 ,Left ,0  ,+1 ,0  ,+3 ,0  ,-3 ,-2 ,-1
0.0182815 ,Left ,0  ,+1 ,0  ,+3 ,0  ,-3 ,-2 ,-1
0.0182832 ,Left ,0  ,+1 ,0  ,+3 ,0  ,-3 ,-2 ,-1
0.0183064 ,Left ,-5 ,-6 ,-5 ,-4 ,-1 ,0  ,-2 ,-2
0.0183082 ,Left ,-5 ,-6 ,-5 ,-4 ,-1 ,0  ,-2 ,-2
0.0183097 ,Left ,-5 ,-6 ,-5 ,-4 ,-1 ,0  ,-2 ,-2
0.0304217 ,Left ,-2 ,-5 ,0  ,-1 ,-7 ,-3 ,-3 ,-2
0.0304243 ,Left ,-2 ,-5 ,0  ,-1 ,-7 ,-3 ,-3 ,-2
0.030431 ,Left ,-2 ,-5 ,0  ,-1 ,-7 ,-3 ,-3 ,-2
0.0304339 ,Left ,+1 ,+4 ,-2 ,+3 ,0  ,-2 ,-1 ,+2
0.0304357 ,Left ,+1 ,+4 ,-2 ,+3 ,0  ,-2 ,-1 ,+2
0.0304663 ,Left ,+1 ,+4 ,-2 ,+3 ,0  ,-2 ,-1 ,+2
0.0396048 ,Left ,-1 ,-4 ,-4 ,-5 ,-5 ,-1 ,+2 ,0 
0.0396071 ,Left ,-1 ,-4 ,-4 ,-5 ,-5 ,-1 ,+2 ,0 
0.0396086 ,Left ,-1 ,-4 ,-4 ,-5 ,-5 ,-1 ,+2 ,0 
0.0396111 ,Left ,-3 ,-3 ,-2 ,-4 ,-1 ,-3 ,0  ,-2
0.0396126 ,Left ,-3 ,-3 ,-2 ,-4 ,-1 ,-3 ,0  ,-2
0.0396141 ,Left ,-3 ,-3 ,-2 ,-4 ,-1 ,-3 ,0  ,-2
0.0544381 ,Left ,-2 ,-1 ,+1 ,-1 ,+5 ,+1 ,-2 ,-2
0.0544404 ,Left ,-2 ,-1 ,+1 ,-1 ,+5 ,+1 ,-2 ,-2
0.054442 ,Left ,-2 ,-1 ,+1 ,-1 ,+5 ,+1 ,-2 ,-2
0.0544665 ,Left ,-1 ,-1 ,-1 ,0  ,0  ,-2 ,-1 ,-1
0.0544682 ,Left ,-1 ,-1 ,-1 ,0  ,0  ,-2 ,-1 ,-1
0.0544697 ,Left ,-1 ,-1 ,-1 ,0  ,0  ,-2 ,-1 ,-1
0.0560969 ,Left ,-2 ,-1 ,-4 ,-1 ,-3 ,-2 ,-3 ,0 
0.0560988 ,Left ,-2 ,-1 ,-4 ,-1 ,-3 ,-2 ,-3 ,0 
0.0561003 ,Left ,-2 ,-1 ,-4 ,-1 ,-3 ,-2 ,-3 ,0 
0.0561028 ,Left ,+3 ,+4 ,+4 ,+1 ,+1 ,+2 ,0  ,+1
0.0561043 ,Left ,+3 ,+4 ,+4 ,+1 ,+1 ,+2 ,0  ,+1
0.0561059 ,Left ,+3 ,+4 ,+4 ,+1 ,+1 ,+2 ,0  ,+1
0.0767997 ,Left ,-4 ,-5 ,-7 ,-4 ,-4 ,-1 ,-2 ,-1
0.0768018 ,Left ,-4 ,-5 ,-7 ,-4 ,-4 ,-1 ,-2 ,-1
0.0768035 ,Left ,-4 ,-5 ,-7 ,-4 ,-4 ,-1 ,-2 ,-1
0.076806 ,Left ,-4 ,-6 ,-6 ,-3 ,-1 ,-3 ,-1 ,-2
0.0768077 ,Left ,-4 ,-6 ,-6 ,-3 ,-1 ,-3 ,-1 ,-2
0.0768093 ,Left ,-4 ,-6 ,-6 ,-3 ,-1 ,-3 ,-1 ,-2
0.0785443 ,Left ,+1 ,+1 ,+1 ,+2 ,+1 ,0  ,0  ,-1
0.0785465 ,Left ,+1 ,+1 ,+1 ,+2 ,+1 ,0  ,0  ,-1
0.0785482 ,Left ,+1 ,+1 ,+1 ,+2 ,+1 ,0  ,0  ,-1
0.0785507 ,Left ,0  ,+1 ,0  ,-1 ,0  ,-2 ,+1 ,0 
0.0785524 ,Left ,0  ,+1 ,0  ,-1 ,0  ,-2 ,+1 ,0 
0.078554 ,Left ,0  ,+1 ,0  ,-1 ,0  ,-2 ,+1 ,0 
0.0905369 ,Left ,-2 ,-2 ,-2 ,-1 ,-2 ,-4 ,-2 ,-3
0.0905396 ,Left ,-2 ,-2 ,-2 ,-1 ,-2 ,-4 ,-2 ,-3
0.0905415 ,Left ,-2 ,-2 ,-2 ,-1 ,-2 ,-4 ,-2 ,-3
0.0905445 ,Left ,-2 ,-3 ,0  ,-3 ,0  ,-1 ,-3 ,-2
0.0905465 ,Left ,-2 ,-3 ,0  ,-3 ,0  ,-1 ,-3 ,-2
0.0905485 ,Left ,-2 ,-3 ,0  ,-3 ,0  ,-1 ,-3 ,-2
0.0995499 ,Left ,-1 ,+3 ,-1 ,-2 ,-1 ,+3 ,-2 ,-1
0.0995528 ,Left ,-1 ,+3 ,-1 ,-2 ,-1 ,+3 ,-2 ,-1
0.0995547 ,Left ,-1 ,+3 ,-1 ,-2 ,-1 ,+3 ,-2 ,-1
0.0995576 ,Left ,+3 ,0  ,-4 ,0  ,+1 ,-2 ,0  ,+1
0.0995596 ,Left ,+3 ,0  ,-4 ,0  ,+1 ,-2 ,0  ,+1
0.0995615 ,Left ,+3 ,0  ,-4 ,0  ,+1 ,-2 ,0  ,+1
0.1145468 ,Left ,-6 ,-2 ,+4 ,+1 ,-3 ,-2 ,-3 ,-2
0.1145494 ,Left ,-6 ,-2 ,+4 ,+1 ,-3 ,-2 ,-3 ,-2
0.1145512 ,Left ,-6 ,-2 ,+4 ,+1 ,-3 ,-2 ,-3 ,-2
0.1145539 ,Left ,+1 ,+3 ,0  ,-4 ,-1 ,-2 ,0  ,-1
0.1145574 ,Left ,+1 ,+3 ,0  ,-4 ,-1 ,-2 ,0  ,-1
0.1145592 ,Left ,+1 ,+3 ,0  ,-4 ,-1 ,-2 ,0  ,-1
0.1162259 ,Left ,0  ,-2 ,-2 ,0  ,0  ,+1 ,-1 ,-3
0.1162289 ,Left ,0  ,-2 ,-2 ,0  ,0  ,+1 ,-1 ,-3
0.1162309 ,Left ,0  ,-2 ,-2 ,0  ,0  ,+1 ,-1 ,-3
0.1162356 ,Left ,-2 ,-3 ,-1 ,-1 ,-5 ,-1 ,-2 ,-1
0.1162377 ,Left ,-2 ,-3 ,-1 ,-1 ,-5 ,-1 ,-2 ,-1
0.1162398 ,Left ,-2 ,-3 ,-1 ,-1 ,-5 ,-1 ,-2 ,-1
0.1375286 ,Left ,-1 ,-4 ,-6 ,-4 ,0  ,+1 ,-1 ,-2
0.1375321 ,Left ,-1 ,-4 ,-6 ,-4 ,0  ,+1 ,-1 ,-2
0.1375343 ,Left ,-1 ,-4 ,-6 ,-4 ,0  ,+1 ,-1 ,-2
0.1375377 ,Left ,-1 ,0  ,+2 ,+4 ,+5 ,-1 ,-1 ,-4
0.1375407 ,Left ,-1 ,0  ,+2 ,+4 ,+5 ,-1 ,-1 ,-4
0.1375888 ,Left ,-1 ,0  ,+2 ,+4 ,+5 ,-1 ,-1 ,-4
0.1389555 ,Left ,-1 ,+3 ,+1 ,-2 ,-1 ,-3 ,0  ,-1
0.1389596 ,Left ,-1 ,+3 ,+1 ,-2 ,-1 ,-3 ,0  ,-1
0.1389632 ,Left ,-1 ,+3 ,+1 ,-2 ,-1 ,-3 ,0  ,-1
0.138969 ,Left ,-1 ,0  ,-1 ,+1 ,+1 ,+2 ,-1 ,-2
0.1389727 ,Left ,-1 ,0  ,-1 ,+1 ,+1 ,+2 ,-1 ,-2
0.1389773 ,Left ,-1 ,0  ,-1 ,+1 ,+1 ,+2 ,-1 ,-2
0.1598055 ,Left ,+1 ,+3 ,+4 ,+2 ,+2 ,+3 ,+2 ,+1
0.1598106 ,Left ,+1 ,+3 ,+4 ,+2 ,+2 ,+3 ,+2 ,+1
0.1598144 ,Left ,+1 ,+3 ,+4 ,+2 ,+2 ,+3 ,+2 ,+1
0.1598201 ,Left ,-3 ,-2 ,-4 ,-2 ,-2 ,-2 ,-3 ,-1
0.1598254 ,Left ,-3 ,-2 ,-4 ,-2 ,-2 ,-2 ,-3 ,-1
0.1598309 ,Left ,-3 ,-2 ,-4 ,-2 ,-2 ,-2 ,-3 ,-1
0.1611328 ,Left ,0  ,-2 ,0  ,-1 ,-4 ,-2 ,0  ,0 
0.1611373 ,Left ,0  ,-2 ,0  ,-1 ,-4 ,-2 ,0  ,0 
0.161141 ,Left ,0  ,-2 ,0  ,-1 ,-4 ,-2 ,0  ,0 
0.1611467 ,Left ,-4 ,-4 ,-3 ,-5 ,-4 ,-3 ,-1 ,-2
0.1611504 ,Left ,-4 ,-4 ,-3 ,-5 ,-4 ,-3 ,-1 ,-2
0.1611568 ,Left ,-4 ,-4 ,-3 ,-5 ,-4 ,-3 ,-1 ,-2
0.1746101 ,Left ,-1 ,-4 ,-2 ,-2 ,-5 ,-3 ,0  ,0 
0.174615 ,Left ,-1 ,-4 ,-2 ,-2 ,-5 ,-3 ,0  ,0 
0.1746187 ,Left ,-1 ,-4 ,-2 ,-2 ,-5 ,-3 ,0  ,0 
0.1746243 ,Left ,-1 ,-1 ,-1 ,0  ,+3 ,-1 ,0  ,0 
0.174628 ,Left ,-1 ,-1 ,-1 ,0  ,+3 ,-1 ,0  ,0 
0.1746317 ,Left ,-1 ,-1 ,-1 ,0  ,+3 ,-1 ,0  ,0 
0.1761178 ,Left ,-2 ,-5 ,-3 ,-1 ,+2 ,+2 ,-2 ,-1
0.1761226 ,Left ,-2 ,-5 ,-3 ,-1 ,+2 ,+2 ,-2 ,-1
0.1761263 ,Left ,-2 ,-5 ,-3 ,-1 ,+2 ,+2 ,-2 ,-1
0.176132 ,Left ,+1 ,+8 ,+1 ,0  ,-3 ,-1 ,0  ,0 
0.1761357 ,Left ,+1 ,+8 ,+1 ,0  ,-3 ,-1 ,0  ,0 
0.1761393 ,Left ,+1 ,+8 ,+1 ,0  ,-3 ,-1 ,0  ,0 
0.1970329 ,Left ,+2 ,+3 ,+3 ,+4 ,+2 ,+1 ,+1 ,+1
0.1970377 ,Left ,+2 ,+3 ,+3 ,+4 ,+2 ,+1 ,+1 ,+1
