timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0223365 ,Right ,+1 ,-3 ,-2 ,-2 ,+9 ,+1 ,-2 ,-2
0.0223645 ,Right ,-2 ,+1 ,+2 ,+3 ,-12 ,+3 ,+3 ,+1
0.0373063 ,Right ,-2 ,-2 ,-6 ,-8 ,-12 ,-9 ,-4 ,-2
0.0373089 ,Right ,+2 ,+1 ,-2 ,-1 ,-7 ,-1 ,-2 ,0 
0.052373 ,Right ,-1 ,0  ,-3 ,+3 ,+7 ,-5 ,-5 ,-1
0.0523758 ,Right ,-1 ,-1 ,+1 ,-4 ,-3 ,+8 ,+1 ,0 
0.0598239 ,Right ,-2 ,-2 ,+1 ,+7 ,+16 ,+6 ,+2 ,+1
0.0598278 ,Right ,0  ,-1 ,0  ,-1 ,-10 ,-5 ,-2 ,0 
0.0748761 ,Right ,-2 ,-2 ,-6 ,-21 ,-16 ,-9 ,-3 ,-1
0.0748791 ,Right ,-2 ,-2 ,-5 ,+7 ,+4 ,+1 ,-2 ,-1
0.082378 ,Right ,-2 ,0  ,+1 ,+1 ,-6 ,-4 ,+1 ,-2
0.0823809 ,Right ,-1 ,0  ,+1 ,+2 ,+10 ,+3 ,0  ,-3
0.0973563 ,Right ,0  ,-1 ,0  ,-1 ,+5 ,+3 ,0  ,-3
0.0973598 ,Right ,-1 ,-3 ,-1 ,+2 ,-1 ,-1 ,-2 ,0 
0.1124877 ,Right ,+1 ,0  ,-1 ,-6 ,-11 ,-8 ,-2 ,0 
0.1124914 ,Right ,0  ,+2 ,+1 ,+2 ,+10 ,+8 ,+1 ,+2
0.1198685 ,Right ,-2 ,-2 ,-2 ,-2 ,-2 ,0  ,+1 ,+1
0.1198717 ,Right ,-3 ,0  ,-2 ,-3 ,-2 ,-4 ,-2 ,-2
0.1348725 ,Right ,-1 ,-3 ,+1 ,-1 ,+4 ,+3 ,0  ,-3
0.1348758 ,Right ,0  ,-1 ,-1 ,-4 ,-10 ,-5 ,0  ,-1
0.142325 ,Right ,-1 ,+1 ,0  ,+1 ,-3 ,-1 ,-2 ,-2
0.142329 ,Right ,+2 ,0  ,-3 ,-3 ,+4 ,-2 ,-1 ,-1
0.1574281 ,Right ,+1 ,-1 ,-2 ,-3 ,0  ,+2 ,+1 ,+2
0.1574337 ,Right ,-2 ,-1 ,0  ,-9 ,-8 ,-3 ,+1 ,-1
0.1727387 ,Right ,-3 ,+2 ,-3 ,+8 ,+1 ,0  ,-2 ,-1
0.1727525 ,Right ,-3 ,-2 ,-2 ,-2 ,+8 ,+1 ,+1 ,-2
0.1804151 ,Right ,+1 ,+2 ,-2 ,-2 ,+1 ,+4 ,0  ,+1
0.1804235 ,Right ,0  ,0  ,+9 ,0  ,-2 ,+2 ,+4 ,-1
0.1951525 ,Right ,-1 ,0  ,+1 ,+2 ,-4 ,-2 ,-1 ,-1
0.195218 ,Right ,-1 ,-2 ,-7 ,-4 ,-4 ,-3 ,-1 ,+1
0.2027712 ,Right ,-4 ,-1 ,+1 ,-2 ,+1 ,-1 ,-2 ,-1
0.2027793 ,Right ,-1 ,-2 ,-2 ,+1 ,-5 ,-4 ,-1 ,-3
0.2177247 ,Right ,+1 ,0  ,-2 ,-3 ,-2 ,-3 ,0  ,-1
0.2177327 ,Right ,-3 ,-1 ,-2 ,+4 ,+3 ,+2 ,-1 ,-2
0.2327165 ,Right ,0  ,0  ,+5 ,+3 ,+1 ,-2 ,0  ,+1
0.2328635 ,Right ,-2 ,-21 ,-7 ,-8 ,-5 ,-5 ,-1 ,0 
0.2404374 ,Right ,+2 ,-25 ,+3 ,-2 ,+2 ,+3 ,+1 ,-1
0.2404456 ,Right ,-1 ,-25 ,-2 ,-5 ,-5 ,-4 ,-3 ,0 
0.2551304 ,Right ,0  ,-11 ,-5 ,-5 ,-5 ,-9 ,-3 ,-2
0.2551384 ,Right ,-1 ,+7 ,+2 ,+2 ,-6 ,+2 ,0  ,-2
0.2625321 ,Right ,-3 ,+16 ,+2 ,+5 ,+16 ,+12 ,+2 ,+2
0.2625383 ,Right ,+1 ,+13 ,-2 ,-2 ,0  ,-2 ,-2 ,+2
0.2773451 ,Right ,-1 ,-1 ,-7 ,-4 ,-9 ,-9 ,-6 ,-3
0.2773494 ,Right ,0  ,+4 ,-4 ,+1 ,-7 ,-2 ,0  ,-2
0.2925217 ,Right ,+1 ,+10 ,+5 ,+3 ,+15 ,+6 ,+1 ,0 
0.2925265 ,Right ,+2 ,+11 ,+5 ,-2 ,0  ,+3 ,+2 ,-1
0.2999107 ,Right ,-4 ,+5 ,-7 ,-1 ,-8 ,-5 ,-1 ,-1
0.299915 ,Right ,-4 ,+11 ,+3 ,+1 ,+6 ,+2 ,+1 ,0 
0.3148824 ,Right ,-2 ,-3 ,0  ,-4 ,-5 ,+1 ,+1 ,0 
0.3148867 ,Right ,+1 ,-15 ,0  ,+5 ,+3 ,0  ,+1 ,-1
0.3224904 ,Right ,-2 ,-22 ,+1 ,-2 ,-4 ,-5 ,-4 ,-2
0.3224948 ,Right ,-2 ,-31 ,-3 ,-5 ,-4 ,-1 ,-3 ,-1
0.3373379 ,Right ,0  ,-45 ,0  ,0  ,-11 ,-4 ,+1 ,-2
0.3373405 ,Right ,-3 ,+16 ,-7 ,-3 ,+5 ,-4 ,-2 ,-2
0.3523591 ,Right ,+1 ,+71 ,+4 ,+5 ,-4 ,+2 ,-1 ,-2
0.3523618 ,Right ,-2 ,+65 ,-2 ,+1 ,+8 ,+6 ,+1 ,+1
0.3597721 ,Right ,0  ,+67 ,-4 ,-1 ,-1 ,-4 ,-1 ,0 
0.3597762 ,Right ,0  ,+48 ,-1 ,+1 ,+3 ,+2 ,-1 ,-1
0.375378 ,Right ,0  ,+41 ,-2 ,0  ,0  ,+1 ,0  ,+1
0.3753908 ,Right ,-1 ,+27 ,-7 ,-4 ,-7 ,-6 ,-1 ,-1
0.3824015 ,Right ,-1 ,+19 ,-5 ,-6 ,-12 ,-6 ,-1 ,0 
0.3824046 ,Right ,-6 ,+5 ,+5 ,+3 ,+9 ,+5 ,0  ,0 
0.397257 ,Right ,+1 ,-11 ,-6 ,-3 ,-1 ,-2 ,-1 ,-1
0.3972597 ,Right ,+1 ,0  ,+4 ,+4 ,+2 ,+1 ,+2 ,-2
0.4123182 ,Right ,0  ,+42 ,+8 ,+2 ,0  ,-2 ,+1 ,+1
0.4123216 ,Right ,0  ,+50 ,+6 ,+2 ,+2 ,+3 ,-1 ,-5
0.4201467 ,Right ,+1 ,+23 ,-4 ,-7 ,-4 ,-3 ,-3 ,0 
0.4201499 ,Right ,+1 ,+10 ,-2 ,-2 ,-9 ,-3 ,-3 ,0 
0.4350728 ,Right ,0  ,+9 ,+1 ,-1 ,+4 ,-6 ,0  ,0 
0.4350761 ,Right ,+3 ,+14 ,+1 ,+3 ,-8 ,-2 ,0  ,+3
0.4423937 ,Right ,-2 ,-9 ,+7 ,+3 ,+9 ,+4 ,+1 ,-4
0.4423972 ,Right ,+1 ,-7 ,-8 ,-6 ,-1 ,0  ,0  ,-1
0.4574655 ,Right ,0  ,-15 ,-6 ,-2 ,-4 ,+1 ,-1 ,-1
0.4574699 ,Right ,-3 ,-2 ,0  ,+1 ,0  ,-5 ,-2 ,-2
0.4650356 ,Right ,-4 ,-1 ,-4 ,-9 ,-7 ,-3 ,-5 ,-3
0.4650405 ,Right ,-2 ,-11 ,-11 ,-7 ,-7 ,-3 ,-1 ,-1
0.4799292 ,Right ,0  ,-10 ,-9 ,+10 ,+9 ,+7 ,0  ,+1
0.4799408 ,Right ,-4 ,-18 ,+2 ,-2 ,-1 ,0  ,-1 ,-2
0.4951442 ,Right ,-1 ,-17 ,-18 ,-11 ,-12 ,-5 ,-4 ,-1
0.4951495 ,Right ,0  ,+12 ,+40 ,+10 ,+5 ,-2 ,-2 ,0 
0.5024562 ,Right ,-3 ,+2 ,-5 ,-2 ,-5 ,-4 ,-1 ,0 
0.5024618 ,Right ,0  ,-8 ,-12 ,-3 ,+7 ,+3 ,-2 ,0 
0.5176922 ,Right ,0  ,-5 ,-1 ,-1 ,-9 ,-3 ,-5 ,-1
0.517698 ,Right ,-4 ,-9 ,-5 ,+2 ,+12 ,+2 ,+2 ,0 
0.5251296 ,Right ,+1 ,-1 ,+9 ,+3 ,-6 ,-6 ,+1 ,0 
0.5251356 ,Right ,0  ,-15 ,-24 ,-4 ,-2 ,+1 ,-1 ,-1
0.5398621 ,Right ,-1 ,-1 ,+16 ,+3 ,-8 ,-12 ,-2 ,-1
0.5398647 ,Right ,+3 ,+6 ,+12 ,+4 ,+6 ,+12 ,+1 ,+2
0.5548672 ,Right ,0  ,-1 ,+10 ,+2 ,-3 ,-4 ,+3 ,+1
0.5548704 ,Right ,+3 ,+12 ,+14 ,+10 ,+9 ,0  ,0  ,+1
0.5699199 ,Right ,-4 ,-10 ,+1 ,0  ,+3 ,+2 ,-1 ,-3
0.5699239 ,Right ,+3 ,+8 ,+15 ,0  ,-10 ,-10 ,-1 ,0 
0.5775839 ,Right ,-5 ,-12 ,+17 ,+3 ,0  ,-1 ,-4 ,-8
0.5775883 ,Right ,-3 ,-6 ,-26 ,-7 ,0  ,+3 ,-2 ,+1
0.5924156 ,Right ,-2 ,-7 ,0  ,-5 ,-5 ,-1 ,-4 ,-3
0.5924198 ,Right ,-4 ,-12 ,+1 ,-4 ,-5 ,-2 ,+5 ,-2
0.6074584 ,Right ,+1 ,-10 ,-7 ,0  ,+5 ,+3 ,-1 ,-1
0.6074626 ,Right ,-2 ,-5 ,-16 ,-7 ,-4 ,-7 ,-6 ,-6
0.6148844 ,Right ,+3 ,+9 ,-3 ,+1 ,+1 ,+5 ,+3 ,+2
0.6148883 ,Right ,+1 ,-7 ,+7 ,-2 ,-1 ,-1 ,+5 ,+2
0.6302725 ,Right ,-2 ,-2 ,-16 ,-3 ,+3 ,+6 ,+4 ,+2
0.6302776 ,Right ,+1 ,+4 ,+19 ,+5 ,-2 ,-3 ,-9 ,-2
0.6374704 ,Right ,-2 ,-3 ,+3 ,0  ,-1 ,-11 ,+1 ,-2
0.6374759 ,Right ,-2 ,-6 ,-29 ,-7 ,-1 ,+13 ,+2 ,-1
0.6526253 ,Right ,0  ,-6 ,-6 ,-4 ,0  ,-6 ,-1 ,+1
0.6527073 ,Right ,-1 ,+3 ,+12 ,+1 ,-4 ,-1 ,-4 ,-1
0.6677948 ,Right ,-6 ,-13 ,-14 ,-3 ,+5 ,+4 ,+3 ,-6
0.6678014 ,Right ,-1 ,-9 ,-21 ,-4 ,0  ,-2 ,0  ,+2
0.675166 ,Right ,-2 ,0  ,-6 ,0  ,+2 ,+3 ,+2 ,+1
0.6751728 ,Right ,+1 ,+7 ,+19 ,+5 ,+5 ,-4 ,-3 ,0 
0.6902787 ,Right ,-1 ,-5 ,-6 ,-4 ,-8 ,-1 ,+1 ,-2
