timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0388029 ,Left ,-1 ,+1 ,+4 ,0  ,+2 ,-1 ,-3 ,+1
0.0388078 ,Left ,-1 ,+1 ,+1 ,-9 ,-10 ,+2 ,0  ,+1
0.0404131 ,Left ,-1 ,+1 ,-4 ,+3 ,+7 ,+2 ,+3 ,-1
0.0404155 ,Left ,-6 ,0  ,0  ,+5 ,-1 ,-6 ,-6 ,-5
0.0526961 ,Left ,-1 ,-3 ,-7 ,-6 ,+12 ,0  ,-2 ,-1
0.0526991 ,Left ,+2 ,-3 ,+1 ,-4 ,-10 ,-7 ,-3 ,-2
0.0617277 ,Left ,+1 ,+1 ,+3 ,+10 ,+11 ,0  ,+2 ,-1
0.0617307 ,Left ,-1 ,0  ,-1 ,-13 ,-7 ,-1 ,+3 ,-1
0.0765162 ,Left ,-2 ,+5 ,+5 ,0  ,-8 ,-1 ,0  ,+1
0.0765194 ,Left ,-4 ,+2 ,-1 ,+4 ,+6 ,+1 ,0  ,-1
0.0781508 ,Left ,-4 ,-5 ,-3 ,-15 ,-37 ,-6 ,-3 ,-2
0.0781541 ,Left ,-4 ,-2 ,-11 ,-2 ,-1 ,0  ,-1 ,0 
0.0989213 ,Left ,-3 ,-3 ,-6 ,+1 ,-5 ,-2 ,0  ,-2
0.0989255 ,Left ,+2 ,0  ,+2 ,+14 ,+11 ,+1 ,+2 ,+2
0.1004785 ,Left ,+2 ,-1 ,+3 ,-9 ,+1 ,-4 ,-2 ,-1
0.1004822 ,Left ,-3 ,0  ,+1 ,+7 ,+13 ,-2 ,-1 ,-5
0.1126134 ,Left ,-2 ,-3 ,-2 ,+2 ,+3 ,+3 ,-3 ,-3
0.1126182 ,Left ,0  ,-3 ,-8 ,-18 ,-7 ,-2 ,-7 ,-4
0.1216577 ,Left ,+2 ,-5 ,-4 ,-3 ,+8 ,-2 ,-7 ,+2
0.1216633 ,Left ,+5 ,-5 ,0  ,-3 ,-15 ,+1 ,-3 ,+4
0.1365343 ,Left ,+1 ,+4 ,+2 ,+5 ,+16 ,+4 ,+1 ,0 
0.1365373 ,Left ,-4 ,-1 ,+1 ,-1 ,-6 ,-1 ,-1 ,-5
0.1379446 ,Left ,-4 ,0  ,+4 ,+8 ,-6 ,-1 ,-1 ,-3
0.1379476 ,Left ,-5 ,-1 ,-1 ,-11 ,+5 ,-2 ,+1 ,0 
0.1587883 ,Left ,-2 ,-2 ,-5 ,+3 ,+17 ,-8 ,-1 ,-1
0.1587912 ,Left ,-1 ,-2 ,-1 ,-4 ,+5 ,+3 ,+3 ,+3
0.1603787 ,Left ,+2 ,0  ,+5 ,+9 ,+2 ,+2 ,+3 ,0 
0.1603813 ,Left ,-1 ,-1 ,-6 ,+4 ,-5 ,-1 ,0  ,+2
0.1728184 ,Left ,-1 ,-5 ,-2 ,-11 ,-32 ,-4 ,-2 ,0 
0.1728227 ,Left ,-3 ,-4 ,0  ,+12 ,-2 ,-2 ,-4 ,-1
0.1816842 ,Left ,0  ,0  ,-4 ,-1 ,+3 ,+2 ,-2 ,-3
0.1816877 ,Left ,-2 ,+5 ,+8 ,+2 ,-7 ,-2 ,+2 ,-1
0.1963484 ,Left ,-2 ,0  ,-1 ,-6 ,0  ,+1 ,+1 ,-1
0.1963512 ,Left ,-4 ,-2 ,-7 ,-8 ,-6 ,-10 ,-5 ,-7
0.197959 ,Left ,+1 ,+2 ,0  ,-2 ,+10 ,0  ,+2 ,-3
0.1979616 ,Left ,+5 ,0  ,-4 ,-4 ,-1 ,-3 ,0  ,-4
0.21903 ,Left ,+1 ,+3 ,-1 ,-1 ,-1 ,-4 ,0  ,-2
0.2190335 ,Left ,-1 ,+1 ,+6 ,-4 ,-11 ,-3 ,0  ,0 
0.2204886 ,Left ,-3 ,-5 ,0  ,0  ,-2 ,+1 ,-1 ,+2
0.220492 ,Left ,-2 ,-3 ,-1 ,-5 ,0  ,0  ,0  ,-1
0.232612 ,Left ,0  ,-3 ,0  ,+1 ,-15 ,+5 ,+2 ,-3
0.2326171 ,Left ,0  ,0  ,+1 ,-6 ,+2 ,+2 ,+2 ,-1
0.241538 ,Left ,-4 ,-3 ,-8 ,-4 ,-5 ,-1 ,+1 ,+2
0.2415419 ,Left ,-2 ,-3 ,-9 ,+1 ,+5 ,+1 ,-4 ,-2
0.2562416 ,Left ,0  ,-1 ,-1 ,-7 ,+2 ,+3 ,-1 ,0 
0.2562446 ,Left ,-2 ,-5 ,-1 ,+10 ,+5 ,-6 ,-1 ,-1
0.2580815 ,Left ,-1 ,+1 ,+3 ,+2 ,-8 ,+1 ,-2 ,-1
0.2580849 ,Left ,0  ,+2 ,+3 ,-1 ,-2 ,-1 ,-2 ,-1
0.2790928 ,Left ,0  ,-5 ,0  ,+18 ,+6 ,-4 ,-5 ,+1
0.2790969 ,Left ,+1 ,+1 ,-3 ,-3 ,-10 ,-4 ,-3 ,-1
0.2806921 ,Left ,-3 ,-1 ,-6 ,-25 ,-29 ,-3 ,-3 ,-3
0.2807034 ,Left ,-5 ,+2 ,+4 ,+13 ,+3 ,-1 ,-4 ,-1
0.3017172 ,Left ,-2 ,+4 ,0  ,-6 ,-4 ,0  ,-2 ,-2
0.3017241 ,Left ,+2 ,+2 ,0  ,+6 ,+9 ,+6 ,-1 ,+1
0.3031517 ,Left ,+2 ,-2 ,-3 ,+7 ,+3 ,-1 ,-2 ,-1
0.3031626 ,Left ,0  ,0  ,-3 ,-8 ,+6 ,+3 ,+4 ,+1
0.3165804 ,Left ,-1 ,-7 ,-7 ,-11 ,-13 ,-9 ,-1 ,+1
0.3165945 ,Left ,-4 ,-2 ,-2 ,-1 ,+17 ,+2 ,0  ,-1
0.3181286 ,Left ,-3 ,+5 ,+5 ,+7 ,+2 ,-5 ,0  ,-5
0.3181348 ,Left ,0  ,-2 ,-4 ,-1 ,-14 ,-3 ,-2 ,-5
0.3392479 ,Left ,-2 ,-2 ,0  ,+3 ,+7 ,+1 ,-2 ,-2
0.3392557 ,Left ,-3 ,-3 ,-1 ,+1 ,+13 ,+4 ,+2 ,-1
0.3408014 ,Left ,-2 ,0  ,+1 ,-5 ,-9 ,-1 ,0  ,0 
0.3408082 ,Left ,-1 ,+1 ,+4 ,-8 ,-6 ,-2 ,-1 ,-1
0.3617629 ,Left ,-1 ,-1 ,+2 ,+5 ,+9 ,-2 ,-2 ,-2
0.3618265 ,Left ,+4 ,+1 ,-2 ,-3 ,+8 ,-4 ,-1 ,+1
0.3632089 ,Left ,+3 ,-3 ,-2 ,-1 ,+1 ,+3 ,+2 ,0 
0.3632163 ,Left ,-5 ,-3 ,-8 ,-2 ,+8 ,-1 ,-1 ,+3
0.3766893 ,Left ,-4 ,-2 ,-2 ,-6 ,-9 ,-4 ,-5 ,-2
0.3766961 ,Left ,+1 ,+3 ,-2 ,0  ,-8 ,-1 ,-2 ,-1
0.378181 ,Left ,0  ,-2 ,-6 ,+12 ,+20 ,0  ,-1 ,-1
0.3781874 ,Left ,-1 ,-2 ,0  ,-3 ,+6 ,+1 ,-3 ,0 
0.3992975 ,Left ,-2 ,+1 ,-5 ,+1 ,-13 ,0  ,-1 ,0 
0.3993054 ,Left ,+1 ,-3 ,-1 ,-8 ,-16 ,0  ,-1 ,+1
0.4006862 ,Left ,+1 ,-2 ,+1 ,+4 ,+11 ,-1 ,-3 ,-4
0.4006926 ,Left ,-1 ,+1 ,+3 ,-1 ,+2 ,-2 ,-1 ,-3
0.4204123 ,Left ,-1 ,-3 ,+7 ,+6 ,0  ,+1 ,+2 ,-1
0.4204151 ,Left ,-6 ,-3 ,-4 ,-6 ,-9 ,-3 ,+2 ,-1
0.4291116 ,Left ,-6 ,-4 ,-9 ,+1 ,+4 ,0  ,0  ,-2
0.4291147 ,Left ,-1 ,+3 ,+3 ,+4 ,-10 ,-1 ,-2 ,-2
0.4358791 ,Left ,0  ,-4 ,-2 ,+2 ,+6 ,-1 ,0  ,-3
0.4358856 ,Left ,+1 ,-2 ,+1 ,-5 ,-14 ,+2 ,-1 ,-1
0.4429273 ,Left ,-1 ,-6 ,-2 ,+10 ,+18 ,+2 ,-4 ,+2
0.4429707 ,Left ,+2 ,-2 ,-4 ,-24 ,-53 ,-4 ,-3 ,0 
0.4594336 ,Left ,-3 ,-2 ,-3 ,-5 ,-3 ,-2 ,-4 ,+1
0.4594461 ,Left ,-1 ,-2 ,+1 ,-4 ,0  ,-1 ,-3 ,+1
0.4609115 ,Left ,-4 ,+2 ,-4 ,-6 ,+3 ,-2 ,-1 ,-2
0.4609236 ,Left ,+3 ,+5 ,+3 ,+9 ,+4 ,-1 ,0  ,-5
0.4821304 ,Left ,+2 ,+3 ,+5 ,+3 ,-3 ,-2 ,+4 ,-2
0.4821444 ,Left ,-4 ,0  ,-2 ,0  ,+5 ,+3 ,-2 ,0 
0.4834171 ,Left ,-4 ,-1 ,-3 ,-13 ,-9 ,-6 ,-4 ,+2
0.4835675 ,Left ,+1 ,-4 ,-8 ,-2 ,+1 ,0  ,-5 ,+2
0.4963967 ,Left ,-1 ,-3 ,-2 ,-9 ,-5 ,+4 ,-4 ,-4
0.4964087 ,Left ,-3 ,-4 ,-1 ,+6 ,+9 ,-1 ,0  ,-5
0.5030855 ,Left ,-2 ,-4 ,+3 ,-9 ,-44 ,0  ,+3 ,-4
0.5032919 ,Left ,-6 ,-6 ,-8 ,+2 ,+13 ,-6 ,-1 ,-3
0.5190934 ,Left ,+2 ,0  ,-2 ,+4 ,+5 ,-1 ,0  ,-2
0.5191 ,Left ,+3 ,+1 ,-4 ,-13 ,-24 ,-8 ,-4 ,-3
0.5205877 ,Left ,+4 ,-1 ,+1 ,+2 ,+4 ,+1 ,-1 ,+1
0.5205938 ,Left ,-2 ,-2 ,+3 ,-3 ,-5 ,+1 ,+2 ,0 
0.5417007 ,Left ,-4 ,-2 ,-3 ,+1 ,-2 ,0  ,0  ,+4
0.5417063 ,Left ,-2 ,-1 ,-3 ,+4 ,+12 ,+1 ,+1 ,-4
0.5432768 ,Left ,+2 ,+2 ,-2 ,0  ,+10 ,-2 ,+2 ,-5
0.5432825 ,Left ,-2 ,-5 ,+1 ,-12 ,-25 ,-5 ,-1 ,-2
0.5559538 ,Left ,-1 ,+3 ,+5 ,-6 ,+1 ,+3 ,-2 ,-1
0.5559594 ,Left ,0  ,0  ,-5 ,-2 ,+1 ,-1 ,-3 ,-4
0.5625073 ,Left ,-5 ,-6 ,+2 ,+6 ,+5 ,0  ,-2 ,-4
0.5625158 ,Left ,0  ,-1 ,-6 ,0  ,+12 ,0  ,-1 ,0 
0.5791522 ,Left ,-1 ,+3 ,+7 ,+2 ,-12 ,-3 ,+2 ,+1
