timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0154954 ,Right ,+1 ,+2 ,+6 ,+2 ,0  ,+2 ,0  ,0 
0.0155009 ,Right ,+1 ,+2 ,+6 ,+2 ,0  ,+2 ,0  ,0 
0.0155037 ,Right ,+1 ,+2 ,+6 ,+2 ,0  ,+2 ,0  ,0 
0.0155063 ,Right ,+1 ,+2 ,+6 ,+2 ,0  ,+2 ,0  ,0 
0.0155335 ,Right ,+3 ,-7 ,-2 ,+3 ,-1 ,-2 ,-1 ,-2
0.0155376 ,Right ,+3 ,-7 ,-2 ,+3 ,-1 ,-2 ,-1 ,-2
0.015541 ,Right ,+3 ,-7 ,-2 ,+3 ,-1 ,-2 ,-1 ,-2
0.0155426 ,Right ,+3 ,-7 ,-2 ,+3 ,-1 ,-2 ,-1 ,-2
0.0228597 ,Right ,+5 ,+28 ,+13 ,-1 ,+1 ,+1 ,-1 ,-1
0.0228615 ,Right ,+5 ,+28 ,+13 ,-1 ,+1 ,+1 ,-1 ,-1
0.0228632 ,Right ,+5 ,+28 ,+13 ,-1 ,+1 ,+1 ,-1 ,-1
0.0228647 ,Right ,+5 ,+28 ,+13 ,-1 ,+1 ,+1 ,-1 ,-1
0.0228853 ,Right ,-5 ,-13 ,-12 ,-5 ,0  ,+1 ,+2 ,+4
0.0228871 ,Right ,-5 ,-13 ,-12 ,-5 ,0  ,+1 ,+2 ,+4
0.0228888 ,Right ,-5 ,-13 ,-12 ,-5 ,0  ,+1 ,+2 ,+4
0.0228905 ,Right ,-5 ,-13 ,-12 ,-5 ,0  ,+1 ,+2 ,+4
0.0380069 ,Right ,+1 ,-11 ,-20 ,+5 ,+2 ,+1 ,+3 ,+12
0.0380092 ,Right ,+1 ,-11 ,-20 ,+5 ,+2 ,+1 ,+3 ,+12
0.0380108 ,Right ,+1 ,-11 ,-20 ,+5 ,+2 ,+1 ,+3 ,+12
0.0380123 ,Right ,+1 ,-11 ,-20 ,+5 ,+2 ,+1 ,+3 ,+12
0.0380146 ,Right ,+1 ,+7 ,-14 ,-10 ,-3 ,0  ,-3 ,-14
0.0380161 ,Right ,+1 ,+7 ,-14 ,-10 ,-3 ,0  ,-3 ,-14
0.0380177 ,Right ,+1 ,+7 ,-14 ,-10 ,-3 ,0  ,-3 ,-14
0.0380192 ,Right ,+1 ,+7 ,-14 ,-10 ,-3 ,0  ,-3 ,-14
0.0532358 ,Right ,-5 ,+1 ,+21 ,-2 ,-2 ,-2 ,0  ,0 
0.0532381 ,Right ,-5 ,+1 ,+21 ,-2 ,-2 ,-2 ,0  ,0 
0.0532397 ,Right ,-5 ,+1 ,+21 ,-2 ,-2 ,-2 ,0  ,0 
0.0532412 ,Right ,-5 ,+1 ,+21 ,-2 ,-2 ,-2 ,0  ,0 
0.0532436 ,Right ,-3 ,+3 ,-7 ,0  ,-1 ,-2 ,-3 ,-2
0.0532452 ,Right ,-3 ,+3 ,-7 ,0  ,-1 ,-2 ,-3 ,-2
0.0532467 ,Right ,-3 ,+3 ,-7 ,0  ,-1 ,-2 ,-3 ,-2
