timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0604492 ,Left ,+5 ,+11 ,-3 ,+5 ,+18 ,0  ,-3 ,-5
0.0604591 ,Left ,-6 ,-6 ,-1 ,-4 ,+4 ,+2 ,0  ,-3
0.0746046 ,Left ,-2 ,-3 ,-2 ,+1 ,-3 ,+2 ,-1 ,0 
0.0746072 ,Left ,0  ,-1 ,0  ,+5 ,+5 ,0  ,-1 ,-1
0.0896604 ,Left ,+2 ,+5 ,-2 ,-5 ,0  ,0  ,+1 ,+1
0.0896639 ,Left ,-1 ,-3 ,0  ,-1 ,-7 ,+1 ,-3 ,-1
0.0971503 ,Left ,-3 ,-4 ,-2 ,-8 ,-15 ,-13 ,-5 ,-2
0.0971531 ,Left ,+2 ,+3 ,-2 ,+20 ,-7 ,-1 ,0  ,+1
0.1120005 ,Left ,-4 ,-4 ,-2 ,-7 ,+23 ,+6 ,+1 ,-2
0.1120039 ,Left ,0  ,-6 ,-3 ,-10 ,-20 ,-6 ,0  ,-3
0.1196809 ,Left ,+3 ,-1 ,-3 ,-15 ,-5 ,+2 ,-1 ,+1
0.1196839 ,Left ,-6 ,-5 ,-1 ,0  ,+9 ,-2 ,0  ,0 
0.1354768 ,Left ,+9 ,+3 ,+1 ,-9 ,+8 ,+2 ,+2 ,+1
0.1355319 ,Left ,+3 ,-1 ,-3 ,0  ,+1 ,-5 ,-2 ,-1
0.1501694 ,Left ,-1 ,-4 ,0  ,-4 ,-17 ,-2 ,-1 ,-1
0.1501816 ,Left ,-5 ,+1 ,+1 ,+2 ,+16 ,+4 ,-4 ,0 
0.1578491 ,Left ,-4 ,-3 ,+1 ,+1 ,-17 ,-3 ,+1 ,0 
0.1578632 ,Left ,-9 ,-5 ,-2 ,-5 ,+5 ,+1 ,-2 ,-1
0.1725954 ,Left ,-3 ,+2 ,+1 ,-2 ,-7 ,-2 ,-2 ,-2
0.1727992 ,Left ,+1 ,0  ,-1 ,+1 ,+6 ,0  ,-2 ,-1
0.1799619 ,Left ,-4 ,-4 ,-2 ,-4 ,0  ,+3 ,+1 ,-1
