timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0709584 ,Right ,-4 ,+6 ,-39 ,-6 ,-4 ,-1 ,-1 ,-1
0.070994 ,Right ,+2 ,0  ,-6 ,+3 ,-1 ,-7 ,0  ,-1
0.0726238 ,Right ,0  ,+1 ,+17 ,-13 ,-3 ,-3 ,-5 ,-4
0.0726267 ,Right ,-3 ,+4 ,-9 ,+4 ,+2 ,+4 ,+1 ,-2
0.0849265 ,Right ,-1 ,-7 ,+21 ,+13 ,-1 ,+5 ,-4 ,-2
0.0849304 ,Right ,-1 ,+1 ,-18 ,-15 ,-8 ,-13 ,-5 ,0 
0.0937255 ,Right ,-1 ,-2 ,+2 ,+3 ,-7 ,-12 ,-3 ,-3
0.0937282 ,Right ,+1 ,-7 ,-9 ,0  ,+4 ,-3 ,-3 ,+2
0.1087401 ,Right ,-1 ,-1 ,+9 ,+1 ,+1 ,+7 ,+5 ,-2
0.1087794 ,Right ,-1 ,-2 ,+11 ,+7 ,0  ,0  ,-3 ,-3
0.1100938 ,Right ,-2 ,-1 ,+5 ,-1 ,-3 ,-2 ,-3 ,-1
0.1100964 ,Right ,-2 ,+4 ,-30 ,-12 ,-5 ,-3 ,0  ,0 
0.1315319 ,Right ,-1 ,+1 ,-8 ,-7 ,-1 ,-1 ,-3 ,+1
0.1317106 ,Right ,+1 ,-1 ,+35 ,+6 ,+3 ,+5 ,+3 ,+1
0.1333316 ,Right ,0  ,+1 ,-25 ,+4 ,-1 ,+3 ,+2 ,+1
0.1333663 ,Right ,-4 ,-6 ,-42 ,-6 ,-2 ,-2 ,-3 ,-1
0.145086 ,Right ,0  ,+2 ,+15 ,+3 ,0  ,0  ,-6 ,-2
0.1452652 ,Right ,-5 ,+3 ,+2 ,+6 ,-1 ,-5 ,+5 ,0 
0.1541865 ,Right ,-3 ,+1 ,+1 ,-9 ,-7 ,-4 ,-6 ,-4
0.1541987 ,Right ,+2 ,0  ,+14 ,+6 ,-2 ,+2 ,-4 ,-1
0.1690233 ,Right ,-2 ,-10 ,-18 ,-12 ,-3 ,0  ,-6 ,-5
0.1692108 ,Right ,0  ,0  ,-9 ,+3 ,+4 ,+1 ,+1 ,-1
0.1707601 ,Right ,-1 ,0  ,+2 ,+6 ,-2 ,-4 ,0  ,-1
