timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0280816 ,Right ,-1 ,+1 ,+9 ,-6 ,-2 ,+1 ,0  ,-1
0.0280848 ,Right ,+1 ,+5 ,+11 ,+16 ,+5 ,+5 ,+2 ,0 
0.0295892 ,Right ,-3 ,-4 ,-5 ,-3 ,-5 ,-4 ,-1 ,-1
0.0296114 ,Right ,-1 ,+5 ,-1 ,-6 ,+1 ,-3 ,-2 ,0 
0.0425679 ,Right ,-1 ,-3 ,-1 ,-5 ,-8 ,-8 ,-5 ,-2
0.0425712 ,Right ,-2 ,0  ,-7 ,-4 ,0  ,-4 ,-3 ,-1
0.0493139 ,Right ,+1 ,-5 ,-2 ,+3 ,0  ,+2 ,+3 ,+2
0.0493169 ,Right ,-1 ,-3 ,-1 ,-2 ,+1 ,+2 ,+1 ,-1
0.0658953 ,Right ,-1 ,+4 ,+2 ,+1 ,0  ,-3 ,-5 ,-1
0.0658984 ,Right ,-1 ,-3 ,-1 ,-3 ,-2 ,+1 ,-1 ,0 
0.0672371 ,Right ,-2 ,-1 ,-3 ,-2 ,+1 ,-1 ,-3 ,0 
0.0672397 ,Right ,-1 ,-1 ,+1 ,0  ,-1 ,-3 ,-3 ,-2
0.0884015 ,Right ,+1 ,+1 ,-8 ,0  ,+4 ,+8 ,+7 ,+2
0.0884053 ,Right ,-1 ,+11 ,+11 ,+2 ,-1 ,-2 ,0  ,-1
0.0897995 ,Right ,-2 ,-1 ,+1 ,0  ,+2 ,-4 ,-3 ,-2
0.0898032 ,Right ,-2 ,-1 ,+4 ,0  ,-2 ,-2 ,-4 ,-1
0.10262 ,Right ,-1 ,-7 ,-15 ,-6 ,-3 ,-5 ,-1 ,-1
0.1026254 ,Right ,-2 ,-15 ,-13 ,-6 ,-4 ,-2 ,0  ,-1
0.1092058 ,Right ,-1 ,0  ,+3 ,+4 ,+7 ,-1 ,+1 ,-1
0.1092189 ,Right ,-2 ,+8 ,+7 ,+3 ,-1 ,0  ,0  ,-3
0.1256266 ,Right ,-1 ,-1 ,-1 ,+3 ,-1 ,+1 ,+1 ,-1
0.1256299 ,Right ,-2 ,0  ,+5 ,0  ,+3 ,-1 ,0  ,-2
0.1273717 ,Right ,0  ,-2 ,-13 ,-14 ,-7 ,-5 ,-6 ,-4
0.1273754 ,Right ,-1 ,-4 ,-6 ,-5 ,-4 ,0  ,+1 ,0 
0.1484148 ,Right ,-2 ,-6 ,-7 ,-5 ,-10 ,-6 ,-5 ,-3
0.1484195 ,Right ,0  ,+5 ,+8 ,+4 ,+4 ,+1 ,0  ,0 
0.1499191 ,Right ,-1 ,+2 ,+6 ,0  ,-3 ,+3 ,+2 ,+1
0.1499235 ,Right ,-1 ,-10 ,-15 ,-2 ,-4 ,-4 ,0  ,-1
0.1624646 ,Right ,-3 ,0  ,+5 ,-1 ,-5 ,-4 ,-3 ,-2
0.1624687 ,Right ,-2 ,-1 ,-1 ,-1 ,+2 ,-5 ,-2 ,-2
0.169294 ,Right ,-1 ,-3 ,-6 ,0  ,+3 ,-1 ,0  ,-1
0.1692982 ,Right ,-1 ,+2 ,+2 ,+5 ,+2 ,+3 ,0  ,+1
0.1859674 ,Right ,0  ,-3 ,-8 ,-4 ,-3 ,-6 ,-1 ,-1
0.1860245 ,Right ,-1 ,+5 ,+10 ,+3 ,+7 ,+1 ,+1 ,0 
0.1873333 ,Right ,-2 ,+1 ,+8 ,0  ,+3 ,+6 ,+2 ,+1
0.1873428 ,Right ,-1 ,-3 ,-1 ,-1 ,0  ,-2 ,-5 ,-2
0.215923 ,Right ,-1 ,+4 ,0  ,0  ,-1 ,-1 ,0  ,-1
0.2159299 ,Right ,-2 ,-10 ,-14 ,-11 ,-5 ,-4 ,-3 ,+1
0.2173873 ,Right ,+2 ,-3 ,+2 ,+7 ,+8 ,+7 ,+4 ,0 
0.2173938 ,Right ,-2 ,+1 ,+7 ,+5 ,+2 ,0  ,+1 ,-2
0.2227254 ,Right ,0  ,0  ,-4 ,0  ,+2 ,-2 ,-1 ,-1
0.2227335 ,Right ,+1 ,+3 ,+2 ,-3 ,-3 ,0  ,0  ,-1
0.2295372 ,Right ,-1 ,+2 ,-5 ,-3 ,-4 ,-3 ,-3 ,-1
0.2295438 ,Right ,0  ,-8 ,-2 ,0  ,0  ,-2 ,-2 ,-2
0.2458573 ,Right ,0  ,0  ,-5 ,-8 ,-1 ,-5 ,-5 ,-3
0.2458644 ,Right ,+1 ,-6 ,-6 ,-3 ,-4 ,+4 ,+1 ,-2
0.2474028 ,Right ,-1 ,+2 ,-1 ,0  ,-1 ,-2 ,-2 ,-3
0.2474094 ,Right ,-1 ,-5 ,-4 ,+1 ,+4 ,+1 ,+1 ,-1
0.2684452 ,Right ,+1 ,+17 ,+18 ,+2 ,-6 ,-6 ,-5 ,-1
0.2684521 ,Right ,+1 ,-3 ,-4 ,+3 ,0  ,-3 ,-2 ,+1
0.2699158 ,Right ,-2 ,-4 ,-4 ,+1 ,+2 ,+1 ,0  ,+1
0.2699219 ,Right ,-3 ,-12 ,-19 ,-10 ,-7 ,0  ,0  ,+1
0.2826668 ,Right ,0  ,+8 ,+28 ,+11 ,+8 ,+2 ,+3 ,+1
0.2826747 ,Right ,-1 ,-5 ,-5 ,-2 ,0  ,+1 ,-5 ,-1
0.2896203 ,Right ,-3 ,-4 ,-4 ,-9 ,-13 ,-9 ,-2 ,-2
0.2896274 ,Right ,0  ,+4 ,0  ,+2 ,+4 ,+3 ,+3 ,+1
0.3056933 ,Right ,-2 ,-6 ,-12 ,0  ,0  ,+1 ,+2 ,0 
0.3056985 ,Right ,-2 ,0  ,0  ,-2 ,-2 ,+1 ,+2 ,-1
0.307647 ,Right ,-1 ,-1 ,0  ,+1 ,-1 ,-2 ,-3 ,-1
0.3076522 ,Right ,+2 ,+5 ,+5 ,-2 ,-4 ,-3 ,-6 ,-1
0.3282453 ,Right ,-2 ,-3 ,-7 ,-4 ,-1 ,+1 ,0  ,-1
0.3282491 ,Right ,-2 ,-4 ,+2 ,+2 ,+2 ,-2 ,-2 ,-1
0.3299682 ,Right ,0  ,-3 ,-2 ,-4 ,-5 ,-2 ,-2 ,-1
0.3299724 ,Right ,-2 ,-2 ,-2 ,-1 ,-1 ,-1 ,-2 ,-3
0.3424797 ,Right ,0  ,-5 ,+10 ,+7 ,+8 ,+6 ,+4 ,+2
0.3424833 ,Right ,0  ,+1 ,-12 ,-7 ,-10 ,-2 ,+4 ,0 
0.3493092 ,Right ,-1 ,-4 ,+6 ,+12 ,+14 ,+2 ,0  ,0 
0.3493129 ,Right ,+1 ,+23 ,+15 ,-1 ,-3 ,-4 ,-1 ,-1
0.3658694 ,Right ,-2 ,-5 ,-12 ,-6 ,-1 ,+2 ,-1 ,-1
0.365874 ,Right ,-3 ,-7 ,-4 ,-6 ,+4 ,-1 ,0  ,0 
0.3673198 ,Right ,-1 ,-4 ,+2 ,+3 ,-5 ,+5 ,+3 ,0 
0.3673237 ,Right ,-2 ,-4 ,-6 ,-4 ,-5 ,-5 ,0  ,0 
0.388514 ,Right ,0  ,-4 ,-5 ,-1 ,-1 ,+6 ,+2 ,-1
0.3885194 ,Right ,-1 ,-1 ,-4 ,-1 ,-2 ,-4 ,-1 ,-3
0.3898697 ,Right ,-1 ,+1 ,-9 ,-8 ,-9 ,-4 ,-3 ,-1
0.3898745 ,Right ,-7 ,-3 ,+3 ,+6 ,+5 ,-5 ,-4 ,-1
0.4020437 ,Right ,+2 ,-2 ,0  ,+2 ,+5 ,+2 ,+1 ,-1
0.4020499 ,Right ,-3 ,0  ,+2 ,-1 ,0  ,+2 ,-2 ,-1
0.4110652 ,Right ,-2 ,+4 ,-2 ,-6 ,-5 ,-4 ,-2 ,-2
0.4110739 ,Right ,-1 ,-3 ,+2 ,+1 ,-5 ,-3 ,+1 ,0 
0.4262638 ,Right ,-2 ,-2 ,-2 ,-7 ,-3 ,-4 ,-3 ,-4
0.426394 ,Right ,+1 ,-2 ,-10 ,+1 ,0  ,-1 ,-3 ,0 
