timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.010133 ,Left ,-2 ,-2 ,-6 ,-3 ,-1 ,0  ,0  ,-2
0.0101365 ,Left ,-4 ,-6 ,-1 ,-3 ,-4 ,-1 ,-1 ,0 
0.0250426 ,Left ,+1 ,0  ,-4 ,+3 ,-1 ,-4 ,-1 ,-2
0.0250453 ,Left ,-5 ,-4 ,-2 ,-5 ,-3 ,+1 ,0  ,-2
0.032558 ,Left ,-4 ,-5 ,+1 ,-1 ,-1 ,-2 ,-1 ,0 
0.0325608 ,Left ,+3 ,+8 ,+2 ,-2 ,+1 ,0  ,+1 ,+2
0.0477408 ,Left ,0  ,0  ,-3 ,+2 ,+6 ,-1 ,-2 ,0 
0.0477445 ,Left ,-2 ,-6 ,-7 ,-2 ,+5 ,+3 ,0  ,-1
0.0550477 ,Left ,-2 ,-3 ,0  ,+2 ,0  ,+1 ,-1 ,-2
0.0550509 ,Left ,0  ,-1 ,-1 ,-4 ,-6 ,-1 ,+2 ,-1
0.0629237 ,Left ,+2 ,+2 ,+2 ,+3 ,+6 ,0  ,0  ,-1
0.0629268 ,Left ,0  ,-1 ,-7 ,-7 ,-2 ,-3 ,-1 ,-2
0.0702086 ,Left ,-1 ,+1 ,+2 ,+1 ,0  ,-1 ,-2 ,-1
0.0702118 ,Left ,+3 ,-3 ,-7 ,-6 ,-3 ,-3 ,-1 ,-2
0.0852949 ,Left ,+2 ,+2 ,+3 ,+2 ,-4 ,-3 ,-2 ,-1
0.0852983 ,Left ,-1 ,+1 ,0  ,+1 ,+4 ,+1 ,-1 ,-1
0.0928709 ,Left ,-1 ,-2 ,-3 ,-5 ,-3 ,-1 ,+1 ,+2
0.0928738 ,Left ,-8 ,-7 ,-8 ,-4 ,-6 ,-3 ,-2 ,-2
0.1076434 ,Left ,+6 ,+3 ,+5 ,0  ,+4 ,0  ,-1 ,-1
0.1076462 ,Left ,0  ,+2 ,+2 ,-5 ,-17 ,-5 ,-2 ,-1
0.115062 ,Left ,+1 ,-3 ,-2 ,+3 ,+7 ,+5 ,+1 ,+1
0.1150651 ,Left ,+1 ,+4 ,-2 ,-1 ,+2 ,-6 ,-1 ,-1
0.1226319 ,Left ,-5 ,-5 ,-3 ,-2 ,-11 ,-1 ,-3 ,-1
0.1226351 ,Left ,+1 ,+2 ,+5 ,+1 ,+3 ,+1 ,+1 ,0 
0.1300791 ,Left ,+2 ,+5 ,-5 ,-1 ,-1 ,-2 ,-1 ,0 
0.1300826 ,Left ,0  ,0  ,+6 ,+5 ,0  ,+2 ,-3 ,-1
0.1452227 ,Left ,-5 ,-5 ,-9 ,-7 ,-2 ,-2 ,+1 ,-1
0.145228 ,Left ,+3 ,-3 ,-1 ,-4 ,+3 ,0  ,0  ,+2
0.1527424 ,Left ,0  ,-3 ,-5 ,-6 ,-9 ,-2 ,0  ,-2
0.1527489 ,Left ,-3 ,+4 ,+11 ,+3 ,+6 ,-2 ,-1 ,-3
0.1679821 ,Left ,-3 ,0  ,+5 ,+3 ,+4 ,-3 ,-2 ,-1
0.1679889 ,Left ,-3 ,-2 ,-4 ,0  ,+3 ,+3 ,-2 ,-2
0.1754571 ,Left ,-3 ,0  ,-2 ,-5 ,-1 ,-5 ,0  ,0 
0.1754644 ,Left ,0  ,-7 ,-7 ,0  ,-4 ,-2 ,-2 ,-2
0.1830726 ,Left ,-2 ,-2 ,-1 ,+3 ,+2 ,-1 ,-1 ,-1
0.1830808 ,Left ,-3 ,-1 ,0  ,-2 ,+3 ,-2 ,-2 ,-1
0.1906234 ,Left ,-4 ,-2 ,-2 ,-2 ,-3 ,-1 ,-1 ,-1
0.1906316 ,Left ,-2 ,-7 ,-6 ,-4 ,+3 ,0  ,-2 ,-1
0.2050749 ,Left ,+1 ,+5 ,+6 ,+3 ,-7 ,-1 ,0  ,-1
0.2050779 ,Left ,-5 ,-6 ,-9 ,-3 ,-1 ,-1 ,-1 ,-3
0.2128363 ,Left ,+5 ,+3 ,+3 ,-1 ,-3 ,0  ,-3 ,-3
0.2128392 ,Left ,-2 ,-1 ,-2 ,-3 ,+2 ,-1 ,+1 ,+3
0.2277314 ,Left ,-2 ,-5 ,-7 ,-6 ,+2 ,0  ,0  ,-3
0.2277345 ,Left ,+2 ,+4 ,+3 ,0  ,-5 ,-4 ,-1 ,0 
0.2353319 ,Left ,+1 ,-2 ,-4 ,-1 ,-2 ,-3 ,-1 ,-3
0.2353354 ,Left ,0  ,-1 ,-4 ,-4 ,-5 ,-1 ,-2 ,-1
0.2426857 ,Left ,0  ,+4 ,+10 ,+7 ,+2 ,0  ,-1 ,+2
0.2426901 ,Left ,-3 ,-4 ,-2 ,-2 ,-2 ,0  ,+1 ,-2
0.2500906 ,Left ,-4 ,-4 ,-2 ,0  ,-1 ,-1 ,-3 ,-2
0.2500932 ,Left ,-1 ,+3 ,+3 ,-1 ,-2 ,+3 ,-1 ,-1
0.2653278 ,Left ,-1 ,-2 ,-6 ,-7 ,-4 ,-3 ,-1 ,-1
0.2653316 ,Left ,0  ,+1 ,+6 ,+5 ,0  ,+1 ,+1 ,+2
0.272861 ,Left ,-6 ,-7 ,-7 ,-4 ,-1 ,-2 ,-3 ,-4
0.2728651 ,Left ,+1 ,+1 ,+1 ,-1 ,-4 ,-1 ,-2 ,-3
0.280376 ,Left ,-1 ,-6 ,-5 ,-3 ,-1 ,-1 ,0  ,0 
0.2803802 ,Left ,+3 ,+4 ,+3 ,0  ,-2 ,-1 ,-1 ,-2
0.287861 ,Left ,0  ,-4 ,-3 ,+1 ,0  ,0  ,-1 ,+2
0.2878652 ,Left ,+2 ,+3 ,0  ,+7 ,+7 ,+2 ,-1 ,-1
0.3028691 ,Left ,0  ,-1 ,-6 ,-11 ,-15 ,-7 ,-4 ,-1
0.3028731 ,Left ,+3 ,+3 ,-1 ,+3 ,-4 ,-2 ,-3 ,-1
0.3102546 ,Left ,-1 ,0  ,-1 ,-3 ,-3 ,-2 ,+1 ,-1
0.3102588 ,Left ,-1 ,-4 ,-4 ,-2 ,-1 ,0  ,-2 ,-1
0.3254621 ,Left ,+1 ,+2 ,+3 ,+5 ,+1 ,-1 ,-1 ,0 
0.3254684 ,Left ,-2 ,-2 ,-5 ,-1 ,+2 ,-1 ,-3 ,-1
0.3328744 ,Left ,-4 ,-2 ,+6 ,+1 ,-2 ,-1 ,-2 ,-3
0.3328845 ,Left ,-1 ,+1 ,-2 ,-4 ,-6 ,-1 ,-1 ,-3
0.3407089 ,Left ,-4 ,-7 ,-10 ,-2 ,0  ,-2 ,-1 ,+1
0.3407215 ,Left ,0  ,-2 ,+1 ,-2 ,0  ,-1 ,+1 ,0 
0.3482907 ,Left ,-3 ,-4 ,0  ,+3 ,+3 ,-1 ,+1 ,0 
0.3483043 ,Left ,+3 ,+5 ,+1 ,-3 ,-3 ,-3 ,+1 ,+1
0.3632698 ,Left ,-5 ,-2 ,-3 ,-1 ,+2 ,+2 ,-2 ,-4
0.3632824 ,Left ,-3 ,-2 ,-5 ,-1 ,+3 ,-1 ,-2 ,-3
0.3707963 ,Left ,0  ,+1 ,0  ,+1 ,-10 ,-3 ,0  ,-1
0.3708101 ,Left ,0  ,+2 ,+4 ,+2 ,+1 ,-2 ,0  ,-1
0.3853121 ,Left ,+4 ,+3 ,+2 ,-6 ,-2 ,+1 ,+1 ,0 
0.3853187 ,Left ,-4 ,-7 ,-7 ,-4 ,-1 ,0  ,0  ,-1
0.3927806 ,Left ,0  ,-2 ,+2 ,+4 ,+19 ,+2 ,-1 ,0 
0.3927855 ,Left ,-5 ,-5 ,-6 ,-7 ,-22 ,-8 ,-3 ,-4
0.4002434 ,Left ,+2 ,+3 ,+3 ,+4 ,+3 ,0  ,-2 ,0 
0.4002472 ,Left ,+2 ,-1 ,+4 ,+4 ,+2 ,+1 ,-1 ,-1
0.4076256 ,Left ,-5 ,-6 ,-5 ,-5 ,0  ,-1 ,0  ,0 
0.4076293 ,Left ,+5 ,+2 ,-1 ,+2 ,+8 ,0  ,+2 ,+2
0.4226629 ,Left ,-7 ,-5 ,-6 ,-5 ,-4 ,-1 ,0  ,-1
0.4226666 ,Left ,-3 ,-4 ,-6 ,-2 ,-5 ,-2 ,-2 ,-1
0.4302033 ,Left ,0  ,+5 ,+5 ,+1 ,+1 ,+2 ,-2 ,0 
0.4302073 ,Left ,-8 ,-10 ,-6 ,+4 ,+8 ,0  ,-2 ,-1
0.4451183 ,Left ,-4 ,0  ,+1 ,-6 ,-12 ,-1 ,0  ,-1
0.4451217 ,Left ,+3 ,+3 ,+4 ,+4 ,+4 ,0  ,-1 ,+2
0.4526689 ,Left ,+3 ,+2 ,+1 ,-6 ,-11 ,-5 ,-1 ,+1
0.4526717 ,Left ,-5 ,-7 ,-6 ,-5 ,+2 ,0  ,-1 ,-5
0.4600784 ,Left ,+1 ,+3 ,-1 ,+6 ,+8 ,+3 ,-1 ,-3
0.4600811 ,Left ,-2 ,-1 ,+4 ,-2 ,-7 ,-3 ,-2 ,-4
0.4677069 ,Left ,+5 ,+5 ,+1 ,+1 ,+12 ,+5 ,-1 ,0 
0.4677102 ,Left ,0  ,-5 ,-1 ,-3 ,-7 ,-2 ,-3 ,0 
0.4827433 ,Left ,-1 ,-3 ,-9 ,-9 ,-3 ,-3 ,0  ,-3
0.4827483 ,Left ,+1 ,-2 ,0  ,+9 ,+8 ,+3 ,+1 ,+1
0.4904477 ,Left ,+5 ,+9 ,+5 ,-7 ,-21 ,-5 ,+2 ,+3
0.4904535 ,Left ,+3 ,+4 ,+1 ,+8 ,+11 ,+4 ,-1 ,0 
0.5052847 ,Left ,-2 ,-6 ,-3 ,-6 ,-7 ,-1 ,-2 ,0 
0.5052909 ,Left ,-3 ,-4 ,-3 ,-4 ,-2 ,-1 ,0  ,-1
0.5127562 ,Left ,+2 ,-4 ,-7 ,+3 ,-1 ,-1 ,0  ,0 
0.5127625 ,Left ,-2 ,+4 ,+7 ,-6 ,+2 ,-1 ,+3 ,0 
0.5205034 ,Left ,-6 ,-7 ,-3 ,-4 ,-14 ,-5 ,-3 ,-4
0.5205108 ,Left ,+1 ,+8 ,+1 ,-1 ,-1 ,0  ,-1 ,-2
0.5279002 ,Left ,-1 ,-2 ,-3 ,+4 ,0  ,+1 ,-1 ,-1
0.5279071 ,Left ,-2 ,-2 ,-2 ,-10 ,-15 ,-7 ,-2 ,+1
0.5427571 ,Left ,0  ,-2 ,+1 ,+9 ,+7 ,-2 ,-1 ,0 
0.5427625 ,Left ,-2 ,-8 ,-8 ,-10 ,0  ,-1 ,0  ,-1
0.5501712 ,Left ,-13 ,-17 ,-9 ,+4 ,-7 ,-2 ,-2 ,-5
0.5501758 ,Left ,-4 ,+6 ,+3 ,0  ,0  ,+1 ,-4 ,-4
0.565163 ,Left ,+6 ,+13 ,+15 ,+5 ,+9 ,+1 ,+2 ,+2
0.5651673 ,Left ,-5 ,0  ,+2 ,-2 ,-3 ,-3 ,-3 ,-2
0.5726588 ,Left ,-1 ,0  ,-6 ,-11 ,-2 ,+4 ,0  ,0 
0.5726631 ,Left ,-2 ,-5 ,+1 ,+19 ,+17 ,-1 ,+1 ,-1
0.5803562 ,Left ,-3 ,-6 ,-16 ,-35 ,-44 ,-14 ,-5 ,-4
0.5803608 ,Left ,-2 ,+1 ,-2 ,+2 ,-1 ,+3 ,+5 ,-1
0.5878613 ,Left ,-4 ,+3 ,+5 ,0  ,+12 ,+4 ,-3 ,-4
0.5878662 ,Left ,+29 ,+6 ,+9 ,+13 ,+9 ,0  ,+1 ,+11
0.6028568 ,Left ,-19 ,-7 ,-5 ,-4 ,+4 ,+6 ,0  ,-8
0.6028626 ,Left ,+8 ,-3 ,-2 ,-6 ,-9 ,-6 ,-3 ,0 
0.6102498 ,Left ,+31 ,+10 ,+1 ,-8 ,-3 ,+1 ,+9 ,+15
