timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0121465 ,Left ,+4 ,+6 ,+2 ,+4 ,-1 ,-3 ,-1 ,+3
0.0121798 ,Left ,-3 ,-2 ,-1 ,-2 ,+1 ,+1 ,-2 ,-1
0.020339 ,Left ,-3 ,-3 ,-3 ,-4 ,0  ,0  ,+1 ,-1
0.0203448 ,Left ,-4 ,-2 ,-2 ,+6 ,+11 ,-4 ,-1 ,-2
0.0355024 ,Left ,+3 ,+1 ,-1 ,-8 ,-23 ,0  ,0  ,0 
0.0355055 ,Left ,0  ,-3 ,0  ,+1 ,0  ,-4 ,-2 ,0 
0.036348 ,Left ,-1 ,0  ,0  ,+1 ,0  ,-2 ,-2 ,-2
0.0363514 ,Left ,-3 ,-5 ,-7 ,-12 ,-4 ,+1 ,-2 ,0 
0.0579822 ,Left ,+1 ,0  ,+4 ,+9 ,+10 ,+3 ,0  ,0 
0.0579853 ,Left ,-3 ,-1 ,-4 ,-2 ,-3 ,-4 ,-1 ,-4
0.0587751 ,Left ,-2 ,+1 ,+1 ,0  ,0  ,-3 ,0  ,-3
0.0587781 ,Left ,-1 ,-3 ,-5 ,-3 ,-6 ,+1 ,+2 ,-2
0.0722531 ,Left ,0  ,-3 ,0  ,+4 ,+2 ,-5 ,-5 ,-2
0.072256 ,Left ,+1 ,+5 ,+8 ,+1 ,-3 ,+1 ,-1 ,-1
0.0802057 ,Left ,-1 ,0  ,-1 ,-1 ,0  ,0  ,-2 ,+2
0.0802082 ,Left ,-2 ,-2 ,-1 ,0  ,-3 ,-1 ,0  ,-1
0.095345 ,Left ,-1 ,-1 ,-3 ,+1 ,+2 ,-1 ,-1 ,-1
0.0953482 ,Left ,-4 ,-4 ,-6 ,-3 ,+1 ,-2 ,0  ,-1
0.0961897 ,Left ,-1 ,-4 ,-3 ,+2 ,+1 ,+1 ,0  ,0 
0.0961922 ,Left ,+4 ,+8 ,+8 ,+8 ,+1 ,0  ,0  ,+2
0.1179394 ,Left ,-3 ,-2 ,-1 ,+1 ,+6 ,-3 ,-2 ,-3
0.1179426 ,Left ,-2 ,-3 ,-4 ,-6 ,-13 ,0  ,+4 ,0 
0.1187956 ,Left ,0  ,-3 ,-2 ,-7 ,-8 ,-3 ,-5 ,-1
0.1187989 ,Left ,-1 ,+1 ,-2 ,-4 ,-5 ,+1 ,-4 ,-2
