timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0120149 ,Right ,-2 ,+2 ,+4 ,-5 ,-2 ,-2 ,-1 ,0 
0.0120457 ,Right ,-2 ,-7 ,-15 ,-3 ,-3 ,+1 ,-1 ,0 
0.0193197 ,Right ,-1 ,-3 ,-6 ,-3 ,-4 ,-2 ,-1 ,-2
0.0193426 ,Right ,-3 ,0  ,+10 ,+1 ,-6 ,-1 ,-1 ,0 
0.0343996 ,Right ,+1 ,+4 ,0  ,-2 ,-4 ,-1 ,-3 ,0 
0.0344032 ,Right ,-2 ,-7 ,-3 ,+5 ,0  ,-2 ,-1 ,-1
0.0495432 ,Right ,-1 ,-5 ,-12 ,-15 ,-3 ,-1 ,0  ,-1
0.0495466 ,Right ,-2 ,-2 ,0  ,+2 ,+6 ,0  ,0  ,-1
0.0570161 ,Right ,-1 ,+3 ,+5 ,+2 ,+5 ,+2 ,0  ,+1
0.0570189 ,Right ,-1 ,+1 ,-3 ,+1 ,+2 ,-1 ,-2 ,-2
0.0722642 ,Right ,-1 ,+3 ,+2 ,-3 ,-2 ,0  ,0  ,+1
0.0722712 ,Right ,0  ,+1 ,+4 ,+3 ,0  ,+1 ,-1 ,-2
0.0797354 ,Right ,-1 ,-8 ,-8 ,+1 ,0  ,0  ,+1 ,-1
0.079739 ,Right ,+1 ,+2 ,+8 ,+4 ,-8 ,-5 ,+1 ,0 
0.0945277 ,Right ,-3 ,-4 ,-13 ,-7 ,+1 ,-2 ,-1 ,0 
0.094532 ,Right ,-2 ,-4 ,-3 ,-2 ,-2 ,-2 ,-1 ,-3
0.109856 ,Right ,+1 ,-1 ,-6 ,-3 ,-4 ,-1 ,0  ,-2
0.1098606 ,Right ,+2 ,-2 ,+2 ,+2 ,-1 ,0  ,+1 ,-2
0.117042 ,Right ,-1 ,+2 ,+2 ,-3 ,-4 ,-2 ,0  ,-2
0.1170459 ,Right ,0  ,-7 ,-7 ,-1 ,+1 ,+1 ,0  ,-1
0.1320121 ,Right ,-3 ,0  ,+4 ,+3 ,-1 ,-3 ,0  ,0 
0.1320153 ,Right ,0  ,+4 ,-1 ,-1 ,-1 ,-2 ,-1 ,-1
0.1395866 ,Right ,0  ,+4 ,+4 ,-3 ,-1 ,0  ,-2 ,-1
0.1395899 ,Right ,+1 ,+1 ,0  ,+4 ,+3 ,+1 ,+1 ,+1
0.1545452 ,Right ,-1 ,-6 ,-13 ,-10 ,-3 ,-2 ,0  ,-1
0.1545503 ,Right ,-1 ,0  ,-2 ,0  ,+1 ,0  ,+1 ,-1
0.1622482 ,Right ,-3 ,-5 ,+5 ,+2 ,-6 ,-2 ,-1 ,-3
0.1622536 ,Right ,0  ,+3 ,+3 ,0  ,+3 ,+4 ,-1 ,+1
0.1773418 ,Right ,-1 ,+5 ,+3 ,+2 ,+2 ,0  ,0  ,0 
0.1773505 ,Right ,-4 ,-1 ,0  ,-1 ,-1 ,-2 ,-1 ,0 
0.1922102 ,Right ,-1 ,-6 ,+2 ,-3 ,-3 ,-5 ,-1 ,0 
0.1922159 ,Right ,+1 ,+5 ,-1 ,-1 ,+3 ,+2 ,0  ,0 
0.1998282 ,Right ,-3 ,-7 ,-8 ,+2 ,+2 ,-1 ,-1 ,0 
