timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0145918 ,Left ,-2 ,+4 ,+5 ,-1 ,-2 ,0  ,0  ,-3
0.014595 ,Left ,-2 ,-6 ,-4 ,+1 ,+2 ,-2 ,+2 ,+1
0.0218176 ,Left ,+1 ,-2 ,-3 ,-4 ,-15 ,-3 ,+1 ,0 
0.0218391 ,Left ,-3 ,-2 ,0  ,+1 ,+4 ,+2 ,-1 ,0 
0.0295415 ,Left ,0  ,-4 ,-3 ,-3 ,-6 ,0  ,-1 ,+2
0.029544 ,Left ,+4 ,+6 ,+6 ,+5 ,0  ,+3 ,-1 ,+1
0.0369948 ,Left ,-1 ,-1 ,-2 ,-2 ,-3 ,-1 ,+1 ,0 
0.0369973 ,Left ,+1 ,-8 ,-2 ,0  ,0  ,-8 ,-2 ,+2
0.0520602 ,Left ,-3 ,-1 ,-2 ,-5 ,-2 ,-3 ,0  ,-2
0.0520631 ,Left ,+1 ,+3 ,-2 ,-4 ,-3 ,+2 ,-3 ,-1
0.0595583 ,Left ,-2 ,0  ,0  ,0  ,-1 ,-4 ,-2 ,-2
0.0595608 ,Left ,0  ,-2 ,+2 ,+2 ,+8 ,+2 ,+1 ,+1
0.0746777 ,Left ,-3 ,-3 ,-4 ,-9 ,-14 ,-4 ,-2 ,0 
0.0746808 ,Left ,-2 ,-6 ,-3 ,-2 ,+1 ,-5 ,0  ,0 
0.082247 ,Left ,-7 ,-10 ,-5 ,-6 ,-1 ,0  ,-1 ,-5
0.0822505 ,Left ,-5 ,-2 ,-1 ,+3 ,0  ,+1 ,+1 ,-2
0.0898023 ,Left ,-2 ,+3 ,+6 ,+6 ,+7 ,+4 ,0  ,-2
0.0898057 ,Left ,-4 ,+5 ,0  ,-2 ,-5 ,+1 ,+1 ,-4
0.0970841 ,Left ,-2 ,+2 ,-3 ,-5 ,0  ,-11 ,-4 ,-1
0.0970877 ,Left ,-3 ,-1 ,0  ,-1 ,-2 ,0  ,0  ,-1
0.112938 ,Left ,+1 ,+4 ,-2 ,0  ,+3 ,-1 ,-2 ,-3
0.1131207 ,Left ,-8 ,-6 ,-4 ,0  ,-9 ,-5 ,-5 ,-5
0.1200195 ,Left ,-2 ,0  ,0  ,-1 ,+4 ,-1 ,-1 ,+1
0.1200313 ,Left ,-1 ,-4 ,-3 ,-4 ,0  ,-2 ,+1 ,+1
0.1350273 ,Left ,-6 ,-5 ,-8 ,-5 ,-5 ,-11 ,-4 ,-5
0.1350393 ,Left ,+7 ,+1 ,+7 ,+1 ,+2 ,+2 ,-2 ,-1
0.142885 ,Left ,+1 ,0  ,+1 ,0  ,+1 ,+17 ,0  ,+1
0.1430444 ,Left ,-3 ,-1 ,-2 ,0  ,-4 ,+9 ,-4 ,-2
0.1502083 ,Left ,-2 ,-5 ,-2 ,-1 ,-1 ,+5 ,-1 ,-2
0.1502421 ,Left ,-3 ,-1 ,-4 ,-3 ,-1 ,-2 ,+1 ,-1
0.1575627 ,Left ,-2 ,-2 ,+4 ,+6 ,-1 ,-6 ,0  ,+2
0.1575747 ,Left ,+8 ,+1 ,+3 ,-1 ,-2 ,-4 ,+2 ,0 
0.1728578 ,Left ,+2 ,-1 ,-2 ,-2 ,-8 ,-7 ,0  ,+1
0.1730335 ,Left ,+4 ,+7 ,0  ,-1 ,-1 ,-12 ,-2 ,0 
0.1801273 ,Left ,-1 ,-2 ,0  ,-1 ,-3 ,-7 ,+1 ,+1
0.1801398 ,Left ,-2 ,0  ,-2 ,+3 ,-3 ,-15 ,+2 ,0 
0.1951846 ,Left ,+6 ,+4 ,+5 ,+2 ,+6 ,0  ,+1 ,+4
0.1953681 ,Left ,-4 ,-4 ,-6 ,-4 ,0  ,-3 ,-2 ,+1
0.2025108 ,Left ,0  ,+2 ,0  ,0  ,+4 ,+10 ,+1 ,+1
0.2026463 ,Left ,0  ,0  ,+1 ,0  ,-2 ,-3 ,-4 ,-2
0.2101679 ,Left ,+5 ,-2 ,-1 ,0  ,+1 ,-8 ,-1 ,0 
0.2101806 ,Left ,-1 ,-5 ,-3 ,-5 ,-5 ,-9 ,0  ,+2
0.2176459 ,Left ,-3 ,-3 ,-2 ,+3 ,+2 ,-3 ,-3 ,-3
0.2178435 ,Left ,0  ,-3 ,-5 ,-6 ,-4 ,+3 ,-2 ,-4
0.2327781 ,Left ,-3 ,-2 ,0  ,+1 ,+3 ,+7 ,-1 ,-3
0.2328638 ,Left ,-3 ,-4 ,-1 ,-6 ,-7 ,+8 ,+3 ,+1
0.2396088 ,Left ,-5 ,-1 ,+2 ,+3 ,+1 ,+2 ,-2 ,-2
0.2396153 ,Left ,-3 ,-5 ,-3 ,0  ,+1 ,+3 ,0  ,-2
0.2547138 ,Left ,+7 ,+8 ,+6 ,+6 ,+6 ,+4 ,+1 ,+5
0.2547179 ,Left ,+3 ,+7 ,+4 ,+4 ,-2 ,+1 ,-3 ,-3
0.2623048 ,Left ,-4 ,-2 ,-3 ,-3 ,-4 ,+1 ,-2 ,-3
