timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0094212 ,Right ,0  ,+7 ,+15 ,+7 ,+1 ,+3 ,-4 ,0 
0.0094456 ,Right ,-2 ,-3 ,-12 ,-13 ,-4 ,-3 ,+3 ,-3
0.018403 ,Right ,0  ,-2 ,+2 ,+5 ,0  ,+3 ,-3 ,-2
0.0184662 ,Right ,-3 ,-6 ,-4 ,-2 ,+1 ,+1 ,-7 ,-3
0.0335515 ,Right ,-1 ,+1 ,+1 ,-4 ,-9 ,-7 ,+1 ,-1
0.0335549 ,Right ,-1 ,-2 ,+6 ,+2 ,0  ,+2 ,-1 ,+2
0.0350016 ,Right ,+1 ,-2 ,-2 ,+2 ,+2 ,-1 ,+1 ,+3
0.0350045 ,Right ,+1 ,+1 ,+6 ,+4 ,+1 ,-3 ,+1 ,+1
0.055904 ,Right ,-2 ,-2 ,-5 ,+2 ,+1 ,+2 ,+1 ,-1
0.0559081 ,Right ,-2 ,+2 ,+4 ,-7 ,-4 ,-2 ,-3 ,-1
0.0575292 ,Right ,-3 ,-4 ,+1 ,-7 ,0  ,-2 ,0  ,-2
0.0575317 ,Right ,+2 ,-1 ,-4 ,0  ,-3 ,+1 ,+1 ,+1
0.0694484 ,Right ,-1 ,-8 ,-8 ,-5 ,-2 ,-3 ,-4 ,-1
0.0694783 ,Right ,0  ,+2 ,+12 ,+8 ,+5 ,+5 ,-3 ,-3
0.0786991 ,Right ,0  ,-1 ,+2 ,+7 ,+4 ,-3 ,-7 ,0 
0.0787024 ,Right ,0  ,+2 ,+10 ,-4 ,-4 ,+3 ,+4 ,+2
0.0935631 ,Right ,-1 ,-6 ,-27 ,-11 ,-3 ,-1 ,-3 ,-2
0.0935669 ,Right ,+1 ,-5 ,-1 ,+1 ,-5 ,-6 ,-3 ,-3
0.095211 ,Right ,-3 ,+2 ,+7 ,+3 ,+1 ,-1 ,-1 ,-1
0.0952147 ,Right ,-1 ,-1 ,-3 ,-2 ,-1 ,-4 ,-1 ,-3
0.1164038 ,Right ,-2 ,0  ,+4 ,0  ,+1 ,0  ,+1 ,+2
0.1164235 ,Right ,0  ,+2 ,0  ,+1 ,-4 ,-3 ,0  ,0 
0.117753 ,Right ,+2 ,0  ,-1 ,-1 ,0  ,+1 ,+3 ,+1
0.1178488 ,Right ,-1 ,0  ,-4 ,-1 ,0  ,-4 ,-3 ,-1
0.1302302 ,Right ,-1 ,+2 ,+2 ,+1 ,+2 ,+4 ,+2 ,0 
0.130242 ,Right ,-3 ,-5 ,-1 ,-1 ,0  ,-3 ,+1 ,0 
0.1390261 ,Right ,-1 ,-2 ,-4 ,-7 ,-7 ,0  ,0  ,-2
0.139038 ,Right ,-2 ,0  ,+1 ,-3 ,0  ,-2 ,+2 ,-1
0.154013 ,Right ,-2 ,0  ,-3 ,+1 ,-2 ,-4 ,-1 ,-3
0.1540264 ,Right ,-1 ,0  ,+1 ,+1 ,+4 ,+1 ,-3 ,0 
0.1554962 ,Right ,-2 ,-1 ,0  ,0  ,-3 ,-4 ,-2 ,-1
0.1555078 ,Right ,+1 ,0  ,+1 ,-1 ,-1 ,-1 ,-1 ,+1
0.1765259 ,Right ,0  ,-4 ,-8 ,-5 ,0  ,+3 ,+2 ,+1
0.1765386 ,Right ,-1 ,0  ,+2 ,+4 ,-5 ,-6 ,-3 ,-1
0.1778904 ,Right ,-1 ,-2 ,-5 ,-1 ,0  ,0  ,0  ,-5
0.1779024 ,Right ,0  ,0  ,-1 ,+2 ,+2 ,+3 ,-2 ,-1
0.1901261 ,Right ,-1 ,-1 ,-1 ,-5 ,-3 ,-3 ,-1 ,-2
0.1901388 ,Right ,-2 ,-1 ,+1 ,0  ,-5 ,-2 ,0  ,-1
0.1988661 ,Right ,0  ,+1 ,0  ,+2 ,+6 ,+3 ,-5 ,-1
0.1988783 ,Right ,-1 ,-1 ,-1 ,0  ,-2 ,+1 ,-2 ,0 
0.2138993 ,Right ,+3 ,+6 ,+2 ,-1 ,+1 ,0  ,+5 ,-1
0.2139118 ,Right ,-1 ,-4 ,+2 ,-3 ,-1 ,+1 ,-1 ,-3
0.2155097 ,Right ,0  ,-3 ,-2 ,-4 ,-3 ,-4 ,0  ,0 
0.2155215 ,Right ,-4 ,-11 ,-2 ,+1 ,+2 ,0  ,+8 ,+2
0.236086 ,Right ,0  ,+18 ,+12 ,-1 ,-1 ,-3 ,-8 ,-2
0.2362037 ,Right ,-4 ,-7 ,-10 ,-4 ,-5 ,-3 ,-3 ,-1
0.237794 ,Right ,+1 ,+1 ,+2 ,+4 ,+2 ,+3 ,+5 ,+3
0.2378002 ,Right ,-3 ,-12 ,-3 ,-3 ,-3 ,0  ,-3 ,-2
0.2495477 ,Right ,+1 ,+5 ,+7 ,+5 ,+3 ,-1 ,0  ,+1
0.2495522 ,Right ,-1 ,+3 ,+4 ,+1 ,+3 ,-2 ,-3 ,-4
0.2586632 ,Right ,0  ,-3 ,-1 ,-1 ,-4 ,-3 ,-4 ,-3
0.2586677 ,Right ,-2 ,+2 ,-7 ,-3 ,-4 ,-4 ,-3 ,-2
0.2735809 ,Right ,-4 ,-8 ,+1 ,-2 ,-10 ,-6 ,-3 ,-2
0.2735869 ,Right ,0  ,+1 ,-3 ,-1 ,+2 ,0  ,-1 ,-1
0.2750876 ,Right ,0  ,0  ,0  ,-5 ,-4 ,-3 ,+1 ,0 
0.2750916 ,Right ,0  ,+4 ,-1 ,+3 ,+1 ,+2 ,-1 ,-1
0.2961066 ,Right ,-3 ,-6 ,-2 ,-4 ,-5 ,-3 ,0  ,0 
0.2961108 ,Right ,+1 ,-2 ,-4 ,+1 ,+5 ,+3 ,+1 ,0 
0.2975963 ,Right ,-2 ,-2 ,-12 ,-6 ,-3 ,+1 ,+1 ,0 
0.2976005 ,Right ,+3 ,+3 ,+1 ,-1 ,-3 ,-4 ,-3 ,-1
0.3097416 ,Right ,-2 ,-6 ,-6 ,-1 ,+4 ,+5 ,+3 ,-2
0.3097458 ,Right ,-3 ,+2 ,0  ,-1 ,-2 ,+4 ,+6 ,0 
0.3186529 ,Right ,0  ,+1 ,+4 ,-2 ,0  ,-2 ,-4 ,-1
0.3186569 ,Right ,-3 ,-7 ,-8 ,-1 ,+3 ,+1 ,-2 ,-2
0.3335721 ,Right ,-1 ,-8 ,-5 ,-4 ,-4 ,-4 ,-4 ,-2
0.3335762 ,Right ,+4 ,+10 ,+12 ,+8 ,+5 ,+4 ,-2 ,+2
0.3351173 ,Right ,0  ,-1 ,+1 ,+2 ,-1 ,0  ,-3 ,-2
0.3351213 ,Right ,+4 ,+3 ,-3 ,-3 ,-3 ,-2 ,-1 ,-1
0.35608 ,Right ,-2 ,-4 ,-7 ,-5 ,-2 ,-2 ,-1 ,-1
0.3560839 ,Right ,0  ,-1 ,-3 ,+1 ,-2 ,-5 ,-7 ,-1
0.3576758 ,Right ,-2 ,0  ,0  ,0  ,-2 ,-1 ,+1 ,-1
0.35768 ,Right ,-2 ,-2 ,0  ,-5 ,-4 ,-6 ,-5 ,0 
0.3786776 ,Right ,-2 ,-3 ,-3 ,0  ,-1 ,+2 ,-1 ,-2
0.3786827 ,Right ,-2 ,-4 ,-1 ,0  ,+2 ,+5 ,+3 ,+1
0.3800927 ,Right ,-2 ,+1 ,+2 ,-1 ,-1 ,+1 ,+4 ,0 
0.3800979 ,Right ,+1 ,+5 ,+4 ,0  ,+1 ,0  ,-1 ,-1
0.3934568 ,Right ,0  ,0  ,+1 ,+1 ,-2 ,-6 ,-1 ,0 
0.3934652 ,Right ,-2 ,-9 ,-9 ,-1 ,0  ,+2 ,+4 ,0 
0.3952148 ,Right ,-1 ,-2 ,-1 ,0  ,+1 ,+1 ,0  ,-2
0.3952209 ,Right ,-2 ,+5 ,-5 ,-5 ,-1 ,+1 ,+3 ,-1
0.4160297 ,Right ,-2 ,-1 ,+7 ,+3 ,-2 ,-1 ,0  ,0 
0.4160353 ,Right ,-3 ,-1 ,-3 ,-4 ,-4 ,-4 ,-4 ,-2
0.4176414 ,Right ,0  ,+6 ,+6 ,+2 ,+2 ,+1 ,-2 ,+2
0.4176471 ,Right ,+1 ,-1 ,-3 ,+1 ,+1 ,-2 ,+2 ,-1
0.4388603 ,Right ,0  ,0  ,+4 ,-1 ,0  ,0  ,-3 ,-2
0.4388666 ,Right ,-1 ,+2 ,-2 ,-2 ,-3 ,-2 ,-3 ,0 
0.4402656 ,Right ,+2 ,-4 ,-6 ,-5 ,0  ,-2 ,-2 ,+1
0.4402724 ,Right ,-2 ,-1 ,+5 ,+2 ,+4 ,+5 ,-6 ,-3
0.4535496 ,Right ,-2 ,-1 ,-1 ,+1 ,+2 ,+1 ,0  ,+1
0.4535554 ,Right ,-5 ,0  ,+2 ,-2 ,-3 ,-2 ,-4 ,-3
0.455123 ,Right ,-1 ,-1 ,-4 ,+1 ,-1 ,+1 ,+3 ,-1
0.455129 ,Right ,-3 ,-6 ,-4 ,0  ,-3 ,-1 ,+2 ,+1
0.4761975 ,Right ,+2 ,+1 ,-3 ,-1 ,+2 ,+2 ,0  ,-1
0.4762033 ,Right ,-2 ,0  ,+1 ,-1 ,0  ,+1 ,-1 ,-2
0.4776768 ,Right ,-1 ,-3 ,-4 ,-6 ,-8 ,-8 ,-5 ,-2
0.4776823 ,Right ,+5 ,-2 ,+4 ,+2 ,0  ,+1 ,+3 ,+5
0.4985197 ,Right ,-2 ,-2 ,-8 ,-3 ,-2 ,+2 ,+3 ,+1
0.4985254 ,Right ,-5 ,-3 ,-11 ,-3 ,-5 ,-6 ,+2 ,-1
0.5002316 ,Right ,-1 ,+8 ,+9 ,0  ,-2 ,-2 ,0  ,-3
0.5002374 ,Right ,-4 ,-3 ,-8 ,-2 ,-5 ,-6 ,-7 ,-5
0.5129186 ,Right ,-1 ,-1 ,-3 ,+1 ,+4 ,+2 ,0  ,-2
0.5130312 ,Right ,+3 ,-4 ,-3 ,-1 ,0  ,-2 ,0  ,0 
0.5197486 ,Right ,-2 ,+2 ,-4 ,-2 ,-2 ,-1 ,0  ,0 
0.519833 ,Right ,-4 ,-1 ,+1 ,-1 ,-3 ,-5 ,-4 ,-4
0.5361552 ,Right ,+1 ,+1 ,-3 ,-1 ,-2 ,-3 ,-1 ,-2
0.5361621 ,Right ,-6 ,-2 ,-1 ,-3 ,-3 ,-4 ,-2 ,-5
0.5376109 ,Right ,+4 ,-3 ,-2 ,-1 ,-3 ,+1 ,+3 ,+8
0.5376172 ,Right ,-6 ,+2 ,+5 ,+2 ,0  ,+2 ,-1 ,-4
0.5588258 ,Right ,-1 ,-10 ,-8 ,-6 ,-3 ,-1 ,-6 ,-6
0.5588326 ,Right ,-1 ,-4 ,0  ,-5 ,-5 ,-4 ,+6 ,+1
0.5603337 ,Right ,-5 ,-8 ,-4 ,-1 ,-4 ,-7 ,-5 ,-5
0.5603393 ,Right ,0  ,+2 ,+2 ,-1 ,+2 ,+5 ,-1 ,-3
0.5727951 ,Right ,-3 ,+2 ,+5 ,-1 ,0  ,0  ,+1 ,+1
0.5728002 ,Right ,+3 ,0  ,-2 ,-1 ,-4 ,-2 ,-2 ,+1
0.579635 ,Right ,0  ,-2 ,0  ,0  ,+4 ,+3 ,-2 ,-1
0.57964 ,Right ,-1 ,-1 ,0  ,-4 ,-5 ,-4 ,+2 ,+4
0.5962157 ,Right ,-3 ,-5 ,-18 ,-2 ,-5 ,-9 ,-17 ,-5
0.5962218 ,Right ,+7 ,+3 ,+3 ,-1 ,+4 ,+7 ,+3 ,+3
0.5974891 ,Right ,-7 ,+6 ,+9 ,0  ,-2 ,-4 ,0  ,-5
0.5976836 ,Right ,-2 ,-6 ,-9 ,-4 ,-5 ,-2 ,-3 ,-2
0.618787 ,Right ,+3 ,-5 ,+7 ,+3 ,-1 ,-1 ,+8 ,+3
0.6187929 ,Right ,-1 ,+7 ,-1 ,-1 ,+1 ,-1 ,-4 ,-1
0.6202617 ,Right ,+1 ,-3 ,-8 ,0  ,+1 ,+5 ,+3 ,+1
0.6202677 ,Right ,0  ,+2 ,+7 ,0  ,-4 ,-6 ,+4 ,+2
0.6321494 ,Right ,-1 ,+6 ,+13 ,+4 ,+1 ,+3 ,+4 ,0 
0.6321553 ,Right ,-1 ,-5 ,-16 ,-10 ,-7 ,-5 ,-9 ,-4
0.6411878 ,Right ,-3 ,-7 ,-12 ,-3 ,+3 ,0  ,+4 ,-2
0.6411934 ,Right ,-2 ,-3 ,0  ,+5 ,0  ,-3 ,-5 ,-10
0.6561602 ,Right ,+3 ,+6 ,-5 ,-10 ,-3 ,-1 ,+7 ,+5
0.6561665 ,Right ,-5 ,+2 ,-2 ,+2 ,0  ,0  ,-2 ,-6
0.6578746 ,Right ,+5 ,-3 ,-11 ,-16 ,-6 ,-1 ,+3 ,0 
0.6578815 ,Right ,0  ,-6 ,+19 ,+17 ,+2 ,+2 ,+1 ,+3
0.6788656 ,Right ,-1 ,+3 ,-24 ,-7 ,+4 ,+1 ,+8 ,0 
0.6788728 ,Right ,+2 ,+5 ,+12 ,+5 ,+2 ,+1 ,-5 ,-1
0.6801242 ,Right ,+2 ,-2 ,-4 ,-5 ,0  ,-2 ,+1 ,+6
0.6801304 ,Right ,-1 ,-11 ,-6 ,-2 ,-6 ,-5 ,-8 ,-4
0.6924765 ,Right ,+2 ,+2 ,+3 ,0  ,0  ,+2 ,-3 ,+16
0.6924832 ,Right ,+2 ,+5 ,+9 ,+2 ,+1 ,+2 ,-4 ,-23
0.7012471 ,Right ,+20 ,+1 ,+4 ,+2 ,+1 ,+2 ,-12 ,+7
0.7012533 ,Right ,-24 ,-2 ,-8 ,-12 ,+2 ,+4 ,+22 ,-9
0.7160024 ,Right ,-3 ,+5 ,+1 ,+4 ,-2 ,-5 ,+1 ,+26
0.7160108 ,Right ,+6 ,+11 ,+7 ,+7 ,0  ,+2 ,-4 ,-26
0.7176701 ,Right ,+11 ,-40 ,-6 ,-4 ,-4 ,-8 ,-16 ,+6
0.7176767 ,Right ,-8 ,+11 ,+9 ,-5 ,-2 ,-1 ,+10 ,-4
0.7385092 ,Right ,-11 ,+7 ,+2 ,+3 ,-2 ,-5 ,-14 ,-21
0.7385156 ,Right ,+8 ,+10 ,-11 ,-9 ,+4 ,+4 ,+23 ,+19
0.740171 ,Right ,-20 ,-33 ,+19 ,+16 ,-5 ,-4 ,+16 ,+1
0.7401773 ,Right ,+6 ,+2 ,-1 ,0  ,+4 ,+3 ,+7 ,0 
0.7524271 ,Right ,+4 ,-9 ,+18 ,+3 ,-4 ,-3 ,+1 ,+2
0.7525149 ,Right ,+10 ,+18 ,-25 ,-12 ,-5 ,-3 ,-16 ,+12
0.7612038 ,Right ,-5 ,+25 ,-2 ,+3 ,+5 ,+2 ,-8 ,-5
0.7612101 ,Right ,+4 ,-9 ,+5 ,+9 ,+9 ,+10 ,+11 ,+10
0.7760142 ,Right ,-3 ,+4 ,-4 ,-15 ,-9 ,0  ,+9 ,-4
0.7760202 ,Right ,-5 ,-14 ,-1 ,+4 ,+2 ,0  ,-2 ,+2
0.7776261 ,Right ,-7 ,+2 ,0  ,-4 ,-5 ,+2 ,+6 ,-6
0.7776319 ,Right ,+2 ,-1 ,-4 ,+6 ,+2 ,-6 ,-9 ,0 
0.7984418 ,Right ,+8 ,+3 ,+7 ,+3 ,0  ,-3 ,-8 ,-6
0.7984448 ,Right ,-9 ,-18 ,+14 ,+11 ,+1 ,+1 ,+2 ,-1
0.8002251 ,Right ,-8 ,-10 ,-34 ,-11 ,+3 ,0  ,-3 ,-5
0.8002288 ,Right ,+10 ,+18 ,+10 ,+1 ,-3 ,-3 ,-10 ,+7
0.8128853 ,Right ,-3 ,-4 ,+7 ,+6 ,+7 ,+10 ,+5 ,-5
0.8128892 ,Right ,-8 ,-23 ,-6 ,-5 ,-4 ,-5 ,+1 ,+2
