timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0602136 ,Right ,-1 ,+8 ,+5 ,-1 ,-6 ,-4 ,-5 ,-1
0.0602204 ,Right ,+2 ,+4 ,+2 ,-4 ,-6 ,+1 ,-2 ,-1
0.0672601 ,Right ,+2 ,+1 ,+1 ,+9 ,+9 ,+4 ,0  ,-3
0.0673252 ,Right ,-7 ,-10 ,+20 ,+4 ,+8 ,+5 ,0  ,0 
0.0825748 ,Right ,0  ,+1 ,-6 ,+4 ,0  ,-5 ,-5 ,-1
0.0825785 ,Right ,+2 ,+11 ,-5 ,-11 ,-13 ,-12 ,-2 ,-2
0.0898376 ,Right ,-4 ,-2 ,+22 ,+2 ,-5 ,-4 ,-3 ,-2
0.0898402 ,Right ,-2 ,-8 ,-26 ,+4 ,+5 ,+1 ,+2 ,-1
0.1050592 ,Right ,0  ,+16 ,+10 ,-1 ,-2 ,-7 ,0  ,-1
0.1050635 ,Right ,+12 ,0  ,-27 ,-20 ,-4 ,-7 ,-5 ,-1
0.1199969 ,Right ,-4 ,+9 ,+15 ,-1 ,-3 ,-3 ,-2 ,-1
0.1199999 ,Right ,-1 ,-7 ,+4 ,+4 ,+6 ,+5 ,+1 ,0 
0.127611 ,Right ,-8 ,-7 ,-20 ,-1 ,-2 ,+1 ,0  ,0 
0.127614 ,Right ,-4 ,+3 ,+22 ,+1 ,+1 ,+3 ,+2 ,-1
0.1425342 ,Right ,0  ,-7 ,-5 ,-3 ,-3 ,+3 ,0  ,-2
0.1425376 ,Right ,+4 ,-7 ,-8 ,-6 ,-1 ,+1 ,-2 ,-1
0.1497791 ,Right ,-3 ,-8 ,-2 ,0  ,-1 ,-2 ,-2 ,-2
0.1497829 ,Right ,+2 ,-10 ,+6 ,+4 ,-2 ,-1 ,-3 ,+1
0.1650759 ,Right ,+2 ,0  ,-23 ,-7 ,-5 ,+1 ,0  ,-3
0.1650796 ,Right ,-2 ,-3 ,-4 ,-3 ,-5 ,-3 ,-1 ,-1
0.1798977 ,Right ,0  ,+2 ,+5 ,0  ,+1 ,0  ,-1 ,-1
0.1799011 ,Right ,+1 ,-12 ,0  ,+5 ,+1 ,+1 ,-1 ,0 
0.1873885 ,Right ,+2 ,+7 ,+1 ,-1 ,0  ,-2 ,-1 ,+2
0.1874024 ,Right ,0  ,-4 ,-6 ,-5 ,-3 ,-4 ,-2 ,-2
0.2026217 ,Right ,-9 ,-8 ,+12 ,0  ,-3 ,-2 ,0  ,-1
0.2026286 ,Right ,-10 ,-12 ,-10 ,+2 ,0  ,-1 ,0  ,-3
