timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0097654 ,Left ,-5 ,-3 ,-1 ,-5 ,-2 ,-1 ,-2 ,0 
0.009769 ,Left ,+2 ,-2 ,-6 ,+3 ,+6 ,-11 ,-3 ,-2
0.0223499 ,Left ,-4 ,-1 ,+4 ,+27 ,+19 ,+19 ,-1 ,-2
0.0223722 ,Left ,-1 ,-5 ,+2 ,-11 ,-15 ,-4 ,+1 ,-1
0.0292711 ,Left ,+4 ,+7 ,+1 ,+3 ,-7 ,-6 ,-2 ,+2
0.0292737 ,Left ,+9 ,+2 ,-1 ,+7 ,-1 ,-13 ,-1 ,0 
0.0458331 ,Left ,-7 ,-9 ,-8 ,-21 ,-17 ,0  ,-4 ,-5
0.0458361 ,Left ,-1 ,+1 ,+1 ,+17 ,+19 ,0  ,-1 ,-2
0.047435 ,Left ,+6 ,+1 ,0  ,-2 ,-6 ,-11 ,-2 ,+1
0.0474381 ,Left ,-6 ,-3 ,-5 ,-11 ,-12 ,+6 ,-1 ,-2
0.0683298 ,Left ,+3 ,+4 ,+6 ,+11 ,+15 ,0  ,-1 ,+2
0.0683327 ,Left ,-3 ,-3 ,-2 ,-24 ,-20 ,-1 ,-3 ,-1
0.0700458 ,Left ,+7 ,+2 ,-4 ,-4 ,+8 ,-5 ,-4 ,0 
0.0700488 ,Left ,-6 ,-4 ,+1 ,0  ,-14 ,+2 ,-3 ,-2
0.0819166 ,Left ,-10 ,-9 ,-3 ,0  ,+11 ,-4 ,-2 ,-5
0.0819195 ,Left ,-2 ,+1 ,-4 ,+3 ,+3 ,+11 ,+1 ,-1
0.0909086 ,Left ,-1 ,+4 ,+16 ,+23 ,+17 ,-10 ,0  ,0 
0.0909113 ,Left ,-6 ,-7 ,-8 ,-1 ,-39 ,-13 ,+2 ,-1
0.1057377 ,Left ,-2 ,-4 ,-10 ,-23 ,-12 ,-6 ,+2 ,-1
0.1057408 ,Left ,-8 ,-5 ,+1 ,+19 ,+19 ,+8 ,-2 ,-5
