timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.01699 ,Right ,-2 ,-3 ,0  ,+1 ,-2 ,-3 ,-3 ,-2
0.0169943 ,Right ,-2 ,-3 ,0  ,+1 ,-2 ,-3 ,-3 ,-2
0.0170245 ,Right ,-2 ,-1 ,+3 ,+1 ,+3 ,+2 ,-2 ,-2
0.0170263 ,Right ,-2 ,-1 ,+3 ,+1 ,+3 ,+2 ,-2 ,-2
0.0185527 ,Right ,-1 ,-1 ,-10 ,-12 ,-5 ,-3 ,-1 ,-1
0.0185556 ,Right ,-1 ,-1 ,-10 ,-12 ,-5 ,-3 ,-1 ,-1
0.0185953 ,Right ,-1 ,-1 ,0  ,0  ,-9 ,-8 ,-4 ,-2
0.0185997 ,Right ,-1 ,-1 ,0  ,0  ,-9 ,-8 ,-4 ,-2
0.039815 ,Right ,-2 ,0  ,-4 ,-8 ,+3 ,+2 ,0  ,+2
0.0398176 ,Right ,-2 ,0  ,-4 ,-8 ,+3 ,+2 ,0  ,+2
0.0398199 ,Right ,0  ,-1 ,+11 ,+12 ,-4 ,-2 ,-1 ,-2
0.0398215 ,Right ,0  ,-1 ,+11 ,+12 ,-4 ,-2 ,-1 ,-2
0.0415189 ,Right ,-1 ,-3 ,-18 ,+2 ,+4 ,-2 ,-3 ,0 
0.0415213 ,Right ,-1 ,-3 ,-18 ,+2 ,+4 ,-2 ,-3 ,0 
0.0415237 ,Right ,0  ,-2 ,-5 ,-13 ,-3 ,0  ,+2 ,-3
0.0415253 ,Right ,0  ,-2 ,-5 ,-13 ,-3 ,0  ,+2 ,-3
0.054081 ,Right ,0  ,+2 ,+2 ,+5 ,0  ,0  ,+2 ,-1
0.0540832 ,Right ,0  ,+2 ,+2 ,+5 ,0  ,0  ,+2 ,-1
0.0540855 ,Right ,-1 ,+3 ,-5 ,0  ,0  ,+1 ,0  ,+1
0.0540871 ,Right ,-1 ,+3 ,-5 ,0  ,0  ,+1 ,0  ,+1
0.0607002 ,Right ,-2 ,-1 ,+1 ,-4 ,-3 ,0  ,-1 ,-1
0.0607022 ,Right ,-2 ,-1 ,+1 ,-4 ,-3 ,0  ,-1 ,-1
0.0607046 ,Right ,-4 ,-5 ,-6 ,0  ,0  ,-1 ,-1 ,-2
0.0607061 ,Right ,-4 ,-5 ,-6 ,0  ,0  ,-1 ,-1 ,-2
0.0770785 ,Right ,0  ,+1 ,+2 ,+3 ,-1 ,-4 ,-3 ,-2
0.0770807 ,Right ,0  ,+1 ,+2 ,+3 ,-1 ,-4 ,-3 ,-2
0.077083 ,Right ,-1 ,-1 ,-7 ,-9 ,-6 ,-2 ,-1 ,-1
0.0770846 ,Right ,-1 ,-1 ,-7 ,-9 ,-6 ,-2 ,-1 ,-1
0.0786906 ,Right ,-1 ,-3 ,+5 ,+2 ,+1 ,0  ,0  ,-3
0.0786925 ,Right ,-1 ,-3 ,+5 ,+2 ,+1 ,0  ,0  ,-3
