timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0242739 ,Right ,-2 ,-2 ,+21 ,+2 ,-2 ,-4 ,-3 ,-3
0.0242784 ,Right ,0  ,+9 ,+7 ,+4 ,0  ,0  ,+2 ,+1
0.031856 ,Right ,-3 ,-12 ,-13 ,-9 ,-1 ,-3 ,-4 ,-4
0.0318586 ,Right ,+2 ,+8 ,+25 ,+13 ,+7 ,+5 ,+1 ,+3
0.0395935 ,Right ,+2 ,+6 ,+21 ,+6 ,0  ,+1 ,0  ,0 
0.0395965 ,Right ,-2 ,-8 ,-12 ,-4 ,-5 ,-4 ,-1 ,-3
0.0545982 ,Right ,-1 ,+8 ,-1 ,+3 ,-1 ,-5 ,-4 ,-3
0.0546013 ,Right ,-3 ,-2 ,+10 ,+1 ,-2 ,+4 ,+2 ,+1
0.0620724 ,Right ,-2 ,-3 ,-3 ,+2 ,+2 ,+2 ,0  ,-3
0.0620754 ,Right ,-2 ,+1 ,-14 ,-16 ,-7 ,-5 ,-3 ,-4
0.0772039 ,Right ,-3 ,-20 ,-5 ,0  ,-5 ,-3 ,-1 ,0 
0.0772071 ,Right ,+1 ,+11 ,+8 ,+8 ,+6 ,+2 ,+1 ,+1
0.0844495 ,Right ,-3 ,-3 ,-21 ,-17 ,-2 ,-1 ,-1 ,0 
0.0844521 ,Right ,-3 ,-4 ,-8 ,-3 ,-2 ,-1 ,-4 ,-2
0.0994183 ,Right ,-1 ,-2 ,-1 ,-3 ,-4 ,-3 ,-3 ,-1
0.099423 ,Right ,0  ,+6 ,+9 ,+2 ,-2 ,-3 ,0  ,+1
0.1142462 ,Right ,0  ,+2 ,+11 ,+5 ,+2 ,0  ,+1 ,0 
0.1142489 ,Right ,-4 ,-5 ,-4 ,-6 ,-3 ,-4 ,+1 ,-4
0.1218991 ,Right ,+2 ,+5 ,-9 ,-4 ,-1 ,-4 ,+1 ,0 
0.1219019 ,Right ,-4 ,-8 ,+10 ,+6 ,0  ,-2 ,+2 ,-1
0.1371064 ,Right ,0  ,+6 ,+6 ,+5 ,+5 ,+7 ,+3 ,-1
0.1371108 ,Right ,-1 ,-4 ,+12 ,-3 ,-4 ,-2 ,-2 ,-2
0.1447032 ,Right ,-2 ,0  ,+3 ,0  ,-3 ,-1 ,-3 ,+1
0.1447077 ,Right ,-1 ,+1 ,-34 ,-6 ,-2 ,-1 ,0  ,0 
0.161345 ,Right ,-2 ,-3 ,+3 ,-5 ,-4 ,+2 ,-2 ,-2
0.161401 ,Right ,0  ,0  ,-10 ,-4 ,0  ,-1 ,-4 ,-5
0.1744765 ,Right ,0  ,+8 ,-11 ,-2 ,-1 ,-6 ,-4 ,-1
0.1745877 ,Right ,-3 ,-6 ,+6 ,+3 ,+3 ,+3 ,-1 ,+1
0.1822515 ,Right ,-5 ,-16 ,-9 ,+1 ,-3 ,-2 ,-1 ,-2
0.1822585 ,Right ,-2 ,-2 ,+1 ,-14 ,-5 ,0  ,-3 ,0 
0.1973103 ,Right ,+2 ,+1 ,+2 ,0  ,+1 ,-1 ,+3 ,+1
0.1973179 ,Right ,+3 ,+25 ,+11 ,+3 ,-2 ,-3 ,0  ,0 
0.2048002 ,Right ,-1 ,-14 ,0  ,+7 ,+2 ,+1 ,0  ,-1
0.204807 ,Right ,+2 ,+3 ,+16 ,+7 ,+1 ,+5 ,-1 ,+2
0.2196429 ,Right ,-1 ,+1 ,-5 ,-6 ,+1 ,-3 ,0  ,0 
0.2196497 ,Right ,+1 ,+9 ,+10 ,+11 ,+3 ,+1 ,+1 ,0 
0.2342247 ,Right ,0  ,0  ,+21 ,+5 ,-1 ,+1 ,0  ,0 
0.2342277 ,Right ,-1 ,-10 ,-15 ,-4 ,-2 ,-1 ,-3 ,-2
0.2419241 ,Right ,-1 ,+4 ,-2 ,-1 ,-4 ,-1 ,-4 ,0 
0.2419272 ,Right ,0  ,-3 ,-4 ,-2 ,-1 ,-4 ,-2 ,0 
0.2570984 ,Right ,+1 ,+12 ,+6 ,+3 ,+1 ,-1 ,-1 ,+1
0.2571014 ,Right ,-7 ,-16 ,+3 ,-1 ,-5 ,-5 ,-1 ,-4
0.2645987 ,Right ,0  ,+1 ,-11 ,-4 ,+1 ,+3 ,0  ,0 
0.2646021 ,Right ,-3 ,0  ,+2 ,-5 ,+1 ,-1 ,0  ,-2
0.2794778 ,Right ,-3 ,-3 ,-41 ,-20 ,-7 ,-5 ,-3 ,0 
0.2794813 ,Right ,-4 ,-23 ,-11 ,-3 ,-5 ,-6 ,-1 ,-4
0.2946792 ,Right ,-1 ,-3 ,+4 ,+2 ,+4 ,+4 ,+3 ,-2
0.2946828 ,Right ,-1 ,+4 ,-4 ,-7 ,-2 ,-3 ,-1 ,-2
0.302229 ,Right ,+1 ,0  ,+2 ,+3 ,0  ,+1 ,-1 ,0 
0.3022338 ,Right ,-2 ,-2 ,+2 ,+1 ,-3 ,-1 ,-2 ,0 
0.3170732 ,Right ,+1 ,0  ,0  ,+8 ,+1 ,-1 ,-1 ,0 
0.3170788 ,Right ,0  ,-7 ,-21 ,-5 ,-2 ,0  ,-1 ,+2
0.3244845 ,Right ,+2 ,+5 ,-9 ,-6 ,+1 ,+4 ,+9 ,+3
0.3244915 ,Right ,-2 ,-1 ,-34 ,-11 ,-3 ,-9 ,-16 ,-3
0.3398476 ,Right ,-11 ,-21 ,-55 ,-24 ,-9 ,-5 ,-7 ,-7
0.3399169 ,Right ,-3 ,-2 ,+12 ,-2 ,0  ,+1 ,+4 ,+1
0.3548435 ,Right ,+1 ,+2 ,-5 ,-1 ,-1 ,0  ,-1 ,+2
0.3548508 ,Right ,0  ,-2 ,+2 ,+1 ,+1 ,-2 ,-2 ,-2
0.3623845 ,Right ,+5 ,+8 ,+35 ,+20 ,+3 ,+1 ,+4 ,+3
0.362392 ,Right ,+1 ,+2 ,+10 ,+2 ,0  ,+1 ,+3 ,-1
0.3770766 ,Right ,-3 ,+3 ,-23 ,-7 ,-3 ,-3 ,-4 ,-3
0.3770835 ,Right ,-2 ,-26 ,-3 ,-5 ,-3 ,-2 ,+1 ,0 
0.3847376 ,Right ,0  ,0  ,+10 ,0  ,+1 ,-3 ,-2 ,-2
0.3847451 ,Right ,-1 ,+1 ,-12 ,-2 ,-4 ,-2 ,-1 ,+1
0.3998314 ,Right ,0  ,+6 ,+24 ,+5 ,+3 ,+2 ,-2 ,-2
0.3998425 ,Right ,-3 ,-7 ,-8 ,+3 ,+8 ,+6 ,+1 ,0 
0.4147719 ,Right ,0  ,-1 ,-11 ,-8 ,-5 ,-1 ,-2 ,-2
0.4147796 ,Right ,-1 ,-4 ,-19 ,-11 ,-1 ,+3 ,-5 ,-2
0.4298256 ,Right ,+5 ,+15 ,+30 ,+5 ,+2 ,-1 ,+1 ,+3
0.4298341 ,Right ,-6 ,-30 ,-47 ,-11 ,-8 ,-8 ,-4 ,-7
0.4447425 ,Right ,0  ,-4 ,-7 ,0  ,-1 ,+2 ,-1 ,+1
0.444758 ,Right ,0  ,+1 ,-9 ,-10 ,-6 ,-6 ,-4 ,-2
0.4522038 ,Right ,0  ,+3 ,+15 ,+9 ,0  ,0  ,-2 ,+1
0.4522115 ,Right ,+5 ,+23 ,+15 ,+3 ,+2 ,+4 ,+2 ,+2
0.4671723 ,Right ,+1 ,+9 ,+2 ,-6 ,-2 ,-2 ,-2 ,-1
0.4671799 ,Right ,0  ,+4 ,-5 ,-6 ,-6 ,-4 ,0  ,0 
0.4821689 ,Right ,-4 ,-11 ,-8 ,-9 ,-5 ,-7 ,-2 ,-1
0.4822367 ,Right ,0  ,0  ,+5 ,0  ,-1 ,0  ,-4 ,-1
0.4969665 ,Right ,0  ,-2 ,-5 ,-6 ,-3 ,-1 ,+1 ,-1
0.4969718 ,Right ,+2 ,+15 ,+14 ,+6 ,-1 ,0  ,0  ,0 
0.5047641 ,Right ,-8 ,-26 ,-27 ,-11 ,-5 ,-3 ,-1 ,-5
0.5047692 ,Right ,+1 ,+3 ,+15 ,+2 ,-1 ,-7 ,-4 ,0 
0.5194511 ,Right ,-1 ,+13 ,+16 ,+9 ,+8 ,+7 ,+4 ,-1
0.5194556 ,Right ,+2 ,-5 ,+9 ,+2 ,0  ,+4 ,+4 ,0 
0.5345075 ,Right ,0  ,+1 ,-2 ,-4 ,-5 ,-6 ,-3 ,0 
0.5345119 ,Right ,+2 ,-2 ,+14 ,+4 ,-8 ,-7 ,-3 ,0 
0.5419516 ,Right ,+2 ,+3 ,-5 ,+10 ,0  ,-3 ,-2 ,0 
0.541956 ,Right ,-9 ,-1 ,-5 ,-22 ,-3 ,-2 ,-1 ,-7
0.5572574 ,Right ,0  ,+1 ,+4 ,+1 ,+1 ,-1 ,-1 ,-3
0.5573547 ,Right ,0  ,-4 ,-10 ,-11 ,-12 ,-8 ,-7 ,-1
0.564766 ,Right ,0  ,+3 ,-4 ,+3 ,+3 ,+1 ,0  ,0 
