timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0168418 ,Left ,-2 ,-1 ,-1 ,-3 ,-11 ,+2 ,+2 ,-1
0.0168448 ,Left ,-2 ,0  ,+4 ,+8 ,+9 ,-5 ,-3 ,0 
0.0183253 ,Left ,+2 ,-5 ,-5 ,-7 ,+8 ,+2 ,+6 ,+1
0.0183595 ,Left ,-1 ,-1 ,-2 ,+6 ,-2 ,+9 ,+2 ,-1
0.0393714 ,Left ,-6 ,-1 ,+2 ,-11 ,-29 ,-56 ,-9 ,-1
0.0393743 ,Left ,+16 ,+7 ,+4 ,+7 ,+15 ,+3 ,-6 ,-3
0.0410331 ,Left ,+7 ,+6 ,+4 ,+4 ,+8 ,+5 ,+4 ,+1
0.0410357 ,Left ,-8 ,-4 ,-1 ,+2 ,0  ,+10 ,+1 ,+1
0.0538259 ,Left ,-9 ,-2 ,-8 ,-4 ,+3 ,+9 ,+3 ,-2
0.0538288 ,Left ,-5 ,-5 ,-3 ,-4 ,-8 ,+5 ,-4 ,+2
0.0603636 ,Left ,+4 ,+3 ,+8 ,+4 ,+5 ,-19 ,+1 ,+1
0.0604644 ,Left ,-5 ,+8 ,+1 ,+8 ,+17 ,-1 ,+2 ,-3
0.0776654 ,Left ,-4 ,-6 ,-8 ,-8 ,-10 ,+6 ,-3 ,-2
0.0776773 ,Left ,-4 ,+2 ,+3 ,-2 ,-4 ,+1 ,+3 ,+1
0.0788845 ,Left ,+9 ,-7 ,-7 ,-3 ,+9 ,-2 ,-2 ,-2
0.0788963 ,Left ,-8 ,-4 ,-2 ,-6 ,+6 ,+8 ,-1 ,-2
0.1000067 ,Left ,+13 ,0  ,+5 ,+9 ,+7 ,+13 ,-3 ,0 
0.1000191 ,Left ,-17 ,-7 ,-3 ,-4 ,-6 ,-6 ,-6 ,-1
0.1014163 ,Left ,-4 ,+3 ,-2 ,+1 ,+4 ,+8 ,+3 ,-1
0.1016274 ,Left ,+7 ,+2 ,+1 ,-2 ,-7 ,-8 ,-7 ,0 
0.1142485 ,Left ,+10 ,-3 ,+1 ,+5 ,+1 ,-6 ,-3 ,-2
0.1144165 ,Left ,+4 ,0  ,-3 ,-4 ,-13 ,+5 ,0  ,-3
0.1209772 ,Left ,-4 ,+1 ,+7 ,+10 ,+23 ,+9 ,+9 ,+2
0.1211515 ,Left ,-11 ,-4 ,-9 ,0  ,-24 ,-10 ,-4 ,+2
0.1373982 ,Left ,-8 ,-3 ,-5 ,-7 ,+6 ,+29 ,-6 ,-5
0.1375133 ,Left ,0  ,+5 ,0  ,-12 ,+1 ,-22 ,-4 ,0 
0.1388822 ,Left ,-12 ,-11 ,-3 ,+1 ,-20 ,-9 ,-1 ,-4
0.1390967 ,Left ,+3 ,-6 ,-3 ,-2 ,-2 ,-1 ,+13 ,0 
0.1596961 ,Left ,-11 ,+3 ,+1 ,-2 ,-4 ,-1 ,+6 ,0 
0.1597053 ,Left ,-11 ,-4 ,-1 ,0  ,+4 ,+3 ,-2 ,-3
0.1611329 ,Left ,+6 ,+9 ,-6 ,-11 ,+1 ,+1 ,-3 ,0 
0.1611412 ,Left ,-13 ,-10 ,-2 ,-7 ,-7 ,-7 ,0  ,-4
0.1740836 ,Left ,-10 ,-3 ,+2 ,+9 ,+15 ,+5 ,+6 ,-2
0.174092 ,Left ,+14 ,+19 ,+6 ,+5 ,-5 ,+2 ,+1 ,-1
0.1808002 ,Left ,0  ,-8 ,-3 ,+1 ,+2 ,+2 ,-2 ,-1
0.180809 ,Left ,+2 ,+3 ,+9 ,+10 ,+7 ,-1 ,-1 ,+2
0.1974516 ,Left ,+2 ,0  ,-5 ,-11 ,-10 ,-6 ,+1 ,-3
0.197591 ,Left ,-7 ,-13 ,-10 ,-9 ,-17 ,-4 ,-2 ,0 
0.1986561 ,Left ,-2 ,+7 ,-2 ,+3 ,+11 ,-4 ,-5 ,-1
0.1988352 ,Left ,+6 ,-1 ,+1 ,-2 ,+2 ,+4 ,-5 ,-2
0.2200281 ,Left ,+5 ,0  ,+2 ,+4 ,+15 ,+7 ,-1 ,+2
0.2201749 ,Left ,-9 ,-6 ,-9 ,-11 ,-24 ,-8 ,-2 ,-1
0.2212032 ,Left ,+16 ,+5 ,+7 ,+9 ,+19 ,+6 ,+5 ,-1
0.2213363 ,Left ,-7 ,-7 ,-4 ,-9 ,-10 ,-14 ,-11 ,-3
0.2331313 ,Left ,-9 ,-3 ,-3 ,-2 ,-3 ,-5 ,-5 ,-2
0.2331377 ,Left ,+1 ,+3 ,+5 ,+4 ,0  ,+11 ,+13 ,+3
0.2420408 ,Left ,-12 ,-2 ,-5 ,-5 ,-1 ,-11 ,-11 ,-3
0.2420454 ,Left ,-2 ,-7 ,-2 ,+1 ,+6 ,+9 ,-4 ,-2
0.2569105 ,Left ,+5 ,+9 ,+3 ,0  ,+7 ,+1 ,-13 ,+1
0.2569145 ,Left ,-2 ,-12 ,-5 ,+4 ,+9 ,+4 ,+4 ,0 
0.2583468 ,Left ,+9 ,+1 ,+1 ,-5 ,0  ,+1 ,-1 ,+2
0.2583503 ,Left ,-3 ,-2 ,-1 ,+1 ,+2 ,-7 ,-4 ,0 
0.2795954 ,Left ,-4 ,+3 ,+5 ,+5 ,-9 ,-5 ,+3 ,-1
0.2795996 ,Left ,+17 ,-1 ,-5 ,-3 ,+15 ,+11 ,-5 ,-6
0.2809225 ,Left ,-13 ,-4 ,+1 ,+3 ,+1 ,+14 ,0  ,+1
0.2809261 ,Left ,-10 ,+5 ,-5 ,-5 ,-9 ,-1 ,+14 ,-2
0.2932346 ,Left ,+10 ,+3 ,+2 ,+3 ,+8 ,+6 ,-3 ,+1
0.2932391 ,Left ,-3 ,-1 ,-2 ,-6 ,-9 ,-22 ,-9 ,-3
0.3023496 ,Left ,-4 ,-11 ,-4 ,0  ,+2 ,+4 ,+2 ,0 
0.3023553 ,Left ,+9 ,0  ,-4 ,+1 ,+9 ,+8 ,+8 ,-2
0.3243427 ,Left ,-11 ,-10 ,-11 ,-10 ,-9 ,-6 ,-6 ,-3
0.3243456 ,Left ,-6 ,+8 ,+9 ,+4 ,-5 ,+7 ,-2 ,-1
0.3259821 ,Left ,+7 ,0  ,+1 ,0  ,+2 ,-15 ,-2 ,-1
0.3259844 ,Left ,-21 ,-4 ,-8 ,-7 ,-19 ,-6 ,-10 ,-1
0.340009 ,Left ,+20 ,+6 ,+8 ,+8 ,+9 ,+1 ,-1 ,+2
