timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0203421 ,Right ,-1 ,-3 ,+3 ,-4 ,-7 ,0  ,+4 ,-1
0.0203683 ,Right ,-4 ,-7 ,-4 ,+2 ,-5 ,-3 ,+1 ,-3
0.0281152 ,Right ,0  ,-3 ,-14 ,-6 ,0  ,+4 ,+1 ,+2
0.0281282 ,Right ,-1 ,+3 ,+12 ,-2 ,-5 ,-1 ,-2 ,-3
0.0429768 ,Right ,+1 ,+6 ,-8 ,+4 ,+3 ,-5 ,-4 ,0 
0.043042 ,Right ,-2 ,+7 ,+30 ,-2 ,0  ,+7 ,+2 ,-3
0.0509004 ,Right ,-2 ,-12 ,-11 ,-2 ,-7 ,-4 ,+1 ,-1
0.0509034 ,Right ,-3 ,-10 ,-23 ,-6 ,+2 ,-1 ,-1 ,0 
0.0654728 ,Right ,0  ,+3 ,+9 ,+4 ,+3 ,+1 ,-3 ,-1
0.0654755 ,Right ,-1 ,+2 ,+11 ,+6 ,+5 ,+5 ,0  ,0 
0.0809958 ,Right ,-2 ,-1 ,+9 ,-7 ,-4 ,+2 ,-4 ,-2
0.0810078 ,Right ,+2 ,+2 ,+5 ,0  ,-3 ,+1 ,-5 ,-2
0.0887707 ,Right ,-1 ,-5 ,-4 ,-1 ,-3 ,-4 ,-3 ,+1
0.088799 ,Right ,-1 ,-4 ,-11 ,0  ,+1 ,-2 ,+21 ,0 
0.1037063 ,Right ,0  ,+2 ,-8 ,-1 ,-2 ,-6 ,-6 ,-1
0.1037204 ,Right ,+1 ,+4 ,+9 ,+1 ,0  ,+9 ,-2 ,0 
0.1112456 ,Right ,-2 ,-8 ,-13 ,-4 ,-3 ,0  ,-6 ,-3
0.1114327 ,Right ,+6 ,+8 ,+14 ,+1 ,-2 ,-4 ,-4 ,0 
0.1261947 ,Right ,+1 ,+5 ,+11 ,0  ,-8 ,-9 ,-4 ,-4
0.1262066 ,Right ,-3 ,0  ,-7 ,+4 ,+5 ,+7 ,0  ,-1
0.1408245 ,Right ,-3 ,+5 ,+2 ,-1 ,+17 ,+7 ,+6 ,+3
0.1409135 ,Right ,-1 ,+1 ,+11 ,+1 ,-11 ,-4 ,-3 ,0 
0.1484726 ,Right ,-1 ,-2 ,-4 ,+1 ,-1 ,-3 ,-2 ,+3
0.1484859 ,Right ,+2 ,-8 ,-16 ,-11 ,-12 ,-18 ,-11 ,0 
0.1634661 ,Right ,0  ,-4 ,-12 ,+4 ,-14 ,+9 ,-11 ,-1
0.1634751 ,Right ,-2 ,+1 ,-2 ,-4 ,+20 ,+12 ,+15 ,+5
0.1710581 ,Right ,-3 ,+7 ,-6 ,+4 ,+5 ,+5 ,+2 ,+5
0.1710724 ,Right ,+1 ,+1 ,+3 ,0  ,-7 ,-3 ,-2 ,+1
0.1859632 ,Right ,-2 ,-5 ,+5 ,-2 ,-4 ,+3 ,-1 ,+1
0.1859716 ,Right ,-2 ,+1 ,-6 ,-2 ,+4 ,+13 ,-4 ,+3
0.2010393 ,Right ,+2 ,+2 ,+9 ,-4 ,-2 ,-6 ,-5 ,0 
0.201048 ,Right ,-4 ,-5 ,+1 ,+12 ,+14 ,+1 ,+2 ,0 
0.2084388 ,Right ,-1 ,+5 ,-4 ,-5 ,-7 ,0  ,+2 ,-4
0.2084475 ,Right ,0  ,+3 ,-3 ,-2 ,-7 ,-14 ,-10 ,-6
0.2231848 ,Right ,+4 ,+3 ,-5 ,-9 ,-7 ,+5 ,+8 ,-1
0.2232096 ,Right ,0  ,+1 ,+29 ,+3 ,0  ,-5 ,-3 ,-6
0.230652 ,Right ,-4 ,+1 ,-2 ,+1 ,+2 ,0  ,-3 ,-3
0.2307247 ,Right ,-3 ,-5 ,-4 ,0  ,-5 ,-4 ,-4 ,-4
0.2457438 ,Right ,-4 ,-36 ,-25 ,0  ,-2 ,-2 ,0  ,-2
0.2457478 ,Right ,0  ,+6 ,+20 ,-1 ,+2 ,0  ,+1 ,-3
0.2604641 ,Right ,-1 ,+1 ,-3 ,-3 ,+1 ,+8 ,0  ,+1
0.260468 ,Right ,-2 ,-1 ,+29 ,0  ,-7 ,+1 ,0  ,-5
0.2679964 ,Right ,+1 ,+9 ,+4 ,-3 ,+3 ,0  ,+2 ,-2
0.2680001 ,Right ,-2 ,+1 ,-10 ,+3 ,+8 ,+14 ,+2 ,+1
0.2830253 ,Right ,-2 ,-8 ,+5 ,+2 ,-3 ,-7 ,0  ,0 
0.2830288 ,Right ,-1 ,+1 ,-14 ,-7 ,-8 ,-5 ,-5 ,0 
0.2906034 ,Right ,+6 ,-3 ,0  ,-2 ,-9 ,-4 ,-5 ,-2
0.2906078 ,Right ,-2 ,-2 ,+26 ,+1 ,+2 ,+2 ,+6 ,-1
0.313394 ,Right ,-4 ,-8 ,-16 ,0  ,-2 ,-7 ,-1 ,-1
0.3134012 ,Right ,-2 ,-5 ,-8 ,-2 ,+2 ,+1 ,-5 ,-2
0.3279631 ,Right ,0  ,+4 ,-4 ,+7 ,-3 ,-5 ,+2 ,+1
0.3279655 ,Right ,-1 ,-7 ,-13 ,-1 ,-6 ,-4 ,-4 ,-3
0.3354838 ,Right ,-1 ,+8 ,+11 ,-4 ,+4 ,-1 ,0  ,-2
0.3354865 ,Right ,+5 ,+9 ,-14 ,+2 ,-6 ,-6 ,-10 ,-1
0.3506429 ,Right ,-7 ,-18 ,+4 ,-9 ,-8 ,-1 ,-23 ,-28
0.3506489 ,Right ,-1 ,-20 ,-19 ,-4 ,-3 ,-7 ,+23 ,+34
0.3579799 ,Right ,-5 ,+11 ,+9 ,0  ,-3 ,+1 ,-13 ,-35
0.3579838 ,Right ,-17 ,-11 ,+8 ,+12 ,+9 ,+9 ,-39 ,+16
0.3654029 ,Right ,+16 ,+8 ,-12 ,+6 ,+2 ,-18 ,+102 ,+31
0.3654687 ,Right ,+14 ,+37 ,0  ,-6 ,-21 ,-19 ,-123 ,-47
0.3737037 ,Right ,-2 ,-14 ,+25 ,+7 ,+9 ,+16 ,+61 ,+42
0.3737461 ,Right ,+23 ,+44 ,-6 ,-13 ,0  ,+13 ,-14 ,-67
0.3886204 ,Right ,-21 ,-77 ,-51 ,-2 ,-6 ,-1 ,-28 ,-10
0.3886328 ,Right ,+10 ,+17 ,-4 ,-6 ,+4 ,-8 ,-20 ,-1
0.4031132 ,Right ,-2 ,+25 ,+100 ,+12 ,+6 ,0  ,-38 ,-13
0.40312 ,Right ,+2 ,-66 ,-79 ,-15 ,-5 ,-4 ,+15 ,+8
0.4108404 ,Right ,0  ,+39 ,+101 ,+13 ,0  ,-4 ,-24 ,-1
0.4108467 ,Right ,-16 ,-19 ,+28 ,-10 ,-11 ,-4 ,+18 ,-1
0.4256921 ,Right ,+4 ,-5 ,-20 ,+5 ,+9 ,+16 ,-1 ,0 
0.4256976 ,Right ,-5 ,-8 ,+6 ,+2 ,+6 ,+1 ,+14 ,+21
0.4332871 ,Right ,+10 ,+6 ,-11 ,-7 ,-14 ,-6 ,-5 ,-6
0.4332927 ,Right ,-8 ,-29 ,+15 ,+18 ,+4 ,-10 ,+7 ,+15
0.4483782 ,Right ,+3 ,+12 ,-16 ,0  ,+13 ,+16 ,+5 ,+3
0.4483836 ,Right ,0  ,+8 ,+11 ,+4 ,-6 ,-1 ,+19 ,+5
0.4630721 ,Right ,-5 ,-2 ,-29 ,-22 ,-19 ,-1 ,-20 ,-8
0.4631192 ,Right ,-3 ,-11 ,+32 ,+12 ,+3 ,+2 ,+6 ,0 
0.4705888 ,Right ,-1 ,+1 ,+3 ,-6 ,-4 ,-10 ,+1 ,-2
0.4705963 ,Right ,-4 ,-4 ,-14 ,-5 ,+3 ,-1 ,+10 ,+11
0.4857975 ,Right ,-1 ,-11 ,-5 ,-4 ,-6 ,+2 ,-7 ,-7
0.4858032 ,Right ,+2 ,-4 ,+44 ,+5 ,0  ,-4 ,0  ,+6
0.4931427 ,Right ,+9 ,+15 ,-23 ,+1 ,+2 ,-6 ,+5 ,-1
0.4931478 ,Right ,-5 ,-11 ,-11 ,+1 ,+1 ,-2 ,-1 ,+2
0.5081027 ,Right ,+3 ,+1 ,-18 ,+7 ,+6 ,0  ,-3 ,+1
0.5081079 ,Right ,-1 ,-5 ,-9 ,-3 ,-5 ,+17 ,+5 ,-4
0.5232163 ,Right ,-3 ,-12 ,-15 ,+3 ,-1 ,-10 ,-6 ,+5
0.5232242 ,Right ,+5 ,-2 ,+3 ,+2 ,+6 ,-5 ,-10 ,+4
0.5307099 ,Right ,-4 ,+1 ,+8 ,-8 ,-10 ,+4 ,+1 ,+8
0.5307166 ,Right ,+4 ,-2 ,-16 ,-7 ,-2 ,-3 ,+5 ,0 
0.5533244 ,Right ,+2 ,+8 ,+6 ,-2 ,0  ,0  ,+5 ,-1
0.5533306 ,Right ,-5 ,-9 ,+3 ,+1 ,-2 ,+3 ,-4 ,-2
0.5608511 ,Right ,+4 ,-2 ,-7 ,-4 ,+1 ,-7 ,-5 ,0 
0.5608592 ,Right ,-5 ,+2 ,+1 ,-1 ,-5 ,-6 ,+3 ,+3
0.5830526 ,Right ,+2 ,+3 ,+2 ,-1 ,+5 ,0  ,+5 ,-3
0.5831697 ,Right ,-6 ,-3 ,+5 ,+2 ,-7 ,-4 ,+4 ,+6
0.5980788 ,Right ,0  ,-4 ,-38 ,-4 ,-4 ,+10 ,-4 ,-5
0.5980814 ,Right ,+4 ,+1 ,+2 ,-5 ,0  ,+3 ,+3 ,+3
