timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0104724 ,Right ,+1 ,-2 ,-1 ,+2 ,+7 ,+7 ,+2 ,-1
0.0104774 ,Right ,0  ,+1 ,+5 ,+4 ,0  ,0  ,0  ,0 
0.0318531 ,Right ,0  ,-3 ,-9 ,-3 ,+5 ,-1 ,-2 ,-1
0.0318562 ,Right ,0  ,+2 ,+3 ,-3 ,-9 ,-4 ,-1 ,0 
0.0331735 ,Right ,-1 ,0  ,-4 ,-2 ,-5 ,-5 ,-2 ,0 
0.0331762 ,Right ,0  ,-2 ,+3 ,-2 ,-2 ,0  ,-1 ,-1
0.0618413 ,Right ,-2 ,+1 ,-6 ,-4 ,0  ,0  ,0  ,-2
0.0618442 ,Right ,-2 ,-5 ,-1 ,-1 ,-1 ,-1 ,-1 ,-1
0.063187 ,Right ,-1 ,-7 ,-6 ,-2 ,+4 ,0  ,-1 ,-1
0.0631914 ,Right ,0  ,+5 ,+5 ,+1 ,+2 ,0  ,0  ,-1
0.0686201 ,Right ,0  ,+3 ,-4 ,-3 ,-3 ,-3 ,-1 ,0 
0.0686231 ,Right ,-3 ,-9 ,+1 ,-4 ,-4 ,-1 ,-2 ,0 
0.0750483 ,Right ,-1 ,+1 ,+3 ,+2 ,-2 ,0  ,0  ,-1
0.0750511 ,Right ,+1 ,+2 ,+3 ,+3 ,+6 ,+2 ,+1 ,-1
0.0918501 ,Right ,-1 ,0  ,-2 ,-4 ,-5 ,0  ,-1 ,0 
0.0918538 ,Right ,-1 ,0  ,-5 ,+3 ,+7 ,+3 ,-1 ,+2
0.0932634 ,Right ,0  ,-5 ,-4 ,-4 ,-8 ,-4 ,-1 ,-1
0.093267 ,Right ,0  ,+3 ,+1 ,+1 ,-10 ,-5 ,-3 ,-1
0.1141677 ,Right ,0  ,-3 ,-1 ,-3 ,+7 ,+1 ,-1 ,-1
0.1141714 ,Right ,-3 ,+5 ,+4 ,-3 ,-6 ,+1 ,+1 ,+1
0.1158894 ,Right ,-3 ,-21 ,-5 ,+2 ,+3 ,+3 ,-1 ,0 
0.1158931 ,Right ,-2 ,-5 ,-4 ,-4 ,-1 ,-2 ,0  ,-2
0.1285086 ,Right ,-3 ,-1 ,-3 ,-2 ,+2 ,0  ,0  ,-1
0.1285126 ,Right ,-1 ,-4 ,+2 ,+1 ,-1 ,0  ,-1 ,-1
0.1351441 ,Right ,+1 ,+13 ,+3 ,+1 ,+2 ,-3 ,-1 ,-1
0.135147 ,Right ,-4 ,-7 ,-2 ,-2 ,-4 ,-2 ,-2 ,-1
0.1518526 ,Right ,-1 ,-2 ,+1 ,0  ,-1 ,+1 ,-1 ,0 
0.1518557 ,Right ,-3 ,-2 ,0  ,-1 ,0  ,-1 ,-1 ,-1
0.1533679 ,Right ,+1 ,+5 ,-2 ,-2 ,0  ,0  ,+1 ,+1
0.1533709 ,Right ,-1 ,-3 ,-3 ,-1 ,0  ,-2 ,-2 ,-1
0.1741244 ,Right ,-1 ,-2 ,-5 ,-6 ,-7 ,-2 ,-2 ,-2
0.1741276 ,Right ,0  ,-1 ,-1 ,+3 ,+5 ,-2 ,0  ,-2
0.1757013 ,Right ,0  ,0  ,+2 ,+3 ,-2 ,0  ,-2 ,0 
0.1757043 ,Right ,0  ,-3 ,-7 ,-3 ,+2 ,0  ,0  ,0 
0.1884692 ,Right ,-1 ,+4 ,+5 ,+3 ,+9 ,+3 ,0  ,+1
0.1884723 ,Right ,0  ,-1 ,-8 ,-7 ,-16 ,-9 ,-2 ,-2
0.1951971 ,Right ,-2 ,+1 ,+5 ,0  ,+7 ,+2 ,+1 ,-1
0.1952022 ,Right ,-1 ,-2 ,+7 ,+3 ,0  ,+1 ,0  ,0 
0.2118196 ,Right ,-1 ,-2 ,-6 ,-3 ,-2 ,-1 ,0  ,0 
0.2118228 ,Right ,0  ,+5 ,+5 ,+3 ,+5 ,+3 ,+2 ,0 
0.2133596 ,Right ,-3 ,0  ,-6 ,-6 ,-7 ,-4 ,-3 ,-2
0.2133628 ,Right ,+2 ,-1 ,0  ,-2 ,0  ,0  ,-2 ,-2
0.2342181 ,Right ,0  ,-3 ,-6 ,0  ,0  ,+1 ,-1 ,-2
0.2342225 ,Right ,-3 ,-6 ,-1 ,-1 ,+1 ,-2 ,-1 ,-1
0.235894 ,Right ,-2 ,+4 ,+3 ,+1 ,-2 ,-1 ,-2 ,-1
