timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0156059 ,Left ,0  ,+3 ,+5 ,0  ,-2 ,0  ,0  ,0 
0.015609 ,Left ,0  ,+3 ,+5 ,0  ,-2 ,0  ,0  ,0 
0.015611 ,Left ,0  ,+3 ,+5 ,0  ,-2 ,0  ,0  ,0 
0.0156129 ,Left ,0  ,+3 ,+5 ,0  ,-2 ,0  ,0  ,0 
0.0156407 ,Left ,+1 ,0  ,+1 ,+2 ,-1 ,-3 ,-2 ,-2
0.0156428 ,Left ,+1 ,0  ,+1 ,+2 ,-1 ,-3 ,-2 ,-2
0.0156446 ,Left ,+1 ,0  ,+1 ,+2 ,-1 ,-3 ,-2 ,-2
0.0156466 ,Left ,+1 ,0  ,+1 ,+2 ,-1 ,-3 ,-2 ,-2
0.02307 ,Left ,-1 ,-4 ,-7 ,-3 ,-3 ,-2 ,0  ,-2
0.0230722 ,Left ,-1 ,-4 ,-7 ,-3 ,-3 ,-2 ,0  ,-2
0.0230756 ,Left ,-1 ,-4 ,-7 ,-3 ,-3 ,-2 ,0  ,-2
0.0230772 ,Left ,-1 ,-4 ,-7 ,-3 ,-3 ,-2 ,0  ,-2
0.0230798 ,Left ,-2 ,-2 ,-5 ,+2 ,+3 ,0  ,-2 ,-1
0.0230814 ,Left ,-2 ,-2 ,-5 ,+2 ,+3 ,0  ,-2 ,-1
0.0230829 ,Left ,-2 ,-2 ,-5 ,+2 ,+3 ,0  ,-2 ,-1
0.0230845 ,Left ,-2 ,-2 ,-5 ,+2 ,+3 ,0  ,-2 ,-1
0.0308006 ,Left ,0  ,+3 ,+5 ,-11 ,-11 ,-1 ,-1 ,0 
0.0308033 ,Left ,0  ,+3 ,+5 ,-11 ,-11 ,-1 ,-1 ,0 
0.0308048 ,Left ,0  ,+3 ,+5 ,-11 ,-11 ,-1 ,-1 ,0 
0.0308063 ,Left ,0  ,+3 ,+5 ,-11 ,-11 ,-1 ,-1 ,0 
0.0308086 ,Left ,-2 ,-2 ,-1 ,+2 ,+5 ,0  ,0  ,0 
0.0308101 ,Left ,-2 ,-2 ,-1 ,+2 ,+5 ,0  ,0  ,0 
0.0308116 ,Left ,-2 ,-2 ,-1 ,+2 ,+5 ,0  ,0  ,0 
0.0308132 ,Left ,-2 ,-2 ,-1 ,+2 ,+5 ,0  ,0  ,0 
0.0383715 ,Left ,-1 ,0  ,+2 ,-3 ,-4 ,+2 ,+2 ,-1
0.0383738 ,Left ,-1 ,0  ,+2 ,-3 ,-4 ,+2 ,+2 ,-1
0.0383753 ,Left ,-1 ,0  ,+2 ,-3 ,-4 ,+2 ,+2 ,-1
0.0383769 ,Left ,-1 ,0  ,+2 ,-3 ,-4 ,+2 ,+2 ,-1
0.0383791 ,Left ,0  ,+1 ,+1 ,+5 ,+5 ,+2 ,-1 ,-1
0.0383807 ,Left ,0  ,+1 ,+1 ,+5 ,+5 ,+2 ,-1 ,-1
