timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0497123 ,Left ,-4 ,-4 ,+6 ,+10 ,+3 ,+17 ,+34 ,+6
0.049721 ,Left ,0  ,+6 ,+7 ,0  ,+7 ,+9 ,-24 ,-11
0.0641541 ,Left ,-1 ,+5 ,-3 ,+34 ,+18 ,-2 ,+10 ,+12
0.0641588 ,Left ,-2 ,-3 ,+4 ,+14 ,-3 ,-3 ,-13 ,-4
0.0656785 ,Left ,0  ,-3 ,-2 ,+14 ,-17 ,-5 ,0  ,-6
0.0656929 ,Left ,-2 ,+1 ,-4 ,-27 ,-26 ,-4 ,+10 ,-7
0.0870276 ,Left ,+5 ,-2 ,-1 ,+27 ,+11 ,+35 ,+94 ,+51
0.0870312 ,Left ,-1 ,+3 ,-8 ,-4 ,+2 ,+11 ,-8 ,+34
0.0884515 ,Left ,-5 ,0  ,+1 ,+50 ,+20 ,-58 ,-88 ,-60
0.0884552 ,Left ,-8 ,-17 ,-12 ,-48 ,-44 ,-34 ,-22 ,-25
0.1004722 ,Left ,0  ,+5 ,+2 ,+40 ,+21 ,-4 ,-14 ,-16
0.1004762 ,Left ,+8 ,+12 ,+2 ,-5 ,+1 ,+15 ,+50 ,+31
0.1096184 ,Left ,+1 ,-2 ,+2 ,+15 ,+29 ,+29 ,+36 ,+24
0.1096213 ,Left ,-2 ,0  ,+3 ,-16 ,-11 ,-10 ,-22 ,-1
0.1262943 ,Left ,-3 ,-12 ,-1 ,-9 ,-6 ,+1 ,+2 ,+1
0.1264393 ,Left ,-5 ,-7 ,+1 ,0  ,+9 ,-2 ,-6 ,-8
0.128415 ,Left ,+3 ,+9 ,+4 ,0  ,-38 ,+2 ,-2 ,+1
0.1285769 ,Left ,-3 ,-5 ,-8 ,-36 ,-43 ,-7 ,0  ,-2
0.147395 ,Left ,+4 ,-3 ,-4 ,+36 ,+13 ,+8 ,-7 ,-4
0.1474042 ,Left ,+2 ,-1 ,-2 ,-4 ,-31 ,-15 ,-11 ,-14
0.1486643 ,Left ,-2 ,+3 ,-4 ,-13 ,+56 ,+2 ,-1 ,-4
0.1486704 ,Left ,+2 ,-1 ,0  ,+5 ,-54 ,-4 ,+19 ,+17
0.1604521 ,Left ,-2 ,0  ,+13 ,+24 ,+33 ,+21 ,-11 ,-4
0.1604563 ,Left ,-5 ,-14 ,-14 ,-39 ,-23 ,-28 ,-16 ,-17
0.169493 ,Left ,0  ,-1 ,-3 ,+8 ,+8 ,+9 ,+8 ,+8
