timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0603256 ,Right ,-1 ,+8 ,+68 ,+33 ,+1 ,-1 ,-7 ,0 
0.0603581 ,Right ,-5 ,-12 ,-58 ,-22 ,-8 ,-1 ,-2 ,-1
0.0676444 ,Right ,+4 ,+11 ,+16 ,+16 ,+6 ,-2 ,+3 ,+5
0.0676966 ,Right ,-4 ,-3 ,+17 ,+1 ,-2 ,+2 ,-1 ,-3
0.0832389 ,Right ,-2 ,-7 ,-54 ,-20 ,+4 ,+2 ,-1 ,-2
0.0832424 ,Right ,-1 ,0  ,+15 ,+16 ,0  ,-1 ,-2 ,-5
0.0978255 ,Right ,-2 ,-6 ,-18 ,-15 ,-4 ,-4 ,0  ,-1
0.0978283 ,Right ,+3 ,+2 ,+4 ,0  ,-4 ,0  ,-1 ,+1
0.1130152 ,Right ,-1 ,+3 ,-18 ,0  ,+2 ,-1 ,+1 ,-2
0.1130188 ,Right ,-7 ,+3 ,+31 ,-1 ,-3 ,-1 ,+1 ,-2
0.1208931 ,Right ,+2 ,-32 ,-48 ,-22 ,-3 ,+1 ,-6 ,+2
0.1209054 ,Right ,-2 ,+3 ,+61 ,-3 ,0  ,-2 ,-1 ,-12
0.13613 ,Right ,-5 ,+7 ,+19 ,-2 ,-5 ,-3 ,-5 ,-1
0.1363184 ,Right ,-2 ,-1 ,-13 ,+5 ,+1 ,0  ,+4 ,+3
0.1506745 ,Right ,-1 ,-2 ,+15 ,+1 ,+3 ,+1 ,-1 ,-4
0.1506813 ,Right ,-2 ,-9 ,-32 ,-10 ,-4 ,-2 ,+3 ,-3
0.1581181 ,Right ,+1 ,-13 ,+38 ,+4 ,-1 ,-3 ,+4 ,-3
0.1581247 ,Right ,+3 ,+33 ,-21 ,-7 ,+5 ,+4 ,+3 ,+3
0.17294 ,Right ,-2 ,+11 ,-11 ,+7 ,-6 ,-4 ,0  ,-2
0.1729432 ,Right ,0  ,-10 ,+4 ,+7 ,-8 ,-2 ,+3 ,+2
0.1803368 ,Right ,-3 ,+1 ,-13 ,-4 ,+4 ,+3 ,+6 ,-2
0.1803662 ,Right ,-3 ,-7 ,-5 ,+1 ,-6 ,-5 ,-4 ,-2
0.1956751 ,Right ,-2 ,+3 ,+9 ,+1 ,-3 ,+1 ,-5 ,-1
0.1956914 ,Right ,-4 ,-5 ,-2 ,+1 ,-3 ,-4 ,-4 ,-1
0.2104068 ,Right ,+2 ,-1 ,-3 ,-3 ,-3 ,0  ,+4 ,+7
0.2104093 ,Right ,-1 ,-12 ,-13 ,-9 ,+3 ,-4 ,+2 ,0 
0.2178911 ,Right ,-4 ,+8 ,+23 ,+21 ,0  ,-2 ,+1 ,+1
0.2178936 ,Right ,-1 ,-8 ,-45 ,-34 ,-7 ,-2 ,-6 ,+3
0.2330243 ,Right ,-1 ,-2 ,+38 ,+6 ,-6 ,-2 ,-5 ,-3
0.2330282 ,Right ,-2 ,-5 ,-28 ,-2 ,+1 ,+2 ,0  ,-3
0.2406695 ,Right ,-3 ,+4 ,+4 ,+2 ,-1 ,0  ,+2 ,-1
0.2406738 ,Right ,-1 ,-1 ,+6 ,+13 ,+2 ,-2 ,0  ,-2
0.2553893 ,Right ,0  ,+1 ,+12 ,-1 ,0  ,0  ,0  ,+1
0.2553926 ,Right ,-4 ,+1 ,+9 ,-12 ,-5 ,-3 ,-4 ,0 
0.2629202 ,Right ,-3 ,-2 ,+8 ,-6 ,-2 ,-4 ,-10 ,-9
0.2629237 ,Right ,0  ,-6 ,-20 ,-5 ,-1 ,-1 ,+3 ,0 
0.2855605 ,Right ,-1 ,-26 ,-10 ,-17 ,-2 ,-3 ,0  ,-3
0.2855645 ,Right ,0  ,-1 ,+18 ,+6 ,-2 ,+3 ,0  ,-2
0.3005455 ,Right ,-1 ,0  ,-39 ,-12 ,-1 ,-3 ,-5 ,-3
0.30055 ,Right ,+1 ,0  ,-3 ,-3 ,-6 ,-3 ,-2 ,-1
0.3082542 ,Right ,0  ,+2 ,-8 ,-7 ,+1 ,+1 ,+3 ,0 
0.3082608 ,Right ,-3 ,0  ,+9 ,+12 ,+2 ,+2 ,+3 ,+3
0.3305835 ,Right ,0  ,+6 ,-15 ,-5 ,-7 ,-5 ,-5 ,-4
0.3305887 ,Right ,+1 ,+6 ,+30 ,+4 ,+2 ,+2 ,+5 ,-4
0.3454883 ,Right ,-1 ,+6 ,+11 ,+4 ,-1 ,0  ,0  ,0 
0.3454915 ,Right ,-4 ,-4 ,-20 ,+1 ,+2 ,-4 ,-3 ,0 
0.3605055 ,Right ,-3 ,-12 ,-16 ,-10 ,-7 ,-2 ,-3 ,-2
0.3605082 ,Right ,+1 ,-1 ,+12 ,-8 ,-2 ,+4 ,-3 ,-2
0.3681142 ,Right ,0  ,+11 ,+2 ,+15 ,+5 ,+3 ,+1 ,0 
0.3681176 ,Right ,+1 ,-9 ,+22 ,-12 ,-4 ,-3 ,-4 ,-2
0.3756431 ,Right ,-1 ,+3 ,-25 ,-2 ,-1 ,-1 ,-4 ,+4
0.3756461 ,Right ,-2 ,-4 ,+3 ,-5 ,-3 ,0  ,0  ,+4
0.3903824 ,Right ,0  ,+19 ,+27 ,+5 ,0  ,-3 ,-4 ,-1
0.3903859 ,Right ,-2 ,0  ,+5 ,-5 ,+1 ,+4 ,+1 ,-3
0.3979781 ,Right ,-5 ,-20 ,-7 ,+7 ,-7 ,-2 ,+3 ,-3
0.3979818 ,Right ,+1 ,-3 ,-11 ,-17 ,-3 ,-1 ,+1 ,0 
0.4127582 ,Right ,-3 ,-8 ,+3 ,+3 ,-3 ,0  ,+3 ,-6
0.4128322 ,Right ,-1 ,+3 ,+5 ,+9 ,+2 ,0  ,-1 ,0 
0.4204598 ,Right ,0  ,0  ,+28 ,-5 ,+6 ,+1 ,-4 ,+2
0.4204643 ,Right ,0  ,-7 ,-35 ,-2 ,-1 ,-1 ,-3 ,-5
0.4354203 ,Right ,+2 ,-1 ,-49 ,-9 ,-2 ,0  ,-6 ,-3
0.4354233 ,Right ,-4 ,-1 ,+40 ,+17 ,+3 ,+1 ,0  ,-5
0.4505019 ,Right ,+1 ,-5 ,-30 ,-14 ,+3 ,+1 ,+4 ,+3
0.4505053 ,Right ,-3 ,+9 ,-2 ,-7 ,+3 ,-1 ,+1 ,0 
0.458096 ,Right ,-1 ,+6 ,+20 ,+3 ,+2 ,-1 ,+5 ,+2
0.458101 ,Right ,+1 ,0  ,-5 ,+6 ,-4 ,-3 ,-2 ,-2
0.4730446 ,Right ,-2 ,-6 ,-3 ,-7 ,-2 ,0  ,-2 ,-3
0.4730498 ,Right ,0  ,-3 ,+3 ,-3 ,-5 ,-5 ,-9 ,-3
0.4806255 ,Right ,+1 ,0  ,+3 ,-1 ,-4 ,-2 ,+2 ,0 
0.480631 ,Right ,-4 ,-4 ,-20 ,-8 ,-1 ,0  ,-2 ,0 
0.4957043 ,Right ,-1 ,+4 ,-6 ,-2 ,-3 ,-2 ,+2 ,-2
0.4957098 ,Right ,-1 ,+4 ,+22 ,+11 ,-1 ,-2 ,+2 ,+3
0.5105766 ,Right ,0  ,-8 ,-35 ,-8 ,-1 ,+1 ,+1 ,0 
0.5105815 ,Right ,-2 ,+5 ,+1 ,-1 ,-2 ,-2 ,-1 ,-3
0.5182953 ,Right ,-1 ,+3 ,+2 ,+4 ,0  ,+2 ,-5 ,-1
0.518301 ,Right ,-1 ,+1 ,+7 ,+3 ,+4 ,+1 ,0  ,+2
0.5331703 ,Right ,-4 ,-7 ,-8 ,0  ,+2 ,+2 ,-2 ,-4
0.5331759 ,Right ,-1 ,+14 ,-24 ,-6 ,-2 ,-1 ,-2 ,-2
0.5406529 ,Right ,0  ,+5 ,+42 ,+6 ,-1 ,-1 ,+1 ,-3
0.5406585 ,Right ,-8 ,-22 ,-72 ,-16 ,-8 ,-3 ,-8 ,-5
0.5560139 ,Right ,+2 ,+5 ,+2 ,+2 ,0  ,-1 ,+1 ,+4
0.5560219 ,Right ,0  ,+2 ,+6 ,-5 ,+1 ,+3 ,-1 ,+2
0.5710048 ,Right ,-4 ,-8 ,-4 ,-2 ,-4 ,-2 ,+1 ,-1
0.5710131 ,Right ,0  ,-2 ,-4 ,+2 ,-5 ,-3 ,+6 ,0 
0.5783363 ,Right ,0  ,-2 ,+1 ,-3 ,+7 ,+1 ,-5 ,-6
0.5783446 ,Right ,+3 ,+3 ,+14 ,+8 ,+4 ,-3 ,-2 ,-3
0.5931667 ,Right ,-4 ,-9 ,-19 ,-9 ,-4 ,-2 ,-4 ,-4
0.5931742 ,Right ,+2 ,-6 ,-29 ,-5 ,+1 ,-5 ,0  ,+3
0.6008376 ,Right ,-1 ,+7 ,+41 ,+2 ,-4 ,-3 ,0  ,0 
0.6008456 ,Right ,+1 ,-2 ,-56 ,-8 ,-2 ,-1 ,-3 ,-1
0.6160009 ,Right ,-2 ,-4 ,-65 ,-16 ,-1 ,-3 ,-3 ,-2
0.6160087 ,Right ,+2 ,+7 ,+31 ,+2 ,+1 ,+4 ,-2 ,+3
0.6308731 ,Right ,+4 ,+4 ,+16 ,+2 ,-2 ,-4 ,-3 ,-3
0.6308811 ,Right ,-3 ,-9 ,+6 ,+6 ,0  ,+1 ,0  ,-2
0.6382762 ,Right ,-1 ,0  ,-5 ,+9 ,+3 ,-3 ,0  ,0 
0.6382876 ,Right ,-1 ,+6 ,+32 ,-1 ,+2 ,+2 ,0  ,-1
0.6530034 ,Right ,-4 ,-13 ,-24 ,-5 ,-3 ,-2 ,0  ,0 
0.653009 ,Right ,-1 ,+3 ,-1 ,-1 ,0  ,-1 ,-3 ,-2
0.6609192 ,Right ,+2 ,+14 ,+40 ,+8 ,-2 ,-1 ,+4 ,+1
0.6609259 ,Right ,-6 ,-9 ,-41 ,-19 ,-4 ,-5 ,-5 ,-3
0.6756105 ,Right ,-1 ,-3 ,-2 ,+1 ,-7 ,-2 ,-2 ,-2
0.6756171 ,Right ,0  ,+1 ,+25 ,+12 ,+2 ,-3 ,+1 ,0 
0.6907032 ,Right ,-2 ,+1 ,-2 ,-5 ,0  ,-1 ,-1 ,-1
0.6907094 ,Right ,-2 ,+3 ,+5 ,+3 ,0  ,-5 ,-2 ,0 
0.6982861 ,Right ,-2 ,-1 ,-24 ,-10 ,-2 ,-1 ,-2 ,+2
0.698294 ,Right ,-1 ,-3 ,+17 ,-3 ,-5 ,-4 ,-2 ,0 
0.7130307 ,Right ,-1 ,+4 ,+7 ,+10 ,-4 ,0  ,-1 ,0 
0.7130367 ,Right ,-5 ,+3 ,+15 ,+4 ,+7 ,+1 ,+4 ,-3
0.7208469 ,Right ,-1 ,-3 ,-24 ,-2 ,-5 ,-2 ,+5 ,-1
0.7208536 ,Right ,-1 ,-9 ,-4 ,-16 ,-5 ,+1 ,+3 ,-4
0.7355023 ,Right ,0  ,+4 ,+13 ,-3 ,-4 ,+1 ,-2 ,0 
0.7355079 ,Right ,-1 ,-9 ,-15 ,-2 ,+1 ,-1 ,-7 ,-3
0.7430721 ,Right ,0  ,+3 ,+9 ,+7 ,+6 ,+3 ,+4 ,+3
0.7430778 ,Right ,-2 ,+3 ,+1 ,+3 ,-2 ,-3 ,-4 ,0 
0.7660138 ,Right ,-6 ,-14 ,-30 ,-16 ,-5 ,-2 ,-2 ,-8
0.7660231 ,Right ,0  ,+1 ,+14 ,+4 ,-1 ,-3 ,0  ,-3
0.7809675 ,Right ,-4 ,-1 ,+19 ,0  ,+2 ,+2 ,-5 ,0 
0.7809767 ,Right ,-3 ,-10 ,-22 ,+2 ,-2 ,-3 ,-2 ,+1
0.7885215 ,Right ,-2 ,+3 ,+26 ,+1 ,0  ,-1 ,-1 ,+5
0.7885309 ,Right ,-2 ,+1 ,-9 ,+4 ,-1 ,0  ,0  ,0 
0.8033227 ,Right ,0  ,+1 ,+9 ,+4 ,-1 ,-2 ,0  ,-1
0.8033314 ,Right ,-3 ,-2 ,-2 ,-5 ,+1 ,0  ,0  ,-4
0.8108689 ,Right ,-1 ,-9 ,-1 ,-7 ,-6 ,-3 ,0  ,-3
0.8108762 ,Right ,+2 ,+3 ,-3 ,+1 ,0  ,-2 ,+2 ,+1
0.8183146 ,Right ,0  ,+12 ,-12 ,-7 ,-4 ,-2 ,-2 ,+3
0.8183229 ,Right ,-3 ,-1 ,+25 ,-5 ,-3 ,+1 ,-2 ,0 
0.8333376 ,Right ,0  ,+7 ,-35 ,+5 ,-4 ,-1 ,+3 ,+2
0.8333448 ,Right ,+1 ,-3 ,+8 ,-10 ,-2 ,-2 ,+3 ,+3
0.8407787 ,Right ,+1 ,+2 ,+51 ,+15 ,-1 ,-2 ,-1 ,-1
0.8407876 ,Right ,-2 ,-7 ,-60 ,-14 ,0  ,0  ,0  ,-2
0.8558786 ,Right ,-3 ,-2 ,+21 ,+6 ,-1 ,-2 ,-2 ,-3
0.8558864 ,Right ,+1 ,+1 ,-5 ,+6 ,+3 ,-4 ,-9 ,+3
0.8633136 ,Right ,-2 ,-6 ,+4 ,-8 ,+4 ,-2 ,-4 ,0 
0.8633208 ,Right ,+1 ,+3 ,+18 ,+7 ,+3 ,+3 ,+1 ,+3
0.8784357 ,Right ,+2 ,-6 ,-15 ,+5 ,+2 ,+1 ,0  ,-2
0.8784429 ,Right ,0  ,+1 ,+9 ,+7 ,+1 ,0  ,+3 ,0 
0.8931234 ,Right ,-4 ,-4 ,-3 ,-5 ,+1 ,-2 ,+2 ,-5
0.8931338 ,Right ,-2 ,-3 ,-1 ,-6 ,-3 ,-2 ,+1 ,-1
0.9009213 ,Right ,-1 ,-3 ,-7 ,-3 ,+1 ,0  ,-2 ,+3
0.9009294 ,Right ,-2 ,-8 ,-5 ,-5 ,-4 ,-2 ,0  ,-3
0.9157588 ,Right ,0  ,-15 ,-1 ,+3 ,0  ,-2 ,-3 ,-1
0.9158248 ,Right ,+1 ,+3 ,+21 ,+3 ,+1 ,-2 ,0  ,+1
0.9235078 ,Right ,-5 ,-14 ,-5 ,-2 ,-6 ,0  ,-2 ,-5
0.9235156 ,Right ,-3 ,0  ,-19 ,-11 ,+3 ,-3 ,-4 ,-2
0.9382325 ,Right ,-1 ,+3 ,-6 ,+4 ,0  ,0  ,+5 ,-2
0.9382397 ,Right ,0  ,-5 ,+14 ,+3 ,-3 ,-2 ,+1 ,-3
0.9531453 ,Right ,0  ,+3 ,+7 ,-6 ,0  ,-1 ,0  ,-7
0.953152 ,Right ,-2 ,+8 ,+6 ,+9 ,+5 ,0  ,+3 ,-5
0.9608998 ,Right ,-1 ,-4 ,-37 ,-9 ,-5 ,0  ,+2 ,-1
0.9609074 ,Right ,-1 ,+1 ,+7 ,+5 ,-1 ,-2 ,-6 ,+1
0.9755992 ,Right ,-1 ,+3 ,+18 ,-2 ,-1 ,+2 ,-7 ,0 
0.9756248 ,Right ,-6 ,-9 ,-27 ,+3 ,-4 ,-3 ,-5 ,-3
0.9834048 ,Right ,-3 ,-3 ,-13 ,-11 ,+6 ,0  ,-6 ,-5
0.9834854 ,Right ,0  ,+4 ,-10 ,+3 ,-4 ,+1 ,-1 ,-1
0.9981251 ,Right ,-1 ,-5 ,-19 ,-1 ,-3 ,-1 ,+5 ,0 
0.9981325 ,Right ,+1 ,-6 ,-2 ,+5 ,+1 ,-1 ,+3 ,-1
1.0131003 ,Right ,-1 ,+4 ,-13 ,-14 ,-3 ,-4 ,0  ,-4
1.0131066 ,Right ,-4 ,-8 ,+1 ,-11 ,-11 ,0  ,-6 ,-4
1.0206068 ,Right ,0  ,-11 ,-7 ,+11 ,+7 ,+1 ,+2 ,+1
1.0206958 ,Right ,+1 ,+7 ,+10 ,+10 ,+1 ,-1 ,-3 ,-1
1.0355605 ,Right ,+1 ,+7 ,+8 ,+7 ,-3 ,+1 ,-1 ,-4
1.0356503 ,Right ,-7 ,-24 ,-28 ,-14 ,-2 ,-1 ,-7 ,-8
1.043114 ,Right ,-2 ,-8 ,+15 ,-6 ,-5 ,-2 ,-9 ,-5
1.0432368 ,Right ,-2 ,+7 ,+4 ,+1 ,+1 ,+2 ,-2 ,0 
1.058131 ,Right ,+2 ,+5 ,+1 ,+5 ,-2 ,-3 ,0  ,+3
1.0581376 ,Right ,-2 ,-2 ,+5 ,-3 ,+2 ,+1 ,-3 ,0 
1.0733091 ,Right ,0  ,-3 ,-9 ,-4 ,0  ,+1 ,+4 ,+2
1.0733164 ,Right ,0  ,+7 ,+11 ,+8 ,+1 ,-2 ,+1 ,0 
1.0807393 ,Right ,-1 ,+1 ,+3 ,-8 ,-3 ,-2 ,-6 ,-1
1.0807466 ,Right ,0  ,+1 ,+5 ,-1 ,-4 ,-1 ,+2 ,0 
1.0959407 ,Right ,-2 ,-8 ,-10 ,+6 ,-2 ,0  ,+1 ,-1
1.095948 ,Right ,+2 ,+4 ,+19 ,-4 ,+7 ,0  ,+8 ,-1
1.1033713 ,Right ,-2 ,+11 ,-19 ,-4 ,-4 ,+3 ,-2 ,0 
1.1033785 ,Right ,-6 ,-20 ,+2 ,0  ,0  ,-2 ,-5 ,0 
1.1182057 ,Right ,-4 ,+4 ,-35 ,-5 ,+1 ,+1 ,-1 ,-3
1.1182126 ,Right ,+1 ,0  ,-11 ,-5 ,-3 ,-1 ,-5 ,0 
1.1331255 ,Right ,0  ,-2 ,+11 ,-1 ,-2 ,-2 ,-5 ,+4
1.1331322 ,Right ,-5 ,-2 ,-7 ,+12 ,+1 ,+2 ,+3 ,-5
1.1407982 ,Right ,+1 ,+1 ,+24 ,+4 ,+5 ,-4 ,+2 ,-3
1.1408094 ,Right ,-1 ,+1 ,-5 ,0  ,-4 ,0  ,+2 ,-4
1.1558499 ,Right ,0  ,-5 ,-2 ,-6 ,-1 ,-3 ,-4 ,-1
1.1558569 ,Right ,+4 ,+17 ,-14 ,-7 ,-3 ,-1 ,-6 ,+2
1.1633085 ,Right ,-2 ,0  ,+14 ,+2 ,-2 ,0  ,-3 ,0 
1.1633158 ,Right ,-3 ,-3 ,-5 ,+2 ,+2 ,-2 ,+1 ,0 
1.1781643 ,Right ,+1 ,-9 ,-1 ,+5 ,-2 ,0  ,-2 ,-1
1.1781712 ,Right ,-2 ,0  ,-12 ,-20 ,-4 ,-2 ,-4 ,-2
1.1930727 ,Right ,-6 ,-12 ,-5 ,+16 ,-1 ,-1 ,-7 ,-6
1.1930795 ,Right ,-3 ,-2 ,-22 ,-9 ,-3 ,+1 ,+6 ,+2
1.2008371 ,Right ,0  ,+2 ,+21 ,0  ,-4 ,-6 ,+2 ,-2
1.2008446 ,Right ,-2 ,-10 ,-21 ,-3 ,0  ,+2 ,-2 ,-5
1.2158329 ,Right ,+2 ,+6 ,+10 ,-4 ,+3 ,-1 ,+2 ,+3
1.2158402 ,Right ,0  ,-3 ,+8 ,+4 ,-1 ,-2 ,-2 ,-1
1.2233877 ,Right ,-2 ,-8 ,-21 ,-5 ,0  ,-4 ,-5 ,-5
1.2233953 ,Right ,-1 ,+9 ,+15 ,+11 ,+1 ,+1 ,+1 ,+1
1.2382367 ,Right ,-3 ,-5 ,-7 ,-19 ,-9 ,0  ,+1 ,-1
1.238244 ,Right ,-1 ,+3 ,+2 ,+10 ,+1 ,-1 ,-2 ,-2
1.2531587 ,Right ,-2 ,-6 ,-1 ,-6 ,-2 ,-2 ,0  ,-3
1.2531652 ,Right ,-1 ,-4 ,+8 ,+1 ,+1 ,+4 ,-1 ,+2
1.2609 ,Right ,+2 ,+11 ,+39 ,+12 ,+5 ,+1 ,+3 ,+4
1.2609074 ,Right ,+2 ,-1 ,+3 ,+1 ,-1 ,-3 ,-4 ,+1
1.2756483 ,Right ,-3 ,-19 ,-9 ,-7 ,-3 ,-2 ,-23 ,-4
1.275655 ,Right ,-6 ,-10 ,-15 ,-4 ,-2 ,-4 ,-28 ,-6
1.2833979 ,Right ,+3 ,+8 ,+12 ,+5 ,+3 ,-1 ,-7 ,0 
1.2834052 ,Right ,0  ,+7 ,-2 ,-16 ,-2 ,0  ,+1 ,+1
1.2982559 ,Right ,-2 ,-4 ,-7 ,0  ,+1 ,+2 ,-1 ,0 
1.2982637 ,Right ,0  ,-5 ,+5 ,+3 ,-3 ,-2 ,-2 ,0 
1.3131764 ,Right ,+1 ,+4 ,+4 ,-2 ,-1 ,0  ,+7 ,-2
1.313183 ,Right ,-2 ,-7 ,-31 ,-7 ,-2 ,0  ,+9 ,-2
1.3208144 ,Right ,0  ,-3 ,-1 ,-5 ,-5 ,0  ,+7 ,-1
1.320822 ,Right ,-1 ,+2 ,0  ,-2 ,+2 ,-1 ,+10 ,-2
1.335821 ,Right ,0  ,+3 ,-3 ,+1 ,-1 ,0  ,+8 ,-3
1.3358285 ,Right ,-2 ,+3 ,+15 ,+6 ,+1 ,-1 ,+15 ,-1
1.3432389 ,Right ,-1 ,-3 ,-2 ,-2 ,+1 ,+1 ,+11 ,+2
1.3432603 ,Right ,0  ,-1 ,0  ,-2 ,+2 ,-4 ,+5 ,-2
1.3659045 ,Right ,-1 ,-2 ,-6 ,+2 ,-5 ,-2 ,-1 ,-3
1.3659121 ,Right ,-2 ,-2 ,+24 ,+4 ,-1 ,-2 ,-3 ,-2
1.3733755 ,Right ,-2 ,+1 ,-40 ,-8 ,0  ,-1 ,-1 ,0 
1.373383 ,Right ,0  ,+9 ,+17 ,+6 ,-1 ,-3 ,-2 ,+2
1.3881477 ,Right ,-4 ,-7 ,-1 ,-5 ,-3 ,-1 ,-6 ,-1
1.3881543 ,Right ,0  ,-2 ,-4 ,-3 ,-3 ,-2 ,-5 ,+1
1.3955492 ,Right ,+2 ,+17 ,+19 ,+4 ,-1 ,-3 ,+2 ,+1
1.3955869 ,Right ,+1 ,-1 ,-10 ,+3 ,+3 ,+1 ,-3 ,+3
1.4108896 ,Right ,-1 ,-2 ,-20 ,-11 ,-2 ,-1 ,-4 ,-1
1.4109015 ,Right ,-2 ,+4 ,+7 ,+3 ,+1 ,+1 ,-2 ,-2
1.4332065 ,Right ,+1 ,+9 ,+14 ,+21 ,+5 ,-1 ,-2 ,-2
1.4332167 ,Right ,-4 ,-8 ,-12 ,-9 ,-3 ,-3 ,-2 ,-3
1.4409323 ,Right ,-4 ,-5 ,-22 ,-7 ,-2 ,-2 ,-3 ,+3
1.4409392 ,Right ,-2 ,-5 ,-3 ,+1 ,-4 ,-1 ,-5 ,0 
1.4558134 ,Right ,-2 ,+2 ,+24 ,+2 ,-1 ,+1 ,-2 ,-4
1.4558207 ,Right ,-3 ,-7 ,-31 ,-14 ,-5 ,0  ,-4 ,0 
1.4634062 ,Right ,-1 ,-4 ,+3 ,-4 ,+2 ,0  ,+1 ,+1
1.4634134 ,Right ,+2 ,+10 ,+25 ,+16 ,+1 ,-3 ,+1 ,+5
1.478356 ,Right ,-5 ,-15 ,-6 ,-13 ,0  ,-2 ,-4 ,0 
1.4784344 ,Right ,+1 ,+2 ,-5 ,+2 ,+1 ,0  ,-1 ,+2
1.4857187 ,Right ,-1 ,-7 ,-3 ,0  ,0  ,0  ,0  ,-3
1.4857264 ,Right ,0  ,0  ,-2 ,-5 ,-2 ,-2 ,+2 ,-2
1.4933631 ,Right ,-3 ,-5 ,-6 ,0  ,+1 ,-1 ,+1 ,-4
1.4933704 ,Right ,+2 ,+8 ,+18 ,-5 ,+2 ,0  ,+6 ,+3
1.5081529 ,Right ,-5 ,-2 ,-4 ,0  ,-4 ,-3 ,-5 ,+2
1.5081597 ,Right ,+1 ,+1 ,+9 ,+9 ,-1 ,-1 ,+4 ,+2
1.5159232 ,Right ,0  ,-3 ,-2 ,-1 ,-1 ,+2 ,0  ,-1
1.5159301 ,Right ,-1 ,+6 ,+5 ,-3 ,-5 ,+1 ,-2 ,-3
1.5307606 ,Right ,0  ,-14 ,-19 ,-4 ,-1 ,0  ,-3 ,0 
1.5307684 ,Right ,0  ,+2 ,+7 ,0  ,+3 ,-1 ,-1 ,-2
1.5382156 ,Right ,-1 ,+7 ,+22 ,+5 ,+1 ,-2 ,-2 ,-2
1.5382235 ,Right ,-3 ,-6 ,-17 ,-2 ,+1 ,+1 ,-5 ,-3
1.5459262 ,Right ,-1 ,-1 ,-10 ,-1 ,-2 ,0  ,-4 ,-1
1.5459332 ,Right ,-1 ,-3 ,+9 ,+3 ,0  ,0  ,-3 ,0 
1.5527468 ,Right ,-2 ,-5 ,-8 ,+4 ,0  ,+2 ,-1 ,-3
1.5527493 ,Right ,+1 ,+2 ,-5 ,-7 ,-1 ,+1 ,+8 ,-1
1.5681169 ,Right ,+2 ,+5 ,+4 ,-4 ,0  ,-4 ,+5 ,-1
1.5681204 ,Right ,-3 ,+1 ,+18 ,+8 ,-2 ,-1 ,-4 ,-5
1.5756747 ,Right ,-1 ,-3 ,-20 ,-2 ,-2 ,-1 ,0  ,+4
1.5756779 ,Right ,-1 ,+2 ,-6 ,-2 ,+3 ,-3 ,-1 ,+2
1.5906052 ,Right ,+1 ,+14 ,+10 ,-1 ,-3 ,+1 ,-2 ,+1
1.5906088 ,Right ,+1 ,-1 ,+13 ,-3 ,-4 ,-3 ,-4 ,0 
