timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0213649 ,Left ,-2 ,-2 ,+1 ,+2 ,+10 ,+3 ,+2 ,-1
0.0213701 ,Left ,+2 ,+3 ,+3 ,-1 ,-7 ,-1 ,0  ,0 
0.0361209 ,Left ,-1 ,-5 ,-3 ,-7 ,-1 ,-3 ,0  ,-2
0.0361413 ,Left ,-6 ,-5 ,-5 ,-2 ,+9 ,+1 ,-2 ,+2
0.0436005 ,Left ,+4 ,0  ,-3 ,0  ,-1 ,-2 ,-2 ,+2
0.0436033 ,Left ,-3 ,-6 ,-6 ,-6 ,-8 ,-3 ,-3 ,-2
0.0586622 ,Left ,+4 ,-1 ,+4 ,+3 ,-4 ,-1 ,-1 ,+5
0.0586646 ,Left ,+1 ,+2 ,-3 ,-8 ,-8 ,-3 ,-2 ,0 
0.0661404 ,Left ,-8 ,-8 ,-3 ,+4 ,-14 ,-7 ,-2 ,-5
0.0661432 ,Left ,+9 ,+4 ,-4 ,-3 ,+12 ,+4 ,+1 ,+1
0.0811596 ,Left ,-3 ,+3 ,0  ,+1 ,-4 ,+2 ,0  ,-5
0.0811626 ,Left ,0  ,+2 ,-1 ,-7 ,-4 ,-1 ,-4 ,-1
0.0887541 ,Left ,-3 ,-3 ,-7 ,-5 ,+6 ,+2 ,-1 ,+1
0.088758 ,Left ,-5 ,-3 ,+5 ,+3 ,+4 ,+2 ,+2 ,+2
0.0964941 ,Left ,-8 ,-8 ,-4 ,+4 ,-5 ,-5 ,+1 ,-6
0.0964993 ,Left ,0  ,-1 ,+2 ,+5 ,+2 ,0  ,0  ,0 
0.1039058 ,Left ,0  ,+2 ,0  ,-4 ,-3 ,-4 ,-3 ,-7
0.1039113 ,Left ,+4 ,+1 ,+3 ,+1 ,+3 ,0  ,+3 ,+3
0.1189999 ,Left ,-3 ,-2 ,-6 ,-5 ,+4 ,+3 ,0  ,-2
0.119007 ,Left ,+3 ,+13 ,+13 ,+5 ,-1 ,-3 ,0  ,+6
0.1261751 ,Left ,-5 ,+1 ,-4 ,-5 ,-7 ,-3 ,-1 ,+2
0.1262055 ,Left ,0  ,-5 ,-6 ,-1 ,-3 ,0  ,-4 ,+1
0.1412772 ,Left ,0  ,+2 ,0  ,+4 ,-13 ,-2 ,0  ,+2
0.1412806 ,Left ,-1 ,-8 ,-2 ,+5 ,+3 ,+5 ,-1 ,-3
0.1487336 ,Left ,+5 ,+4 ,+6 ,-5 ,+1 ,-1 ,+2 ,-2
0.1487366 ,Left ,-4 ,-4 ,-1 ,-3 ,+1 ,-3 ,-3 ,-4
0.1561137 ,Left ,-1 ,0  ,-2 ,-4 ,-3 ,0  ,-1 ,-3
0.1561168 ,Left ,+1 ,+3 ,-4 ,-2 ,-2 ,-2 ,-2 ,-7
0.1636838 ,Left ,+2 ,-1 ,-3 ,-2 ,-1 ,+2 ,+2 ,0 
0.1636878 ,Left ,0  ,+3 ,0  ,+2 ,-5 ,-6 ,+1 ,+4
0.1789727 ,Left ,+1 ,-1 ,+2 ,0  ,+2 ,+2 ,+1 ,+3
0.1789777 ,Left ,-2 ,-4 ,-5 ,-6 ,0  ,0  ,-3 ,+1
0.1863987 ,Left ,-7 ,0  ,-2 ,+5 ,+5 ,+2 ,-4 ,-5
0.1865008 ,Left ,+1 ,-3 ,-4 ,-5 ,+1 ,-1 ,-1 ,-1
0.2013445 ,Left ,+2 ,+3 ,+6 ,+5 ,-3 ,-2 ,-1 ,0 
0.2013478 ,Left ,0  ,+1 ,-1 ,+1 ,0  ,-1 ,-3 ,0 
0.2088359 ,Left ,-3 ,+3 ,+4 ,-3 ,-9 ,0  ,-3 ,0 
0.2088393 ,Left ,0  ,+1 ,-5 ,-2 ,-3 ,-1 ,-5 ,-2
0.2162989 ,Left ,+4 ,-8 ,-9 ,-10 ,+1 ,-1 ,0  ,-3
0.2163022 ,Left ,-4 ,-7 ,-1 ,-2 ,-4 ,-5 ,-1 ,-9
0.2237334 ,Left ,+1 ,+1 ,+7 ,-1 ,-1 ,0  ,0  ,-1
0.2237516 ,Left ,-3 ,+2 ,-2 ,+4 ,+2 ,-1 ,0  ,-2
0.2387584 ,Left ,-4 ,+2 ,+2 ,+1 ,+11 ,+1 ,-4 ,-1
0.2387617 ,Left ,-5 ,+3 ,-2 ,-3 ,-2 ,-1 ,-2 ,+1
0.2464884 ,Left ,+4 ,-3 ,-6 ,-3 ,-4 ,-3 ,-5 ,+3
0.2465003 ,Left ,0  ,+2 ,+8 ,+4 ,0  ,-1 ,-4 ,+1
0.2613624 ,Left ,+2 ,-3 ,0  ,-6 ,-5 ,-4 ,-3 ,-3
0.2613662 ,Left ,-6 ,-6 ,-3 ,-1 ,+1 ,+1 ,+1 ,-4
0.2689586 ,Left ,-7 ,-5 ,-4 ,-4 ,-4 ,0  ,-1 ,-1
0.2689631 ,Left ,0  ,+5 ,+3 ,-1 ,-1 ,+2 ,+1 ,0 
0.2764198 ,Left ,+1 ,+2 ,+1 ,+4 ,0  ,+2 ,0  ,+3
0.2764254 ,Left ,+3 ,+4 ,+5 ,+11 ,+7 ,-2 ,0  ,+2
0.2838745 ,Left ,+5 ,-3 ,-9 ,-8 ,-7 ,-4 ,-1 ,-3
0.2838804 ,Left ,-2 ,-4 ,-6 ,+1 ,-3 ,-4 ,-3 ,-4
0.2985681 ,Left ,-6 ,+4 ,+5 ,-1 ,-14 ,-4 ,-2 ,-3
0.2986046 ,Left ,-1 ,+1 ,+6 ,-1 ,+9 ,+5 ,0  ,-3
0.3062608 ,Left ,0  ,-3 ,+3 ,+5 ,+6 ,+2 ,+3 ,+2
0.3062638 ,Left ,0  ,+1 ,0  ,-7 ,-6 ,-2 ,0  ,-1
0.3211615 ,Left ,-1 ,-3 ,-3 ,-9 ,-27 ,-14 ,-5 ,+4
0.3211645 ,Left ,-1 ,-5 ,-5 ,-4 ,-1 ,-2 ,-2 ,-4
0.3288718 ,Left ,-4 ,-1 ,-2 ,+3 ,+4 ,+5 ,0  ,-4
0.3288752 ,Left ,-4 ,-2 ,0  ,-3 ,+4 ,+4 ,+1 ,-2
0.3363902 ,Left ,-9 ,-9 ,-8 ,-5 ,-3 ,-1 ,-2 ,-5
0.3363934 ,Left ,0  ,-3 ,-1 ,-2 ,-14 ,-9 ,-7 ,0 
