timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0097047 ,Right ,-1 ,-13 ,+2 ,+5 ,+2 ,-2 ,-2 ,-1
0.0097405 ,Right ,-9 ,-5 ,-4 ,-1 ,0  ,-4 ,-2 ,-4
0.0306909 ,Right ,0  ,-8 ,-6 ,-2 ,0  ,+10 ,+2 ,+3
0.0306934 ,Right ,-3 ,-2 ,+7 ,0  ,-6 ,-6 ,-3 ,-2
0.0322856 ,Right ,0  ,+8 ,-9 ,-6 ,-7 ,-3 ,-2 ,-1
0.032289 ,Right ,+2 ,-21 ,-12 ,0  ,0  ,+3 ,+3 ,-1
0.0444368 ,Right ,+1 ,+1 ,+11 ,-4 ,+1 ,+1 ,-3 ,-4
0.0444394 ,Right ,-3 ,+3 ,-9 ,-8 ,-4 ,-5 ,-1 ,-3
0.0533825 ,Right ,+4 ,-2 ,+2 ,-1 ,+4 ,+2 ,+2 ,0 
0.053385 ,Right ,-7 ,-37 ,+2 ,0  ,-2 ,-7 ,-2 ,-2
0.0681977 ,Right ,+1 ,-5 ,-6 ,-8 ,-12 ,-5 ,-3 ,0 
0.0682869 ,Right ,+1 ,+8 ,+3 ,+7 ,+4 ,-4 ,-3 ,0 
0.0697665 ,Right ,-3 ,-13 ,0  ,+1 ,0  ,-3 ,-1 ,-2
0.0697863 ,Right ,+7 ,+15 ,0  ,-2 ,-2 ,-1 ,-1 ,+1
0.0908767 ,Right ,+5 ,-1 ,+5 ,+6 ,+5 ,+4 ,+1 ,+2
0.0908808 ,Right ,-11 ,-8 ,-5 ,-3 ,-3 ,+2 ,-5 ,-5
0.0925397 ,Right ,-9 ,+7 ,+1 ,0  ,-3 ,0  ,0  ,-1
0.0925435 ,Right ,+2 ,+7 ,0  ,-7 ,-3 ,-2 ,-3 ,0 
0.1136409 ,Right ,-4 ,+5 ,+1 ,-1 ,-3 ,-4 ,-1 ,-1
0.1136471 ,Right ,+1 ,+6 ,0  ,0  ,-1 ,-2 ,+1 ,0 
0.1149853 ,Right ,-3 ,-4 ,+2 ,-2 ,-6 ,-7 ,-3 ,0 
0.1149907 ,Right ,+1 ,+6 ,-8 ,-4 ,-1 ,+1 ,-2 ,-3
0.1283712 ,Right ,-7 ,-2 ,-2 ,-2 ,-2 ,-3 ,+1 ,+3
0.1283767 ,Right ,+19 ,-1 ,-9 ,-5 ,-1 ,0  ,0  ,-1
0.1297758 ,Right ,-13 ,-17 ,-2 ,-1 ,-2 ,0  ,0  ,-4
0.1297955 ,Right ,-7 ,-13 ,-1 ,-1 ,-1 ,-2 ,-2 ,-3
0.1508912 ,Right ,0  ,-8 ,+3 ,-1 ,+2 ,-1 ,-3 ,0 
0.1509 ,Right ,-3 ,-15 ,-3 ,0  ,-5 ,-2 ,0  ,-1
0.1523725 ,Right ,+1 ,+17 ,+6 ,+8 ,+6 ,+2 ,0  ,0 
0.1523783 ,Right ,-2 ,-20 ,+5 ,-5 ,-2 ,-1 ,0  ,-1
0.1732951 ,Right ,+1 ,-7 ,-33 ,-9 ,-7 ,-3 ,-2 ,-3
0.1732986 ,Right ,-4 ,+9 ,0  ,+6 ,+1 ,+1 ,+3 ,+2
0.1748307 ,Right ,+3 ,-6 ,+5 ,+1 ,+8 ,+3 ,0  ,-1
0.1748332 ,Right ,+3 ,+18 ,+16 ,+8 ,+3 ,+2 ,-1 ,0 
0.1882108 ,Right ,-5 ,-5 ,-10 ,-5 ,-1 ,-4 ,-2 ,-2
0.1882138 ,Right ,-4 ,-10 ,+2 ,-3 ,-9 ,-2 ,+1 ,+2
0.1898284 ,Right ,0  ,+6 ,-11 ,-5 ,-2 ,-8 ,-6 ,-3
0.1898335 ,Right ,+1 ,-3 ,+4 ,+7 ,+5 ,+1 ,+1 ,-1
0.2107415 ,Right ,-2 ,-3 ,+5 ,-5 ,-5 ,-2 ,-2 ,-1
0.2107452 ,Right ,-2 ,+6 ,0  ,-1 ,0  ,0  ,-1 ,-2
0.2123622 ,Right ,0  ,-7 ,-4 ,-3 ,-5 ,-2 ,0  ,-1
0.2123657 ,Right ,0  ,+6 ,+2 ,+2 ,+1 ,-2 ,-1 ,+1
0.2337089 ,Right ,-2 ,+2 ,+3 ,+4 ,+3 ,-3 ,-1 ,-4
0.233716 ,Right ,-2 ,+2 ,-3 ,-7 ,-6 ,-1 ,-2 ,0 
0.2351266 ,Right ,0  ,0  ,+7 ,+5 ,+4 ,+2 ,0  ,0 
0.2351482 ,Right ,-4 ,-2 ,-8 ,-8 ,-4 ,-4 ,-2 ,-2
0.2488228 ,Right ,+1 ,+6 ,+5 ,+9 ,+3 ,+1 ,-1 ,0 
0.2489395 ,Right ,-3 ,-7 ,-14 ,-9 ,0  ,-3 ,-1 ,-3
0.2500863 ,Right ,+2 ,-13 ,0  ,0  ,-2 ,+1 ,+1 ,+8
0.2502079 ,Right ,0  ,+17 ,+7 ,0  ,0  ,0  ,+2 ,+3
0.2711791 ,Right ,-1 ,+4 ,+5 ,-3 ,+1 ,-3 ,-4 ,-5
0.2712636 ,Right ,-10 ,-4 ,-3 ,-2 ,0  ,-1 ,-3 ,-12
0.2726237 ,Right ,+5 ,+4 ,+3 ,-2 ,-4 ,-2 ,-4 ,-6
0.2726316 ,Right ,-5 ,-10 ,-12 ,+1 ,+2 ,-1 ,-10 ,-3
0.2935084 ,Right ,-6 ,0  ,+11 ,+1 ,-1 ,-1 ,0  ,+4
0.293516 ,Right ,+10 ,+5 ,+2 ,0  ,0  ,-5 ,0  ,+4
0.2950568 ,Right ,0  ,-1 ,+4 ,+3 ,-3 ,-1 ,+2 ,+1
0.2950644 ,Right ,+1 ,-3 ,-32 ,-9 ,-2 ,-1 ,0  ,-1
0.3080007 ,Right ,0  ,-6 ,-14 ,-4 ,-3 ,+1 ,+2 ,+3
0.3080073 ,Right ,-3 ,-15 ,+36 ,+13 ,+4 ,-4 ,-3 ,-2
0.3146718 ,Right ,-18 ,+1 ,-32 ,-7 ,-1 ,-1 ,-5 ,-7
0.3146779 ,Right ,+1 ,-2 ,-41 ,-8 ,-3 ,-1 ,-1 ,-1
0.3310006 ,Right ,-21 ,-4 ,+12 ,-15 ,-6 ,-5 ,-1 ,-6
0.3310072 ,Right ,-3 ,+29 ,+70 ,+31 ,+4 ,+1 ,+3 ,+7
0.3326114 ,Right ,+35 ,+5 ,-2 ,+5 ,+4 ,+6 ,-2 ,+4
0.332621 ,Right ,-59 ,-22 ,-15 ,-12 ,-2 ,+3 ,+4 ,-9
0.3534197 ,Right ,+16 ,+4 ,+35 ,+22 ,+4 ,-31 ,-6 ,+1
0.3535087 ,Right ,+17 ,+1 ,+1 ,-9 ,-2 ,+38 ,+13 ,-1
0.3550003 ,Right ,-18 ,-17 ,-66 ,-31 ,-7 ,-52 ,-23 ,+5
0.355006 ,Right ,+10 ,+7 ,+14 ,-8 ,-2 ,+68 ,+33 ,+7
0.3672568 ,Right ,-22 ,-9 ,-30 ,-13 ,-3 ,-37 ,-18 ,-26
0.3672633 ,Right ,+28 ,0  ,+35 ,+4 ,+8 ,+67 ,+21 ,+23
0.3760981 ,Right ,-10 ,-7 ,+5 ,+1 ,-4 ,-2 ,+2 ,0 
0.3761043 ,Right ,+28 ,+2 ,+8 ,+6 ,+2 ,-12 ,-19 ,-34
0.3908715 ,Right ,-39 ,+5 ,-8 ,-2 ,-4 ,-3 ,+29 ,+2
