timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0271368 ,Left ,-1 ,-3 ,-1 ,-6 ,+12 ,+6 ,0  ,-1
0.027285 ,Left ,+4 ,+4 ,-1 ,-3 ,-7 ,-1 ,-2 ,+1
0.0342898 ,Left ,-2 ,-2 ,+2 ,+3 ,+4 ,+1 ,0  ,-1
0.0343709 ,Left ,-3 ,-1 ,-1 ,+1 ,-6 ,-7 ,-2 ,+1
0.04958 ,Left ,-4 ,-5 ,-3 ,-3 ,-8 ,-2 ,+1 ,-1
0.0495826 ,Left ,+1 ,+2 ,+1 ,+3 ,+2 ,-6 ,-3 ,-1
0.0646466 ,Left ,+1 ,+1 ,-3 ,-11 ,-2 ,-12 ,0  ,-2
0.0646494 ,Left ,-3 ,-4 ,+1 ,+5 ,+11 ,+6 ,-1 ,-3
0.07202 ,Left ,-3 ,-1 ,-8 ,-8 ,-23 ,-5 ,-2 ,-1
0.0720226 ,Left ,0  ,+1 ,+2 ,+4 ,+3 ,-6 ,-1 ,-2
0.0870025 ,Left ,0  ,+1 ,-2 ,+2 ,+2 ,+3 ,-3 ,-1
0.0870055 ,Left ,-1 ,-2 ,+1 ,+2 ,-4 ,+2 ,+2 ,+1
0.0945275 ,Left ,-2 ,-2 ,+2 ,+2 ,0  ,-1 ,0  ,-1
0.0945307 ,Left ,-2 ,-4 ,-6 ,-3 ,0  ,+2 ,-1 ,-1
0.1096977 ,Left ,-2 ,0  ,+1 ,+5 ,+3 ,0  ,+1 ,-1
0.1097011 ,Left ,+2 ,+1 ,+3 ,-1 ,+1 ,-1 ,-1 ,-2
0.1248463 ,Left ,+4 ,+5 ,+3 ,-2 ,-1 ,+2 ,-1 ,0 
0.1248506 ,Left ,-4 ,-2 ,+2 ,+1 ,+3 ,+2 ,0  ,0 
0.132079 ,Left ,-2 ,0  ,0  ,+2 ,-3 ,+6 ,-2 ,0 
0.1320817 ,Left ,-1 ,-2 ,0  ,0  ,0  ,+1 ,0  ,-2
0.1470021 ,Left ,-3 ,-5 ,-3 ,-3 ,-11 ,-4 ,-1 ,-3
0.1470055 ,Left ,-3 ,-4 ,-3 ,-1 ,+9 ,0  ,+1 ,-2
0.1548099 ,Left ,+3 ,+3 ,+5 ,-1 ,-3 ,+1 ,0  ,0 
