timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0178806 ,Left ,-1 ,-2 ,-4 ,0  ,0  ,+2 ,+1 ,-1
0.0178866 ,Left ,-1 ,-2 ,-4 ,0  ,0  ,+2 ,+1 ,-1
0.0178903 ,Left ,-1 ,-2 ,-4 ,0  ,0  ,+2 ,+1 ,-1
0.0178957 ,Left ,0  ,-2 ,-1 ,-4 ,-18 ,-8 ,0  ,-1
0.017899 ,Left ,0  ,-2 ,-1 ,-4 ,-18 ,-8 ,0  ,-1
0.0179023 ,Left ,0  ,-2 ,-1 ,-4 ,-18 ,-8 ,0  ,-1
0.0326323 ,Left ,0  ,-1 ,+2 ,-1 ,+7 ,-2 ,0  ,+1
0.0326347 ,Left ,0  ,-1 ,+2 ,-1 ,+7 ,-2 ,0  ,+1
0.0326399 ,Left ,0  ,-1 ,+2 ,-1 ,+7 ,-2 ,0  ,+1
0.0326426 ,Left ,-3 ,-2 ,-4 ,+2 ,-3 ,0  ,-3 ,0 
0.0326442 ,Left ,-3 ,-2 ,-4 ,+2 ,-3 ,0  ,-3 ,0 
0.0326458 ,Left ,-3 ,-2 ,-4 ,+2 ,-3 ,0  ,-3 ,0 
0.0403263 ,Left ,-1 ,-3 ,-1 ,-7 ,-2 ,-3 ,-5 ,-2
0.0403282 ,Left ,-1 ,-3 ,-1 ,-7 ,-2 ,-3 ,-5 ,-2
0.0403298 ,Left ,-1 ,-3 ,-1 ,-7 ,-2 ,-3 ,-5 ,-2
0.0403323 ,Left ,-1 ,-1 ,-3 ,-2 ,-7 ,-2 ,+3 ,-1
0.0403338 ,Left ,-1 ,-1 ,-3 ,-2 ,-7 ,-2 ,+3 ,-1
0.0403354 ,Left ,-1 ,-1 ,-3 ,-2 ,-7 ,-2 ,+3 ,-1
0.055239 ,Left ,+1 ,+2 ,0  ,-7 ,+1 ,+5 ,+2 ,+1
0.0552412 ,Left ,+1 ,+2 ,0  ,-7 ,+1 ,+5 ,+2 ,+1
