timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.021113 ,Left ,-7 ,-13 ,-16 ,+3 ,-13 ,-8 ,-9 ,-9
0.0211475 ,Left ,-3 ,-6 ,-7 ,0  ,+6 ,-6 ,-8 ,-16
0.0362626 ,Left ,+3 ,-6 ,+5 ,-1 ,+6 ,+4 ,+3 ,+17
0.0362655 ,Left ,+4 ,+6 ,-7 ,+20 ,+7 ,+4 ,+3 ,+4
0.0436962 ,Left ,+11 ,-11 ,+13 ,-28 ,-5 ,+1 ,+1 ,+9
0.0436991 ,Left ,-14 ,+10 ,+3 ,+13 ,+18 ,+2 ,+2 ,-1
0.0511687 ,Left ,+4 ,-7 ,-2 ,-1 ,+6 ,-4 ,-4 ,-5
0.0511715 ,Left ,+6 ,-3 ,-4 ,-15 ,-26 ,-10 ,-5 ,+1
0.0588957 ,Left ,-1 ,-6 ,-9 ,+22 ,+24 ,+5 ,-1 ,-3
0.0588989 ,Left ,0  ,-5 ,+14 ,-5 ,+5 ,+4 ,+4 ,-1
0.0738539 ,Left ,+3 ,+2 ,-1 ,+3 ,+6 ,-3 ,+3 ,+1
0.0738571 ,Left ,+7 ,+4 ,-4 ,-10 ,-26 ,-8 ,-6 ,-7
0.0813447 ,Left ,0  ,+13 ,-1 ,+11 ,+20 ,+3 ,-1 ,+5
0.0813477 ,Left ,-3 ,-6 ,+1 ,+12 ,+17 ,+2 ,+1 ,-2
0.0979944 ,Left ,-5 ,+5 ,-2 ,-6 ,+14 ,+6 ,0  ,-4
0.097998 ,Left ,-8 ,-6 ,-7 ,-33 ,-84 ,-13 ,-5 ,-4
0.1040449 ,Left ,+12 ,+17 ,+23 ,+20 ,+3 ,+2 ,+4 ,-2
0.1040486 ,Left ,+5 ,+1 ,-10 ,-4 ,-10 ,-6 ,-3 ,-4
0.1113035 ,Left ,+6 ,-5 ,-2 ,-11 ,-9 ,-4 ,+2 ,+5
0.1113862 ,Left ,+4 ,+13 ,+2 ,+20 ,+90 ,+13 ,+4 ,+11
0.1188214 ,Left ,-19 ,-2 ,-10 ,-32 ,-44 ,-7 ,-2 ,-3
0.1188258 ,Left ,-18 ,-5 ,-9 ,-9 ,-30 ,-2 ,+3 ,+4
0.1340103 ,Left ,-7 ,-8 ,-10 ,-6 ,-16 ,-6 ,-3 ,-5
0.1340175 ,Left ,-6 ,-8 ,+6 ,+10 ,+19 ,+2 ,-6 ,-9
0.1415185 ,Left ,+9 ,-3 ,+2 ,-2 ,-14 ,-2 ,+2 ,+7
0.1415249 ,Left ,+7 ,+8 ,+9 ,+5 ,+11 ,-5 ,-1 ,+10
0.1490117 ,Left ,+9 ,-3 ,+2 ,-2 ,-14 ,-2 ,+2 ,+7
0.1490176 ,Left ,+7 ,+8 ,+9 ,+5 ,+11 ,-5 ,-1 ,+10
0.1582305 ,Left ,-14 ,-3 ,0  ,+4 ,-27 ,+1 ,+3 ,+6
0.1582367 ,Left ,+4 ,-6 ,-7 ,-4 ,+8 ,+2 ,0  ,0 
0.163954 ,Left ,-31 ,+4 ,+9 ,+9 ,-2 ,-1 ,+2 ,-7
0.16396 ,Left ,-14 ,-8 ,-12 ,-13 ,-27 ,-9 ,-12 ,-25
0.1711782 ,Left ,+10 ,0  ,-4 ,0  ,+15 ,+6 ,-3 ,-6
0.1712539 ,Left ,+12 ,-3 ,-3 ,+6 ,-4 ,-8 ,+1 ,+5
0.178949 ,Left ,+13 ,-4 ,+5 ,-1 ,-1 ,-2 ,-2 ,+4
0.1789544 ,Left ,-14 ,-4 ,-12 ,-12 ,+8 ,0  ,-1 ,-7
0.1940057 ,Left ,-24 ,-7 ,+1 ,+4 ,+1 ,-2 ,-5 ,-10
0.1940128 ,Left ,0  ,+2 ,-3 ,-5 ,-6 ,+2 ,+2 ,-3
0.2014025 ,Left ,-3 ,-6 ,-4 ,-1 ,+2 ,-1 ,+1 ,-2
0.2014658 ,Left ,+14 ,-3 ,0  ,+1 ,+1 ,+5 ,+4 ,+11
0.2164889 ,Left ,+10 ,+6 ,-2 ,-9 ,+18 ,-4 ,-3 ,0 
0.2164938 ,Left ,-16 ,-8 ,+6 ,0  ,-37 ,-3 ,+3 ,+1
0.2239398 ,Left ,+27 ,+9 ,+4 ,+14 ,+26 ,+1 ,+2 ,+7
0.2239439 ,Left ,-16 ,-6 ,+11 ,+5 ,+3 ,+4 ,0  ,+2
0.2311652 ,Left ,+23 ,+4 ,-13 ,-7 ,-2 ,-13 ,-5 ,+1
0.2311962 ,Left ,+5 ,+6 ,+5 ,-14 ,0  ,+5 ,+2 ,+3
0.2389689 ,Left ,-11 ,0  ,-8 ,-11 ,-21 ,0  ,+1 ,-2
0.2389731 ,Left ,+6 ,-2 ,+10 ,+16 ,+39 ,0  ,-4 ,0 
0.253932 ,Left ,0  ,-3 ,0  ,-12 ,-31 ,+2 ,+3 ,+7
0.2539384 ,Left ,-17 ,+6 ,+4 ,+3 ,+8 ,-4 ,-2 ,-11
0.2612803 ,Left ,+4 ,-16 ,-27 ,+14 ,-9 ,+3 ,-2 ,0 
0.2612846 ,Left ,+11 ,+22 ,+28 ,-11 ,-9 ,-5 ,-3 ,+4
0.2761591 ,Left ,-5 ,-3 ,-1 ,+4 ,+4 ,+2 ,0  ,+8
0.2761617 ,Left ,+1 ,+2 ,-4 ,-19 ,-3 ,-6 ,+1 ,+6
0.2836984 ,Left ,0  ,+4 ,+3 ,-2 ,-1 ,+3 ,+4 ,+3
0.2837015 ,Left ,+3 ,-15 ,-12 ,+14 ,-5 ,-1 ,+1 ,+1
0.2914227 ,Left ,-9 ,-7 ,-2 ,0  ,+10 ,-2 ,-2 ,-6
0.2914264 ,Left ,-7 ,-1 ,-5 ,-5 ,-7 ,0  ,-2 ,-12
0.2990114 ,Left ,+6 ,+2 ,+2 ,-3 ,+28 ,+1 ,+1 ,+6
0.2990162 ,Left ,+21 ,+8 ,-2 ,-8 ,-11 ,-3 ,0  ,+5
0.3139619 ,Left ,+2 ,-2 ,+9 ,+4 ,-5 ,+3 ,-1 ,+2
0.3139684 ,Left ,-12 ,-13 ,-16 ,+3 ,+33 ,+7 ,-2 ,-7
0.3214775 ,Left ,-2 ,+3 ,-1 ,-3 ,-10 ,-6 ,0  ,+1
0.3214851 ,Left ,-2 ,+3 ,-4 ,-3 ,-3 ,+1 ,+1 ,-5
0.3364544 ,Left ,-11 ,+9 ,+13 ,+14 ,+12 ,-1 ,-1 ,-7
0.3364612 ,Left ,-4 ,0  ,-8 ,-24 ,-1 ,-3 ,-2 ,+2
0.3440966 ,Left ,-1 ,-6 ,+13 ,+7 ,-29 ,+1 ,-4 ,-4
0.3441032 ,Left ,-7 ,+5 ,-4 ,0  ,-5 ,-3 ,-2 ,-2
0.3514508 ,Left ,+10 ,-2 ,0  ,+3 ,+1 ,-2 ,+1 ,0 
0.3514575 ,Left ,-11 ,-6 ,-4 ,+9 ,+4 ,0  ,-1 ,+1
0.3590861 ,Left ,+3 ,-1 ,-16 ,-18 ,+3 ,+2 ,-2 ,+4
0.3590928 ,Left ,-3 ,+2 ,+7 ,+17 ,+19 ,+3 ,+1 ,+1
0.373744 ,Left ,-1 ,-11 ,-19 ,-22 ,-20 ,-4 ,-1 ,-5
0.3737491 ,Left ,+9 ,-2 ,-2 ,+21 ,+7 ,-3 ,-4 ,-3
0.381548 ,Left ,-7 ,+1 ,+8 ,-10 ,+3 ,-3 ,-1 ,0 
0.38161 ,Left ,+13 ,0  ,-9 ,-19 ,0  ,+4 ,-4 ,-2
0.3963251 ,Left ,-21 ,-5 ,+1 ,+1 ,-3 ,-4 ,-6 ,-12
0.3963296 ,Left ,+12 ,+2 ,+18 ,+19 ,-3 ,-2 ,+1 ,+8
0.4112065 ,Left ,0  ,+4 ,-7 ,-10 ,-1 ,0  ,0  ,+2
0.4112439 ,Left ,+5 ,+3 ,+3 ,-6 ,-19 ,0  ,+2 ,+2
0.4187662 ,Left ,0  ,-6 ,-3 ,-2 ,+6 ,-5 ,-3 ,-12
