timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0148117 ,Right ,-2 ,+1 ,+2 ,-2 ,-1 ,0  ,+1 ,-1
0.0148437 ,Right ,-1 ,-6 ,-9 ,+6 ,+1 ,+4 ,+3 ,-1
0.0164183 ,Right ,0  ,-2 ,-9 ,-16 ,+1 ,-13 ,-6 ,-2
0.0164854 ,Right ,0  ,0  ,-26 ,-9 ,0  ,-2 ,-3 ,-2
0.0374822 ,Right ,-10 ,-10 ,+6 ,-6 ,-12 ,-7 ,-8 ,-5
0.0374891 ,Right ,+4 ,+7 ,+13 ,+9 ,0  ,-1 ,+2 ,+3
0.0391965 ,Right ,+1 ,-5 ,+7 ,+5 ,+6 ,+1 ,+3 ,-2
0.0391995 ,Right ,+2 ,-3 ,+1 ,+8 ,-7 ,-9 ,-7 ,-3
0.051957 ,Right ,-2 ,-3 ,-11 ,-13 ,+2 ,-9 ,+2 ,-1
0.0519601 ,Right ,-1 ,+6 ,-1 ,-6 ,0  ,+2 ,-4 ,0 
0.0588423 ,Right ,-2 ,+1 ,+5 ,+7 ,+1 ,-3 ,-3 ,0 
0.0588454 ,Right ,-2 ,-3 ,-1 ,+4 ,-4 ,-3 ,-5 ,-2
0.0755617 ,Right ,+1 ,0  ,+1 ,-14 ,-9 ,-2 ,+2 ,-2
0.0755745 ,Right ,-1 ,-1 ,-4 ,+9 ,+6 ,+4 ,-1 ,-1
0.0770404 ,Right ,-7 ,+2 ,+10 ,-2 ,-1 ,-3 ,-2 ,-4
0.0770525 ,Right ,+1 ,+9 ,+7 ,+8 ,-8 ,+3 ,+3 ,0 
0.0980303 ,Right ,+2 ,+4 ,+8 ,-4 ,+7 ,-3 ,-7 ,0 
0.0980435 ,Right ,-2 ,-6 ,-14 ,-5 ,+5 ,+3 ,-3 ,-3
0.0994923 ,Right ,0  ,-8 ,-9 ,+13 ,+2 ,+5 ,-8 ,-1
0.0995043 ,Right ,-5 ,-3 ,+9 ,-18 ,-2 ,-8 ,-1 ,-3
0.1124422 ,Right ,+3 ,-2 ,+1 ,+1 ,-6 ,+1 ,+2 ,+1
0.112577 ,Right ,-2 ,+7 ,-7 ,-5 ,-4 ,-4 ,-5 ,-2
0.1191162 ,Right ,+2 ,+3 ,-5 ,+3 ,-1 ,+1 ,+7 ,+2
0.1191283 ,Right ,-2 ,-4 ,-1 ,-1 ,-1 ,+7 ,-5 ,-3
0.1355217 ,Right ,-6 ,+1 ,-1 ,+1 ,-2 ,-5 ,+1 ,0 
0.135647 ,Right ,-1 ,+1 ,-1 ,-7 ,+1 ,-1 ,+3 ,-1
0.1369265 ,Right ,0  ,-7 ,-9 ,-8 ,+3 ,+2 ,-3 ,0 
0.1369384 ,Right ,+2 ,+3 ,+2 ,+1 ,-3 ,-2 ,-1 ,-1
0.1576642 ,Right ,+1 ,-3 ,-7 ,+3 ,+6 ,+1 ,-4 ,+2
0.1576712 ,Right ,-2 ,+2 ,-5 ,-5 ,-11 ,+11 ,+5 ,0 
0.1591803 ,Right ,-3 ,-5 ,+3 ,-1 ,+1 ,-5 ,-3 ,-2
0.1591866 ,Right ,-2 ,-2 ,-6 ,-11 ,-2 ,-7 ,-1 ,-2
0.1719104 ,Right ,-2 ,-7 ,-5 ,+10 ,-3 ,+1 ,+1 ,-3
0.1719169 ,Right ,0  ,+3 ,+9 ,+3 ,+2 ,-6 ,-4 ,-1
0.1788347 ,Right ,-1 ,-5 ,-16 ,-8 ,-5 ,+4 ,+6 ,-1
0.1788392 ,Right ,-1 ,+1 ,+17 ,+17 ,+2 ,-2 ,-7 ,-1
0.1954983 ,Right ,-5 ,-5 ,-22 ,-20 ,-10 ,-11 ,-8 ,-2
0.1955107 ,Right ,0  ,+1 ,+5 ,+6 ,+1 ,+5 ,+1 ,+2
0.1972492 ,Right ,+2 ,-5 ,+14 ,-2 ,-2 ,-4 ,0  ,-1
0.1972621 ,Right ,-6 ,-18 ,-42 ,-14 ,+4 ,+7 ,+6 ,0 
0.2181196 ,Right ,+2 ,+12 ,+27 ,+10 ,-2 ,-14 ,-5 ,-3
0.2181324 ,Right ,-1 ,+2 ,+5 ,+7 ,-12 ,-1 ,+2 ,-1
0.2195866 ,Right ,-1 ,-3 ,-8 ,-2 ,+16 ,+10 ,-1 ,+3
0.2195985 ,Right ,+1 ,0  ,-1 ,-7 ,-1 ,+4 ,+1 ,+1
0.2322952 ,Right ,0  ,-8 ,-7 ,-2 ,+3 ,+1 ,+1 ,0 
0.2323157 ,Right ,-4 ,+1 ,0  ,-9 ,-8 ,-11 ,-6 ,-2
0.2391326 ,Right ,+3 ,+5 ,+13 ,+17 ,-4 ,-5 ,-1 ,-2
0.239142 ,Right ,-4 ,-4 ,-19 ,-12 ,-2 ,-3 ,-4 ,0 
0.2554305 ,Right ,-1 ,0  ,-6 ,-12 ,+2 ,+15 ,+5 ,+1
0.2554393 ,Right ,-1 ,-5 ,+10 ,+4 ,-2 ,-16 ,-4 ,-2
0.2568399 ,Right ,-5 ,0  ,+4 ,0  ,-5 ,-8 ,+3 ,0 
0.256848 ,Right ,-3 ,-6 ,-5 ,-1 ,-4 ,+3 ,-11 ,-6
0.2780202 ,Right ,+2 ,+4 ,+14 ,+8 ,0  ,-3 ,+2 ,+1
0.2780298 ,Right ,+1 ,-2 ,+2 ,+1 ,+12 ,+8 ,+1 ,-3
0.2793483 ,Right ,-3 ,0  ,-11 ,-10 ,-5 ,+2 ,+2 ,-2
0.2793565 ,Right ,0  ,0  ,+8 ,+10 ,-3 ,-10 ,-2 ,-2
0.2923119 ,Right ,0  ,+2 ,+5 ,+6 ,-1 ,+7 ,0  ,-2
0.2923207 ,Right ,-6 ,-10 ,-10 ,-15 ,-1 ,+2 ,-1 ,-4
0.2990109 ,Right ,-1 ,-2 ,+1 ,+4 ,-1 ,+2 ,-1 ,-2
0.299194 ,Right ,0  ,+7 ,+12 ,0  ,-2 ,-12 ,+1 ,+2
0.3150618 ,Right ,+1 ,-7 ,-5 ,+4 ,-1 ,-2 ,0  ,+1
0.3150708 ,Right ,-3 ,-7 ,-21 ,-16 ,-3 ,-2 ,-14 ,-6
0.3168033 ,Right ,+1 ,+4 ,+16 ,+14 ,+4 ,+1 ,-1 ,-1
0.3168879 ,Right ,-1 ,-6 ,-12 ,-23 ,-10 ,-5 ,-5 ,-3
0.3377687 ,Right ,0  ,-6 ,+3 ,+11 ,+4 ,-4 ,+1 ,-3
0.3377734 ,Right ,+1 ,-4 ,+6 ,+5 ,-1 ,-1 ,+7 ,+2
0.3391117 ,Right ,-4 ,0  ,+1 ,-2 ,-6 ,+2 ,-3 ,-1
0.3391161 ,Right ,0  ,+7 ,+13 ,+13 ,+12 ,+7 ,+6 ,+1
0.3511704 ,Right ,-2 ,-6 ,-11 ,-8 ,-7 ,-6 ,-3 ,-1
0.351175 ,Right ,-1 ,-4 ,-10 ,-1 ,-6 ,+1 ,-2 ,0 
0.3601413 ,Right ,+4 ,+11 ,+3 ,-2 ,+1 ,+11 ,0  ,-2
0.3601776 ,Right ,0  ,-3 ,+18 ,+12 ,+2 ,+1 ,+8 ,+1
0.3750584 ,Right ,-4 ,-4 ,-15 ,-10 ,-3 ,-9 ,-12 ,-5
0.3750625 ,Right ,-1 ,+5 ,+7 ,+11 ,-2 ,-10 ,-2 ,0 
0.3767138 ,Right ,-3 ,-9 ,-21 ,-11 ,-7 ,0  ,+2 ,-2
0.3767179 ,Right ,+1 ,+4 ,+8 ,+7 ,-4 ,-6 ,-2 ,+1
0.3975311 ,Right ,-2 ,+4 ,-11 ,-13 ,-3 ,+8 ,+7 ,-3
0.397535 ,Right ,0  ,-4 ,+3 ,+5 ,+6 ,+8 ,-2 ,+1
0.3990737 ,Right ,+1 ,-1 ,-2 ,-6 ,-2 ,-7 ,0  ,+3
0.3990778 ,Right ,-9 ,-9 ,+3 ,+12 ,+2 ,+6 ,-3 ,-4
0.4111742 ,Right ,-2 ,0  ,+3 ,+2 ,-6 ,-3 ,-2 ,0 
0.4111794 ,Right ,0  ,0  ,-11 ,-13 ,0  ,+4 ,+5 ,0 
0.4210675 ,Right ,+1 ,+1 ,+3 ,-3 ,0  ,0  ,-6 ,-2
0.4210756 ,Right ,0  ,-5 ,-12 ,-5 ,+4 ,-9 ,-1 ,+2
0.4345165 ,Right ,+1 ,+12 ,+29 ,+16 ,+5 ,+11 ,+3 ,+2
0.4346226 ,Right ,-1 ,-3 ,-6 ,+6 ,-5 ,-5 ,-7 ,-4
0.4352028 ,Right ,-3 ,-12 ,-6 ,+3 ,-2 ,-8 ,-6 ,-1
0.4352723 ,Right ,+5 ,+21 ,+30 ,-6 ,-3 ,+5 ,+8 ,+2
0.45711 ,Right ,-4 ,-4 ,-36 ,-5 ,+7 ,-2 ,-5 ,-3
0.4571181 ,Right ,-1 ,-2 ,-2 ,-14 ,-4 ,-9 ,+2 ,-2
0.4577751 ,Right ,-3 ,-3 ,0  ,+2 ,-2 ,+2 ,-1 ,-1
0.4577826 ,Right ,-1 ,-6 ,-15 ,-11 ,-8 ,+1 ,+3 ,-1
0.4801125 ,Right ,+4 ,-2 ,+10 ,+6 ,+12 ,+2 ,+7 ,0 
0.4801202 ,Right ,-2 ,0  ,+9 ,+5 ,+1 ,+11 ,+7 ,+3
0.4808543 ,Right ,0  ,0  ,-4 ,+2 ,-4 ,-7 ,+2 ,-1
0.4809879 ,Right ,-3 ,-3 ,-2 ,-12 ,-2 ,+1 ,0  ,-3
0.4944374 ,Right ,-1 ,-1 ,+7 ,+6 ,+1 ,+1 ,-8 ,-2
0.494442 ,Right ,0  ,-6 ,-5 ,-2 ,+2 ,-10 ,-3 ,-2
0.4952484 ,Right ,+1 ,0  ,+11 ,-1 ,0  ,-10 ,-4 ,-1
0.4952528 ,Right ,-4 ,-4 ,-9 ,-5 ,-1 ,+5 ,-1 ,-1
0.5168447 ,Right ,-2 ,-8 ,+3 ,-7 ,-8 ,-4 ,-4 ,+1
0.5168494 ,Right ,-3 ,-3 ,-2 ,+12 ,-2 ,-3 ,-10 ,-2
0.5178011 ,Right ,-2 ,+4 ,+18 ,+4 ,+3 ,0  ,+1 ,+1
0.5178057 ,Right ,-3 ,+3 ,-42 ,-23 ,+2 ,-6 ,-8 ,-2
0.5401349 ,Right ,-3 ,-10 ,-10 ,-18 ,-8 ,-3 ,-6 ,-3
0.5401399 ,Right ,-3 ,-9 ,+7 ,+2 ,+6 ,+1 ,+8 ,-1
0.5409619 ,Right ,-2 ,+1 ,0  ,+1 ,-10 ,-7 ,0  ,-2
0.5409664 ,Right ,-2 ,-6 ,+11 ,+8 ,+1 ,-3 ,-6 ,-4
0.5544573 ,Right ,-1 ,+8 ,-11 ,-2 ,-1 ,+4 ,+3 ,-1
0.5544625 ,Right ,+1 ,-3 ,-8 ,-8 ,-6 ,+5 ,-5 ,+1
0.5551903 ,Right ,+2 ,-5 ,+5 ,-1 ,+3 ,-2 ,+4 ,+1
0.5551946 ,Right ,-2 ,-2 ,+2 ,-3 ,-8 ,-5 ,-7 ,-3
0.5849438 ,Right ,+1 ,+4 ,0  ,+3 ,+5 ,-2 ,-1 ,+1
0.5849487 ,Right ,+2 ,-1 ,+9 ,+11 ,+1 ,-3 ,+2 ,+2
0.5857333 ,Right ,-4 ,-5 ,-27 ,-20 ,-4 ,+9 ,-6 ,-3
0.5857377 ,Right ,0  ,-2 ,+6 ,+11 ,+4 ,-1 ,+2 ,-2
0.6002985 ,Right ,+1 ,0  ,+10 ,0  ,-12 ,-8 ,+1 ,0 
0.6003037 ,Right ,-2 ,-1 ,-4 ,+4 ,+2 ,+2 ,-1 ,-1
0.6008655 ,Right ,+1 ,-1 ,+1 ,-2 ,+1 ,-1 ,+4 ,0 
0.6008703 ,Right ,+3 ,-4 ,-10 ,0  ,+6 ,-2 ,-2 ,-1
0.6143875 ,Right ,-5 ,-2 ,+16 ,+4 ,-4 ,-6 ,-8 ,-5
0.6143944 ,Right ,-6 ,+1 ,-18 ,-15 ,-10 ,-4 ,-2 ,-2
0.6151086 ,Right ,-4 ,-1 ,+1 ,-3 ,+5 ,+7 ,0  ,-4
0.6151133 ,Right ,+3 ,0  ,-6 ,+4 ,-2 ,-6 ,-3 ,+2
0.6368303 ,Right ,+2 ,-7 ,-2 ,-5 ,+2 ,+6 ,+5 ,0 
0.6368357 ,Right ,+6 ,+5 ,+5 ,-3 ,-3 ,-17 ,-5 ,+1
0.6376372 ,Right ,-4 ,-1 ,+3 ,-2 ,-10 ,-4 ,-14 ,-4
0.6376398 ,Right ,-8 ,-6 ,-18 ,+3 ,+4 ,+6 ,+5 ,0 
0.6601051 ,Right ,-2 ,-3 ,0  ,+3 ,+7 ,+8 ,+4 ,-3
0.6601083 ,Right ,+4 ,+1 ,-2 ,+2 ,+3 ,+10 ,+2 ,+3
0.6609288 ,Right ,+2 ,+3 ,-7 ,-12 ,-1 ,-1 ,+8 ,+3
0.6609321 ,Right ,-1 ,-8 ,+15 ,+7 ,0  ,+5 ,-16 ,-7
0.6743705 ,Right ,-3 ,+1 ,-12 ,-2 ,-12 ,-12 ,-5 ,-2
0.6743736 ,Right ,-6 ,-3 ,+3 ,+2 ,0  ,-4 ,-7 ,-8
0.6749323 ,Right ,+5 ,-3 ,+15 ,+5 ,+5 ,+4 ,+3 ,+1
0.6749352 ,Right ,-1 ,-4 ,-8 ,-6 ,-4 ,+4 ,+5 ,+3
0.6968468 ,Right ,-5 ,-2 ,-10 ,-8 ,+1 ,-8 ,0  ,-2
0.6968511 ,Right ,-1 ,-2 ,+11 ,+10 ,+2 ,+2 ,-4 ,-3
0.697633 ,Right ,-7 ,-15 ,-20 ,-14 ,-9 ,-9 ,0  ,-2
0.6976377 ,Right ,+3 ,-10 ,+1 ,-4 ,+2 ,+7 ,+1 ,-4
