timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0198586 ,Right ,+3 ,+7 ,0  ,-6 ,-3 ,-4 ,-3 ,-1
0.0198906 ,Right ,-5 ,-2 ,-7 ,-8 ,-2 ,+2 ,+1 ,-1
0.0289926 ,Right ,-4 ,-7 ,-12 ,0  ,0  ,-2 ,-3 ,-3
0.0289956 ,Right ,0  ,+6 ,+3 ,0  ,-5 ,-2 ,0  ,0 
0.04373 ,Right ,-2 ,-5 ,+1 ,-3 ,-1 ,-3 ,0  ,-1
0.0437326 ,Right ,+1 ,-2 ,+1 ,+2 ,-4 ,0  ,-1 ,0 
0.0452822 ,Right ,+1 ,+6 ,-8 ,-3 ,-2 ,-1 ,-1 ,-1
0.0453037 ,Right ,-1 ,+1 ,+9 ,0  ,-2 ,-2 ,-3 ,-1
0.0663673 ,Right ,-2 ,-9 ,-20 ,+1 ,+2 ,+3 ,0  ,-1
0.0663702 ,Right ,-1 ,+4 ,-4 ,-5 ,-3 ,-1 ,-1 ,-1
0.0678799 ,Right ,+1 ,+2 ,+15 ,0  ,-1 ,-4 ,-3 ,-1
0.0678825 ,Right ,+1 ,-8 ,-24 ,-8 ,-3 ,-3 ,0  ,0 
0.0890205 ,Right ,+1 ,+11 ,+33 ,+10 ,+2 ,0  ,-1 ,+2
0.0890234 ,Right ,-1 ,+4 ,-2 ,-2 ,-3 ,-4 ,-4 ,-2
0.0904877 ,Right ,-3 ,-13 ,0  ,+3 ,+1 ,0  ,+2 ,0 
0.0904907 ,Right ,+1 ,-1 ,-9 ,-6 ,0  ,-2 ,-1 ,-2
0.1040548 ,Right ,+2 ,+4 ,+11 ,+9 ,+8 ,+4 ,0  ,+2
0.1040585 ,Right ,0  ,-9 ,-7 ,-4 ,-6 ,-8 ,-1 ,-2
0.1055067 ,Right ,+3 ,+13 ,+5 ,-4 ,-3 ,-2 ,-2 ,-1
0.10551 ,Right ,-4 ,+3 ,+18 ,+5 ,+2 ,+3 ,-1 ,0 
0.126391 ,Right ,-1 ,-10 ,-21 ,-9 ,-6 ,-3 ,-1 ,-1
0.1263943 ,Right ,-2 ,-3 ,+10 ,+12 ,+7 ,+3 ,0  ,-1
0.1281299 ,Right ,-2 ,+1 ,-5 ,-7 ,-6 ,-1 ,-1 ,-2
0.1282207 ,Right ,-5 ,-6 ,+4 ,+4 ,0  ,0  ,0  ,-2
0.1489313 ,Right ,+1 ,+2 ,-8 ,-6 ,-6 ,-2 ,-2 ,-1
0.1489362 ,Right ,+2 ,-2 ,0  ,+2 ,0  ,-3 ,-1 ,-2
0.1505718 ,Right ,-3 ,-1 ,+4 ,0  ,-3 ,-2 ,-1 ,+1
0.1506542 ,Right ,+1 ,+7 ,-2 ,+2 ,+4 ,+3 ,-1 ,-1
0.1631864 ,Right ,-6 ,-5 ,-14 ,-8 ,0  ,+1 ,-4 ,-3
0.163192 ,Right ,-2 ,-10 ,-10 ,-5 ,-6 ,-4 ,-4 ,-2
0.1700369 ,Right ,-1 ,+4 ,+15 ,+6 ,+4 ,+2 ,+1 ,-3
0.170042 ,Right ,+2 ,-2 ,-13 ,-9 ,-7 ,-5 ,-2 ,-1
0.1864906 ,Right ,0  ,-1 ,+5 ,+8 ,+3 ,-1 ,0  ,+2
0.186496 ,Right ,-6 ,+2 ,+13 ,-8 ,-8 ,-3 ,-3 ,-6
0.1880909 ,Right ,-1 ,-11 ,-27 ,-7 ,-3 ,-2 ,-3 ,0 
0.1881749 ,Right ,0  ,0  ,+3 ,-5 ,-5 ,-4 ,-3 ,-3
0.2088748 ,Right ,-1 ,-4 ,-4 ,+1 ,-4 ,-1 ,0  ,0 
0.208878 ,Right ,0  ,+2 ,-2 ,+1 ,+3 ,+2 ,+1 ,+3
0.2104798 ,Right ,-3 ,-2 ,0  ,+12 ,+10 ,+5 ,+1 ,-1
