timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.020021 ,Left ,-5 ,-3 ,-6 ,-7 ,-8 ,-6 ,-5 ,-3
0.0200525 ,Left ,-2 ,-10 ,-8 ,-11 ,-2 ,+4 ,+1 ,0 
0.034946 ,Left ,+1 ,+1 ,-3 ,+3 ,-4 ,-4 ,-3 ,0 
0.0349489 ,Left ,+2 ,+7 ,+5 ,+1 ,+7 ,+6 ,+3 ,+2
0.0424894 ,Left ,-5 ,-9 ,-6 ,-2 ,-5 ,-15 ,-5 ,-3
0.042492 ,Left ,+1 ,+1 ,+5 ,-1 ,-10 ,-1 ,0  ,0 
0.0575741 ,Left ,0  ,+4 ,0  ,-3 ,-1 ,-2 ,0  ,-2
0.0575767 ,Left ,-4 ,-4 ,-4 ,-1 ,-2 ,-2 ,-3 ,-2
0.0651039 ,Left ,+2 ,+1 ,+4 ,+7 ,+11 ,+7 ,+1 ,+1
0.0651067 ,Left ,-4 ,-2 ,-1 ,+5 ,+4 ,+2 ,-2 ,-1
0.0801034 ,Left ,-2 ,-3 ,-6 ,0  ,+12 ,+1 ,-1 ,-1
0.0801061 ,Left ,-2 ,-1 ,-1 ,+9 ,+2 ,-10 ,-4 ,-2
0.0950515 ,Left ,+1 ,0  ,0  ,-6 ,-7 ,+1 ,+11 ,+3
0.0950548 ,Left ,-1 ,-3 ,+2 ,+1 ,+9 ,+6 ,-10 ,-2
0.1026437 ,Left ,+1 ,+4 ,+4 ,-1 ,-9 ,+1 ,+2 ,-1
0.1026472 ,Left ,0  ,+2 ,0  ,+5 ,+10 ,+7 ,-2 ,-1
0.1174896 ,Left ,-1 ,-6 ,-5 ,-3 ,-14 ,-3 ,-4 ,-1
0.1174925 ,Left ,+1 ,+2 ,-3 ,-12 ,-3 ,-4 ,+1 ,-2
0.1252745 ,Left ,0  ,+3 ,+5 ,+6 ,+8 ,+7 ,+4 ,+1
0.1252779 ,Left ,-5 ,-9 ,-8 ,-3 ,+3 ,-6 ,-6 ,-5
0.1405308 ,Left ,-3 ,-3 ,-13 ,-10 ,0  ,+5 ,-4 ,-3
0.140543 ,Left ,0  ,+2 ,+4 ,-3 ,-2 ,+2 ,+5 ,0 
0.1558037 ,Left ,-1 ,+1 ,+4 ,+4 ,-1 ,-8 ,-4 ,-3
0.155817 ,Left ,0  ,+1 ,-4 ,-5 ,-7 ,+2 ,+2 ,+1
0.1631167 ,Left ,-2 ,-5 ,-6 ,-2 ,+3 ,-7 ,-2 ,-1
0.1631291 ,Left ,-4 ,-5 ,-7 ,-4 ,-4 ,-2 ,+1 ,-2
0.1778985 ,Left ,0  ,-2 ,-2 ,+3 ,+3 ,+2 ,-7 ,-4
0.1780197 ,Left ,+3 ,+3 ,0  ,-4 ,-12 ,+2 ,+4 ,+3
0.1856926 ,Left ,-2 ,-3 ,-1 ,0  ,-1 ,-3 ,0  ,-1
0.185705 ,Left ,-2 ,-4 ,-7 ,-11 ,-10 ,-3 ,-1 ,-2
0.2004981 ,Left ,+4 ,+7 ,+10 ,+22 ,+26 ,+4 ,0  ,+3
0.2006108 ,Left ,-3 ,0  ,-6 ,-8 ,-7 ,-11 ,-2 ,-1
0.2078078 ,Left ,-4 ,-4 ,-4 ,-6 ,-4 ,+3 ,+4 ,-2
0.2078143 ,Left ,+3 ,+1 ,0  ,-2 ,-8 ,-6 ,+1 ,-1
0.2226824 ,Left ,-1 ,-5 ,-4 ,0  ,-8 ,-13 ,-5 ,-2
0.222687 ,Left ,-2 ,-4 ,-3 ,+2 ,+6 ,+5 ,+1 ,-2
0.2375849 ,Left ,-1 ,-1 ,0  ,0  ,-4 ,+2 ,+1 ,0 
0.2375875 ,Left ,0  ,-4 ,0  ,-4 ,0  ,+7 ,+2 ,0 
0.244953 ,Left ,-1 ,+1 ,-4 ,-6 ,-5 ,-11 ,-6 ,-2
0.2449557 ,Left ,+2 ,+2 ,+3 ,+4 ,-2 ,-1 ,-1 ,+3
0.2605134 ,Left ,-2 ,-9 ,-8 ,-5 ,+6 ,0  ,-1 ,-2
0.2605258 ,Left ,0  ,0  ,-3 ,0  ,-6 ,0  ,+4 ,+2
0.2683437 ,Left ,-4 ,-5 ,-3 ,-10 ,-10 ,-9 ,-9 ,-7
0.2683749 ,Left ,-5 ,-4 ,-3 ,+4 ,-1 ,+3 ,-2 ,-4
0.283272 ,Left ,+1 ,-1 ,+5 ,+3 ,+4 ,+8 ,+3 ,+3
0.2833193 ,Left ,+2 ,+6 ,-1 ,-2 ,-4 ,+1 ,+2 ,+3
0.2980479 ,Left ,+1 ,+4 ,+2 ,+1 ,-2 ,+2 ,-2 ,0 
0.2980601 ,Left ,0  ,-1 ,-2 ,-6 ,-3 ,+2 ,+1 ,-1
0.3057367 ,Left ,-2 ,-2 ,0  ,+3 ,+1 ,+2 ,0  ,-4
0.3057496 ,Left ,-4 ,-5 ,-1 ,-7 ,+5 ,+2 ,-2 ,-2
0.3204986 ,Left ,-3 ,0  ,-1 ,-6 ,-10 ,-5 ,+5 ,+1
0.3206714 ,Left ,0  ,-3 ,-5 ,+3 ,+7 ,+2 ,-9 ,-1
0.3283787 ,Left ,+3 ,+3 ,0  ,+4 ,+2 ,+7 ,+8 ,+1
0.3285502 ,Left ,0  ,+1 ,-1 ,-7 ,-15 ,-8 ,-10 ,-4
0.3428859 ,Left ,-1 ,-5 ,-4 ,-5 ,-10 ,-5 ,-3 ,0 
0.3428943 ,Left ,+5 ,+4 ,-4 ,+1 ,0  ,-1 ,+4 ,0 
0.3577284 ,Left ,0  ,+1 ,+2 ,+3 ,+3 ,+1 ,0  ,0 
0.3577342 ,Left ,0  ,-4 ,-1 ,+3 ,+4 ,+5 ,+3 ,0 
0.3650209 ,Left ,+1 ,+3 ,+1 ,-5 ,+2 ,-3 ,-3 ,-1
0.3650239 ,Left ,-4 ,-6 ,-1 ,-2 ,+6 ,+9 ,0  ,-1
0.3802518 ,Left ,-3 ,-4 ,-4 ,+4 ,+3 ,0  ,+3 ,-3
0.3802549 ,Left ,+1 ,+1 ,0  ,-15 ,-27 ,-9 ,-4 ,-1
0.3877951 ,Left ,-6 ,-5 ,-2 ,+6 ,-2 ,-7 ,-3 ,-3
0.3877982 ,Left ,+3 ,+1 ,-2 ,-1 ,+3 ,+4 ,+3 ,+2
0.4027092 ,Left ,+1 ,+2 ,+5 ,+4 ,+9 ,+10 ,+4 ,0 
0.4027125 ,Left ,-1 ,+2 ,0  ,-1 ,-3 ,-17 ,-7 ,-3
0.4175192 ,Left ,-3 ,0  ,+1 ,+4 ,-1 ,-5 ,-3 ,-3
0.4175218 ,Left ,-3 ,-9 ,-4 ,-9 ,-7 ,-6 ,0  ,-1
0.4250112 ,Left ,+1 ,+1 ,-1 ,-3 ,-9 ,+1 ,+1 ,+2
0.4250145 ,Left ,-1 ,0  ,-3 ,+3 ,+9 ,+4 ,+1 ,0 
0.4402926 ,Left ,-2 ,-6 ,-5 ,-2 ,-3 ,-1 ,0  ,0 
0.4402971 ,Left ,+1 ,+4 ,+1 ,-2 ,+3 ,+2 ,-5 ,-1
0.4476496 ,Left ,-4 ,-8 ,-7 ,-3 ,+6 ,0  ,-3 ,-6
0.4476556 ,Left ,-1 ,0  ,+5 ,+4 ,-3 ,+4 ,+7 ,+2
0.462559 ,Left ,0  ,0  ,0  ,0  ,-6 ,+3 ,-2 ,0 
0.4626184 ,Left ,+8 ,+9 ,+11 ,+7 ,+11 ,+5 ,+7 ,+5
0.4776547 ,Left ,-4 ,-11 ,-12 ,-12 ,-11 ,-2 ,-9 ,-6
0.4776593 ,Left ,-1 ,0  ,+3 ,+5 ,+2 ,-4 ,+4 ,0 
0.4851763 ,Left ,+5 ,+6 ,+2 ,-3 ,-7 ,-1 ,-2 ,+2
0.4851809 ,Left ,-2 ,-1 ,+3 ,-1 ,-1 ,+1 ,-1 ,+1
0.5000242 ,Left ,+4 ,+8 ,+8 ,+6 ,+4 ,-2 ,+6 ,0 
0.5000268 ,Left ,+1 ,-1 ,+2 ,-3 ,+7 ,+3 ,+3 ,-2
0.5075486 ,Left ,-2 ,-5 ,-6 ,-1 ,-2 ,-8 ,-1 ,-1
0.5075514 ,Left ,-7 ,-10 ,-6 ,-10 ,-11 ,-4 ,-6 ,-5
0.5225094 ,Left ,+1 ,+3 ,+2 ,+2 ,+1 ,-3 ,-1 ,+3
0.52253 ,Left ,0  ,-1 ,-2 ,+5 ,+4 ,0  ,0  ,-3
0.5380253 ,Left ,-6 ,-5 ,-7 ,-15 ,-18 ,-11 ,-5 ,-2
0.5380374 ,Left ,0  ,-2 ,-2 ,-10 ,-8 ,-7 ,-3 ,-3
0.5457494 ,Left ,+2 ,+9 ,+7 ,+4 ,-5 ,+4 ,+4 ,+3
0.5459443 ,Left ,0  ,-7 ,-4 ,+5 ,+6 ,+3 ,-4 ,-6
0.5605272 ,Left ,-3 ,0  ,0  ,-2 ,-11 ,-10 ,-4 ,-2
0.5605395 ,Left ,-3 ,-2 ,-3 ,+1 ,+4 ,+10 ,+2 ,-2
0.5683341 ,Left ,-7 ,-7 ,-3 ,+3 ,+7 ,-6 ,-2 ,-3
0.5685603 ,Left ,-4 ,+2 ,-1 ,-15 ,-21 ,-4 ,+2 ,-1
0.5830119 ,Left ,-4 ,-2 ,-4 ,+2 ,+13 ,+10 ,+3 ,-2
0.5830241 ,Left ,+1 ,-2 ,-2 ,+9 ,+13 ,+2 ,-6 ,0 
0.5978077 ,Left ,-1 ,-5 ,-5 ,-10 ,-11 ,-15 ,-7 ,-3
0.597816 ,Left ,-3 ,-4 ,0  ,+5 ,+2 ,+5 ,0  ,-2
0.6055802 ,Left ,0  ,-4 ,+5 ,-1 ,-1 ,-3 ,-6 ,-3
0.6055889 ,Left ,+1 ,+1 ,-5 ,-9 ,-8 ,-9 ,+4 ,+3
0.6202587 ,Left ,+1 ,+8 ,+9 ,+5 ,+14 ,+15 ,+5 ,+2
0.6202674 ,Left ,0  ,+1 ,+1 ,+9 ,0  ,-6 ,-2 ,0 
0.6280784 ,Left ,-1 ,-5 ,-6 ,-9 ,-10 ,-1 ,+1 ,-2
0.6280883 ,Left ,-4 ,-6 ,-7 ,+1 ,+2 ,+3 ,-2 ,-5
0.6428128 ,Left ,+4 ,+4 ,+3 ,+5 ,+3 ,+6 ,-2 ,-3
0.6429742 ,Left ,-6 ,-4 ,-3 ,-8 ,-11 ,-7 ,-6 ,-4
0.6579069 ,Left ,+2 ,0  ,-3 ,0  ,-1 ,+1 ,+4 ,+1
0.6579155 ,Left ,+4 ,+1 ,+3 ,-4 ,-6 ,-1 ,+2 ,+2
0.6655951 ,Left ,-5 ,-4 ,-7 ,-3 ,+3 ,+2 ,0  ,+1
0.6656042 ,Left ,+2 ,+4 ,+4 ,+5 ,+5 ,-2 ,-2 ,0 
0.6800792 ,Left ,-6 ,-3 ,-4 ,+4 ,+8 ,-1 ,+5 ,0 
0.6801685 ,Left ,-2 ,+1 ,+1 ,+3 ,+7 ,+9 ,-5 ,+2
0.6877048 ,Left ,0  ,-4 ,-10 ,-20 ,-6 ,-1 ,-6 ,-6
0.6877113 ,Left ,-1 ,0  ,+11 ,+9 ,-9 ,-9 ,+6 ,-2
0.7025882 ,Left ,+10 ,+2 ,-2 ,-1 ,-3 ,+1 ,+3 ,+8
0.7025948 ,Left ,-14 ,-7 ,-2 ,+3 ,+9 ,+10 ,+2 ,-4
0.7176867 ,Left ,+7 ,+8 ,+12 ,+8 ,+2 ,+8 ,-4 ,+1
0.7176913 ,Left ,+1 ,+3 ,0  ,-1 ,-5 ,-8 ,-5 ,0 
0.7253747 ,Left ,-7 ,-4 ,+2 ,-1 ,-17 ,-17 ,-5 ,-2
0.7253793 ,Left ,-1 ,-5 ,-10 ,-8 ,-6 ,-7 ,-6 ,-2
0.7400282 ,Left ,-9 ,-8 ,-6 ,-10 ,-8 ,-4 ,-7 ,-8
0.740031 ,Left ,-13 ,+2 ,+1 ,+7 ,+9 ,+11 ,+10 ,+5
0.7477892 ,Left ,+10 ,0  ,+2 ,-1 ,-18 ,-18 ,+3 ,+2
0.7477922 ,Left ,-7 ,-4 ,-5 ,-9 ,-15 ,-7 ,-7 ,+4
0.762741 ,Left ,-4 ,-1 ,-2 ,+3 ,+4 ,+1 ,-4 ,-4
0.762744 ,Left ,+5 ,+4 ,+1 ,+1 ,+9 ,-1 ,-5 ,-1
0.7777431 ,Left ,-8 ,-2 ,-2 ,-2 ,-23 ,-14 ,+8 ,+4
0.7777468 ,Left ,-7 ,-2 ,-2 ,-5 ,+1 ,-9 ,-4 ,-1
0.7851073 ,Left ,+8 ,0  ,+5 ,+7 ,+5 ,-1 ,+7 ,+3
0.785111 ,Left ,-6 ,-8 ,-10 ,-7 ,+6 ,+3 ,-18 ,-5
0.8001223 ,Left ,+8 ,-3 ,-4 ,0  ,+6 ,+1 ,+2 ,-7
0.800127 ,Left ,-7 ,-7 ,-2 ,-11 ,-17 ,-6 ,+21 ,+7
0.8077139 ,Left ,+1 ,+4 ,-1 ,-5 ,-4 ,-2 ,-40 ,-19
0.8077192 ,Left ,+5 ,+3 ,+2 ,+7 ,+11 ,-6 ,+6 ,+6
0.8225238 ,Left ,-13 ,-6 ,-4 ,+7 ,+22 ,+7 ,+18 ,+2
0.8225265 ,Left ,+15 ,+2 ,-2 ,-12 ,-17 ,+8 ,-2 ,+3
0.837494 ,Left ,-7 ,-3 ,+1 ,+8 ,+9 ,-12 ,-13 ,-4
0.8374971 ,Left ,+12 ,+3 ,+1 ,-5 ,-3 ,+2 ,+2 ,+3
0.8450314 ,Left ,-6 ,-4 ,-2 ,+1 ,+4 ,+8 ,+1 ,0 
0.8450387 ,Left ,+4 ,+10 ,+2 ,+15 ,+4 ,-1 ,-1 ,-3
0.8600629 ,Left ,+2 ,+3 ,+6 ,+4 ,-3 ,+5 ,+7 ,+7
0.8600657 ,Left ,-1 ,-6 ,-4 ,-1 ,+2 ,-4 ,-7 ,-3
0.867532 ,Left ,-8 ,-7 ,-10 ,-9 ,-20 ,-10 ,-3 ,0 
0.867535 ,Left ,-6 ,-3 ,+2 ,-2 ,+4 ,-1 ,+6 ,0 
0.8825638 ,Left ,-6 ,-8 ,-12 ,-36 ,-23 ,-8 ,-2 ,-3
0.8825672 ,Left ,+1 ,+1 ,-4 ,-11 ,-1 ,+17 ,+11 ,+2
0.8981264 ,Left ,-14 ,-7 ,+1 ,+9 ,+3 ,+4 ,-11 ,-8
0.898139 ,Left ,+3 ,-3 ,-4 ,-10 ,+1 ,+7 ,+2 ,+3
0.9053952 ,Left ,+5 ,+11 ,+5 ,-7 ,+8 ,+8 ,+7 ,+5
0.9054076 ,Left ,-2 ,-1 ,+3 ,0  ,-9 ,-5 ,-1 ,+1
0.9205403 ,Left ,-5 ,-8 ,-6 ,+5 ,+7 ,+5 ,+10 ,+2
0.9207181 ,Left ,+2 ,-4 ,-7 ,-1 ,-12 ,-6 ,-4 ,-6
0.9282882 ,Left ,-4 ,-4 ,-2 ,-1 ,+3 ,-13 ,-4 ,-4
0.9284199 ,Left ,-1 ,+12 ,+8 ,-6 ,-9 ,0  ,-2 ,-4
0.9430383 ,Left ,-1 ,+1 ,+8 ,+7 ,-7 ,-4 ,-7 ,+2
0.9430503 ,Left ,-4 ,0  ,-3 ,+2 ,+6 ,+5 ,+4 ,-2
0.9507743 ,Left ,-3 ,-4 ,-10 ,-14 ,-17 ,-2 ,+6 ,+2
0.9507871 ,Left ,-14 ,-10 ,-3 ,+8 ,0  ,-6 ,-21 ,-9
0.9659025 ,Left ,-3 ,-6 ,-12 ,-22 ,-3 ,-12 ,-1 ,-1
0.9659153 ,Left ,-10 ,-18 ,-12 ,-8 ,-12 ,-12 ,-18 ,-16
0.9804829 ,Left ,+6 ,+12 ,+6 ,+2 ,-5 ,+14 ,+3 ,+10
0.9804954 ,Left ,-3 ,-3 ,-3 ,-3 ,+5 ,-1 ,+5 ,-7
0.9878325 ,Left ,-10 ,-6 ,-4 ,+14 ,+4 ,+7 ,-3 ,-6
0.9878408 ,Left ,+3 ,+5 ,+11 ,+15 ,-1 ,-9 ,+7 ,+4
