timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0131332 ,Left ,+4 ,0  ,+2 ,+1 ,-3 ,-5 ,-1 ,+2
0.0131769 ,Left ,-5 ,-6 ,-3 ,+1 ,+4 ,+4 ,+2 ,0 
0.020702 ,Left ,+10 ,+12 ,-2 ,-5 ,-3 ,-1 ,-2 ,-1
0.020705 ,Left ,-8 ,-10 ,-7 ,-6 ,0  ,-4 ,-4 ,-5
0.0357102 ,Left ,+15 ,+21 ,+4 ,-11 ,-7 ,+4 ,0  ,+1
0.0357131 ,Left ,-5 ,-8 ,-3 ,+1 ,+6 ,0  ,-1 ,-4
0.050769 ,Left ,-3 ,0  ,-2 ,-8 ,-7 ,-9 ,-4 ,-5
0.0507717 ,Left ,-6 ,-5 ,-6 ,-4 ,-3 ,-1 ,-1 ,-3
0.0582499 ,Left ,+2 ,-6 ,+3 ,+8 ,+3 ,0  ,0  ,+1
0.0583325 ,Left ,+9 ,+13 ,+12 ,+7 ,0  ,+5 ,-1 ,+2
0.0732456 ,Left ,-6 ,-5 ,-5 ,-3 ,-1 ,-2 ,0  ,-2
0.0732505 ,Left ,+2 ,+7 ,+3 ,-2 ,+3 ,0  ,-1 ,-1
0.0808879 ,Left ,-5 ,-17 ,-10 ,-1 ,-4 ,-5 ,-2 ,-1
0.0808919 ,Left ,+5 ,+2 ,+4 ,0  ,0  ,+5 ,0  ,0 
0.0957288 ,Left ,-2 ,-10 ,-2 ,0  ,-1 ,-2 ,-2 ,-4
0.0957567 ,Left ,+6 ,+10 ,-5 ,-5 ,-3 ,-2 ,-2 ,-2
0.1109365 ,Left ,-4 ,-5 ,+1 ,-2 ,-2 ,+1 ,-1 ,-3
0.1109401 ,Left ,-7 ,-7 ,-4 ,+2 ,+3 ,-4 ,-1 ,-4
0.1183225 ,Left ,-12 ,+1 ,+2 ,+1 ,+7 ,+7 ,+1 ,+1
0.1183262 ,Left ,+2 ,-8 ,-1 ,0  ,-9 ,-7 ,-5 ,-4
0.1333559 ,Left ,+6 ,+14 ,+5 ,+1 ,0  ,+1 ,-2 ,-1
0.1333605 ,Left ,-4 ,-6 ,-3 ,0  ,+3 ,+2 ,-1 ,-1
0.1411313 ,Left ,-3 ,-3 ,-2 ,-2 ,-2 ,-9 ,-2 ,-2
0.1412541 ,Left ,-8 ,-6 ,-5 ,-5 ,-6 ,-2 ,0  ,0 
0.1559451 ,Left ,+10 ,-2 ,+3 ,+4 ,-9 ,-3 ,0  ,+1
0.1560973 ,Left ,+1 ,+2 ,-6 ,+3 ,+9 ,+3 ,+1 ,-1
0.1708178 ,Left ,-4 ,+5 ,-1 ,-13 ,-12 ,-6 ,-1 ,-2
0.1709117 ,Left ,+5 ,+6 ,+10 ,+9 ,+6 ,+5 ,+1 ,+2
0.1785605 ,Left ,-12 ,-9 ,-17 ,-13 ,-1 ,-3 ,-2 ,-3
0.1785658 ,Left ,+6 ,+4 ,-1 ,0  ,-8 ,-6 ,-2 ,-1
0.1938367 ,Left ,-5 ,-12 ,-4 ,-3 ,+5 ,+5 ,-1 ,-4
0.1938493 ,Left ,+7 ,+5 ,-3 ,-3 ,-2 ,+1 ,-1 ,-2
0.2014595 ,Left ,+1 ,+5 ,+1 ,+1 ,-1 ,-7 ,-2 ,-2
0.2014726 ,Left ,-1 ,-4 ,-3 ,+5 ,+3 ,+5 ,+1 ,+4
0.2164666 ,Left ,-4 ,-4 ,+4 ,-2 ,+7 ,0  ,+2 ,+2
0.2164801 ,Left ,+10 ,-3 ,-7 ,-5 ,-9 ,-7 ,-1 ,-1
0.2238078 ,Left ,-7 ,-7 ,+3 ,+4 ,+17 ,+14 ,+1 ,0 
0.22382 ,Left ,+1 ,-2 ,0  ,+1 ,-1 ,-4 ,+2 ,+2
0.2388533 ,Left ,-4 ,-1 ,-1 ,-2 ,-5 ,+2 ,-1 ,-1
0.2388653 ,Left ,-2 ,-6 ,+6 ,+6 ,+4 ,-4 ,0  ,-1
0.2536157 ,Left ,+8 ,+7 ,-1 ,+8 ,+6 ,+9 ,0  ,+1
0.2536333 ,Left ,-3 ,+4 ,+2 ,-2 ,-4 ,-5 ,-1 ,0 
0.2610115 ,Left ,+16 ,+13 ,-5 ,-3 ,-2 ,-7 ,-2 ,-2
0.2610181 ,Left ,-9 ,-8 ,-5 ,-12 ,-14 ,-4 ,-4 ,-6
0.2759141 ,Left ,+3 ,-6 ,+1 ,+4 ,0  ,-1 ,-2 ,0 
0.2760188 ,Left ,+3 ,+3 ,-5 ,0  ,+11 ,+7 ,-1 ,+1
0.283387 ,Left ,-6 ,+1 ,+7 ,+1 ,-9 ,0  ,-1 ,-1
0.2833933 ,Left ,+4 ,+9 ,+2 ,-2 ,+2 ,+3 ,0  ,-2
0.2985805 ,Left ,0  ,+4 ,-2 ,+1 ,-1 ,0  ,+2 ,-1
0.2985909 ,Left ,+4 ,+5 ,-4 ,-4 ,+5 ,0  ,-3 ,-2
0.3134514 ,Left ,-11 ,-6 ,0  ,+1 ,-5 ,-1 ,0  ,0 
0.3134581 ,Left ,-3 ,-4 ,+2 ,+8 ,+8 ,+4 ,+1 ,+2
0.320934 ,Left ,+3 ,+5 ,+6 ,-8 ,-11 ,-6 ,0  ,0 
0.3209458 ,Left ,-13 ,-5 ,0  ,0  ,+11 ,+7 ,+2 ,-3
0.3358199 ,Left ,-2 ,0  ,+5 ,+4 ,-12 ,-12 ,-2 ,-1
0.3358235 ,Left ,+6 ,+1 ,-6 ,-3 ,+10 ,+9 ,-2 ,0 
0.3432444 ,Left ,-6 ,+1 ,+6 ,+9 ,+6 ,+1 ,0  ,0 
0.343247 ,Left ,+1 ,-1 ,-2 ,-2 ,-3 ,-4 ,-2 ,+1
0.3583552 ,Left ,+1 ,+7 ,+1 ,+11 ,+6 ,+3 ,-1 ,-1
0.3583585 ,Left ,+9 ,+4 ,+5 ,-1 ,+2 ,+1 ,-3 ,-1
0.3732186 ,Left ,+2 ,-9 ,-10 ,-1 ,+5 ,+1 ,-2 ,-1
0.3732214 ,Left ,+9 ,+19 ,+5 ,-2 ,-5 ,-1 ,-3 ,-3
0.3807749 ,Left ,-12 ,-26 ,-7 ,+1 ,+4 ,-3 ,-3 ,-4
0.3807782 ,Left ,+6 ,+19 ,+8 ,+19 ,+3 ,+1 ,+1 ,+2
0.3957585 ,Left ,0  ,-1 ,-7 ,-14 ,0  ,-6 ,-2 ,0 
0.3957616 ,Left ,-2 ,-9 ,-6 ,-24 ,-21 ,-3 ,-5 ,-4
0.4034328 ,Left ,+7 ,+12 ,+3 ,0  ,-1 ,-6 ,0  ,+2
0.4034378 ,Left ,-9 ,-17 ,-1 ,+1 ,-9 ,-10 ,-3 ,-2
0.4184775 ,Left ,-7 ,-2 ,-2 ,-8 ,-10 ,-2 ,-3 ,-2
0.418482 ,Left ,+1 ,-6 ,-5 ,+16 ,+17 ,-21 ,-5 ,-1
0.4335066 ,Left ,+1 ,+5 ,-9 ,-56 ,-73 ,+2 ,+3 ,+2
0.4335119 ,Left ,-8 ,-5 ,+5 ,+29 ,+22 ,-5 ,-2 ,-4
0.4410869 ,Left ,-3 ,-4 ,-7 ,-25 ,-1 ,-5 ,+2 ,0 
