timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0192757 ,Right ,-1 ,+10 ,+21 ,+15 ,-3 ,-3 ,-2 ,-2
0.019337 ,Right ,+6 ,-5 ,-7 ,-30 ,-6 ,+1 ,-1 ,+1
0.0208443 ,Right ,+3 ,+5 ,-7 ,+20 ,-2 ,-1 ,-2 ,-1
0.0208976 ,Right ,+2 ,-2 ,-5 ,-12 ,-1 ,-2 ,-1 ,-1
0.04203 ,Right ,-9 ,+3 ,+19 ,0  ,0  ,-1 ,+2 ,-1
0.0420332 ,Right ,-8 ,-7 ,-3 ,+13 ,-1 ,-1 ,0  ,-2
0.0434814 ,Right ,+18 ,-1 ,-8 ,-18 ,0  ,-1 ,-2 ,-2
0.0434843 ,Right ,+4 ,-9 ,+18 ,+29 ,+5 ,-1 ,-4 ,-2
0.0554604 ,Right ,+7 ,+27 ,+33 ,-8 ,-3 ,0  ,+1 ,0 
0.0554631 ,Right ,-9 ,-13 ,-57 ,-10 ,-6 ,-5 ,-1 ,-1
0.0644693 ,Right ,-7 ,-13 ,-48 ,-45 ,-6 ,-1 ,+1 ,+4
0.0644725 ,Right ,+10 ,+14 ,-7 ,+18 ,+2 ,0  ,+3 ,+17
0.0792374 ,Right ,-4 ,-19 ,-4 ,+1 ,+1 ,-2 ,-3 ,-24
0.0792403 ,Right ,-5 ,+21 ,-2 ,+10 ,+2 ,+1 ,+1 ,-6
0.0809232 ,Right ,+3 ,+5 ,+30 ,+8 ,+1 ,-3 ,-1 ,0 
0.0809262 ,Right ,-18 ,-24 ,+16 ,-4 ,-3 ,-1 ,+1 ,-2
0.1019843 ,Right ,+8 ,+8 ,+31 ,+28 ,+5 ,-1 ,+1 ,+7
0.1019876 ,Right ,+3 ,-4 ,-3 ,-1 ,0  ,-2 ,-3 ,+3
0.1034385 ,Right ,-5 ,+2 ,-13 ,-22 ,-9 ,-3 ,-3 ,-5
0.1034417 ,Right ,+1 ,+3 ,+6 ,+4 ,+1 ,+1 ,+1 ,-5
0.1154858 ,Right ,+8 ,-3 ,0  ,-1 ,-2 ,0  ,-1 ,+2
0.1154889 ,Right ,-11 ,-1 ,+15 ,+7 ,-1 ,0  ,+1 ,-4
0.1318883 ,Right ,-2 ,+3 ,-6 ,+11 ,0  ,-2 ,-2 ,0 
0.1319103 ,Right ,-5 ,+3 ,-3 ,-15 ,-4 ,-3 ,-1 ,-5
0.1393136 ,Right ,+3 ,-3 ,-18 ,-7 ,-1 ,0  ,0  ,+2
0.1393164 ,Right ,0  ,-5 ,+7 ,+5 ,+4 ,+2 ,+1 ,+2
0.1409801 ,Right ,+2 ,-3 ,0  ,-5 ,-1 ,0  ,0  ,-2
0.1409832 ,Right ,-3 ,-8 ,-10 ,-19 ,-1 ,0  ,-1 ,0 
0.1619195 ,Right ,-16 ,+5 ,-18 ,+22 ,0  ,-4 ,-2 ,+1
0.1619238 ,Right ,+28 ,+14 ,+1 ,-52 ,-7 ,-4 ,-3 ,-4
0.163407 ,Right ,-7 ,-2 ,+28 ,+6 ,+2 ,+1 ,+1 ,-1
0.1634105 ,Right ,+1 ,+15 ,+64 ,+39 ,0  ,0  ,-1 ,-6
0.1757208 ,Right ,-10 ,-26 ,-93 ,-67 ,-8 ,-2 ,-3 ,0 
0.1758234 ,Right ,0  ,-8 ,+18 ,-4 ,-1 ,-1 ,-2 ,+2
0.1846707 ,Right ,+7 ,+9 ,+4 ,+2 ,-1 ,+1 ,0  ,+1
0.1846765 ,Right ,-1 ,+3 ,+8 ,+19 ,+3 ,-1 ,-2 ,0 
0.2069747 ,Right ,-6 ,-1 ,+29 ,-5 ,0  ,0  ,0  ,+1
0.2069808 ,Right ,-2 ,+4 ,-2 ,+4 ,-1 ,-1 ,+1 ,-1
0.2087417 ,Right ,+4 ,-3 ,-24 ,-17 ,+2 ,+1 ,0  ,-2
0.2087476 ,Right ,-2 ,-2 ,-22 ,+2 ,-1 ,-2 ,0  ,-2
0.2221553 ,Right ,+7 ,0  ,+27 ,+21 ,-1 ,-5 ,-4 ,0 
0.2221612 ,Right ,-1 ,-7 ,-16 ,+15 ,-3 ,-1 ,0  ,-2
0.2235341 ,Right ,-5 ,-4 ,+9 ,-15 ,-7 ,-2 ,0  ,-1
0.2235399 ,Right ,+1 ,-1 ,-35 ,-7 ,0  ,+2 ,0  ,-1
0.2356317 ,Right ,-1 ,-4 ,+11 ,+3 ,0  ,0  ,0  ,-1
0.2356382 ,Right ,0  ,+2 ,+27 ,+17 ,+6 ,+1 ,0  ,0 
0.2447333 ,Right ,-3 ,+1 ,+14 ,+16 ,-2 ,-3 ,-3 ,-1
0.244787 ,Right ,-6 ,-1 ,-26 ,-15 ,-2 ,-2 ,-1 ,0 
