timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0111359 ,Left ,-4 ,-3 ,-6 ,-4 ,+6 ,0  ,-7 ,-4
0.0111809 ,Left ,+1 ,-4 ,-5 ,+3 ,-19 ,-10 ,-6 ,+2
0.02602 ,Left ,+1 ,+3 ,+5 ,-15 ,-26 ,-1 ,+9 ,+4
0.026023 ,Left ,-3 ,-4 ,-2 ,+24 ,+10 ,-4 ,-25 ,-4
0.0277066 ,Left ,+2 ,+7 ,0  ,-29 ,-34 ,-2 ,+5 ,-1
0.0277092 ,Left ,+4 ,-5 ,+2 ,+6 ,+20 ,+3 ,+3 ,+2
0.0485739 ,Left ,0  ,-4 ,-6 ,-4 ,+32 ,-3 ,-10 ,+1
0.0485772 ,Left ,+1 ,-2 ,+2 ,-1 ,-13 ,+4 ,+11 ,0 
0.0501497 ,Left ,-1 ,+1 ,+3 ,+18 ,+36 ,0  ,-1 ,0 
0.0501726 ,Left ,-4 ,-3 ,-5 ,-3 ,+4 ,+1 ,-9 ,-8
0.0623117 ,Left ,-1 ,-3 ,-6 ,-7 ,-30 ,0  ,+7 ,-2
0.0623148 ,Left ,-5 ,+5 ,+6 ,+4 ,-1 ,+4 ,+3 ,-1
0.0715062 ,Left ,-4 ,-8 ,-9 ,+7 ,+33 ,-5 ,-4 ,-2
0.0715093 ,Left ,-4 ,+2 ,+4 ,-10 ,-54 ,-3 ,+4 ,+2
0.0864866 ,Left ,-1 ,-4 ,-5 ,+4 ,+30 ,+1 ,-1 ,-1
0.0864912 ,Left ,0  ,-4 ,-8 ,-9 ,+4 ,-5 ,0  ,-2
0.0880565 ,Left ,-6 ,-2 ,+2 ,+5 ,-24 ,-1 ,-3 ,+1
0.0880598 ,Left ,+3 ,0  ,-3 ,-3 ,+21 ,+4 ,+4 ,+1
0.1087589 ,Left ,-6 ,0  ,+1 ,+1 ,-12 ,-6 ,-5 ,-8
0.1087646 ,Left ,0  ,+1 ,0  ,+7 ,-2 ,-4 ,-5 ,0 
0.1102191 ,Left ,+1 ,-1 ,+1 ,-6 ,-14 ,+2 ,+3 ,+2
0.1102215 ,Left ,-3 ,-1 ,-4 ,-26 ,-24 ,-6 ,-2 ,-3
