timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0130502 ,Right ,-2 ,+1 ,+10 ,-6 ,-3 ,-4 ,-4 ,-2
0.0130821 ,Right ,-1 ,-4 ,-19 ,+4 ,0  ,-1 ,0  ,+2
0.0207356 ,Right ,0  ,+1 ,0  ,-13 ,-4 ,-1 ,-2 ,-2
0.0207527 ,Right ,-2 ,-2 ,0  ,+6 ,+6 ,+4 ,+1 ,+1
0.0358547 ,Right ,+1 ,-1 ,+16 ,-2 ,-4 ,-4 ,-2 ,-1
0.0358577 ,Right ,-2 ,-2 ,-13 ,-8 ,-7 ,-3 ,-2 ,-1
0.0434495 ,Right ,+2 ,+4 ,-1 ,+11 ,-5 ,-5 ,-2 ,0 
0.0434526 ,Right ,-3 ,-5 ,+5 ,-11 ,+11 ,+3 ,+1 ,-3
0.0580703 ,Right ,-1 ,-3 ,+1 ,+2 ,-3 ,-3 ,-1 ,-2
0.0580738 ,Right ,0  ,-4 ,-5 ,+3 ,-4 ,-1 ,-2 ,0 
0.0731923 ,Right ,0  ,+10 ,-6 ,+3 ,0  ,-2 ,-3 ,-2
0.0731955 ,Right ,+1 ,+2 ,+15 ,+7 ,+5 ,+3 ,0  ,0 
0.0807534 ,Right ,-1 ,+1 ,0  ,+1 ,-4 ,-2 ,-1 ,0 
0.0807567 ,Right ,0  ,+1 ,-8 ,-7 ,+1 ,+2 ,+1 ,-1
0.0960446 ,Right ,-2 ,-1 ,0  ,-5 ,+1 ,-3 ,-3 ,-1
0.0960487 ,Right ,-1 ,-7 ,0  ,0  ,-2 ,-1 ,0  ,0 
0.1032365 ,Right ,+1 ,+9 ,+14 ,+2 ,+1 ,+1 ,0  ,-1
0.1032403 ,Right ,-5 ,+3 ,-7 ,+3 ,-4 ,0  ,-1 ,-2
0.118088 ,Right ,0  ,-4 ,+9 ,+7 ,+5 ,-1 ,-1 ,0 
0.1180908 ,Right ,+1 ,+17 ,-7 ,-4 ,-5 ,0  ,-2 ,0 
0.1329938 ,Right ,-3 ,-21 ,-4 ,+2 ,-5 ,-1 ,-1 ,-2
0.1329963 ,Right ,+1 ,+7 ,+2 ,-10 ,-5 ,-2 ,-5 ,-1
0.1414021 ,Right ,-3 ,-3 ,-6 ,+7 ,+6 ,+1 ,-1 ,-3
0.1414787 ,Right ,0  ,-15 ,-1 ,-4 ,+3 ,+1 ,+2 ,0 
0.1562757 ,Right ,-2 ,+2 ,-7 ,+2 ,0  ,-1 ,+1 ,-1
0.1562883 ,Right ,+2 ,+5 ,+2 ,+5 ,-2 ,-3 ,+2 ,0 
0.1637706 ,Right ,0  ,-12 ,-3 ,-10 ,-3 ,0  ,-1 ,-1
0.1637828 ,Right ,0  ,+15 ,-2 ,-1 ,-1 ,-1 ,-3 ,-1
0.1785698 ,Right ,-2 ,0  ,-2 ,0  ,-4 ,0  ,+1 ,-1
0.1785828 ,Right ,-1 ,-2 ,+21 ,+16 ,+5 ,-2 ,0  ,0 
0.193642 ,Right ,+1 ,+1 ,-44 ,-25 ,-2 ,-2 ,0  ,-1
0.1936541 ,Right ,-1 ,+1 ,-2 ,+6 ,-4 ,-5 ,-1 ,-2
0.2014311 ,Right ,0  ,-7 ,-6 ,-11 ,-2 ,+1 ,+2 ,0 
0.2015362 ,Right ,+2 ,+3 ,+1 ,-5 ,-9 ,-5 ,-2 ,0 
0.2162616 ,Right ,-3 ,-1 ,+5 ,+9 ,+11 ,+6 ,+4 ,-1
0.2162744 ,Right ,-3 ,-2 ,-3 ,-1 ,+3 ,+1 ,-2 ,+1
0.2238572 ,Right ,-1 ,+2 ,-4 ,-4 ,-2 ,0  ,-2 ,-1
0.2240559 ,Right ,+3 ,-10 ,+8 ,+6 ,+1 ,-2 ,-1 ,+1
0.2386549 ,Right ,-1 ,+3 ,+13 ,-5 ,+5 ,-4 ,+1 ,+2
0.2386639 ,Right ,-2 ,-7 ,-17 ,-8 ,-4 ,-1 ,-2 ,-2
0.2537122 ,Right ,0  ,-1 ,-8 ,+5 ,0  ,-1 ,-1 ,-2
0.253721 ,Right ,-2 ,-1 ,0  ,-3 ,-1 ,+1 ,-4 ,-5
0.2610222 ,Right ,0  ,+3 ,0  ,+5 ,0  ,-1 ,-3 ,-4
0.2610312 ,Right ,-2 ,-11 ,-5 ,-6 ,-2 ,0  ,-1 ,-4
0.2760037 ,Right ,-1 ,+8 ,+10 ,-1 ,-1 ,-3 ,-4 ,-1
0.2760103 ,Right ,-1 ,-3 ,-17 ,+4 ,+4 ,-2 ,-1 ,+1
0.283373 ,Right ,-2 ,-8 ,+2 ,-5 ,-2 ,-2 ,-5 ,0 
0.2833831 ,Right ,-1 ,-1 ,-8 ,-7 ,-2 ,-1 ,-2 ,-1
0.2984139 ,Right ,-2 ,-2 ,-13 ,-1 ,-1 ,0  ,-1 ,-1
0.29842 ,Right ,-2 ,-2 ,+8 ,-3 ,-2 ,+1 ,-1 ,0 
0.3131456 ,Right ,+2 ,+6 ,+20 ,+14 ,-1 ,-2 ,+1 ,0 
0.3131486 ,Right ,-1 ,0  ,-6 ,-9 ,+1 ,0  ,-2 ,-3
0.3208656 ,Right ,-3 ,-3 ,-15 ,-4 ,0  ,0  ,+2 ,+1
0.3208686 ,Right ,-5 ,-14 ,-9 ,-15 ,-8 ,-6 ,-1 ,-2
0.3356759 ,Right ,0  ,+1 ,-1 ,0  ,-2 ,-4 ,-3 ,-1
0.3356787 ,Right ,0  ,+2 ,+7 ,-7 ,-6 ,-1 ,+3 ,0 
0.3434163 ,Right ,-5 ,-5 ,+10 ,+9 ,-3 ,-6 ,-2 ,+1
0.3434484 ,Right ,+4 ,+4 ,-54 ,+9 ,+8 ,+1 ,+3 ,+2
0.3581436 ,Right ,+1 ,+1 ,-84 ,-10 ,+1 ,+1 ,+3 ,-3
0.3581486 ,Right ,-1 ,-11 ,-40 ,-1 ,-2 ,0  ,-1 ,-2
0.3732026 ,Right ,-5 ,-3 ,+28 ,-5 ,-6 ,-4 ,-5 ,-4
