timestamp,event,key,correct
0.7077407 ,keyPressed ,p  ,1 
0.8365492 ,keyReleased ,P  ,1 
0.9561257 ,keyPressed ,a  ,1 
1.1402387 ,keyReleased ,A  ,1 
1.2128223 ,keyPressed ,s  ,1 
1.3565265 ,keyReleased ,S  ,1 
1.4534896 ,keyPressed ,s  ,1 
1.5648567 ,keyReleased ,S  ,1 
1.7560006 ,keyPressed ,w  ,1 
1.8785723 ,keyPressed ,o  ,1 
1.9253335 ,keyReleased ,W  ,1 
1.981184 ,keyReleased ,O  ,1 
2.1242169 ,keyPressed ,r  ,1 
2.2120346 ,keyReleased ,R  ,1 
2.3317786 ,keyPressed ,d  ,1 
2.4841082 ,keyReleased ,D  ,1 
2.6126446 ,keyPressed ,return ,1 
2.7163161 ,keyReleased ,Return ,1 
3.0525187 ,keyPressed ,ä  ,0 
3.1243075 ,keyReleased ,Oem6 ,0 
3.8439738 ,keyPressed ,  ,0 
3.9483955 ,keyReleased ,Back ,0 
4.9409595 ,keyPressed ,p  ,0 
5.0686039 ,keyReleased ,P  ,0 
5.1164982 ,keyPressed ,a  ,0 
5.3013233 ,keyReleased ,A  ,0 
5.3165442 ,keyPressed ,s  ,0 
5.4120669 ,keyReleased ,S  ,0 
5.5008506 ,keyPressed ,s  ,0 
5.580591 ,keyReleased ,S  ,0 
5.7489917 ,keyPressed ,w  ,0 
5.9162975 ,keyReleased ,W  ,0 
5.9319949 ,keyPressed ,o  ,0 
6.0597061 ,keyReleased ,O  ,0 
6.1241291 ,keyPressed ,r  ,0 
6.212795 ,keyReleased ,R  ,0 
6.3483889 ,keyPressed ,d  ,0 
6.5164526 ,keyReleased ,D  ,0 
6.5641149 ,keyPressed ,return ,0 
6.6442287 ,keyReleased ,Return ,1 
7.3643545 ,keyPressed ,p  ,1 
7.5002504 ,keyReleased ,P  ,1 
7.6045693 ,keyPressed ,a  ,1 
7.7721367 ,keyReleased ,A  ,1 
7.8282166 ,keyPressed ,s  ,1 
7.939976 ,keyReleased ,S  ,1 
8.0524869 ,keyPressed ,s  ,1 
8.1401927 ,keyReleased ,S  ,1 
8.2921148 ,keyPressed ,w  ,1 
8.4440803 ,keyReleased ,W  ,1 
8.5243155 ,keyPressed ,o  ,1 
8.6278671 ,keyReleased ,O  ,1 
8.7164537 ,keyPressed ,r  ,1 
8.8046121 ,keyReleased ,R  ,1 
8.9563123 ,keyPressed ,d  ,1 
9.1010728 ,keyReleased ,D  ,1 
9.222539 ,keyPressed ,return ,1 
9.2918188 ,keyReleased ,Return ,1 
9.6522482 ,keyPressed ,p  ,1 
9.76383 ,keyReleased ,P  ,1 
9.8046771 ,keyPressed ,a  ,1 
9.9483689 ,keyReleased ,A  ,1 
10.0044743 ,keyPressed ,s  ,1 
10.1006292 ,keyReleased ,S  ,1 
10.196428 ,keyPressed ,s  ,1 
10.2760443 ,keyReleased ,S  ,1 
10.4041207 ,keyPressed ,w  ,1 
10.5636346 ,keyReleased ,W  ,1 
10.5876014 ,keyPressed ,o  ,1 
10.7002406 ,keyReleased ,O  ,1 
