timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0151146 ,Right ,+1 ,+8 ,+12 ,-1 ,-6 ,-1 ,-1 ,+1
0.0151461 ,Right ,-7 ,-14 ,-40 ,-10 ,0  ,-1 ,-3 ,-3
0.0303113 ,Right ,-1 ,-4 ,-8 ,-13 ,-9 ,-6 ,-4 ,-3
0.0303146 ,Right ,-2 ,-1 ,-4 ,-1 ,-2 ,0  ,+1 ,-1
0.0377463 ,Right ,-2 ,-4 ,-1 ,-1 ,-1 ,-1 ,-1 ,-2
0.0377499 ,Right ,+1 ,+8 ,+16 ,+6 ,-1 ,-2 ,-3 ,+1
0.0529352 ,Right ,0  ,+1 ,-1 ,+1 ,-2 ,0  ,-3 ,-2
0.0529386 ,Right ,0  ,0  ,+6 ,-2 ,-1 ,-1 ,-1 ,-1
0.0677311 ,Right ,0  ,-4 ,-1 ,0  ,-1 ,-2 ,-2 ,-1
0.0677341 ,Right ,0  ,-2 ,+9 ,+5 ,+3 ,0  ,-2 ,-1
0.0753498 ,Right ,-2 ,-5 ,-10 ,-5 ,-1 ,-2 ,0  ,-2
0.0753528 ,Right ,-2 ,+3 ,+2 ,+3 ,-2 ,-3 ,0  ,-1
0.0976661 ,Right ,-2 ,+2 ,+8 ,+2 ,+2 ,+1 ,-1 ,-2
0.0976692 ,Right ,0  ,+3 ,0  ,-2 ,+1 ,-2 ,-3 ,-2
0.1054331 ,Right ,-3 ,-2 ,+7 ,0  ,-5 ,-1 ,-2 ,+1
0.1054368 ,Right ,-2 ,-4 ,-17 ,0  ,0  ,-1 ,-1 ,-1
0.1200204 ,Right ,+1 ,-1 ,-3 ,+2 ,+4 ,+2 ,+3 ,+1
0.1200425 ,Right ,+2 ,+3 ,+16 ,0  ,-3 ,-2 ,-4 ,+2
0.1351454 ,Right ,+2 ,+3 ,+6 ,+6 ,+2 ,+2 ,0  ,-1
0.1351484 ,Right ,-1 ,-6 ,-10 ,-4 ,-3 ,-3 ,-1 ,-3
0.1427362 ,Right ,-3 ,-11 ,-2 ,+2 ,0  ,0  ,+1 ,-2
0.1427391 ,Right ,+1 ,+3 ,+5 ,+2 ,+3 ,+3 ,+2 ,-1
0.1502247 ,Right ,0  ,-2 ,-4 ,0  ,-3 ,-3 ,0  ,0 
0.1502282 ,Right ,-1 ,0  ,+1 ,-4 ,-2 ,-1 ,-2 ,+1
0.1575754 ,Right ,-2 ,+2 ,-1 ,+2 ,+3 ,-1 ,-3 ,0 
0.157579 ,Right ,-1 ,-6 ,+2 ,0  ,0  ,+1 ,+2 ,0 
0.172761 ,Right ,-2 ,-2 ,-2 ,0  ,+1 ,-1 ,-1 ,+1
0.1727663 ,Right ,0  ,-3 ,-2 ,+2 ,+1 ,0  ,-1 ,0 
0.1880485 ,Right ,+1 ,+1 ,+3 ,+2 ,+2 ,0  ,-1 ,+1
0.1880563 ,Right ,+1 ,-4 ,-4 ,-6 ,-5 ,-2 ,-1 ,-1
0.19583 ,Right ,+1 ,+4 ,+3 ,-1 ,-1 ,-2 ,-1 ,-1
0.1958425 ,Right ,0  ,+2 ,+6 ,+4 ,+1 ,+2 ,-1 ,-2
0.2108531 ,Right ,+1 ,-2 ,+5 ,+4 ,-2 ,-2 ,-1 ,-1
0.2108653 ,Right ,0  ,-6 ,-4 ,+5 ,+7 ,+4 ,+2 ,-1
0.2183502 ,Right ,-2 ,-6 ,-6 ,-5 ,0  ,+1 ,0  ,+1
0.2183627 ,Right ,-1 ,+5 ,+3 ,-6 ,-7 ,-3 ,+1 ,0 
0.2332695 ,Right ,-1 ,-2 ,-2 ,-2 ,-4 ,-3 ,-1 ,-3
0.233282 ,Right ,-1 ,0  ,+3 ,0  ,-1 ,-3 ,-1 ,0 
0.2482823 ,Right ,-3 ,+1 ,-1 ,+1 ,+3 ,+3 ,+1 ,+2
0.248295 ,Right ,-1 ,-4 ,-10 ,-5 ,-3 ,-3 ,0  ,+2
0.255849 ,Right ,-1 ,-2 ,+7 ,+4 ,-2 ,-1 ,-2 ,-3
0.2558615 ,Right ,-2 ,-1 ,-1 ,-4 ,-3 ,-3 ,-3 ,0 
0.2707174 ,Right ,-5 ,+11 ,+10 ,0  ,+1 ,0  ,0  ,-3
0.270729 ,Right ,-1 ,-4 ,-5 ,+2 ,+3 ,-1 ,-5 ,-3
0.2779117 ,Right ,-3 ,-1 ,-9 ,-7 ,-4 ,-3 ,-3 ,-3
0.2779199 ,Right ,-1 ,0  ,+3 ,+1 ,0  ,+2 ,0  ,-1
0.2928785 ,Right ,-1 ,-4 ,-11 ,-6 ,-6 ,-2 ,-2 ,0 
0.2928831 ,Right ,0  ,+1 ,-3 ,-1 ,+1 ,0  ,-1 ,-2
0.3077681 ,Right ,+4 ,-4 ,-6 ,-5 ,-5 ,-6 ,-3 ,0 
0.3077722 ,Right ,0  ,-1 ,+1 ,-2 ,-2 ,-3 ,-1 ,-3
0.3153516 ,Right ,-1 ,-7 ,-6 ,-4 ,-4 ,-5 ,-2 ,-2
0.3153556 ,Right ,-1 ,-1 ,+4 ,+4 ,+1 ,0  ,-1 ,0 
0.3302061 ,Right ,+3 ,-5 ,-12 ,-8 ,-4 ,-1 ,-2 ,-5
0.3302099 ,Right ,0  ,+3 ,+4 ,0  ,-1 ,-1 ,-2 ,0 
0.3377785 ,Right ,+1 ,-5 ,-7 ,-5 ,-2 ,-4 ,-1 ,-1
0.3377829 ,Right ,+1 ,-1 ,-3 ,-1 ,+4 ,+2 ,-1 ,-1
0.3526819 ,Right ,-2 ,+2 ,+14 ,+3 ,+4 ,-1 ,-1 ,-3
0.3526853 ,Right ,-3 ,+2 ,+15 ,+1 ,-5 ,-5 ,-2 ,-2
0.367895 ,Right ,-2 ,-5 ,-20 ,-7 ,-4 ,-3 ,0  ,0 
0.3678996 ,Right ,-2 ,0  ,+13 ,+7 ,+2 ,+4 ,+1 ,-1
0.3754142 ,Right ,-2 ,-3 ,-8 ,-3 ,-2 ,-4 ,-2 ,-2
0.3754192 ,Right ,0  ,+2 ,-7 ,-5 ,+1 ,0  ,-1 ,+1
0.3905672 ,Right ,-3 ,+1 ,+10 ,+1 ,-1 ,-1 ,-3 ,-1
0.3905785 ,Right ,-2 ,-2 ,-5 ,-6 ,-3 ,0  ,-1 ,0 
0.3981751 ,Right ,-1 ,-1 ,-3 ,-2 ,+1 ,0  ,-1 ,+1
0.398183 ,Right ,0  ,0  ,-1 ,0  ,+1 ,+1 ,0  ,-1
0.4132689 ,Right ,+1 ,-1 ,-7 ,-2 ,+1 ,+5 ,+2 ,+2
