timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0132524 ,Right ,0  ,+4 ,+20 ,+3 ,-7 ,-8 ,-3 ,+1
0.0132887 ,Right ,0  ,0  ,+5 ,+16 ,+19 ,+4 ,+2 ,-2
0.0148411 ,Right ,-2 ,-3 ,0  ,-2 ,-1 ,0  ,+1 ,-1
0.0148683 ,Right ,-1 ,-8 ,-14 ,0  ,-5 ,-4 ,-2 ,-3
0.0357949 ,Right ,+1 ,+6 ,+6 ,-4 ,+3 ,0  ,0  ,+2
0.0357981 ,Right ,-2 ,-5 ,+17 ,-14 ,-37 ,-8 ,-5 ,-1
0.0376152 ,Right ,+2 ,+1 ,-14 ,+13 ,+30 ,+4 ,-1 ,+1
0.0376183 ,Right ,-1 ,+7 ,+12 ,-5 ,+4 ,+1 ,+1 ,+1
0.050171 ,Right ,-1 ,-3 ,+6 ,+7 ,-6 ,-3 ,-1 ,-2
0.0501737 ,Right ,+4 ,+7 ,+4 ,+11 ,+4 ,+1 ,+2 ,+1
0.0570775 ,Right ,-7 ,-15 ,-40 ,-39 ,-23 ,-5 ,-3 ,-4
0.0571523 ,Right ,-4 ,-6 ,-8 ,-8 ,-6 ,-3 ,-1 ,-3
0.0735061 ,Right ,-2 ,-1 ,-9 ,-2 ,+6 ,+5 ,0  ,0 
0.0735106 ,Right ,+4 ,+13 ,+11 ,+9 ,-3 ,-7 ,-2 ,+2
0.0749687 ,Right ,-1 ,-3 ,-7 ,+1 ,+5 ,+1 ,-1 ,0 
0.0749717 ,Right ,+2 ,+3 ,+11 ,+24 ,+18 ,+7 ,+3 ,+1
0.096306 ,Right ,-1 ,-5 ,-33 ,-46 ,-13 ,-3 ,-1 ,-1
0.0963186 ,Right ,-4 ,+2 ,+29 ,+26 ,+3 ,-2 ,-3 ,-3
0.0978632 ,Right ,-4 ,0  ,-17 ,-14 ,-10 ,-5 ,-2 ,-1
0.0980635 ,Right ,-3 ,-5 ,-8 ,-7 ,-11 ,-7 ,-4 ,-2
0.1107996 ,Right ,+3 ,+6 ,+9 ,+15 ,+9 ,+2 ,+1 ,0 
0.1109416 ,Right ,+2 ,+2 ,0  ,+4 ,+6 ,+3 ,+3 ,+2
0.1175334 ,Right ,-6 ,-9 ,-6 ,-7 ,-5 ,-2 ,-1 ,-5
0.1175462 ,Right ,-2 ,+6 ,+12 ,+4 ,-3 ,-1 ,-1 ,0 
0.1339558 ,Right ,+15 ,-2 ,0  ,+10 ,+1 ,-1 ,+2 ,+14
0.1340437 ,Right ,-7 ,+2 ,+8 ,+7 ,+11 ,0  ,-2 ,-18
0.1354185 ,Right ,-4 ,-13 ,-8 ,-29 ,-20 ,-7 ,-2 ,-1
0.1354309 ,Right ,-2 ,+2 ,+11 ,+8 ,+3 ,-1 ,+2 ,-1
0.156118 ,Right ,-3 ,-2 ,-4 ,-2 ,+2 ,0  ,-6 ,-10
0.1561234 ,Right ,-1 ,-3 ,+4 ,-2 ,+2 ,0  ,+2 ,+6
0.1574969 ,Right ,+1 ,0  ,+18 ,+16 ,+1 ,-3 ,-8 ,-13
0.1575022 ,Right ,+2 ,-6 ,-26 ,-17 ,-5 ,0  ,+2 ,+2
0.1701461 ,Right ,-9 ,-11 ,+1 ,0  ,-3 ,+1 ,0  ,-3
0.17015 ,Right ,+9 ,+25 ,+2 ,+5 ,+5 ,+2 ,-2 ,+10
0.1769887 ,Right ,-4 ,+37 ,+6 ,+11 ,+2 ,+4 ,-1 ,+4
0.1769922 ,Right ,-1 ,-11 ,-8 ,-17 ,-4 ,-5 ,+12 ,+5
0.1933649 ,Right ,+1 ,0  ,+6 ,+5 ,+1 ,0  ,-8 ,-4
0.1933678 ,Right ,-2 ,-10 ,-4 ,-1 ,-7 ,-6 ,+3 ,-12
0.1949357 ,Right ,-1 ,-1 ,+12 ,-7 ,-17 ,-21 ,-36 ,-1
0.1950202 ,Right ,-5 ,-3 ,-11 ,+10 ,+13 ,+1 ,-15 ,-20
0.2158317 ,Right ,+2 ,+10 ,+21 ,+17 ,+1 ,+33 ,+80 ,+19
0.2158351 ,Right ,-4 ,-14 ,-20 ,-8 ,+16 ,-1 ,-15 ,-4
0.2172881 ,Right ,-7 ,-10 ,+36 ,+12 ,-9 ,+3 ,+11 ,+4
0.2173106 ,Right ,-2 ,-7 ,-20 ,-22 ,-10 ,-15 ,-3 ,+6
0.2383399 ,Right ,+1 ,+12 ,+8 ,-7 ,-4 ,-12 ,-47 ,-24
0.238343 ,Right ,+6 ,-7 ,+12 ,-11 ,-41 ,-5 ,+17 ,+10
0.2390679 ,Right ,+2 ,-9 ,-21 ,-17 ,+28 ,-1 ,-3 ,0 
0.2390709 ,Right ,+3 ,-2 ,+39 ,+58 ,+37 ,+23 ,+12 ,+5
0.2527821 ,Right ,-7 ,-15 ,-59 ,-36 ,-12 ,-6 ,-3 ,-2
0.2527856 ,Right ,-3 ,+5 ,+40 ,+18 ,+8 ,+2 ,0  ,+4
0.2533866 ,Right ,-1 ,-3 ,-10 ,-15 ,-24 ,-12 ,-10 ,-8
0.2533892 ,Right ,-3 ,-3 ,0  ,-7 ,-10 ,-3 ,-1 ,-4
0.2751587 ,Right ,-1 ,+6 ,+2 ,+20 ,+8 ,+2 ,+1 ,0 
0.2751619 ,Right ,-7 ,-14 ,-40 ,-4 ,+6 ,-5 ,-18 ,-7
0.2758986 ,Right ,+10 ,+10 ,+1 ,-15 ,-2 ,+4 ,+8 ,+6
0.2759016 ,Right ,-6 ,-8 ,0  ,-15 ,-8 ,-6 ,-6 ,-9
0.289408 ,Right ,-3 ,-5 ,+15 ,+10 ,-6 ,-9 ,-7 ,+1
0.2894765 ,Right ,0  ,-2 ,-1 ,+12 ,+7 ,+4 ,+3 ,0 
0.2976842 ,Right ,+4 ,+3 ,+4 ,+18 ,+11 ,+9 ,+10 ,0 
0.2976873 ,Right ,-6 ,-6 ,-32 ,-36 ,-24 ,-9 ,-5 ,+1
0.3126824 ,Right ,-4 ,0  ,+2 ,-18 ,-4 ,-8 ,-12 ,-5
0.3126852 ,Right ,+2 ,0  ,-6 ,-11 ,+1 ,0  ,+2 ,+2
0.3133181 ,Right ,0  ,-1 ,-2 ,+20 ,+16 ,+11 ,+8 ,+2
0.3133803 ,Right ,+3 ,+4 ,+7 ,+3 ,-7 ,0  ,-5 ,+1
0.3350997 ,Right ,-4 ,-5 ,0  ,+3 ,+6 ,-4 ,0  ,0 
0.3351027 ,Right ,-6 ,-19 ,-42 ,-22 ,0  ,-1 ,-2 ,-3
0.3358925 ,Right ,0  ,+12 ,+18 ,+9 ,-8 ,-1 ,0  ,0 
0.3359457 ,Right ,0  ,+1 ,-14 ,-16 ,-3 ,-1 ,-4 ,-4
0.3496869 ,Right ,-3 ,-10 ,+3 ,+9 ,0  ,-2 ,-1 ,-1
0.3496899 ,Right ,0  ,+2 ,+3 ,+11 ,0  ,-2 ,-2 ,-1
0.3577804 ,Right ,+1 ,-6 ,-5 ,-5 ,+1 ,+4 ,+3 ,0 
0.3577834 ,Right ,-2 ,+2 ,+16 ,+4 ,-5 ,-3 ,-3 ,+2
0.3727417 ,Right ,+3 ,+3 ,-17 ,-5 ,+1 ,0  ,0  ,-3
0.3727447 ,Right ,-1 ,+1 ,+3 ,+3 ,+4 ,+3 ,-6 ,+1
0.3734643 ,Right ,-3 ,-10 ,+8 ,0  ,-1 ,-4 ,+3 ,0 
0.3734674 ,Right ,+2 ,+9 ,+17 ,+26 ,+3 ,+3 ,+3 ,0 
0.3955232 ,Right ,-5 ,-7 ,-40 ,-38 ,-10 ,-8 ,-7 ,-5
0.395536 ,Right ,-2 ,-5 ,-12 ,-9 ,-2 ,+3 ,+1 ,-2
0.3964648 ,Right ,-2 ,0  ,+2 ,+8 ,+5 ,-2 ,0  ,-1
0.3964772 ,Right ,0  ,-1 ,+2 ,-2 ,-5 ,-7 ,-3 ,-1
0.4099621 ,Right ,-1 ,-4 ,+5 ,+13 ,+8 ,+2 ,-2 ,-1
0.4100635 ,Right ,+2 ,+1 ,+5 ,-3 ,-7 ,-2 ,0  ,-3
0.4184057 ,Right ,0  ,+5 ,-22 ,-21 ,-5 ,-2 ,-2 ,0 
0.418438 ,Right ,+1 ,+2 ,+2 ,+9 ,+6 ,+3 ,-1 ,+1
0.4332359 ,Right ,-1 ,-3 ,-5 ,-13 ,-17 ,-10 ,-6 ,0 
0.4333715 ,Right ,-1 ,+4 ,+18 ,+4 ,+1 ,+1 ,+3 ,-2
0.4337382 ,Right ,-2 ,-14 ,-16 ,-1 ,+5 ,+6 ,+2 ,-2
0.4338572 ,Right ,0  ,-1 ,-7 ,-21 ,-12 ,-7 ,-5 ,-1
0.4553454 ,Right ,+3 ,+5 ,+2 ,+10 ,+12 ,+3 ,-2 ,+3
0.4553536 ,Right ,0  ,+4 ,+19 ,+11 ,+11 ,+7 ,+1 ,+2
0.4563118 ,Right ,0  ,+1 ,-15 ,+9 ,+1 ,-4 ,-1 ,-1
0.4563166 ,Right ,-1 ,+2 ,-3 ,-2 ,-2 ,-2 ,+1 ,-1
0.4695968 ,Right ,-2 ,-5 ,+1 ,-3 ,-2 ,-5 ,-3 ,-4
0.4696012 ,Right ,+1 ,+3 ,-3 ,-18 ,-18 ,-5 ,-4 ,-2
0.4777401 ,Right ,-2 ,-2 ,+4 ,0  ,-21 ,+2 ,-2 ,-3
0.4777517 ,Right ,-2 ,-3 ,-1 ,-3 ,+31 ,+5 ,+2 ,-1
0.492725 ,Right ,-5 ,-2 ,+9 ,+1 ,-6 ,-2 ,-2 ,-2
0.4927294 ,Right ,-1 ,-3 ,+6 ,+7 ,+2 ,-5 ,-3 ,-1
0.4935235 ,Right ,-3 ,-3 ,-5 ,-7 ,-11 ,0  ,0  ,-1
0.493528 ,Right ,0  ,-5 ,-9 ,+5 ,+1 ,0  ,0  ,-2
0.5150413 ,Right ,+1 ,-1 ,+8 ,-1 ,+1 ,+2 ,+1 ,+1
0.515131 ,Right ,-2 ,+4 ,+16 ,+12 ,+14 ,0  ,0  ,-1
0.5159178 ,Right ,-4 ,-3 ,+2 ,-12 ,-11 ,-10 ,-5 ,-4
0.5160041 ,Right ,+1 ,+4 ,+5 ,-4 ,-5 ,-1 ,-3 ,0 
0.5295933 ,Right ,-4 ,-10 ,-11 ,-3 ,-12 ,-5 ,-3 ,-2
0.5295963 ,Right ,-1 ,+8 ,+14 ,+12 ,+13 ,+6 ,+4 ,+1
0.5379218 ,Right ,+1 ,-8 ,-10 ,+5 ,+1 ,+1 ,+1 ,+1
0.5379251 ,Right ,-2 ,-2 ,-10 ,-18 ,-11 ,-7 ,-3 ,-3
0.5528907 ,Right ,-1 ,-1 ,+8 ,+1 ,-8 ,-4 ,-3 ,-3
0.5528947 ,Right ,-1 ,+1 ,-3 ,-3 ,-2 ,0  ,+2 ,+1
0.5536578 ,Right ,-1 ,-3 ,-1 ,+5 ,+8 ,-1 ,-1 ,-1
0.5536611 ,Right ,-1 ,+2 ,+1 ,0  ,-7 ,-3 ,-2 ,-5
0.575875 ,Right ,-2 ,0  ,-22 ,-4 ,0  ,+3 ,0  ,-1
0.5758937 ,Right ,0  ,-3 ,+6 ,+1 ,-6 ,-4 ,-2 ,+1
0.5765154 ,Right ,-1 ,+6 ,-8 ,+3 ,+9 ,+6 ,-1 ,-2
0.5766811 ,Right ,-2 ,-11 ,-14 ,-7 ,+10 ,-3 ,-2 ,0 
0.5903487 ,Right ,-3 ,+1 ,+15 ,+17 ,+7 ,-1 ,+2 ,0 
0.5904923 ,Right ,-3 ,0  ,+7 ,+2 ,-14 ,-6 ,-2 ,-3
0.5981996 ,Right ,+4 ,+2 ,-3 ,+18 ,+15 ,+2 ,-2 ,0 
0.5983841 ,Right ,-3 ,-9 ,-21 ,-36 ,-20 ,+1 ,-1 ,-2
0.6132354 ,Right ,+1 ,+6 ,+10 ,+9 ,+11 ,+2 ,+2 ,0 
0.6135354 ,Right ,0  ,-4 ,-20 ,-11 ,-3 ,-3 ,-2 ,0 
0.6138835 ,Right ,+2 ,+7 ,+17 ,+8 ,+5 ,-2 ,-1 ,+1
0.6140484 ,Right ,-1 ,-5 ,-9 ,-3 ,-15 ,-4 ,-1 ,0 
0.6353313 ,Right ,-3 ,-2 ,-4 ,-5 ,+6 ,+4 ,-1 ,-2
0.635336 ,Right ,0  ,-3 ,-10 ,-1 ,-2 ,-1 ,0  ,-1
0.6362666 ,Right ,0  ,+5 ,+5 ,-4 ,-3 ,-1 ,+2 ,0 
0.6362714 ,Right ,-1 ,-7 ,+14 ,+10 ,+4 ,0  ,-2 ,-2
0.6584063 ,Right ,-4 ,-9 ,-24 ,-12 ,-9 ,-5 ,-3 ,-3
0.6584109 ,Right ,0  ,+1 ,-8 ,-10 ,-6 ,-2 ,-5 ,-3
