timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.0130773 ,Left ,+2 ,+4 ,+13 ,+19 ,+20 ,+5 ,0  ,+1
0.0130876 ,Left ,-1 ,-1 ,+8 ,+10 ,+10 ,-2 ,0  ,-1
0.0281699 ,Left ,-2 ,-2 ,-9 ,0  ,+3 ,+10 ,0  ,0 
0.0281733 ,Left ,-2 ,-3 ,-3 ,-12 ,-17 ,-20 ,-2 ,-1
0.0358065 ,Left ,-2 ,-5 ,-5 ,+5 ,-1 ,-4 ,+1 ,0 
0.0358107 ,Left ,+1 ,+4 ,+5 ,+9 ,+9 ,0  ,-5 ,-1
0.050758 ,Left ,+2 ,+3 ,+6 ,-4 ,+9 ,+7 ,0  ,+2
0.0507611 ,Left ,-2 ,-3 ,-5 ,-5 ,-3 ,-1 ,-5 ,-2
0.0581513 ,Left ,0  ,+2 ,+1 ,-7 ,-10 ,0  ,+2 ,0 
0.0581543 ,Left ,-2 ,-3 ,+2 ,+5 ,+31 ,+10 ,+2 ,-2
0.0731746 ,Left ,0  ,-5 ,-4 ,-4 ,0  ,-1 ,-4 ,-3
0.0731776 ,Left ,+1 ,+9 ,+18 ,+6 ,-13 ,-4 ,-2 ,-2
0.0880839 ,Left ,-1 ,-3 ,+2 ,+2 ,-10 ,+1 ,0  ,0 
0.0880871 ,Left ,-2 ,+1 ,+7 ,+6 ,+6 ,-6 ,-1 ,-2
0.0957365 ,Left ,-5 ,-5 ,-6 ,-8 ,-8 ,+11 ,-1 ,-3
0.09574 ,Left ,-3 ,-6 ,-14 ,-11 ,-4 ,-4 ,0  ,0 
0.1105522 ,Left ,-4 ,-6 ,-10 ,-9 ,-14 ,-8 ,-3 ,-3
0.1105571 ,Left ,+1 ,+3 ,+4 ,-2 ,-2 ,+6 ,-3 ,0 
0.125585 ,Left ,-4 ,-2 ,-1 ,+6 ,+6 ,-3 ,0  ,-2
0.1255884 ,Left ,0  ,0  ,+1 ,-16 ,-15 ,-6 ,-3 ,-1
0.140653 ,Left ,0  ,0  ,-4 ,-5 ,-6 ,-1 ,+7 ,+4
0.1406569 ,Left ,-5 ,-7 ,-15 ,-6 ,+5 ,-2 ,+4 ,-3
0.1632781 ,Left ,0  ,-2 ,+2 ,+18 ,+14 ,+2 ,+7 ,+3
0.1632832 ,Left ,+1 ,+7 ,+10 ,-2 ,-19 ,-10 ,-6 ,-4
0.1704845 ,Left ,0  ,+3 ,+12 ,+7 ,+15 ,+5 ,-1 ,-2
0.1704876 ,Left ,-1 ,-3 ,-5 ,-4 ,-3 ,-3 ,-2 ,-2
0.1856635 ,Left ,0  ,0  ,-8 ,-19 ,-48 ,-20 ,-4 ,-2
0.1856667 ,Left ,+1 ,+3 ,+9 ,+8 ,+41 ,+26 ,+4 ,+5
0.2008288 ,Left ,0  ,-2 ,-2 ,-6 ,-4 ,+2 ,0  ,+1
0.200832 ,Left ,-3 ,-10 ,-18 ,+10 ,+25 ,+5 ,-1 ,-1
0.2155216 ,Left ,0  ,0  ,+21 ,+9 ,+9 ,-3 ,-3 ,0 
0.215525 ,Left ,-1 ,-1 ,-6 ,+2 ,+1 ,-3 ,-3 ,-1
0.2303879 ,Left ,-5 ,-9 ,-13 ,-28 ,-12 ,-2 ,+1 ,-1
0.2303909 ,Left ,-2 ,-6 ,-18 ,-4 ,-4 ,-18 ,-7 ,-3
0.2380555 ,Left ,-1 ,+2 ,+7 ,0  ,+4 ,-1 ,-1 ,0 
0.2380587 ,Left ,+1 ,+4 ,+13 ,+14 ,+11 ,+6 ,-3 ,+1
0.2530676 ,Left ,0  ,-1 ,-12 ,+2 ,+20 ,-2 ,-2 ,-1
0.2530705 ,Left ,-1 ,-1 ,-4 ,-13 ,-16 ,-2 ,-4 ,-2
0.2679005 ,Left ,+1 ,+2 ,+4 ,+23 ,+33 ,+1 ,+1 ,0 
0.2679401 ,Left ,-4 ,-5 ,-5 ,+13 ,+9 ,+3 ,-1 ,-3
0.2760442 ,Left ,+1 ,-2 ,-8 ,-31 ,-59 ,-6 ,+1 ,0 
0.276057 ,Left ,-2 ,0  ,0  ,+11 ,+19 ,-6 ,-3 ,-3
0.2912569 ,Left ,+4 ,+7 ,+11 ,-4 ,+9 ,+5 ,-2 ,+3
0.2912696 ,Left ,-2 ,-6 ,-8 ,+12 ,+7 ,+2 ,+1 ,0 
0.2985698 ,Left ,-3 ,-1 ,0  ,-6 ,-13 ,+2 ,-2 ,-1
0.2985825 ,Left ,-1 ,-2 ,-2 ,-2 ,+3 ,-6 ,-2 ,-2
0.3135912 ,Left ,-2 ,-11 ,-21 ,-9 ,-13 ,0  ,-1 ,-4
0.3136039 ,Left ,+1 ,+4 ,+11 ,-5 ,+7 ,+9 ,+4 ,+3
0.3210354 ,Left ,-4 ,-3 ,-4 ,-2 ,-37 ,-29 ,-5 ,-4
0.3210475 ,Left ,+2 ,+6 ,+8 ,-4 ,-5 ,+3 ,0  ,+4
0.3360827 ,Left ,0  ,-1 ,-3 ,+2 ,0  ,+7 ,0  ,+1
0.3361844 ,Left ,0  ,-1 ,-3 ,-12 ,-24 ,-10 ,0  ,0 
0.3506682 ,Left ,-1 ,-5 ,-2 ,0  ,+15 ,+2 ,-3 ,-2
0.3506748 ,Left ,+1 ,+4 ,0  ,-1 ,+1 ,-6 ,-2 ,0 
0.3582473 ,Left ,+1 ,+2 ,0  ,+14 ,+30 ,+10 ,+1 ,-2
0.3582541 ,Left ,-3 ,-3 ,-3 ,-10 ,-40 ,-17 ,-4 ,-5
0.3732217 ,Left ,-1 ,+1 ,0  ,+2 ,-7 ,-1 ,+1 ,-2
0.3732285 ,Left ,-1 ,-2 ,-2 ,+4 ,+6 ,-1 ,-4 ,-3
0.3881495 ,Left ,+3 ,+1 ,+2 ,-3 ,-1 ,-10 ,+1 ,+1
0.3881622 ,Left ,-2 ,+2 ,+4 ,+8 ,-2 ,+38 ,+13 ,-2
0.3954769 ,Left ,0  ,-2 ,0  ,0  ,+28 ,-9 ,-13 ,-2
0.3954794 ,Left ,-3 ,-2 ,-3 ,-6 ,-10 ,-4 ,-15 ,-5
0.4106865 ,Left ,0  ,+2 ,+4 ,+10 ,+35 ,+6 ,+3 ,-3
0.4106897 ,Left ,+1 ,-3 ,-9 ,-7 ,-16 ,-18 ,-6 ,0 
0.4181487 ,Left ,0  ,+1 ,+3 ,+7 ,+19 ,+16 ,+6 ,+3
0.4181522 ,Left ,-2 ,-2 ,+2 ,+11 ,+13 ,+6 ,+4 ,-1
0.4330656 ,Left ,+2 ,-3 ,-2 ,-6 ,-28 ,-9 ,+2 ,+5
0.4330687 ,Left ,-3 ,-3 ,-4 ,-8 ,-10 ,-3 ,+11 ,+17
0.4405401 ,Left ,-9 ,-2 ,-6 ,-9 ,-8 ,-5 ,-19 ,-51
0.4405431 ,Left ,-2 ,0  ,+1 ,-2 ,+2 ,+3 ,+9 ,-5
0.4555032 ,Left ,+28 ,+16 ,-2 ,-2 ,-10 ,-2 ,-13 ,+23
0.4555065 ,Left ,+23 ,+23 ,+9 ,+14 ,+12 ,+7 ,+10 ,+19
0.4706256 ,Left ,-2 ,-6 ,0  ,-8 ,-15 ,-1 ,+1 ,+7
0.4706302 ,Left ,+27 ,+20 ,-2 ,+3 ,+3 ,0  ,-6 ,-20
0.4781693 ,Left ,-31 ,-20 ,-7 ,-21 ,-23 ,-10 ,+2 ,-2
0.4781747 ,Left ,+7 ,-1 ,+5 ,0  ,+6 ,+1 ,-8 ,-11
0.4929766 ,Left ,-11 ,-12 ,-24 ,-29 ,-79 ,-9 ,+1 ,+11
0.4929795 ,Left ,-9 ,-13 ,-3 ,+4 ,+3 ,-19 ,-16 ,-8
0.5007111 ,Left ,+6 ,-6 ,-13 ,-33 ,-76 ,-18 ,+1 ,-5
0.5007145 ,Left ,-6 ,+11 ,+19 ,+3 ,+37 ,+23 ,0  ,+9
0.5156588 ,Left ,+7 ,+14 ,+20 ,+10 ,+31 ,+21 ,+17 ,+14
0.5156636 ,Left ,-18 ,-22 ,-29 ,0  ,-8 ,-16 ,-9 ,-8
0.5306742 ,Left ,+11 ,+5 ,+5 ,-8 ,+2 ,+3 ,+5 ,-2
0.5306796 ,Left ,+3 ,+7 ,+11 ,+17 ,+10 ,+12 ,-5 ,-4
0.538126 ,Left ,-4 ,+3 ,+8 ,+27 ,+38 ,+3 ,+7 ,+14
0.5381315 ,Left ,-6 ,-14 ,-22 ,-24 ,-39 ,-25 ,-1 ,-5
0.5530859 ,Left ,+8 ,+2 ,-16 ,-27 ,+10 ,+5 ,-2 ,-8
0.5530908 ,Left ,-6 ,+15 ,+46 ,+49 ,+12 ,-7 ,-3 ,+4
0.5606635 ,Left ,-8 ,-13 ,-20 ,-27 ,-16 ,-7 ,-8 ,-6
0.5606687 ,Left ,-3 ,-8 ,-4 ,-8 ,-6 ,+4 ,+5 ,+2
0.5755219 ,Left ,-15 ,-15 ,-16 ,-15 ,-17 ,-75 ,-16 ,+8
0.5755271 ,Left ,-4 ,+3 ,0  ,-2 ,-4 ,+21 ,-19 ,-38
0.5981162 ,Left ,+12 ,+4 ,+6 ,+3 ,+23 ,-15 ,-4 ,+2
0.5981213 ,Left ,-18 ,-7 ,+4 ,+18 ,+12 ,+18 ,+4 ,-15
0.6056891 ,Left ,+4 ,-10 ,-5 ,-4 ,-12 ,-26 ,+18 ,0 
0.6056944 ,Left ,-11 ,-15 ,-14 ,-28 ,-34 ,-40 ,-32 ,-9
0.6206722 ,Left ,+15 ,+5 ,+6 ,+9 ,+3 ,-20 ,+15 ,+9
0.620678 ,Left ,-5 ,+16 ,-2 ,+2 ,+9 ,+6 ,-10 ,-17
