timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.019515 ,Left ,-3 ,-3 ,-1 ,0  ,0  ,+1 ,+2 ,0 
0.0195172 ,Left ,-3 ,-3 ,-1 ,0  ,0  ,+1 ,+2 ,0 
0.0195395 ,Left ,0  ,-1 ,-2 ,-1 ,-3 ,-2 ,-2 ,-1
0.0195412 ,Left ,0  ,-1 ,-2 ,-1 ,-3 ,-2 ,-2 ,-1
0.0212462 ,Left ,-1 ,0  ,+1 ,+1 ,-7 ,-2 ,-2 ,-3
0.021248 ,Left ,-1 ,0  ,+1 ,+1 ,-7 ,-2 ,-2 ,-3
0.0212505 ,Left ,-1 ,-1 ,+3 ,-3 ,-1 ,-4 ,-4 ,-1
0.0212533 ,Left ,-1 ,-1 ,+3 ,-3 ,-1 ,-4 ,-4 ,-1
0.0428089 ,Left ,+1 ,-4 ,-5 ,-4 ,-2 ,-2 ,+2 ,0 
0.0428179 ,Left ,+1 ,-4 ,-5 ,-4 ,-2 ,-2 ,+2 ,0 
0.0428291 ,Left ,-4 ,0  ,0  ,+1 ,+1 ,-3 ,-4 ,-3
0.0428361 ,Left ,-4 ,0  ,0  ,+1 ,+1 ,-3 ,-4 ,-3
0.0442318 ,Left ,-2 ,+1 ,+1 ,-3 ,-3 ,+2 ,-2 ,0 
0.0442398 ,Left ,-2 ,+1 ,+1 ,-3 ,-3 ,+2 ,-2 ,0 
0.0444627 ,Left ,-3 ,-3 ,-6 ,-2 ,-5 ,-2 ,-1 ,-4
0.0444708 ,Left ,-3 ,-3 ,-6 ,-2 ,-5 ,-2 ,-1 ,-4
0.0649088 ,Left ,+1 ,+3 ,+8 ,+7 ,+2 ,0  ,-1 ,0 
0.0649145 ,Left ,+1 ,+3 ,+8 ,+7 ,+2 ,0  ,-1 ,0 
0.0649222 ,Left ,-1 ,-2 ,-5 ,-5 ,-1 ,0  ,0  ,+1
0.0649271 ,Left ,-1 ,-2 ,-5 ,-5 ,-1 ,0  ,0  ,+1
0.0664786 ,Left ,-1 ,-4 ,-3 ,-2 ,0  ,+2 ,0  ,+1
0.0664897 ,Left ,-1 ,-4 ,-3 ,-2 ,0  ,+2 ,0  ,+1
0.0666033 ,Left ,-2 ,-1 ,-1 ,-1 ,-1 ,-1 ,-2 ,0 
0.066609 ,Left ,-2 ,-1 ,-1 ,-1 ,-1 ,-1 ,-2 ,0 
0.0799655 ,Left ,+1 ,-1 ,+1 ,0  ,+1 ,-2 ,-4 ,-2
0.0799719 ,Left ,+1 ,-1 ,+1 ,0  ,+1 ,-2 ,-4 ,-2
0.0799804 ,Left ,-3 ,-1 ,-3 ,-2 ,-5 ,-1 ,0  ,+1
0.079986 ,Left ,-3 ,-1 ,-3 ,-2 ,-5 ,-1 ,0  ,+1
0.0815609 ,Left ,-3 ,-3 ,-6 ,-3 ,0  ,-3 ,-2 ,-1
0.0815669 ,Left ,-3 ,-3 ,-6 ,-3 ,0  ,-3 ,-2 ,-1
0.0815749 ,Left ,-1 ,0  ,-1 ,+1 ,-2 ,-1 ,+1 ,0 
0.0815835 ,Left ,-1 ,0  ,-1 ,+1 ,-2 ,-1 ,+1 ,0 
0.1025944 ,Left ,0  ,-1 ,-1 ,0  ,-3 ,0  ,-1 ,-3
0.1026016 ,Left ,0  ,-1 ,-1 ,0  ,-3 ,0  ,-1 ,-3
0.102835 ,Left ,+1 ,0  ,+2 ,-2 ,-3 ,-4 ,-3 ,-2
0.1028412 ,Left ,+1 ,0  ,+2 ,-2 ,-3 ,-4 ,-3 ,-2
0.1040972 ,Left ,+1 ,0  ,-2 ,0  ,-2 ,-1 ,-4 ,-3
0.1041033 ,Left ,+1 ,0  ,-2 ,0  ,-2 ,-1 ,-4 ,-3
0.1041944 ,Left ,-3 ,-3 ,-2 ,-1 ,0  ,-1 ,-3 ,0 
0.1042031 ,Left ,-3 ,-3 ,-2 ,-1 ,0  ,-1 ,-3 ,0 
0.1249617 ,Left ,-2 ,-3 ,-6 ,-9 ,0  ,-2 ,0  ,+1
0.1249743 ,Left ,-2 ,-3 ,-6 ,-9 ,0  ,-2 ,0  ,+1
0.1252211 ,Left ,0  ,0  ,+1 ,+2 ,0  ,-3 ,0  ,-2
0.1252272 ,Left ,0  ,0  ,+1 ,+2 ,0  ,-3 ,0  ,-2
0.1266609 ,Left ,-1 ,0  ,+2 ,-4 ,-3 ,-4 ,-2 ,0 
0.126667 ,Left ,-1 ,0  ,+2 ,-4 ,-3 ,-4 ,-2 ,0 
0.1266752 ,Left ,+1 ,-3 ,-1 ,-1 ,-2 ,-2 ,-3 ,-1
0.1266805 ,Left ,+1 ,-3 ,-1 ,-1 ,-2 ,-2 ,-3 ,-1
0.1398543 ,Left ,-2 ,-3 ,-5 ,+2 ,+1 ,0  ,-1 ,-1
0.1398589 ,Left ,-2 ,-3 ,-5 ,+2 ,+1 ,0  ,-1 ,-1
0.139865 ,Left ,-1 ,+1 ,+4 ,0  ,-3 ,0  ,0  ,0 
0.139869 ,Left ,-1 ,+1 ,+4 ,0  ,-3 ,0  ,0  ,0 
0.1414469 ,Left ,-2 ,-1 ,-4 ,-2 ,-1 ,-1 ,-2 ,-3
0.1414519 ,Left ,-2 ,-1 ,-4 ,-2 ,-1 ,-1 ,-2 ,-3
0.1414579 ,Left ,-1 ,+1 ,+3 ,+2 ,0  ,+1 ,+1 ,-1
0.1414619 ,Left ,-1 ,+1 ,+3 ,+2 ,0  ,+1 ,+1 ,-1
0.1626876 ,Left ,-4 ,-4 ,-4 ,-4 ,0  ,-3 ,-3 ,0 
0.1626925 ,Left ,-4 ,-4 ,-4 ,-4 ,0  ,-3 ,-3 ,0 
0.1626994 ,Left ,0  ,-2 ,-2 ,+1 ,-2 ,-2 ,-1 ,-3
0.1627036 ,Left ,0  ,-2 ,-2 ,+1 ,-2 ,-2 ,-1 ,-3
0.1641633 ,Left ,-1 ,0  ,0  ,-2 ,-2 ,-2 ,-1 ,-1
0.1641685 ,Left ,-1 ,0  ,0  ,-2 ,-2 ,-2 ,-1 ,-1
0.1641747 ,Left ,-1 ,-1 ,-5 ,-6 ,-4 ,-1 ,0  ,0 
0.1641787 ,Left ,-1 ,-1 ,-5 ,-6 ,-4 ,-1 ,0  ,0 
