timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.05798 ,Right ,-1 ,+5 ,+3 ,+4 ,-7 ,-4 ,-6 ,-4
0.0579835 ,Right ,-1 ,-9 ,-9 ,-11 ,-6 ,-4 ,+4 ,0 
0.0730003 ,Right ,-1 ,+5 ,+4 ,+5 ,+8 ,+6 ,+3 ,-2
0.0730089 ,Right ,-1 ,0  ,0  ,-1 ,-3 ,-4 ,-2 ,-3
0.0806644 ,Right ,-3 ,+1 ,+7 ,+2 ,+1 ,0  ,-3 ,-2
0.0806679 ,Right ,-5 ,0  ,-3 ,-5 ,-14 ,-7 ,-4 ,-2
0.095627 ,Right ,-4 ,-4 ,-9 ,-2 ,-8 ,-6 ,-5 ,-3
0.0956305 ,Right ,+1 ,-2 ,+5 ,+3 ,+8 ,+8 ,+2 ,+2
0.1031913 ,Right ,+1 ,+1 ,-2 ,-2 ,+8 ,0  ,-1 ,0 
0.1031949 ,Right ,-1 ,-6 ,-1 ,+5 ,-3 ,-10 ,-5 ,-3
0.1181951 ,Right ,-1 ,+1 ,+3 ,0  ,-2 ,0  ,+1 ,+1
0.1181985 ,Right ,-3 ,+3 ,+13 ,+10 ,+1 ,-2 ,-3 ,-2
0.1332127 ,Right ,0  ,-11 ,-24 ,-6 ,+11 ,+6 ,+1 ,0 
0.1332162 ,Right ,+2 ,+11 ,+11 ,+3 ,-1 ,0  ,+6 ,+3
0.1407296 ,Right ,-4 ,-8 ,-14 ,-4 ,-2 ,-3 ,-4 ,-1
0.1407329 ,Right ,-1 ,-7 ,-2 ,-5 ,-6 ,-1 ,+1 ,0 
0.1555622 ,Right ,+2 ,+2 ,+7 ,+4 ,-3 ,-3 ,-3 ,-3
0.1555665 ,Right ,+2 ,+2 ,-4 ,+3 ,+1 ,-2 ,-4 ,-3
0.1631154 ,Right ,+2 ,+2 ,+1 ,-5 ,+1 ,0  ,+1 ,+1
0.1631193 ,Right ,+2 ,+7 ,0  ,-2 ,-2 ,0  ,-1 ,+1
0.1781514 ,Right ,+1 ,-1 ,+2 ,+3 ,+1 ,-1 ,+1 ,-3
0.1781561 ,Right ,0  ,-2 ,-3 ,-3 ,0  ,+2 ,0  ,+2
0.1933103 ,Right ,+1 ,+3 ,0  ,-1 ,-6 ,+2 ,+2 ,+1
0.1933158 ,Right ,-3 ,-8 ,-8 ,-3 ,+9 ,+2 ,0  ,+1
0.2006999 ,Right ,+1 ,+3 ,+1 ,0  ,+1 ,-3 ,-2 ,0 
0.2007069 ,Right ,-2 ,+1 ,0  ,-5 ,-1 ,-1 ,-3 ,-2
0.215534 ,Right ,-2 ,-7 ,-9 ,-1 ,-6 ,-6 ,-1 ,0 
0.2155404 ,Right ,-3 ,+6 ,+8 ,+1 ,-13 ,-6 ,-1 ,0 
0.223376 ,Right ,0  ,-5 ,-7 ,-3 ,+4 ,+7 ,+1 ,0 
0.2233828 ,Right ,0  ,+4 ,0  ,+3 ,+20 ,+3 ,+1 ,+1
0.2382044 ,Right ,-3 ,0  ,+6 ,+2 ,-4 ,-2 ,-1 ,-2
0.2382109 ,Right ,-4 ,0  ,0  ,-5 ,-2 ,+1 ,-2 ,-1
0.2456325 ,Right ,-3 ,-10 ,-19 ,-5 ,-9 ,-4 ,0  ,-3
0.245645 ,Right ,-2 ,-3 ,-4 ,+4 ,-10 ,-4 ,-2 ,-3
0.2607757 ,Right ,0  ,0  ,+6 ,-1 ,-1 ,-1 ,0  ,-1
0.2607878 ,Right ,-1 ,-1 ,-4 ,-3 ,+2 ,-1 ,+3 ,-2
0.2756914 ,Right ,-1 ,-4 ,-4 ,-7 ,-4 ,-2 ,+3 ,+1
0.2756956 ,Right ,0  ,+2 ,+1 ,-6 ,-4 ,-6 ,-7 ,-6
0.283213 ,Right ,+1 ,+3 ,+3 ,+6 ,+5 ,+2 ,0  ,0 
0.2832169 ,Right ,-2 ,-6 ,-5 ,-6 ,-5 ,-3 ,-2 ,-3
0.2982288 ,Right ,-2 ,-1 ,0  ,+6 ,+2 ,-2 ,0  ,-1
0.2982328 ,Right ,-2 ,-2 ,-4 ,+1 ,+2 ,+2 ,0  ,-2
0.3056669 ,Right ,-1 ,+2 ,-3 ,-8 ,-3 ,-1 ,-3 ,0 
0.305671 ,Right ,-1 ,0  ,+4 ,+6 ,-6 ,-4 ,-3 ,-3
0.3212928 ,Right ,0  ,0  ,-1 ,-5 ,-1 ,-5 ,-1 ,-1
0.3213056 ,Right ,-3 ,+3 ,+18 ,+8 ,-1 ,+2 ,+3 ,+2
0.3359668 ,Right ,+1 ,-8 ,-18 ,-4 ,+4 ,0  ,-3 ,-1
0.3359788 ,Right ,0  ,+10 ,-5 ,-9 ,-4 ,-4 ,0  ,0 
0.3437057 ,Right ,+2 ,+3 ,+7 ,+13 ,-1 ,0  ,0  ,+1
0.3437184 ,Right ,0  ,-5 ,-6 ,-11 ,-1 ,-4 ,-4 ,-2
0.3586635 ,Right ,+2 ,0  ,+13 ,+17 ,+6 ,+2 ,+2 ,0 
0.3586761 ,Right ,-3 ,-7 ,-16 ,-17 ,-6 ,-4 ,-4 ,-4
0.3661091 ,Right ,-3 ,-5 ,-15 ,-4 ,-3 ,-3 ,+1 ,0 
0.3661214 ,Right ,0  ,-1 ,-8 ,-7 ,-4 ,-1 ,-3 ,-1
0.3812269 ,Right ,-1 ,+5 ,+10 ,-2 ,-4 ,-4 ,-1 ,-1
0.3812398 ,Right ,-3 ,-2 ,-7 ,0  ,0  ,+1 ,-2 ,-2
0.3960748 ,Right ,-1 ,-2 ,-9 ,-9 ,0  ,-3 ,-7 ,-3
0.3960873 ,Right ,-5 ,-3 ,+9 ,+15 ,-12 ,-6 ,-2 ,-3
0.4035417 ,Right ,-3 ,-5 ,-6 ,-5 ,+18 ,+6 ,+1 ,+1
0.4035539 ,Right ,+2 ,+1 ,0  ,+4 ,-6 ,0  ,-2 ,+1
0.4183326 ,Right ,+1 ,+2 ,+3 ,0  ,0  ,+1 ,+1 ,0 
0.4183383 ,Right ,+2 ,-1 ,-4 ,-4 ,-6 ,0  ,-1 ,0 
0.4256933 ,Right ,-6 ,-2 ,+4 ,-2 ,-11 ,-4 ,-1 ,-4
0.4256978 ,Right ,+3 ,-14 ,-3 ,+4 ,+1 ,+1 ,+2 ,0 
0.4408224 ,Right ,+2 ,+6 ,+17 ,+10 ,+1 ,0  ,-1 ,0 
0.4408285 ,Right ,0  ,+4 ,-6 ,-3 ,0  ,+2 ,-1 ,-1
0.4557135 ,Right ,+3 ,+5 ,+17 ,+8 ,-4 ,+1 ,+3 ,+1
0.4557181 ,Right ,-5 ,-6 ,-18 ,-6 ,+5 ,-5 ,-3 ,-3
0.470586 ,Right ,+1 ,-3 ,+1 ,+3 ,+4 ,+5 ,+1 ,0 
0.4705911 ,Right ,-1 ,+5 ,+2 ,-3 ,-5 ,-4 ,-2 ,-2
0.4781209 ,Right ,-4 ,+2 ,+13 ,+10 ,-2 ,-2 ,-3 ,-1
0.4781259 ,Right ,0  ,+3 ,-3 ,-5 ,+3 ,+1 ,0  ,-2
0.4932691 ,Right ,-1 ,+4 ,-2 ,-5 ,-7 ,-5 ,-4 ,0 
