timestamp,event,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0.029934 ,Left ,-4 ,-1 ,+2 ,-3 ,-1 ,0  ,-2 ,-1
0.0299374 ,Left ,-1 ,0  ,-1 ,+4 ,-1 ,0  ,-3 ,-1
0.031415 ,Left ,-1 ,-2 ,-1 ,0  ,+5 ,0  ,-1 ,0 
0.0314359 ,Left ,0  ,-1 ,-2 ,-1 ,-4 ,-1 ,-1 ,-2
0.0436116 ,Left ,-1 ,0  ,-3 ,+1 ,-1 ,-1 ,-1 ,+1
0.0436142 ,Left ,+1 ,0  ,+3 ,0  ,+4 ,-3 ,0  ,+1
0.0526612 ,Left ,-1 ,-1 ,-1 ,-7 ,-6 ,-1 ,-2 ,-2
0.0526642 ,Left ,-1 ,+2 ,+1 ,+1 ,+6 ,0  ,-1 ,-3
0.0676687 ,Left ,-1 ,-3 ,-3 ,-3 ,-9 ,-3 ,0  ,0 
0.0676716 ,Left ,0  ,-3 ,-1 ,-5 ,+2 ,-1 ,-1 ,-1
0.0691804 ,Left ,-3 ,-2 ,-2 ,+1 ,0  ,-2 ,-2 ,-1
0.0691834 ,Left ,0  ,0  ,-1 ,-4 ,0  ,-1 ,+2 ,-1
0.0901861 ,Left ,-1 ,0  ,+1 ,-6 ,-1 ,-2 ,-1 ,-3
0.0901892 ,Left ,-1 ,-1 ,-3 ,+7 ,-2 ,+2 ,-1 ,0 
0.091666 ,Left ,-4 ,-1 ,-1 ,-2 ,+2 ,0  ,-1 ,-2
0.0916691 ,Left ,0  ,-1 ,0  ,-2 ,-5 ,-5 ,-4 ,0 
0.1037309 ,Left ,0  ,-2 ,-1 ,+2 ,+3 ,0  ,-1 ,-1
0.1037339 ,Left ,-2 ,-3 ,-2 ,-4 ,-3 ,-1 ,-1 ,-1
0.1127013 ,Left ,-4 ,-1 ,+1 ,+3 ,+3 ,0  ,0  ,-2
0.1127049 ,Left ,0  ,-1 ,+2 ,-7 ,-8 ,-1 ,-1 ,0 
0.1277376 ,Left ,-1 ,0  ,-11 ,-3 ,-2 ,-1 ,-2 ,-1
0.1277416 ,Left ,-1 ,-1 ,+1 ,-2 ,+1 ,0  ,-1 ,-1
0.1292044 ,Left ,+1 ,-4 ,-1 ,-1 ,-1 ,0  ,-1 ,-2
0.1292084 ,Left ,0  ,+2 ,+2 ,+2 ,+3 ,+1 ,-1 ,-1
0.1499882 ,Left ,-2 ,-2 ,+1 ,+4 ,+3 ,-2 ,0  ,-1
0.1499919 ,Left ,-2 ,-2 ,-2 ,-4 ,-3 ,-1 ,-2 ,0 
0.1516343 ,Left ,+1 ,0  ,-1 ,0  ,-1 ,-1 ,+2 ,+1
0.1516375 ,Left ,-3 ,0  ,-3 ,-2 ,-4 ,-3 ,-2 ,-1
0.1642694 ,Left ,+1 ,-2 ,+2 ,-1 ,+1 ,+1 ,0  ,+1
0.1642739 ,Left ,0  ,+2 ,0  ,+3 ,+5 ,0  ,0  ,0 
0.1728844 ,Left ,-2 ,-2 ,-5 ,-5 ,-14 ,-3 ,-3 ,-1
0.1728889 ,Left ,-1 ,-3 ,0  ,-1 ,+6 ,+3 ,0  ,-1
0.187748 ,Left ,-1 ,-3 ,0  ,-4 ,-4 ,-2 ,-2 ,-2
0.1877532 ,Left ,-2 ,-2 ,-1 ,+8 ,+4 ,+2 ,-1 ,-2
0.1892879 ,Left ,0  ,+3 ,-7 ,-1 ,0  ,0  ,-1 ,+2
0.1892928 ,Left ,-3 ,-2 ,-4 ,0  ,-3 ,-2 ,-2 ,-2
0.2101668 ,Left ,+3 ,+1 ,+2 ,0  ,+2 ,+1 ,-1 ,0 
0.2101734 ,Left ,-1 ,0  ,0  ,-1 ,-2 ,-4 ,0  ,-2
0.2118578 ,Left ,0  ,-2 ,+1 ,-1 ,+1 ,-2 ,-1 ,-1
0.2118646 ,Left ,-3 ,-3 ,-4 ,-1 ,0  ,-3 ,-2 ,-3
0.2238377 ,Left ,-4 ,-1 ,-2 ,+1 ,-2 ,-2 ,-1 ,0 
0.223845 ,Left ,-1 ,+1 ,+1 ,-2 ,-2 ,-1 ,-2 ,0 
0.2327251 ,Left ,-1 ,-1 ,0  ,-1 ,+2 ,-1 ,-1 ,-1
0.2327315 ,Left ,-1 ,0  ,+1 ,-3 ,-2 ,-1 ,-1 ,-2
0.247956 ,Left ,+2 ,-1 ,+4 ,0  ,+3 ,+1 ,0  ,-3
0.2479624 ,Left ,0  ,-3 ,-9 ,+3 ,-1 ,-3 ,-1 ,-1
0.2491989 ,Left ,-1 ,0  ,0  ,-2 ,-3 ,-1 ,-1 ,-3
0.2492032 ,Left ,-1 ,-1 ,+1 ,-1 ,0  ,0  ,-1 ,-2
0.2701191 ,Left ,-2 ,-1 ,-1 ,-1 ,+1 ,0  ,-1 ,-1
0.2701242 ,Left ,-1 ,-1 ,0  ,-3 ,-5 ,-2 ,0  ,+1
0.2718608 ,Left ,+1 ,-1 ,+1 ,-2 ,-1 ,-2 ,-1 ,-2
0.2718655 ,Left ,-1 ,0  ,-2 ,+2 ,+2 ,-1 ,+1 ,-1
0.2838666 ,Left ,-2 ,-1 ,-5 ,-6 ,-9 ,-2 ,-2 ,-1
0.2838714 ,Left ,-3 ,-2 ,0  ,-5 ,-1 ,0  ,0  ,-1
0.2927283 ,Left ,+2 ,0  ,+3 ,+10 ,+5 ,0  ,-1 ,+2
0.2927329 ,Left ,-3 ,-2 ,-9 ,-18 ,-20 ,-5 ,-3 ,-1
0.3077875 ,Left ,-2 ,-1 ,0  ,+4 ,+6 ,-2 ,0  ,-2
0.3078327 ,Left ,-1 ,0  ,-1 ,-5 ,-3 ,0  ,-2 ,-1
0.3093212 ,Left ,0  ,-2 ,0  ,0  ,-2 ,0  ,-2 ,0 
0.3093257 ,Left ,-1 ,+1 ,0  ,+4 ,+1 ,+1 ,0  ,0 
0.3302056 ,Left ,-1 ,-1 ,-1 ,-1 ,-3 ,-2 ,-1 ,0 
0.3302121 ,Left ,+1 ,-2 ,+1 ,-4 ,-4 ,-2 ,-1 ,-2
0.3316658 ,Left ,-3 ,-1 ,-2 ,-1 ,+3 ,0  ,-1 ,0 
0.3316714 ,Left ,0  ,-2 ,0  ,+2 ,+5 ,+3 ,0  ,0 
0.3526049 ,Left ,-2 ,-1 ,-5 ,-6 ,-15 ,-5 ,-1 ,-3
0.3526117 ,Left ,0  ,+1 ,+4 ,0  ,+7 ,-1 ,+1 ,+1
0.3542277 ,Left ,+1 ,+1 ,+1 ,+2 ,+3 ,+2 ,+1 ,0 
0.3542341 ,Left ,-2 ,-3 ,-7 ,0  ,-5 ,-5 ,-3 ,-2
0.3675021 ,Left ,-1 ,-1 ,+1 ,+1 ,+3 ,+2 ,0  ,-3
0.3675555 ,Left ,-1 ,0  ,0  ,0  ,-4 ,-2 ,-2 ,-1
0.3689236 ,Left ,-3 ,-3 ,-3 ,-9 ,-7 ,-2 ,-1 ,-2
0.3689638 ,Left ,+5 ,+1 ,+4 ,-1 ,+3 ,0  ,-1 ,+1
0.3901907 ,Left ,+2 ,+3 ,+3 ,+3 ,+1 ,0  ,-2 ,+1
0.3901958 ,Left ,0  ,-4 ,-5 ,+2 ,-6 ,-2 ,-2 ,-1
0.3917258 ,Left ,-1 ,-1 ,-1 ,-7 ,-3 ,-1 ,-2 ,-1
0.3917563 ,Left ,0  ,-4 ,+4 ,+5 ,+8 ,-2 ,-1 ,-2
0.4125033 ,Left ,0  ,-1 ,-8 ,-7 ,-2 ,-2 ,+1 ,-1
0.4125061 ,Left ,0  ,0  ,-1 ,0  ,+1 ,-1 ,+1 ,-3
0.4139842 ,Left ,-3 ,-1 ,-3 ,-3 ,-3 ,-2 ,-2 ,-2
0.4140053 ,Left ,-1 ,-1 ,-3 ,-3 ,-5 ,+1 ,-2 ,-2
0.4275563 ,Left ,+1 ,0  ,+6 ,+5 ,+5 ,0  ,-1 ,-1
0.4275592 ,Left ,-1 ,-2 ,-2 ,-9 ,-8 ,-3 ,0  ,-1
0.4291279 ,Left ,-2 ,-3 ,-3 ,+4 ,+2 ,-1 ,-1 ,-1
0.429131 ,Left ,-2 ,-2 ,-3 ,-2 ,-4 ,-3 ,+1 ,+1
0.4501124 ,Left ,-2 ,-2 ,0  ,+4 ,+3 ,-1 ,-1 ,-1
0.4501158 ,Left ,-1 ,-2 ,0  ,-6 ,-2 ,+2 ,-1 ,-2
0.4517529 ,Left ,-1 ,+1 ,+1 ,+4 ,-1 ,-3 ,-1 ,-2
0.451756 ,Left ,+1 ,+1 ,+1 ,0  ,+1 ,0  ,-1 ,0 
0.472646 ,Left ,-2 ,-4 ,-3 ,0  ,-1 ,-2 ,-1 ,-1
0.4726495 ,Left ,-2 ,-2 ,0  ,-2 ,-2 ,0  ,-4 ,-1
0.4742841 ,Left ,0  ,-1 ,0  ,-3 ,+2 ,+1 ,+1 ,+1
0.474287 ,Left ,-1 ,+1 ,+4 ,+6 ,+6 ,+3 ,+1 ,-1
0.4868492 ,Left ,-3 ,-5 ,-12 ,-10 ,-16 ,-7 ,-5 ,-3
0.4868523 ,Left ,0  ,+1 ,-1 ,+1 ,+6 ,0  ,-2 ,0 
0.4938121 ,Left ,-2 ,-2 ,-2 ,-3 ,-3 ,-2 ,-2 ,-1
0.4938152 ,Left ,0  ,+1 ,0  ,+5 ,+1 ,+1 ,0  ,+1
0.5102003 ,Left ,-1 ,-4 ,0  ,-1 ,+4 ,-1 ,0  ,-2
0.5102035 ,Left ,-1 ,-1 ,0  ,-1 ,-1 ,-2 ,-1 ,-3
0.511654 ,Left ,0  ,-1 ,-3 ,-2 ,-8 ,-1 ,-2 ,-3
0.5116573 ,Left ,-2 ,-2 ,+1 ,-4 ,+2 ,-2 ,0  ,0 
0.5326763 ,Left ,-2 ,0  ,-2 ,+5 ,+2 ,+1 ,-2 ,+1
0.5326803 ,Left ,0  ,-1 ,-5 ,-4 ,-11 ,-4 ,-1 ,-3
0.5342098 ,Left ,-3 ,-2 ,0  ,+1 ,+10 ,+1 ,-1 ,-2
0.5342142 ,Left ,+1 ,-2 ,0  ,+1 ,+1 ,-1 ,-1 ,-2
0.547156 ,Left ,-5 ,-4 ,-6 ,-9 ,-8 ,-6 ,-4 ,-3
0.547161 ,Left ,+3 ,+4 ,+5 ,-1 ,+3 ,+2 ,+1 ,+1
0.553661 ,Left ,-3 ,-5 ,-11 ,+5 ,-10 ,-3 ,-2 ,-2
0.5536656 ,Left ,-1 ,+1 ,+1 ,-5 ,-7 ,-2 ,-3 ,-2
0.5703747 ,Left ,0  ,0  ,+4 ,+3 ,-2 ,+3 ,-1 ,+1
0.5703876 ,Left ,-2 ,-3 ,-5 ,-2 ,+9 ,-3 ,-3 ,-2
0.5720418 ,Left ,-1 ,-2 ,+1 ,-5 ,0  ,-3 ,-1 ,-2
0.5720537 ,Left ,-2 ,-1 ,-4 ,-4 ,-3 ,0  ,+1 ,0 
0.593083 ,Left ,+1 ,+1 ,+6 ,0  ,+2 ,0  ,-1 ,-1
0.5932382 ,Left ,-4 ,-4 ,-5 ,+1 ,-4 ,-1 ,-1 ,-3
0.5946284 ,Left ,+2 ,-1 ,+2 ,-2 ,-4 ,+1 ,+1 ,+2
0.5946401 ,Left ,-1 ,-3 ,+1 ,-3 ,+7 ,+2 ,0  ,-3
0.6073978 ,Left ,-2 ,-2 ,-5 ,-7 ,-17 ,-4 ,-2 ,-1
0.6074064 ,Left ,-1 ,-2 ,-1 ,+3 ,+1 ,+1 ,-1 ,-1
0.6141188 ,Left ,-1 ,-1 ,-1 ,-4 ,-6 ,-2 ,-4 ,-1
0.6141261 ,Left ,-1 ,-2 ,-3 ,-3 ,+3 ,-1 ,-2 ,-2
0.6305214 ,Left ,-1 ,0  ,+4 ,+1 ,+5 ,+2 ,+1 ,0 
0.6305332 ,Left ,-1 ,-2 ,-2 ,-2 ,-7 ,-3 ,-3 ,0 
0.6319578 ,Left ,-2 ,-2 ,-2 ,-2 ,-3 ,0  ,+1 ,-2
0.6319696 ,Left ,-3 ,-3 ,-1 ,+2 ,-2 ,-2 ,-2 ,0 
0.6532121 ,Left ,0  ,0  ,-1 ,0  ,+4 ,-1 ,0  ,-2
0.6532247 ,Left ,-2 ,-2 ,-2 ,-2 ,-4 ,-3 ,-2 ,-3
0.6545438 ,Left ,0  ,-1 ,+2 ,-3 ,-3 ,-3 ,-3 ,0 
0.6545555 ,Left ,-1 ,-1 ,-1 ,-4 ,-7 ,0  ,0  ,+1
0.6675228 ,Left ,-2 ,-4 ,-5 ,+6 ,+12 ,0  ,-1 ,-3
0.6676457 ,Left ,0  ,+3 ,+4 ,-2 ,-2 ,0  ,0  ,-1
0.6742425 ,Left ,-1 ,-2 ,-3 ,+1 ,+5 ,+1 ,-1 ,-2
0.674255 ,Left ,0  ,-2 ,+1 ,+1 ,-3 ,-1 ,0  ,-2
0.6906061 ,Left ,0  ,-1 ,-1 ,-2 ,-1 ,0  ,-1 ,+1
0.6906182 ,Left ,0  ,0  ,0  ,+1 ,-5 ,-1 ,-1 ,0 
0.691976 ,Left ,-1 ,-1 ,0  ,0  ,+3 ,0  ,-3 ,-3
0.6919879 ,Left ,+1 ,-1 ,-4 ,-2 ,+1 ,-2 ,-2 ,-1
0.7129517 ,Left ,0  ,0  ,+7 ,-2 ,0  ,+1 ,-1 ,-1
0.7131566 ,Left ,-2 ,0  ,-3 ,-5 ,-4 ,-5 ,-2 ,+2
0.7142565 ,Left ,-3 ,-1 ,-4 ,0  ,-5 ,-2 ,0  ,+1
0.7142644 ,Left ,-1 ,-2 ,-3 ,-3 ,-3 ,-2 ,-2 ,-2
0.7271632 ,Left ,+1 ,0  ,-2 ,-1 ,+1 ,0  ,-1 ,-3
0.7271688 ,Left ,-3 ,-2 ,-2 ,+1 ,+3 ,+1 ,+1 ,+1
0.733828 ,Left ,0  ,-2 ,0  ,0  ,0  ,-1 ,-1 ,-2
0.733832 ,Left ,-1 ,+3 ,+4 ,-4 ,-1 ,0  ,+1 ,+1
0.7502066 ,Left ,-3 ,-6 ,-8 ,-3 ,-12 ,-2 ,-2 ,-2
0.7502107 ,Left ,-1 ,+1 ,+2 ,+6 ,+8 ,+4 ,0  ,-2
0.7517091 ,Left ,0  ,-3 ,-5 ,+1 ,-4 ,-5 ,-1 ,-2
0.7517152 ,Left ,-1 ,-1 ,+2 ,-1 ,+2 ,-2 ,-3 ,-2
0.7725972 ,Left ,-1 ,-4 ,-14 ,-2 ,+3 ,-1 ,-2 ,-1
0.7726012 ,Left ,-2 ,-1 ,+1 ,-2 ,+1 ,+2 ,+1 ,+1
0.7743403 ,Left ,0  ,0  ,+1 ,+3 ,+4 ,+2 ,+1 ,-1
0.7743444 ,Left ,0  ,-1 ,-1 ,-1 ,-3 ,-1 ,-2 ,-2
0.7870933 ,Left ,-2 ,-2 ,-2 ,-1 ,-6 ,-6 ,-2 ,0 
0.7870975 ,Left ,0  ,0  ,-2 ,+1 ,+3 ,+2 ,-2 ,-2
0.7936649 ,Left ,0  ,-1 ,0  ,-1 ,-3 ,0  ,0  ,-2
0.7936688 ,Left ,-3 ,-3 ,-4 ,-6 ,-8 ,-6 ,-3 ,0 
0.8101631 ,Left ,-2 ,+5 ,+2 ,+5 ,+4 ,+1 ,+1 ,-1
0.8101688 ,Left ,+3 ,+11 ,+6 ,+7 ,-1 ,+1 ,+1 ,+1
0.8118298 ,Left ,-1 ,0  ,+1 ,+1 ,0  ,-6 ,-1 ,-2
0.8118355 ,Left ,+2 ,0  ,+6 ,+8 ,+5 ,+3 ,+1 ,+2
0.8316373 ,Left ,-8 ,-12 ,-16 ,-11 ,-7 ,-3 ,-4 ,-3
0.8316423 ,Left ,-5 ,-9 ,-5 ,-9 ,-9 ,-4 ,-5 ,-3
0.8401528 ,Left ,+6 ,+6 ,+9 ,+6 ,+12 ,+5 ,+3 ,+4
0.8401568 ,Left ,-8 ,-4 ,-5 ,+1 ,-5 ,-8 ,-5 ,-8
0.8461684 ,Left ,+4 ,-1 ,-6 ,-14 ,-11 ,-3 ,-2 ,0 
0.8461714 ,Left ,+2 ,-4 ,-1 ,+7 ,-1 ,+1 ,0  ,-2
0.855163 ,Left ,-1 ,+6 ,+2 ,-11 ,-6 ,-2 ,-2 ,-1
0.8551658 ,Left ,-5 ,-1 ,+9 ,+21 ,+9 ,+5 ,+5 ,+1
0.8701555 ,Left ,+1 ,-1 ,-8 ,-4 ,+6 ,-3 ,-3 ,-3
0.8701595 ,Left ,-1 ,-2 ,-5 ,-2 ,-11 ,-4 ,0  ,+1
0.8718074 ,Left ,-5 ,-6 ,-9 ,-4 ,-3 ,0  ,-3 ,0 
0.8718116 ,Left ,-2 ,-4 ,-4 ,-6 ,-8 ,-5 ,-5 ,-3
0.8925367 ,Left ,0  ,+9 ,+14 ,+8 ,+7 ,+4 ,+4 ,0 
0.8925406 ,Left ,-5 ,-6 ,-4 ,+7 ,+3 ,-14 ,-10 ,-5
0.8941335 ,Left ,-7 ,-4 ,-2 ,-17 ,-6 ,0  ,0  ,-3
0.8941371 ,Left ,+5 ,-6 ,-7 ,-3 ,-1 ,+7 ,+6 ,+5
0.9064191 ,Left ,+3 ,+12 ,+8 ,+1 ,-1 ,0  ,+1 ,+1
0.9064239 ,Left ,-3 ,-4 ,0  ,+13 ,+15 ,-1 ,+1 ,0 
0.9153129 ,Left ,-4 ,-2 ,-9 ,-14 ,-16 ,-5 ,-4 ,-2
0.9153188 ,Left ,-1 ,+2 ,-3 ,-10 ,-7 ,0  ,-1 ,-3
0.9302294 ,Left ,-1 ,-8 ,+4 ,+6 ,+7 ,+2 ,+1 ,+3
0.9302366 ,Left ,+5 ,+5 ,+7 ,-3 ,+1 ,+2 ,+1 ,0 
0.9318166 ,Left ,-4 ,-6 ,-2 ,+6 ,+2 ,-1 ,-2 ,-3
0.931823 ,Left ,-1 ,+2 ,-5 ,-6 ,-2 ,-6 ,-1 ,-2
0.9527746 ,Left ,-5 ,-9 ,-10 ,-8 ,-11 ,0  ,-2 ,-2
0.9527811 ,Left ,-6 ,-4 ,-4 ,-9 ,-4 ,+2 ,+1 ,+1
0.9543442 ,Left ,+2 ,-6 ,0  ,0  ,-3 ,-5 ,-2 ,+2
0.954351 ,Left ,+5 ,+7 ,+13 ,+11 ,+9 ,0  ,+2 ,+1
0.9664395 ,Left ,-2 ,+1 ,-2 ,-3 ,+3 ,+4 ,+2 ,0 
0.9664459 ,Left ,-2 ,-3 ,-6 ,-28 ,-13 ,+3 ,0  ,-2
0.9753654 ,Left ,+1 ,+1 ,-2 ,+1 ,-7 ,-8 ,-8 ,-3
0.9753716 ,Left ,-4 ,-2 ,-3 ,+5 ,+1 ,+5 ,+1 ,+1
0.9903192 ,Left ,-3 ,-2 ,+2 ,+5 ,+5 ,-9 ,-5 ,-6
0.9903262 ,Left ,0  ,-1 ,+1 ,+10 ,+12 ,+9 ,+9 ,+5
0.9917214 ,Left ,0  ,+1 ,0  ,-4 ,-5 ,-1 ,-1 ,-1
0.9917275 ,Left ,-6 ,-7 ,-12 ,-11 ,-14 ,-6 ,-4 ,-4
1.0132946 ,Left ,-3 ,+2 ,+8 ,+7 ,+8 ,+4 ,-1 ,-3
1.0133014 ,Left ,+2 ,0  ,-6 ,-9 ,-9 ,-14 ,-8 ,-1
1.0187132 ,Left ,+2 ,+1 ,+6 ,+13 ,+10 ,+5 ,+1 ,+4
1.0187192 ,Left ,-2 ,0  ,0  ,-8 ,-10 ,-1 ,+3 ,+1
